ID,Year,Month,Day,Unit,TimeStamp,Label
1,1998,01,01,Day,1998-01-01,98Jan01
2,1998,01,\N,Month,1998-01,Jan1998
3,1998,\N,\N,Year,1998,1998
4,1998,01,02,Day,1998-01-02,98Jan02
5,1998,01,\N,Month,1998-01,Jan1998
6,1998,\N,\N,Year,1998,1998
7,1998,01,03,Day,1998-01-03,98Jan03
8,1998,01,\N,Month,1998-01,Jan1998
9,1998,\N,\N,Year,1998,1998
10,1998,01,04,Day,1998-01-04,98Jan04
11,1998,01,\N,Month,1998-01,Jan1998
12,1998,\N,\N,Year,1998,1998
13,1998,01,05,Day,1998-01-05,98Jan05
14,1998,01,\N,Month,1998-01,Jan1998
15,1998,\N,\N,Year,1998,1998
16,1998,01,06,Day,1998-01-06,98Jan06
17,1998,01,\N,Month,1998-01,Jan1998
18,1998,\N,\N,Year,1998,1998
19,1998,01,07,Day,1998-01-07,98Jan07
20,1998,01,\N,Month,1998-01,Jan1998
21,1998,\N,\N,Year,1998,1998
22,1998,01,08,Day,1998-01-08,98Jan08
23,1998,01,\N,Month,1998-01,Jan1998
24,1998,\N,\N,Year,1998,1998
25,1998,01,09,Day,1998-01-09,98Jan09
26,1998,01,\N,Month,1998-01,Jan1998
27,1998,\N,\N,Year,1998,1998
28,1998,01,10,Day,1998-01-10,98Jan10
29,1998,01,\N,Month,1998-01,Jan1998
30,1998,\N,\N,Year,1998,1998
31,1998,01,11,Day,1998-01-11,98Jan11
32,1998,01,\N,Month,1998-01,Jan1998
33,1998,\N,\N,Year,1998,1998
34,1998,01,12,Day,1998-01-12,98Jan12
35,1998,01,\N,Month,1998-01,Jan1998
36,1998,\N,\N,Year,1998,1998
37,1998,01,13,Day,1998-01-13,98Jan13
38,1998,01,\N,Month,1998-01,Jan1998
39,1998,\N,\N,Year,1998,1998
40,1998,01,14,Day,1998-01-14,98Jan14
41,1998,01,\N,Month,1998-01,Jan1998
42,1998,\N,\N,Year,1998,1998
43,1998,01,15,Day,1998-01-15,98Jan15
44,1998,01,\N,Month,1998-01,Jan1998
45,1998,\N,\N,Year,1998,1998
46,1998,01,16,Day,1998-01-16,98Jan16
47,1998,01,\N,Month,1998-01,Jan1998
48,1998,\N,\N,Year,1998,1998
