#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BO.UMSS.EDU.N1	AF.MOD.GOV.AF	?B	176.165	96.963	179.198	90.376	85.405	155.955	14.112	12.435	101.655	194.149	.	.	.	122.567	132.425	147.776	68.974	.	.	.	645.891	.	53.642	176.187	239.132	135.134	87.236	80.342	103.140	125.907	188.839	239.268	196.597	45.341	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	www.mod.gov.af	AF	South_Asia
BO.UMSS.EDU.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	243.992	170.171	77.244	126.718	118.083	202.349	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	www.multinet.af	AF	South_Asia
BO.UMSS.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	204.117	290.857	394.728	687.377	417.025	508.509	616.890	965.749	607.732	1486.996	.	.	.	1052.277	856.785	1125.987	877.063	1632.601	555.421	440.060	443.153	610.658	483.834	598.194	563.327	549.486	545.347	480.840	436.817	377.475	509.979	569.157	370.590	300.016	342.621	.	428.552	311.407	475.958	450.936	389.965	377.077	249.778	327.994	375.332	362.528	248.507	397.820	647.217	509.940	460.115	561.663	510.943	950.145	482.703	1277.555	351.527	439.907	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	aol1.albaniaonline.net	NET	Balkans
BO.UMSS.EDU.N1	AM.SCI.N1	?B	.	575.269	288.744	283.529	336.168	373.735	212.908	228.212	468.385	714.992	.	.	.	798.372	545.141	533.476	637.417	417.008	432.950	383.130	499.502	513.490	415.830	681.283	480.475	670.372	541.939	753.410	612.569	428.221	522.195	368.537	388.854	604.354	593.995	.	378.396	287.758	792.549	339.392	506.490	182.889	.	129.557	.	.	.	412.488	560.462	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	www.sci.am	AM	Central_Asia
BO.UMSS.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	1085.498	732.901	958.628	683.559	556.802	335.993	532.570	1315.931	610.085	196.349	.	.	.	605.555	740.714	581.588	1226.814	1403.207	585.076	520.765	559.748	1333.185	403.835	750.114	890.279	1390.156	1538.261	1208.632	1239.716	812.804	717.471	417.614	1026.093	1546.652	1550.405	.	914.898	1383.590	1484.482	1517.370	1527.883	1518.279	1535.184	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.BRISBANE.NET	?B	734.975	822.749	774.009	736.498	585.897	369.648	568.030	1350.133	580.046	194.006	.	.	.	622.186	639.336	438.415	920.827	1355.900	589.455	533.099	492.783	751.188	386.634	707.537	1248.190	1398.720	1484.458	1464.490	1416.954	810.569	897.301	417.304	1106.424	1461.478	1165.383	.	1344.012	1429.923	1510.315	1474.275	1527.086	1507.576	1470.791	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.CANBERRA.NET	?B	199.720	254.928	538.074	747.321	766.463	372.237	545.965	1136.018	483.284	278.877	.	.	.	560.336	658.324	512.814	1089.216	1119.549	637.243	262.631	421.432	710.019	471.144	880.826	1497.164	1472.444	1393.060	1470.174	1623.277	783.084	412.405	413.858	963.205	1414.936	1609.122	.	1607.995	1158.669	1563.216	1587.075	1592.024	1559.834	1503.802	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.HOBART.N2	?B	712.292	1267.889	1276.154	1281.417	925.619	325.742	575.235	1428.234	652.727	200.723	.	.	.	527.485	683.731	485.973	844.140	895.031	529.223	273.713	371.676	708.626	425.299	493.763	976.412	1215.700	1554.761	1487.467	1237.450	682.494	447.876	433.762	693.336	1524.896	1081.991	.	702.051	1082.985	1493.300	1471.020	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.PERTH.NET	?B	1166.060	610.630	747.146	699.979	507.199	354.354	620.644	1361.855	612.320	203.687	.	.	.	544.570	545.753	442.924	1326.826	1359.929	519.807	451.445	416.986	798.310	390.684	563.110	1329.261	1405.532	1438.762	1390.494	1399.271	813.406	858.366	406.064	1025.132	1222.538	1271.183	.	634.239	716.182	1349.535	1378.263	1298.879	633.063	1264.838	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	BA.UTIC.NET.N1	?B	1777.642	1008.821	1046.816	880.716	888.794	312.498	265.781	409.535	449.869	388.881	.	.	.	350.082	454.874	351.544	452.635	365.493	377.462	356.432	337.893	481.330	359.239	588.807	600.935	533.872	498.553	572.470	353.576	446.091	362.867	340.414	838.355	1037.524	1706.985	.	959.212	525.398	1082.097	770.963	1126.445	807.013	192.402	307.325	685.429	828.291	687.297	1254.106	771.256	843.173	759.807	780.829	1518.788	225.544	307.595	242.379	386.646	582.913	722.769	451.768	565.657	745.280	357.654	660.555	212.245	153.596	284.273	329.325	367.235	229.028	127.580	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	linhost2.utic.net.ba	BA	Balkans
BO.UMSS.EDU.N1	BD.DUET.AC.N1	?B	423.238	120.696	188.085	297.572	272.110	216.998	139.924	180.422	232.662	214.745	.	.	.	253.873	168.491	108.855	202.954	104.205	78.236	125.966	186.767	90.718	88.749	106.188	126.836	147.792	213.250	420.633	252.943	174.820	245.924	320.084	174.159	209.282	265.641	.	317.832	139.205	157.188	159.763	114.456	193.536	128.476	197.520	193.406	125.238	150.746	236.560	85.482	138.492	106.870	125.338	139.753	159.996	100.624	141.230	120.245	122.556	146.529	126.749	191.427	117.142	110.379	131.320	101.312	101.872	54.341	111.620	192.629	85.573	69.690	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.umss.edu.bo	BO	Latin_America	www.duet.ac.bd	BD	South_Asia
