#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.ORG.SPRACE.N2	AF.MOD.GOV.AF	?B	286.709	60.279	54.412	103.113	130.732	192.426	16.920	12.281	146.287	123.063	.	.	.	120.747	132.923	153.096	71.188	.	.	.	653.653	.	50.507	55.912	101.392	116.548	72.498	55.385	75.313	107.711	71.086	193.725	163.538	43.016	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.mod.gov.af	AF	South_Asia
BR.ORG.SPRACE.N2	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	261.995	170.912	122.224	142.285	136.780	197.075	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.multinet.af	AF	South_Asia
BR.ORG.SPRACE.N2	AL.ALBANIAONLINE.NET.N1	?B	232.569	321.270	408.203	712.766	586.662	634.116	742.980	1744.287	600.881	1279.042	.	.	.	800.186	1408.047	2037.878	319.969	448.304	740.692	881.036	833.303	621.903	388.172	463.844	348.520	395.389	426.585	424.701	420.727	350.084	374.301	495.242	377.265	228.645	288.944	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.ORG.SPRACE.N2	AM.SCI.N1	?B	.	235.535	271.266	370.385	458.783	245.344	297.373	247.760	286.360	186.727	.	.	.	1290.036	795.192	503.243	253.800	328.633	582.360	608.114	1708.246	1016.649	523.527	767.066	529.450	670.968	291.827	400.192	347.246	304.062	375.278	331.498	593.480	523.623	520.846	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.sci.am	AM	Central_Asia
BR.ORG.SPRACE.N2	AU.AARNET.ADELAIDE.N1	?B	1440.975	1441.309	1433.267	1068.369	901.289	1381.133	645.266	670.823	1430.272	1430.833	.	.	.	1410.458	1409.020	1417.742	258.576	299.788	930.447	937.736	1421.692	1421.003	1422.517	1361.385	1227.174	696.086	866.035	851.448	1327.987	519.407	664.465	1091.809	952.088	542.626	1054.449	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.BRISBANE.NET	?B	1464.826	1466.732	1461.579	1459.168	928.345	1408.627	963.541	796.498	1459.805	1460.283	.	.	.	1438.479	1437.610	1442.824	274.564	302.266	1294.779	956.395	1437.498	1437.018	1438.588	1375.483	1006.959	748.314	1073.977	812.316	1341.683	541.337	586.772	922.372	1052.981	568.289	1194.882	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.CANBERRA.NET	?B	1513.770	1515.567	1510.443	1320.437	855.371	1453.005	839.711	748.856	1505.542	1508.133	.	.	.	1485.053	1483.968	689.007	217.677	333.577	934.607	949.317	1517.755	1498.872	834.091	1020.321	1257.793	716.635	850.625	937.051	1378.170	620.382	607.213	1408.447	881.480	544.035	1314.887	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.HOBART.N2	?B	1433.880	1432.931	1431.365	516.161	896.661	1374.621	1138.708	776.653	1421.463	1423.800	.	.	.	1403.022	1302.329	726.892	211.177	295.772	912.630	1001.457	1433.407	1416.478	1013.763	1239.461	938.837	758.665	813.609	817.508	1234.733	643.723	504.971	706.174	725.041	495.595	733.097	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	AU.AARNET.PERTH.NET	?B	1340.327	1340.599	1333.599	1330.459	754.096	1288.287	759.933	664.843	1329.257	1331.169	.	.	.	1313.251	1312.544	1320.011	252.810	297.237	699.173	829.557	1323.523	1322.912	739.554	1027.657	1207.752	704.294	1083.446	679.253	1238.823	513.396	584.696	969.038	828.902	461.816	1234.782	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.ORG.SPRACE.N2	BA.UTIC.NET.N1	?B	1944.193	1922.802	1120.373	784.887	1084.762	690.368	402.783	508.857	589.337	520.525	.	.	.	432.151	515.477	641.564	296.736	345.480	466.786	487.115	417.848	288.421	304.482	518.095	411.142	549.492	455.984	319.839	372.912	408.819	424.506	447.362	928.076	436.296	557.486	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	linhost2.utic.net.ba	BA	Balkans
BR.ORG.SPRACE.N2	BD.DUET.AC.N1	?B	384.626	216.588	279.090	351.755	521.231	336.713	155.859	190.300	233.279	195.480	.	.	.	253.377	188.015	121.161	114.238	85.917	73.503	152.570	225.333	79.690	87.247	103.159	103.197	153.382	265.239	360.121	260.323	189.905	295.493	262.466	195.202	101.045	88.949	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.duet.ac.bd	BD	South_Asia
BR.ORG.SPRACE.N2	BJ.GOUV.N1	?B	181.199	199.413	186.170	210.755	171.332	198.931	199.616	209.139	175.244	235.972	.	.	.	222.280	206.707	273.987	143.890	193.981	162.566	140.162	393.238	173.637	152.107	193.174	155.436	166.297	150.910	108.425	295.397	168.892	137.074	257.590	822.267	308.422	341.197	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	waib.gouv.bj	BJ	Africa
BR.ORG.SPRACE.N2	BO.UMSS.EDU.N1	?M	1050.654	961.637	888.629	608.422	846.089	704.752	483.548	2003.995	1998.856	1122.604	.	.	.	1299.204	1388.095	1013.364	399.879	581.818	780.543	713.095	913.941	752.006	412.133	565.739	524.665	614.479	419.977	664.720	526.887	492.584	406.896	1697.557	1114.166	964.362	742.221	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.umss.edu.bo	BO	Latin_America
BR.ORG.SPRACE.N2	BR.UNESP.N1	?M	4564.368	4286.472	4323.912	2920.692	2496.072	2055.935	1602.771	3127.770	2644.546	1565.069	.	.	.	130268.519	44772.139	.	.	.	.	.	.	.	.	.	.	.	107369.703	11916.097	2882.082	4228.895	3537.159	1790.718	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	pinger.unesp.br	BR	Latin_America
BR.ORG.SPRACE.N2	BR.UNESP.N3	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4103.806	10881.524	283843.603	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.unesp.br	BR	Latin_America
BR.ORG.SPRACE.N2	BY.MTEC.N1	?B	1178.912	533.028	610.857	798.353	774.452	625.522	662.729	358.652	398.714	482.559	.	.	.	1164.586	759.275	862.982	290.245	314.020	462.275	364.508	370.073	292.451	378.455	434.288	755.796	577.573	267.991	312.082	618.110	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	www.mtec.by	BY	Europe
BR.ORG.SPRACE.N2	CA.CARLETON.N1	?B	1799.475	1623.001	1994.141	2602.275	2500.038	1876.100	3189.120	3195.076	3200.755	3188.580	.	.	.	3092.685	3175.239	2796.739	1709.470	2928.650	1576.162	2565.516	1928.588	3098.723	3188.738	3088.163	2760.375	1470.873	1845.156	2311.710	2752.770	1074.981	1174.928	1581.911	1439.395	969.122	2793.397	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	ftp.physics.carleton.ca	CA	North_America
BR.ORG.SPRACE.N2	CA.TRIUMF.N1	?M	1119.902	1350.383	821.303	1343.112	1980.021	1249.861	735.164	1021.041	908.620	1304.725	.	.	.	909.860	839.112	665.440	583.304	657.638	651.113	622.886	1068.435	2155.217	1323.361	2062.082	1719.003	1093.788	1120.826	1479.466	1229.654	769.305	1183.122	1954.061	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.sprace.org.br	BR	Latin_America	sitka.triumf.ca	CA	North_America
