#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CA.CARLETON.N2	CA.CARLETON.N1	?B	348230.320	391661.194	382798.153	295805.315	367057.300	308953.603	301991.990	309119.929	323599.257	297293.955	.	.	.	289823.903	374530.698	330144.161	277432.251	229662.979	330367.302	314734.207	332810.118	398865.825	221693.750	252562.238	238637.413	213689.215	247131.195	381904.318	316373.287	340027.677	150547.715	281505.659	350062.312	221255.383	263459.613	.	171079.183	218084.745	252250.514	361509.779	329465.433	247017.068	184409.142	385987.849	383412.226	323082.805	338406.283	304323.618	362840.705	190406.146	324248.636	321567.968	201516.814	127443.139	210859.766	221462.265	177867.313	320253.858	449342.329	456664.523	267644.381	158965.570	154325.094	215277.060	265388.331	438246.061	449736.325	352997.686	204252.250	220660.348	268924.081	244616.294	214217.838	184148.915	277877.450	290682.385	294199.340	291841.472	351029.192	336318.148	316718.636	303681.207	333599.595	351521.842	340932.736	312253.028	406600.010	323564.997	295662.961	293611.779	282490.294	5361972.416	9905413.645	8654244.631	10289142.736	7234010.939	6300665.317	4013631.566	770068.573	443113.862	445104.033	448777.001	457252.343	437026.608	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	320064.632	.	449136.268	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	ftp.physics.carleton.ca	CA	North_America
CA.CARLETON.N2	CA.TRIUMF.N1	?M	2600.359	2347.704	2523.549	8000.220	8047.607	7999.925	2719.339	3580.858	2805.435	6154.068	.	.	.	2537.443	2567.540	2061.174	2263.403	2416.380	2627.633	2273.680	3161.332	8096.449	4609.153	6896.919	7189.846	8792.525	8756.182	8534.124	7349.963	4563.224	5306.160	8629.681	6295.218	8923.060	8823.168	.	8841.750	8791.504	8416.492	8219.721	8114.634	7288.095	7332.473	8043.214	8239.687	8201.408	8229.632	8210.382	8247.117	6638.148	7954.523	7975.101	8234.718	8058.163	2141.358	8166.161	8189.299	8133.134	2201.371	2286.280	7778.732	5968.114	6313.700	7123.380	5540.163	2266.495	2623.912	3073.778	1838.258	2262.940	2748.962	6479.698	7571.679	6849.772	6917.799	6900.478	6830.198	4518.861	1566.728	2449.127	6597.293	2998.945	6609.798	3322.361	6511.978	4343.058	4526.821	.	.	.	.	.	.	.	.	.	.	.	2224.559	.	2570.509	7826.516	1131.843	7860.375	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	208.718	1004.235	.	1884.830	467.015	902.619	1161.953	5740.060	852.113	214.200	677.620	863.298	1687.712	665.081	1853.182	1005.936	821.281	526.104	499.897	.	517.371	886.128	.	.	1105.714	542.946	655.896	570.544	930.707	799.338	667.382	1562.136	1553.205	1355.669	1206.583	1310.516	2754.813	3619.817	2622.300	1796.897	809.276	627.315	953.763	1022.230	1700.309	849.696	276.884	705.986	961.239	341.324	654.861	804.394	118.165	103.846	158.656	251.625	281.772	234.511	388.694	523.574	555.953	562.526	1025.566	1491.056	.	.	.	netmon.physics.carleton.ca	CA	North_America	sitka.triumf.ca	CA	North_America
CA.CARLETON.N2	CA.TRIUMF.N2	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	917.858	864.943	642.519	835.260	109.917	101.728	151.832	241.313	263.895	232.404	382.857	575.361	551.727	615.439	1018.844	1486.091	885.985	846.894	133.643	netmon.physics.carleton.ca	CA	North_America	www.triumf.ca	CA	North_America
CA.CARLETON.N2	CH.CERN.N1	?B	1631.060	1748.247	3350.453	3957.263	2684.715	3515.193	1564.380	2531.823	3512.057	1284.385	.	.	.	2449.184	2905.559	2258.428	3161.567	3255.390	1639.551	1957.533	1274.480	2623.530	3353.438	3244.829	2645.676	3436.284	1973.967	3379.326	3370.332	3368.348	2633.951	3083.075	3829.778	3826.665	3819.147	.	3893.571	2921.220	3724.499	1266.039	3699.236	3429.994	3103.500	3731.046	3709.574	3730.537	3764.846	3727.793	3778.024	3688.177	1943.899	2533.067	3585.503	3518.840	995.939	3659.356	2397.639	877.876	962.939	1065.878	3652.795	1740.824	2837.867	3353.015	2257.989	1294.809	1250.901	1278.304	1115.344	1357.514	1762.225	2118.744	3624.108	2162.331	3578.842	3137.806	3617.024	2186.822	610.910	983.799	3332.637	2230.379	1548.680	3187.304	2351.119	3334.701	1829.941	1329.144	2817.870	2543.743	1582.467	1836.539	3019.093	1903.133	1736.185	312.967	2023.480	1025.208	1624.088	3165.426	1441.953	3183.540	356.047	2047.787	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	123.049	363.945	.	534.732	333.243	278.685	295.464	.	.	82.642	550.527	406.231	716.758	1030.758	998.665	726.848	579.419	300.520	278.514	.	330.088	808.771	.	.	709.491	381.103	445.715	444.723	596.692	521.954	610.762	1151.530	1136.133	998.196	935.422	696.440	2186.038	1489.592	1544.833	1783.897	1601.688	481.634	1063.626	949.739	1447.806	568.631	509.330	1151.061	320.690	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	ping.cern.ch	CH	Europe
CA.CARLETON.N2	CH.CERN.N9	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	309.570	327.395	221.198	447.525	79.051	52.033	74.872	153.050	165.507	92.125	141.807	164.284	190.502	251.883	171.168	243.629	197.105	197.901	86.395	netmon.physics.carleton.ca	CA	North_America	www.cern.ch	CH	Europe
CA.CARLETON.N2	CL.UCHILE.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	101.807	156.935	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	www.dcc.uchile.cl	CL	Latin_America
CA.CARLETON.N2	DE.DESY.N1	?M	1740.876	2463.716	3289.530	3435.401	4213.126	2611.200	4144.669	3352.234	4192.852	3103.312	.	.	.	3994.166	3995.120	4012.172	3988.662	3427.937	2373.913	3527.157	2005.472	2430.943	3229.547	3447.244	3220.441	3761.942	4012.720	2163.437	2425.747	1842.012	2198.501	2625.812	2054.149	881.380	1451.840	.	4094.261	1799.154	2180.457	4083.582	3635.938	3106.426	3141.933	4046.745	4003.816	3960.328	3970.060	4012.449	4041.207	3702.329	3731.887	3746.027	3780.519	3749.594	1070.791	3709.095	3723.984	2749.850	964.651	1040.960	3612.899	1332.440	2404.348	3432.072	1751.153	1107.410	1311.725	1450.035	1176.047	1398.506	1590.474	2414.043	3672.371	3653.001	3682.094	3687.753	3665.132	2123.671	660.835	1004.289	669.957	1899.371	364.197	1074.006	1805.889	3682.218	3039.951	2780.845	3612.971	2610.856	1294.092	2514.362	3352.254	1990.615	3886.608	352.592	2373.901	2145.587	3714.386	4207.297	1747.076	4573.698	496.967	2260.763	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	116.976	285.376	.	574.242	296.499	109.479	174.517	.	.	36.288	688.573	815.504	900.731	1612.751	1412.522	1011.339	942.618	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	ping.desy.de	DE	Europe
CA.CARLETON.N2	DE.DESY.N4	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	131.091	101.396	81.470	125.628	49.034	38.460	70.082	91.581	87.797	65.988	91.247	107.471	133.100	132.662	134.953	154.190	142.798	148.623	69.572	netmon.physics.carleton.ca	CA	North_America	www.desy.de	DE	Europe
CA.CARLETON.N2	DE.IFH.N1	?r	1479.818	2324.631	2445.340	2381.215	2782.401	2194.600	2023.509	2019.914	2403.618	2362.156	.	.	.	2452.244	3414.414	4245.690	4243.092	3464.089	2325.672	2549.136	1939.497	3436.851	3575.887	2695.900	2901.922	2880.777	1396.182	2075.291	1821.783	1764.758	2805.126	2999.461	3975.214	2188.904	1833.930	.	3894.916	1609.131	3907.625	3919.988	3818.514	3676.328	3270.600	3856.347	3818.492	3757.929	3790.537	3805.309	3882.094	3504.654	3569.837	3582.819	3599.754	3564.156	968.930	3598.840	3613.309	2944.781	947.139	1010.891	3497.196	1539.538	2399.430	3352.092	1723.384	1215.104	1458.828	1413.864	1029.246	1683.257	1415.427	2868.618	3555.599	3194.586	3785.688	3787.783	3742.816	2038.879	636.070	1266.895	3678.678	2250.433	284.709	365.907	3770.958	3595.430	2017.954	3371.609	3813.880	3816.459	2125.010	3824.995	3570.593	2466.197	4107.738	353.200	2298.282	3592.853	2142.580	4340.432	1265.168	4721.927	520.549	2216.341	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	115.857	290.887	.	484.718	230.830	91.860	117.753	.	.	26.426	674.678	820.719	771.440	1759.997	1534.676	1291.472	905.091	418.670	482.520	.	312.803	920.005	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	znsun1.ifh.de	DE	Europe
CA.CARLETON.N2	DK.NBI.N1	?r	1642.697	1839.107	3873.964	2641.803	3944.528	2162.529	3317.102	1938.421	2141.720	1751.663	.	.	.	4498.154	4660.675	4522.180	4068.806	3634.034	4471.463	4430.965	3072.502	4133.075	2909.431	3128.778	3445.504	2926.731	4889.977	4828.215	4830.600	4982.081	4933.121	4840.897	4648.432	4745.131	3248.687	.	4801.679	958.630	2456.535	4897.064	4808.459	4289.322	3624.967	4268.656	4245.380	4197.997	4228.548	4106.567	4330.802	3335.112	3976.102	3995.348	3849.708	2441.622	806.054	699.125	850.177	4003.679	1065.976	1065.232	3318.294	1418.484	3323.119	3836.277	2090.148	1388.313	1679.588	1492.386	1126.051	1702.656	2030.498	2737.357	4056.219	4031.862	4060.855	4085.447	3416.019	1981.015	690.196	1206.496	3892.646	2034.054	1949.850	2402.502	3977.808	3189.866	2105.787	1413.889	4247.308	4231.864	1960.424	3119.516	3594.138	3412.311	3002.816	341.196	1936.995	3812.166	3283.185	3699.129	1558.056	3979.981	402.878	3973.954	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	111.750	281.078	.	459.021	106.981	47.349	79.489	.	.	17.898	466.147	517.502	997.272	1447.867	858.825	441.704	594.092	251.328	279.777	.	240.081	637.078	.	.	441.905	254.825	335.559	357.212	282.831	372.481	472.024	593.086	585.090	565.112	920.818	691.384	1145.193	1383.572	1207.424	674.375	1073.438	297.437	318.061	428.386	542.798	312.527	382.056	595.205	301.337	369.616	250.806	491.212	85.986	58.788	116.084	155.554	168.987	109.064	140.672	163.972	180.247	258.420	332.881	638.762	.	.	.	netmon.physics.carleton.ca	CA	North_America	www.nbi.dk	DK	Europe
