#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CN.AC.N3	AF.MOD.GOV.AF	?B	175.938	127.932	81.796	87.229	74.510	184.280	13.847	11.800	126.933	167.700	.	.	.	105.245	112.726	128.688	63.713	.	.	.	593.280	.	49.975	235.793	211.643	137.634	77.582	54.515	91.863	62.780	92.044	161.878	139.052	36.882	174.146	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	www.mod.gov.af	AF	South_Asia
CN.AC.N3	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	190.069	77.767	74.991	112.185	99.844	159.965	522.578	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	www.multinet.af	AF	South_Asia
CN.AC.N3	AL.ALBANIAONLINE.NET.N1	?B	118.411	133.561	198.674	272.816	388.910	420.934	1482.011	702.730	399.150	645.160	.	.	.	305.434	940.045	1435.608	527.690	989.021	584.660	806.164	479.635	364.091	543.377	384.986	275.704	296.574	291.961	324.253	299.537	147.191	206.112	346.364	306.871	174.088	183.571	.	380.278	227.372	277.229	255.919	241.632	258.536	273.989	273.862	225.685	224.861	157.526	311.994	329.336	428.734	341.407	441.432	396.231	536.917	197.956	119.779	128.038	155.539	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	aol1.albaniaonline.net	NET	Balkans
CN.AC.N3	AM.SCI.N1	?B	.	262.956	287.627	401.590	481.199	253.614	326.687	261.586	341.472	203.649	.	.	.	1214.862	749.746	568.555	470.099	470.901	641.908	397.555	1387.621	972.924	369.496	406.105	294.882	591.551	307.914	408.963	585.879	164.935	239.130	412.503	733.709	739.846	550.132	.	786.030	1014.500	442.923	469.654	695.262	467.691	.	149.181	.	.	.	252.109	323.183	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	www.sci.am	AM	Central_Asia
CN.AC.N3	AU.AARNET.ADELAIDE.N1	?B	1522.000	1515.193	1508.671	1503.402	914.384	1445.904	1494.117	1504.829	1501.349	634.945	.	.	.	1502.781	1501.115	1509.350	899.207	1819.103	2415.885	1630.024	2102.929	2115.221	2809.372	1831.946	1628.204	1224.381	1652.620	1724.263	2053.387	438.928	539.928	1568.206	1561.481	1327.705	457.703	.	408.713	616.202	875.788	1090.383	1751.260	1755.341	1761.427	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.BRISBANE.NET	?B	1548.775	1543.026	1540.193	1535.595	990.071	1476.430	1526.690	1537.488	1533.966	693.026	.	.	.	1535.372	1533.559	1536.563	946.929	1734.469	2064.258	1702.288	1969.397	1978.533	1930.850	1877.913	1703.572	1287.197	1847.089	1797.098	1580.173	432.584	476.172	1865.434	1685.102	1714.928	559.385	.	403.943	652.035	1231.048	1572.092	1670.796	1673.506	1679.726	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.CANBERRA.NET	?B	1603.249	1599.805	1594.579	1590.180	948.575	1527.921	1579.215	1591.095	1590.704	761.943	.	.	.	1588.144	1587.744	1590.961	999.861	1818.407	2189.584	1790.933	1347.778	2116.718	2812.130	1785.451	1997.214	1209.060	1730.663	1612.094	2086.293	2047.265	667.551	1650.641	1262.980	1452.143	508.523	.	424.166	746.286	422.945	950.823	1752.432	1755.251	1762.299	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.HOBART.N2	?B	1513.547	1506.148	1507.165	1505.846	957.940	1439.026	1185.513	1497.496	1494.188	658.947	.	.	.	1495.480	1492.472	1495.675	905.887	1279.834	2248.198	1589.858	2004.850	2015.370	2514.003	1086.519	1417.012	1594.244	1436.496	2009.198	1969.829	1647.823	528.378	1211.797	1207.152	1810.443	482.492	.	474.487	616.252	943.164	912.371	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.PERTH.NET	?B	1411.925	1413.133	1041.898	1524.027	1217.036	1346.244	1386.428	1522.859	1193.952	826.528	.	.	.	2072.366	2031.872	2085.955	1346.717	2491.341	3159.175	2111.687	2113.852	2114.179	1486.660	2079.849	1624.506	1167.045	1617.479	1984.862	1781.692	427.222	525.103	1696.147	1575.412	1187.560	437.751	.	395.130	621.208	975.776	1001.873	1725.489	1734.474	1742.175	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	BA.UTIC.NET.N1	?B	711.327	731.336	805.196	999.349	932.164	655.190	321.313	354.087	374.758	358.222	.	.	.	350.255	390.158	379.817	315.640	335.596	362.380	460.679	316.648	391.107	283.940	395.152	469.280	419.368	389.227	257.004	283.225	175.798	227.431	367.630	767.535	642.745	257.396	.	1226.938	505.358	967.319	504.887	705.182	1314.611	172.964	276.387	371.075	475.315	600.786	1198.359	480.208	901.355	763.166	492.313	406.739	188.315	163.426	117.243	137.307	158.747	115.713	418.177	676.932	587.720	305.812	161.256	213.412	210.025	316.592	260.686	491.412	469.218	416.265	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	v-www.ihep.ac.cn	CN	East_Asia	linhost2.utic.net.ba	BA	Balkans
