#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
DE.DESY.N1	AF.MOD.GOV.AF	?B	303.497	198.918	119.996	123.827	111.478	241.081	16.811	14.423	159.079	260.439	.	.	.	165.963	176.093	215.776	90.193	.	.	.	876.967	.	67.403	70.354	117.027	130.486	86.796	84.076	98.645	154.787	462.839	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	www.mod.gov.af	AF	South_Asia
DE.DESY.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	384.715	398.264	293.499	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	www.multinet.af	AF	South_Asia
DE.DESY.N1	AL.ALBANIAONLINE.NET.N1	?B	907.615	1195.487	1641.579	4268.118	2255.566	3088.741	3284.258	3169.576	2746.867	829.374	.	.	.	4580.639	4949.110	5794.399	4714.940	6308.918	2990.889	6129.439	2284.872	2363.669	5112.428	1901.025	1529.371	1524.754	1672.354	1285.485	1523.881	1513.898	1305.799	1903.481	1307.800	651.252	859.078	.	1074.099	865.456	619.231	586.418	515.671	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	aol1.albaniaonline.net	NET	Balkans
DE.DESY.N1	AM.SCI.N1	?B	.	805.991	770.913	1065.509	1181.820	747.925	1130.472	823.859	950.086	580.014	.	.	.	3991.837	3001.966	2754.976	2023.220	1264.310	1661.939	2390.726	5397.152	3408.211	3592.843	3710.619	2034.535	3040.152	1960.706	2966.668	2366.815	1697.678	1137.700	1130.679	1528.542	1036.844	1743.502	.	2378.520	2779.566	2030.311	1185.628	2246.947	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	www.sci.am	AM	Central_Asia
DE.DESY.N1	AU.AARNET.ADELAIDE.N1	?B	1424.172	1428.359	1265.858	1415.026	1517.563	1403.964	1388.711	1108.771	1350.590	1466.791	.	.	.	1755.668	1762.946	1748.567	1765.075	1763.116	1761.661	1519.405	1760.111	1749.005	1749.088	1755.668	1285.666	1628.236	1502.938	1079.655	1041.791	762.755	1187.832	1426.684	708.335	315.745	960.927	.	1156.905	1607.582	1585.177	1273.507	1561.974	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.BRISBANE.NET	?B	1453.778	1461.012	1324.623	1373.156	1519.593	1435.692	1420.557	1054.941	1419.143	1344.446	.	.	.	1553.690	1559.625	1551.603	1562.305	1561.142	1561.276	1346.644	1558.532	1549.755	1552.084	1568.605	1531.012	1470.693	1518.058	912.199	821.359	771.946	1015.242	1470.340	795.068	298.045	831.427	.	1257.821	1460.982	1440.076	1414.616	1420.508	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.CANBERRA.NET	?B	1493.992	1144.269	1115.157	1391.522	1354.386	1471.987	1461.806	989.608	1346.263	1666.221	.	.	.	1662.143	1668.806	1655.945	1670.499	1669.362	1669.125	1397.500	1666.148	1656.213	1655.399	1661.395	1620.352	1547.265	1272.316	848.644	742.684	1063.198	1106.104	1357.692	802.755	335.877	668.160	.	1454.788	1525.701	1510.782	1489.152	1491.588	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.HOBART.N2	?B	1418.796	1422.690	1288.612	594.805	1487.363	1394.241	1379.635	1046.716	1172.667	1424.573	.	.	.	1646.046	1651.025	1631.762	1646.569	965.123	1639.933	1418.375	1642.058	1632.334	1632.432	812.793	1376.692	1527.109	1571.707	990.511	840.564	1083.771	930.056	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.PERTH.NET	?B	1615.348	1622.742	1203.117	1440.730	1343.175	1308.187	1294.774	1183.574	1391.227	1761.400	.	.	.	1932.357	1940.593	1921.898	1943.721	1940.100	1936.334	1699.440	1937.521	1924.406	1262.177	1902.923	1717.081	1776.329	1837.795	1206.343	850.683	827.113	1227.122	1750.324	900.238	370.995	1069.136	.	1341.302	1740.364	1721.265	1757.172	1695.404	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	BA.UTIC.NET.N1	?B	11801.411	11890.169	7004.320	10930.050	9945.789	4449.987	2419.327	2938.659	2720.793	2634.624	.	.	.	3003.502	2877.155	2293.655	3613.224	2184.142	3074.740	3513.250	2192.507	2776.670	2314.253	3194.725	3472.574	3096.134	2305.449	964.355	2224.246	2189.361	2607.126	2718.342	2400.233	1910.364	4636.534	.	3468.901	6317.441	8978.865	4436.912	7514.734	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.desy.de	DE	Europe	linhost2.utic.net.ba	BA	Balkans
