#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.SDSC.N1	CA.CARLETON.N1	?B	3595.458	3199.452	2311.646	5393.370	5402.560	5396.787	5417.418	5427.343	5409.964	5434.807	.	.	.	2710.469	5440.980	5324.621	5417.579	5587.221	5799.253	5797.674	5784.911	5684.659	5779.690	5763.396	5778.694	5789.351	5805.968	5793.775	4018.221	5849.690	2752.354	4070.767	3302.476	5484.797	5235.515	.	5654.655	5632.733	3917.039	5529.349	5352.048	3923.837	5332.646	5381.733	4884.640	5351.941	4554.576	4158.584	5379.827	4856.843	5269.069	2765.909	5496.522	5464.011	1465.183	5471.743	5460.861	5335.622	1332.352	1582.691	4386.711	4499.491	5184.315	5233.371	3536.223	2193.354	1644.001	1723.628	1631.997	1897.451	1923.349	4311.988	5168.471	5248.143	4911.699	4825.239	4765.381	4791.422	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	ftp.physics.carleton.ca	CA	North_America
EDU.SDSC.N1	CA.TRIUMF.N1	?M	15741.056	14334.948	10903.928	14721.474	15680.855	15644.598	5734.865	5974.247	5239.505	7347.843	.	.	.	5092.476	5402.242	4333.747	4805.763	4424.335	4483.930	3773.268	7351.148	14011.508	8654.063	15118.010	15268.776	9255.077	9199.222	9294.172	4697.684	8346.674	9027.497	9443.884	9445.371	9457.549	7163.559	.	9094.897	9098.418	9133.239	7270.607	7796.018	9132.743	8636.518	9151.256	9154.661	9147.133	8810.144	9034.509	9141.095	9131.976	9092.102	5060.626	9482.823	9456.851	9341.233	9484.552	9431.387	9098.880	7577.893	9118.111	9128.095	9062.555	8067.041	9107.911	9159.416	9157.080	9155.758	9152.959	5441.507	3144.219	9157.908	9158.937	8983.368	5341.158	5680.282	6863.377	6830.647	6857.555	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	sitka.triumf.ca	CA	North_America
EDU.SDSC.N1	CH.CERN.N1	?B	3004.538	1587.428	1480.911	2799.801	2567.937	2570.532	2488.445	1973.000	2470.873	2461.959	.	.	.	1764.923	2187.531	1717.329	1673.133	2917.203	1539.433	1735.948	1937.041	2803.390	2728.642	1622.058	2885.535	2875.382	2892.154	2675.708	2901.848	2899.640	1637.258	2904.153	2907.541	2906.886	2897.281	.	2864.815	2282.837	2857.774	1078.940	2839.874	2839.790	2830.572	2855.828	2856.811	2856.917	2669.637	2845.526	2877.446	2835.768	1494.358	1499.159	2007.609	2165.603	2967.183	2394.036	2077.867	707.446	2369.791	2153.201	2998.198	2953.907	2994.754	2970.822	2967.734	2967.168	2963.288	2957.268	2966.897	2964.934	2850.321	2807.690	2662.845	2661.352	2718.417	2963.097	2930.157	1133.928	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	ping.cern.ch	CH	Europe
EDU.SDSC.N1	DE.DESY.N1	?M	3027.192	3047.596	3002.178	2717.742	2973.938	2996.232	2992.299	2891.757	3014.442	2953.468	.	.	.	1836.311	2883.677	2884.203	2746.075	2617.889	2606.961	2879.868	2271.449	2885.466	2877.649	2873.257	2797.355	2807.314	2788.771	1309.542	1353.074	1471.628	1183.386	1143.890	1302.731	560.705	1542.439	.	2507.436	1554.697	2194.600	2764.342	1597.638	2259.534	2752.076	2738.150	2729.598	2731.526	2730.260	2776.958	2401.832	2643.152	2751.201	2586.037	2835.911	2477.813	2782.338	2824.309	2563.788	2791.135	2801.813	2799.551	2758.733	1931.511	2773.699	2772.317	2728.903	2029.512	2662.265	2761.581	1728.829	2761.145	2451.804	1006.447	1034.742	1349.590	1160.936	1470.254	1715.977	1598.638	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	ping.desy.de	DE	Europe
EDU.SDSC.N1	DE.IFH.N1	?r	1219.073	1742.482	2022.618	1494.775	852.300	970.760	1361.962	1373.340	2024.642	1863.579	.	.	.	1283.822	2673.666	2798.393	2643.785	2655.222	1203.177	1821.121	1940.756	2804.099	2798.531	2181.304	2697.856	1990.639	870.345	1340.839	1422.506	1454.117	1349.791	1283.636	2731.832	1534.770	2701.824	.	2691.971	1487.255	2704.225	2700.575	1801.697	2704.073	2694.341	2314.458	2667.452	2669.673	2668.211	2706.706	2715.872	2671.311	2688.642	2708.902	2761.134	2725.978	2710.441	2753.744	2750.139	2728.474	2731.098	2726.742	2686.966	1684.403	2706.130	2713.161	2664.553	2432.273	2681.844	2691.924	2077.547	2690.933	2689.191	1037.267	1164.133	1359.616	1522.066	1583.072	1698.524	2740.351	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	znsun1.ifh.de	DE	Europe
EDU.SDSC.N1	DK.NBI.N1	?r	3215.333	2788.377	3167.943	3229.256	3195.437	3161.313	3175.767	1458.833	2362.574	2696.699	.	.	.	1912.115	3125.601	2483.287	3133.317	3115.868	2999.593	2977.869	2893.884	3111.283	3106.926	2007.220	3048.913	1972.828	3135.428	3120.396	2956.558	3183.915	2696.088	3118.781	3052.815	2012.710	3152.529	.	3102.051	659.276	3124.828	3119.305	2373.567	2960.165	2879.918	2905.306	2931.591	2933.437	2929.470	2849.394	2925.247	2923.279	2940.904	2984.240	2996.615	2586.107	2975.202	2979.750	2969.971	2946.883	2955.220	2954.113	2905.653	2321.744	2958.264	2954.435	2966.530	2960.634	2960.525	2957.258	1984.096	2963.884	2746.850	2810.268	2277.185	2380.910	2867.610	2660.290	1632.696	2555.804	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	www.nbi.dk	DK	Europe
EDU.SDSC.N1	EDU.CORNELL.N2	?r	5904.853	4858.337	5909.764	5910.287	5879.188	5841.074	5895.761	4809.435	5892.719	5920.409	.	.	.	3690.725	4363.427	4359.689	5907.977	5977.878	5193.272	5921.452	5974.119	5942.826	5917.808	5137.788	4911.445	3558.965	4923.498	3638.647	5904.143	2202.550	4266.804	2793.704	5925.516	5912.736	5907.456	.	5789.572	4477.876	4848.468	5783.627	5778.953	5806.103	5736.217	5672.440	5583.091	5822.352	5819.155	5797.174	5829.302	5817.609	5829.699	5949.195	5971.938	5971.952	5913.863	5915.997	5903.108	5814.479	5885.536	5879.965	5884.617	5849.219	5846.741	5836.359	5060.356	5734.863	5833.123	5860.333	5851.418	5844.791	5862.323	5838.920	5572.659	4819.588	5889.870	5748.082	5695.034	5715.728	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	lns62.lns.cornell.edu	EDU	North_America
EDU.SDSC.N1	EDU.SDSC.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	multivac.sdsc.edu	EDU	North_America
EDU.SDSC.N1	EDU.SLAC.STANFORD.N1	?B	46290.435	46611.945	47013.961	47000.374	45424.243	44035.937	42645.794	43172.731	43722.367	47128.915	.	.	.	31296.077	46605.809	46725.182	45109.863	46600.542	44158.042	44704.009	44799.221	44360.550	45130.938	37627.845	45568.302	45036.796	42886.722	37495.932	46332.602	46989.105	38520.444	44297.446	47148.859	45642.015	46229.487	.	47051.588	47163.141	47214.541	47020.437	46548.632	46973.787	46877.158	46901.086	46896.107	46505.117	46799.714	46925.829	39213.417	37203.325	37035.360	46124.428	47014.243	46367.291	43325.401	31551.765	41260.748	43438.053	43312.947	43468.833	43484.581	39154.250	38964.722	37192.558	37250.904	37263.280	36179.730	32899.441	18133.554	36759.610	37252.881	37269.661	37286.937	37020.793	37280.744	37064.858	27285.161	37100.509	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	ping.slac.stanford.edu	EDU	North_America
EDU.SDSC.N1	EDU.STANFORD.N1	?r	46259.130	39422.204	46461.822	46715.220	46299.425	46654.929	46780.150	46810.969	43187.899	46276.318	.	.	.	31707.078	46881.045	47066.773	32784.104	44480.823	46979.633	47168.352	47102.708	36364.755	41868.339	34890.797	47182.900	46785.406	43865.912	39507.287	46977.739	47025.428	41254.629	45629.720	47091.818	46844.187	45557.187	.	39984.073	39410.403	39915.851	39951.222	39774.921	39332.480	22413.009	39939.513	33612.128	30260.256	23451.761	33241.053	37174.712	36428.962	36487.426	38560.022	38559.442	37173.706	36777.411	36827.811	36523.125	34944.250	35466.633	35814.475	36985.972	35841.152	36096.434	35315.166	36213.367	36901.444	36905.162	36975.229	22875.813	36781.267	36885.276	36750.041	36936.263	36786.230	36887.763	31580.127	30379.992	30703.448	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	multivac.sdsc.edu	EDU	North_America	argus.stanford.edu	EDU	North_America
