#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.SLAC.STANFORD.N3	AD.UDA.N1	?r	1411.010	1689.350	2569.223	1145.324	1268.943	1163.826	1531.095	1987.240	1922.797	1769.911	.	.	.	1838.458	2180.144	1916.204	1699.347	1304.959	893.613	1693.637	1860.285	1399.562	1439.068	1755.934	1291.274	1257.119	1880.902	2934.533	1678.885	1491.815	2306.053	1893.157	1887.724	1919.675	2717.424	.	2329.695	2946.797	2815.643	2862.565	2950.000	2919.585	2884.701	2396.075	2946.555	2850.020	2917.296	3062.961	2432.203	3056.517	2965.672	2981.778	3144.474	2283.633	3041.359	3162.435	3065.220	3142.195	3148.097	3124.185	3178.924	3173.430	3183.039	3182.625	3185.759	3130.385	3100.732	3043.094	2889.516	1928.475	3061.497	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.uda.ad	AD	Europe
EDU.SLAC.STANFORD.N3	AE.ADACH.N1	?r	572.621	690.802	1231.959	2001.269	1961.102	834.173	1932.025	1788.690	1355.803	991.972	.	.	.	1253.025	1734.708	485.569	1873.731	1902.196	1903.965	1874.389	1463.239	1762.242	1779.567	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.adach.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ADPOLICE.GOV.N1	?r	1748.553	709.689	1625.778	207.847	589.194	944.743	1277.801	1664.234	1801.044	1742.704	.	.	.	1750.860	1732.881	1737.774	1781.441	368.299	1797.151	1133.334	1251.221	1537.140	1312.053	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.adpolice.gov.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ESTAMER.AE	?r	468.312	651.910	865.811	869.601	1254.063	825.873	1183.422	1664.488	1256.179	1805.800	.	.	.	1384.619	797.991	1834.538	1916.780	1371.397	1200.507	729.167	1845.504	1732.465	1726.511	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.estamer.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.NRF.N1	?r	.	.	.	.	1247.575	1627.414	.	.	.	.	.	.	.	.	.	1782.083	1804.709	1769.600	1668.199	1739.924	1778.222	1377.373	.	.	1822.192	872.354	628.596	450.160	711.003	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.nrf.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ZU.AC.N2	?r	1665.198	1687.310	1713.406	208.480	846.795	1055.064	1740.944	1620.924	1388.293	1826.684	.	.	.	1776.852	1794.589	1803.089	1769.801	1768.341	1758.727	1641.430	1761.769	592.156	1306.625	1430.304	1818.594	887.379	576.854	513.052	828.332	504.947	1076.411	394.268	352.661	392.350	354.473	.	1245.696	1765.903	718.253	502.213	416.270	675.266	983.564	672.823	611.883	661.040	497.004	561.692	492.757	1586.442	1416.675	1239.505	1710.105	676.424	750.422	1673.208	1386.225	668.968	566.564	661.260	858.349	512.215	351.117	183.039	192.153	158.763	200.560	699.074	165.573	133.513	165.836	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	ns1.zu.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AF.MOD.GOV.AF	?B	197.884	156.944	100.466	110.528	87.256	225.219	15.671	13.640	158.264	235.081	.	.	.	145.120	140.798	194.474	76.952	.	.	.	732.185	.	60.643	179.907	197.151	157.745	87.594	85.031	114.598	137.411	72.516	255.659	219.524	48.709	44.353	.	70.848	70.161	55.823	61.474	84.513	98.447	101.088	113.257	163.075	241.172	503.855	761.573	442.883	502.422	517.549	304.214	187.749	759.615	258.809	234.448	338.344	759.163	357.452	760.031	121.251	91.862	103.691	123.274	154.421	166.637	165.862	294.888	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.mod.gov.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AF.MULTINET.N1	?r	439.018	180.534	299.637	172.394	334.542	511.764	420.399	428.812	206.088	453.395	.	.	.	367.190	350.929	698.876	106.624	118.536	160.169	104.607	123.418	141.836	135.644	164.305	157.336	234.081	175.419	117.142	253.243	182.950	92.380	171.453	167.210	217.476	203.315	.	236.241	88.019	82.433	108.156	95.612	118.789	139.870	168.359	182.521	303.058	237.578	286.678	305.774	585.782	326.608	373.279	322.640	187.119	151.616	88.331	71.939	71.657	79.217	72.216	67.784	113.840	74.358	100.846	347.868	372.196	467.574	409.946	284.900	335.635	251.669	419.720	394.714	329.142	298.953	230.559	208.109	157.353	207.588	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.multinet.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AF.NEDA.N1	?r	711.915	355.384	592.625	.	.	.	.	.	.	297.540	.	.	.	710.930	216.148	498.641	182.261	202.838	210.207	119.208	238.159	354.356	146.182	377.257	237.885	361.681	306.340	171.208	240.032	234.131	93.413	179.310	118.948	101.643	218.417	.	183.251	150.561	109.341	136.196	341.534	170.282	113.296	116.086	145.227	217.493	106.846	169.007	203.918	240.464	148.752	180.164	232.403	212.936	170.077	170.974	604.853	440.365	351.025	363.909	126.759	147.117	429.029	325.422	132.491	138.837	124.517	217.831	123.992	190.369	140.928	291.044	111.050	95.735	81.904	74.043	84.858	80.754	92.379	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	mail.neda.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AL.ALBANIAONLINE.NET.N1	?B	267.750	366.984	594.227	2567.233	999.685	884.442	2485.445	2487.120	1586.260	1155.473	.	.	.	1275.915	2374.678	1152.621	1547.953	2349.832	1032.054	1904.019	1181.806	1105.799	1163.322	783.551	642.858	613.647	567.003	553.605	558.627	501.415	471.680	686.524	517.135	265.450	342.867	.	405.486	285.862	322.840	251.964	281.675	247.783	395.182	283.601	354.773	420.389	265.556	483.673	739.367	915.175	714.105	1141.037	705.308	1283.368	792.897	1703.732	455.492	541.855	2376.777	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	aol1.albaniaonline.net	NET	Balkans
