#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.FNAL.N10	CA.CARLETON.N1	?B	10467.004	13796.842	18885.600	16331.448	9009.828	10278.770	9613.096	5758.133	13800.309	10452.068	.	.	.	4720.677	9958.129	8640.887	13391.662	8881.940	7077.377	10328.119	12483.526	12064.013	14986.932	21445.298	12794.844	11073.465	18156.301	16728.242	18799.598	20372.394	9777.808	8543.392	9582.394	12088.701	17940.339	.	9058.749	16036.362	9952.684	5943.490	7946.071	8975.024	6503.083	9001.368	8800.645	10449.625	9073.211	7981.032	10442.118	9807.157	5620.121	13396.338	14791.613	18071.637	7852.477	18315.963	18326.190	17790.662	4304.586	4549.963	14984.324	15789.087	15720.797	15987.889	12823.725	5743.942	5291.254	6513.833	4644.995	5936.758	6902.646	13874.311	16008.263	15642.637	15571.779	13449.606	6283.598	4975.489	3087.937	6108.159	15959.981	12117.296	9729.643	13749.681	15029.223	9790.599	7303.744	16385.569	17028.295	17035.579	10529.159	16688.016	15953.409	14542.384	18729.512	637.720	7425.999	15241.926	8758.334	16320.187	5668.590	16276.624	3212.199	16010.606	15354.492	15532.848	15676.272	6900.857	4674.405	19020.280	13326.011	7714.952	10786.064	5359.299	7995.777	23237.243	5099.755	148.306	50.044	32.199	6.001	114.479	.	161.269	58.262	1767.380	1339.883	2640.506	3372.412	434.523	2911.818	4381.404	4762.035	5706.476	6255.679	6248.623	4726.186	2291.625	4072.913	.	2736.014	5163.189	5489.438	2629.987	3471.877	3531.002	2439.126	2392.883	2227.579	2128.953	2579.320	9762.760	7791.073	4594.509	1527.649	3085.494	13448.785	3599.731	14164.333	13955.760	6685.168	4244.640	8095.758	4159.096	7564.562	481.118	240.641	562.584	770.703	1057.375	910.109	2083.425	94.285	80.266	215.176	368.264	306.710	269.766	476.603	638.289	920.855	1294.936	1266.820	1413.267	.	.	.	hepnrc.hep.net	NET	North_America	ftp.physics.carleton.ca	CA	North_America
GOV.FNAL.N10	CA.TRIUMF.N1	?M	8323.483	3531.912	4087.318	7468.817	6280.293	4099.612	2509.045	2846.321	1528.671	2534.757	.	.	.	2829.344	2681.022	2291.959	2317.365	2398.935	2327.295	2088.253	3584.225	8996.340	2812.102	5123.601	6024.826	4860.557	2720.662	3822.613	3645.566	3664.351	4842.138	2051.273	1737.251	3268.856	4710.726	.	4966.029	4638.497	5002.974	2081.524	2731.774	3099.250	2169.773	2744.370	2990.399	2638.836	2150.875	3718.875	3695.111	4131.457	2188.474	3746.046	6588.860	5907.256	3600.956	6579.582	6279.949	6470.167	6608.146	5502.016	6603.304	6598.101	6757.068	6758.692	6768.400	4023.149	5144.248	6539.647	5203.012	3222.227	6621.989	6760.619	6711.762	6043.321	4354.146	5548.095	2437.957	1686.179	3930.735	5553.686	5581.809	4612.868	4757.636	3174.994	6747.193	8720.198	4881.207	.	.	.	.	.	.	.	.	.	.	.	10339.851	.	6667.029	6435.905	854.078	2817.340	2958.209	3791.933	3588.762	3181.049	3782.607	4260.901	2217.513	2248.575	2281.051	1744.925	1988.506	2548.116	3615.527	4644.912	4376.952	5699.490	5404.688	5876.350	.	5938.417	5839.882	2838.785	2416.717	4125.274	774.639	1911.839	1550.195	2347.475	1773.299	2764.984	3531.403	4823.088	2576.898	2152.778	4204.735	.	4475.061	1353.945	2167.671	1548.020	3244.390	1579.451	3622.558	1748.278	1526.594	1966.681	2777.067	3051.994	2488.712	2350.912	1148.920	3003.348	8962.450	2433.464	6746.761	8321.377	2176.646	1094.508	1241.024	1284.131	2067.780	1331.711	499.389	720.977	1533.461	630.008	1318.236	1369.350	1994.633	2627.396	6663.438	2969.717	2567.130	1171.772	3446.082	2154.445	1783.038	1100.153	6921.499	4340.455	.	.	.	hepnrc.hep.net	NET	North_America	sitka.triumf.ca	CA	North_America
GOV.FNAL.N10	CA.TRIUMF.N2	?r	8382.437	5373.535	7058.772	5825.475	5297.085	4895.712	1744.510	2052.645	2632.444	2260.418	.	.	.	2729.319	2754.021	2213.252	2500.006	2490.906	2379.473	2204.001	3340.777	8960.843	3153.129	4560.067	5932.927	4764.409	4494.672	3793.912	3891.255	2764.395	3359.532	5677.541	5294.303	4023.501	4166.479	.	4335.914	5293.872	5457.445	2163.421	2884.961	4871.398	2408.472	3315.115	3321.989	4176.404	3045.042	4803.946	3658.137	4134.937	2296.994	3843.809	6583.672	6586.815	4567.805	6342.210	6277.256	6465.044	6608.542	6423.859	6606.873	6611.781	6758.161	6760.862	6773.873	3588.333	6620.209	5778.196	4575.566	3271.790	5218.310	6758.230	6714.030	6038.811	3752.309	5544.849	2171.450	1692.485	3795.974	5554.724	5584.454	5265.521	4756.940	4820.921	6786.554	9108.649	3441.525	9041.136	9139.347	9107.174	9132.638	9435.346	10033.050	10153.869	10106.372	6521.686	7040.975	8821.755	8510.858	10156.627	6618.562	4889.339	803.491	3257.958	3534.921	2250.116	1150.805	1389.742	1478.350	1054.639	1496.592	1636.073	1811.151	1749.238	1573.462	2192.525	2161.602	2698.682	2480.055	3311.986	3344.113	2667.962	.	3384.345	3206.991	4805.669	4019.853	3489.151	1215.720	2650.451	2162.022	2203.563	1681.984	3274.494	3876.469	2355.524	2103.136	2099.171	3160.733	.	4657.419	1386.260	1887.568	1387.228	3362.304	1596.950	3553.053	1929.240	1401.153	1695.389	2249.744	2596.216	2381.305	2175.369	1018.200	2821.566	8912.087	2142.465	2760.939	3969.072	1863.804	1109.274	1232.648	1220.075	2065.927	1266.948	520.757	741.599	1509.733	1446.359	1392.348	1357.846	2179.276	2772.547	3775.475	3541.082	3374.930	1179.809	4274.704	6871.559	1807.985	1093.370	6922.613	2962.572	4020.879	5777.276	1608.243	hepnrc.hep.net	NET	North_America	www.triumf.ca	CA	North_America
GOV.FNAL.N10	CH.CERN.N1	?B	3933.521	2552.126	4017.163	4031.211	2145.242	4532.225	1389.665	1417.742	2881.086	1702.200	.	.	.	2319.787	2605.528	2927.709	2661.767	3567.419	2220.937	2286.096	2119.457	4142.180	2221.336	3519.522	2659.261	3551.939	3459.422	3416.992	3000.334	2892.705	2205.459	2962.692	3636.725	2897.999	3383.620	.	3642.222	2926.237	3172.877	1071.324	1994.759	2675.889	1709.911	2299.737	2504.333	2791.114	2187.284	3244.768	2763.016	2517.613	1688.030	3444.289	4365.872	4329.607	2585.613	4048.433	2363.865	1015.820	4542.449	4479.480	4417.591	4407.041	4495.384	4474.203	4532.928	2372.070	2897.660	4543.144	4543.306	4540.654	4538.642	4540.916	4537.808	2424.719	4533.400	2777.397	1775.785	1370.354	3294.516	3612.158	4072.176	2735.364	4212.347	4210.213	2209.784	4206.419	2865.262	1893.684	1639.876	3433.260	2572.665	2519.237	3107.069	2593.112	2538.311	3066.860	2370.597	1523.929	3107.644	2216.534	2332.468	4175.641	475.970	1735.812	1873.684	2859.332	2672.775	2328.339	4182.251	2162.208	1084.154	1398.657	1714.574	1258.044	1484.077	3728.536	4008.337	1925.713	4167.701	3784.369	4158.459	3357.232	.	3763.862	2349.787	3773.412	2113.182	1024.759	2304.371	1383.882	1477.548	1277.469	1334.999	1572.660	2037.244	2065.196	2693.637	1898.125	2180.520	.	3594.152	2878.749	1531.699	3518.654	1724.896	569.053	1311.154	3067.385	2324.238	1703.624	3170.023	2628.416	1715.846	2352.136	976.691	3679.730	2418.064	1293.292	4492.610	3608.331	4044.305	945.854	1788.305	1366.189	3900.825	4001.939	4202.028	4103.956	1040.936	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	hepnrc.hep.net	NET	North_America	ping.cern.ch	CH	Europe
GOV.FNAL.N10	CH.CERN.N9	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	123.041	.	.	.	.	.	.	.	.	165.015	.	142.835	162.990	156.832	107.787	.	.	.	106.333	.	.	.	.	.	.	103.053	4538.715	.	.	166.291	.	4457.988	.	.	260.690	.	.	.	320.275	.	.	130.692	453.192	435.435	.	110.650	.	.	.	.	173.038	4236.871	.	.	.	.	413.359	.	.	.	126.679	.	.	148.403	.	.	4337.580	124.502	.	.	90.360	176.409	.	.	.	155.944	109.972	2144.499	1061.341	1484.485	1741.519	1346.196	1538.114	2877.096	4016.354	2151.041	4137.820	3760.454	4140.617	3362.440	.	3744.571	2242.477	3751.436	2177.917	1015.809	2080.785	1646.220	1446.479	1508.112	1262.294	1476.414	1791.195	1529.896	2368.815	1213.397	2405.804	.	3825.760	2609.345	3804.808	3256.946	2095.809	573.978	1759.401	2470.730	2373.888	2007.082	1832.574	2285.761	1714.051	1905.237	867.053	4269.830	2302.963	1289.412	4445.509	2704.810	2723.192	922.660	1718.398	2197.710	3292.515	1841.515	2438.997	2183.411	971.366	764.145	860.774	932.422	1484.899	1329.412	622.096	1577.676	2412.630	2296.496	2045.201	3270.249	487.079	2427.082	1154.828	1460.523	3581.449	2640.333	2929.863	hepnrc.hep.net	NET	North_America	www.cern.ch	CH	Europe
GOV.FNAL.N10	CL.UCHILE.N1	?r	1547.644	803.048	1621.765	656.701	302.101	335.912	374.364	393.560	477.757	446.407	.	.	.	236.811	272.171	329.768	496.611	773.933	562.958	743.511	1129.735	1707.058	1051.402	684.778	572.560	401.931	574.196	316.470	146.269	23.595	58.085	32.356	72.665	8.535	14.391	.	19.591	23.558	6.520	8.057	16.887	33.987	10.321	13.695	244.856	48.542	55.661	71.926	158.377	97.160	61.420	21.013	39.298	184.055	156.517	165.496	126.274	85.120	51.729	37.164	24.760	27.416	5.302	2.652	16.327	9.259	82.868	19.094	96.210	24.274	16.964	158.361	561.488	273.705	281.335	299.589	435.155	530.004	856.374	145.311	624.587	876.873	457.095	763.420	883.970	668.754	1336.051	418.039	1050.656	456.731	229.129	524.569	36.512	10.711	58.262	429.394	273.781	695.552	109.008	673.776	661.774	569.372	87.572	253.223	385.400	949.365	729.310	415.923	446.486	514.951	625.755	538.896	515.410	328.708	407.792	455.743	443.083	316.071	147.235	404.933	543.272	497.992	.	622.955	770.221	664.674	1065.180	292.232	807.042	744.363	393.795	383.487	300.688	116.946	137.096	150.415	133.043	176.901	265.480	.	127.504	154.684	98.157	100.022	96.433	90.641	87.645	114.446	.	125.692	223.784	71.878	.	.	.	96.117	62.079	67.159	68.570	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	hepnrc.hep.net	NET	North_America	www.dcc.uchile.cl	CL	Latin_America
GOV.FNAL.N10	CN.IHEP.AC.N3	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1738.255	.	94.609	100.901	84.756	41.909	202.612	60.625	77.169	58.963	56.302	128.515	.	153.153	102.716	75.371	49.703	47.933	50.276	45.522	38.434	14.318	18.543	27.042	29.196	29.379	35.395	42.934	43.121	30.592	27.455	33.336	21.597	14.612	9.716	19.036	16.098	16.067	18.095	31.983	36.394	63.035	23.192	30.713	39.583	58.188	62.625	75.322	88.590	30.700	35.344	5.763	5.439	6.152	8.930	6.647	5.491	5.197	4.964	8.912	hepnrc.hep.net	NET	North_America	www.ihep.ac.cn	CN	East_Asia
GOV.FNAL.N10	DE.DESY.N1	?M	4145.288	4255.824	4211.259	4213.192	3304.727	3387.588	1451.354	1812.162	2401.478	4079.140	.	.	.	3971.835	3226.182	2737.077	3438.722	3925.583	2475.232	2484.032	2424.408	1814.440	3967.616	3241.414	3179.201	4012.217	2129.563	1721.858	1864.814	1679.842	2122.555	1973.837	2017.573	756.364	1864.614	.	2733.950	2283.249	2677.171	1252.131	1508.105	1797.292	1538.552	1822.549	1996.097	2684.090	1755.936	2453.750	2299.409	2099.033	1471.321	2999.272	4013.260	3209.117	2501.605	3619.994	3164.229	4009.976	4028.470	3865.566	3559.759	2827.446	2495.445	2090.888	2357.911	1803.948	2930.570	3720.597	3985.262	3979.350	3976.192	1426.756	1571.738	1832.785	1616.025	1952.656	1489.787	1119.732	2152.012	1445.671	688.144	1473.784	1935.056	1438.855	1076.073	4037.788	2332.495	2873.048	3910.192	3113.618	1527.991	1826.361	3756.184	3926.321	3267.047	2652.309	2159.068	3712.506	3185.198	4105.801	2988.420	3650.388	471.288	2561.792	2267.622	3382.135	2209.757	4324.711	1623.747	2021.337	2232.170	1618.819	2066.218	1850.641	1858.477	4636.535	3140.257	4569.428	3462.716	2776.055	3715.071	998.987	.	3222.791	1039.795	2162.392	1806.187	2356.271	4445.647	4375.946	4355.703	4116.322	2583.501	4233.007	3885.915	4532.773	2342.203	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	hepnrc.hep.net	NET	North_America	ping.desy.de	DE	Europe
GOV.FNAL.N10	DE.GSI.N1	?r	1544.480	1264.428	1107.019	3316.767	3230.122	2891.283	1428.990	1289.846	1537.988	1876.720	.	.	.	1376.791	1986.394	2074.192	1342.156	2941.855	2140.137	2303.749	1886.035	2893.123	1885.916	2493.448	3280.800	4595.742	3516.412	1846.535	2477.157	4332.575	3096.397	3490.502	3510.291	3038.024	3597.573	.	3390.717	3063.676	3321.951	1559.083	1643.457	2994.244	1837.945	2511.254	1845.995	2080.723	1838.666	3213.401	2350.535	1922.055	1476.367	2016.289	3703.519	4271.037	2724.203	4582.128	4164.796	4567.896	4594.148	4382.256	3984.484	1874.889	3235.923	2368.040	1757.681	2172.189	2647.176	4594.682	4644.484	1972.245	4610.532	1459.504	1334.221	2079.262	2485.697	2440.715	1545.565	1236.792	2034.850	3242.912	1148.228	2257.846	4070.328	2256.696	2294.906	4607.481	2827.060	2053.667	1992.161	4573.563	1406.370	1727.089	741.983	1189.805	870.450	2733.692	3064.350	3918.402	4538.914	4423.214	3775.338	2936.413	518.650	2187.831	1868.123	2549.003	1111.879	2187.991	927.764	2408.655	1766.874	2107.225	1098.296	1618.175	1002.072	4775.671	3628.300	3098.945	1181.272	1381.740	3817.711	218.432	.	2547.401	705.223	939.976	1489.866	887.189	4653.764	1893.813	3026.557	3639.332	2769.972	993.074	778.446	668.896	691.653	3034.877	2818.496	.	4559.300	1311.351	2416.901	1965.461	1066.129	535.777	3337.590	1131.776	1554.326	2682.813	2646.731	2484.001	2130.043	1717.531	1348.882	1684.143	678.852	655.955	745.576	696.568	727.646	361.928	472.463	2076.537	1628.676	572.787	1062.697	797.132	2435.643	1156.879	1042.310	337.560	174.771	466.295	394.504	569.004	1308.391	1631.750	1160.274	1189.947	958.478	683.566	297.885	535.649	1925.104	1617.160	1401.559	hepnrc.hep.net	NET	North_America	www.gsi.de	DE	Europe
GOV.FNAL.N10	DE.IFH.N1	?r	4000.413	3221.371	2911.247	2240.768	2220.727	2206.682	1756.546	1246.715	1645.942	2060.134	.	.	.	1980.721	2741.202	3028.755	2603.539	2844.888	3512.611	2162.962	2474.849	1752.364	2758.735	2918.735	2795.478	2881.406	1150.865	1934.917	1790.050	1876.094	1789.593	1897.787	2720.307	1581.045	2953.253	.	3310.100	3224.060	3330.329	1323.106	1724.065	2224.365	1516.570	1687.172	2053.178	2251.683	1855.199	1975.440	2190.688	1957.586	1274.597	3503.135	3865.943	3786.643	2593.975	3608.319	3875.398	3872.382	3898.659	3731.210	3446.821	3012.715	3107.691	2639.041	2760.296	1906.417	3531.401	3018.085	3840.019	3834.688	3831.519	1599.159	1420.556	1818.982	2200.795	2044.773	1445.577	1130.462	2298.528	3424.297	3537.299	2254.579	3416.462	4173.921	4177.057	3739.952	4013.604	3679.968	4172.275	3216.372	3258.049	4181.482	3861.057	4030.271	3008.070	2404.496	3304.278	4458.144	4043.463	3549.380	2022.884	3948.902	497.583	2060.940	2205.523	4511.185	3548.490	3638.745	3014.562	2493.960	2431.062	1567.905	1881.125	1745.219	1797.531	4500.889	4494.225	4199.288	4396.309	2452.129	3645.726	3199.415	.	1550.102	1123.739	1564.933	2482.608	3831.842	4325.058	4281.940	3717.110	3786.783	1093.901	4179.508	4046.461	4461.794	3936.586	2230.122	1458.101	.	3251.375	1206.329	4185.991	4106.069	2238.542	501.372	3921.111	928.442	1692.540	2480.785	3315.597	3444.570	3538.137	1820.042	1071.465	867.901	931.230	597.371	694.045	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	hepnrc.hep.net	NET	North_America	znsun1.ifh.de	DE	Europe
