#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.ISRA.EDU.N2	AF.MOD.GOV.AF	?B	740.755	75.315	61.906	112.474	132.874	130.321	17.218	13.559	132.045	154.618	.	.	.	99.492	136.413	154.582	77.042	.	.	.	743.949	.	52.098	119.445	106.777	144.311	84.097	77.469	113.869	119.459	69.637	76.156	112.153	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.ISRA.EDU.N2	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	304.381	202.616	109.274	91.753	149.913	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.multinet.af	AF	South_Asia
PK.ISRA.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	517.327	461.812	616.634	2532.261	706.394	424.153	738.482	832.557	615.157	1121.982	.	.	.	1197.753	1063.615	872.574	1024.062	596.957	477.681	788.083	481.793	585.426	914.515	454.773	404.891	638.838	621.335	505.667	641.937	556.329	432.147	287.961	469.240	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.ISRA.EDU.N2	AM.SCI.N1	?B	.	1205.152	597.502	414.970	412.395	376.521	523.155	413.169	877.988	1068.326	.	.	.	467.115	984.098	594.817	558.103	450.095	484.003	757.704	1187.353	684.372	612.334	432.433	302.964	764.363	531.164	758.370	852.738	692.871	440.631	267.850	400.464	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.ISRA.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	1088.570	568.410	596.539	1108.243	413.783	359.798	466.762	475.466	361.496	196.445	.	.	.	400.062	241.983	345.566	291.373	330.954	371.068	389.754	688.179	437.177	316.295	268.487	165.385	481.923	340.043	279.137	557.937	454.047	258.956	118.413	172.677	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.BRISBANE.NET	?B	1099.403	500.297	774.586	893.098	541.734	434.767	345.866	647.282	363.132	212.469	.	.	.	475.645	225.285	370.096	289.635	321.248	328.689	486.171	551.375	462.395	322.767	253.849	169.612	420.846	370.142	287.868	428.186	371.287	267.190	123.504	180.884	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1002.788	505.201	694.540	1138.920	389.895	456.528	345.876	498.629	359.724	245.396	.	.	.	520.696	464.273	327.608	254.876	355.704	318.286	387.059	706.657	355.497	346.144	288.113	178.051	397.540	349.103	329.339	487.527	513.456	315.523	130.429	200.114	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.HOBART.N2	?B	984.682	593.384	900.489	1107.378	441.346	472.263	691.486	532.674	316.999	248.376	.	.	.	462.292	347.640	325.396	342.191	296.450	342.142	424.731	466.476	367.509	288.967	259.777	167.778	458.684	361.408	324.817	435.819	384.085	262.317	119.536	167.004	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.PERTH.NET	?B	1036.329	515.057	820.404	633.413	581.251	348.293	493.435	269.096	305.033	195.577	.	.	.	437.923	385.267	293.226	230.300	329.195	336.605	457.145	616.244	402.126	271.271	255.429	155.732	421.172	304.835	268.116	384.743	402.991	238.500	113.470	178.135	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	458.647	703.697	488.019	655.326	451.828	503.420	521.283	516.682	447.329	363.415	404.043	329.869	722.268	482.434	522.525	380.824	603.567	413.889	250.091	453.082	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.ISRA.EDU.N2	BD.DUET.AC.N1	?B	827.067	331.733	353.610	333.723	500.230	269.708	241.002	263.972	253.924	268.478	.	.	.	333.623	199.324	106.142	222.113	123.048	75.288	120.684	225.073	99.111	75.401	125.286	113.424	164.942	452.859	342.406	393.925	230.137	174.942	125.637	177.961	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.ISRA.EDU.N2	BJ.GOUV.N1	?B	276.060	263.731	237.360	272.853	208.350	191.321	265.019	225.765	201.635	375.812	.	.	.	245.641	324.093	324.220	224.795	270.689	208.358	190.273	342.047	222.156	184.633	183.950	132.845	202.943	202.959	114.828	339.769	324.760	435.220	182.192	282.716	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.ISRA.EDU.N2	BO.UMSS.EDU.N1	?M	1269.359	415.267	459.391	305.867	268.153	204.756	329.482	836.865	640.545	562.113	.	.	.	251.804	695.614	353.647	625.890	346.088	285.685	340.350	419.868	682.692	251.890	241.605	185.049	359.811	503.017	402.613	424.120	370.437	336.487	130.525	199.673	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.ISRA.EDU.N2	BR.UNESP.N1	?M	1477.290	741.126	568.978	471.756	590.265	484.499	426.428	1037.005	780.204	404.814	.	.	.	392.508	1147.930	.	.	.	.	.	.	.	.	.	.	.	524.680	361.002	433.602	407.788	260.951	155.410	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.ISRA.EDU.N2	BR.UNESP.N3	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	302.548	.	.	.	.	.	.	.	.	.	189.517	206.628	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.unesp.br	BR	Latin_America
PK.ISRA.EDU.N2	BY.MTEC.N1	?B	2726.312	507.536	1156.935	992.629	699.499	430.946	514.345	418.804	474.349	638.739	.	.	.	472.737	699.278	705.871	566.156	442.471	487.919	602.625	1325.580	1724.732	980.201	458.164	257.609	1092.195	743.153	759.065	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.ISRA.EDU.N2	CA.CARLETON.N1	?B	783.650	820.639	1594.703	1094.149	1497.091	436.166	622.744	1197.017	1214.947	1207.774	.	.	.	635.321	1026.105	682.514	1064.773	589.676	588.936	889.832	916.226	530.199	505.951	499.909	305.879	577.855	722.293	575.672	840.475	835.525	604.293	240.466	277.901	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.ISRA.EDU.N2	CA.TRIUMF.N1	?M	1803.451	973.151	607.627	822.860	699.301	669.650	325.072	208.122	357.952	424.191	.	.	.	293.520	466.943	521.746	588.380	397.995	343.667	319.764	444.920	385.722	374.834	401.888	228.665	466.321	401.822	443.761	254.168	737.845	374.555	213.434	341.188	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.ISRA.EDU.N2	CH.CERN.N1	?B	3919.012	2600.503	2559.541	1572.748	1781.548	638.804	1436.299	3628.311	3619.901	2372.751	.	.	.	719.925	1840.052	1241.761	1672.820	832.006	786.236	1059.495	2368.282	1314.499	1075.083	790.707	407.507	1176.959	984.894	1014.086	1552.957	1278.576	755.830	311.020	572.651	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
PK.ISRA.EDU.N2	CH.EPFL.N1	?B	3882.522	2313.725	2982.585	1225.628	635.571	540.914	1069.852	3514.891	1865.621	2338.913	.	.	.	659.449	1415.504	1591.481	1463.565	809.432	829.336	904.482	2253.771	1516.633	1139.153	696.362	391.153	1348.040	1071.874	905.176	752.070	1564.053	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.ISRA.EDU.N2	CM.CAMNET.N1	?B	.	.	239.117	311.425	255.702	347.511	568.596	178.021	129.366	159.836	.	.	.	215.731	220.530	192.843	179.949	184.350	151.544	195.589	194.198	187.272	183.146	179.087	110.274	124.107	144.686	231.857	118.986	678.529	309.265	230.736	285.267	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.isra.edu.pk	PK	South_Asia	www.camnet.cm	CM	Africa
