#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NCP.EDU.N3	AF.MOD.GOV.AF	?B	132.853	146.837	402.701	89.215	104.994	156.917	15.500	12.723	157.846	218.701	.	.	.	121.130	139.954	153.994	80.830	.	.	.	723.003	.	62.897	193.431	199.873	155.324	90.738	64.031	58.429	.	.	.	153.355	70.191	79.649	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NCP.EDU.N3	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	543.307	.	.	.	152.183	281.092	179.486	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.multinet.af	AF	South_Asia
PK.NCP.EDU.N3	AL.ALBANIAONLINE.NET.N1	?B	457.279	385.029	561.996	718.223	710.927	669.156	826.976	764.888	813.194	706.156	.	.	.	1257.211	3132.452	1200.470	1844.466	962.585	621.830	960.633	881.839	1062.876	2016.745	679.892	797.134	796.123	796.203	717.172	939.376	.	.	.	676.053	417.981	429.990	.	578.640	831.039	709.487	428.088	240.799	225.259	426.144	338.105	385.980	633.567	388.235	836.777	1067.718	981.069	632.735	474.604	818.599	1183.745	949.438	1077.731	417.061	822.368	1131.102	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NCP.EDU.N3	AM.SCI.N1	?B	.	294.279	194.230	305.773	330.228	322.046	435.042	359.137	738.268	873.713	.	.	.	513.761	423.029	574.171	462.722	300.412	486.653	500.012	269.943	494.722	1045.413	1218.913	729.391	755.522	724.781	943.379	2076.592	.	.	.	1425.653	211.991	365.785	.	328.713	315.199	238.943	203.510	194.997	200.842	.	.	.	.	.	352.521	284.603	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NCP.EDU.N3	AU.AARNET.ADELAIDE.N1	?B	1463.781	1066.592	425.701	577.489	668.674	276.857	766.377	972.888	430.020	245.077	.	.	.	1078.481	276.407	1231.277	1256.449	1183.650	1604.471	1621.614	525.445	1577.517	1691.128	1612.941	1090.878	901.238	1279.405	1174.289	2355.235	.	.	.	999.704	337.990	209.981	.	207.808	388.816	527.360	235.236	445.730	1068.833	290.473	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.BRISBANE.NET	?B	1295.415	1146.155	459.725	521.227	556.985	312.646	686.842	755.767	377.759	225.459	.	.	.	901.747	257.597	959.172	861.569	816.029	1408.387	1116.780	413.738	1387.627	1261.595	1312.588	865.963	963.962	1044.804	987.645	1223.920	.	.	.	865.881	220.101	197.284	.	214.615	304.076	426.029	234.260	426.748	910.792	295.692	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.CANBERRA.NET	?B	1941.215	1322.917	425.617	1867.699	587.772	323.495	979.004	955.935	407.736	236.394	.	.	.	1088.336	244.052	1314.858	1139.953	1093.029	1435.004	1313.660	482.172	1522.301	1299.203	1342.032	835.033	1052.755	1315.734	1257.983	1471.349	.	.	.	858.013	417.158	203.274	.	215.225	286.257	475.595	238.019	457.013	1399.362	284.629	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.HOBART.N2	?B	1814.288	1775.159	402.582	679.452	625.769	281.974	689.620	829.409	377.221	218.182	.	.	.	1073.324	272.664	1109.226	1244.585	864.524	1366.829	1295.449	436.017	1344.395	1395.479	1003.336	828.514	921.243	1004.983	1110.796	1640.339	.	.	.	908.061	225.242	382.706	.	200.795	293.153	442.501	206.853	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	AU.AARNET.PERTH.NET	?B	3008.885	1398.673	686.016	646.026	692.005	271.842	793.585	1032.370	414.108	227.189	.	.	.	746.005	243.825	1042.400	1805.427	1350.103	1794.176	1583.841	624.027	2424.203	1429.566	1982.816	1016.316	1185.854	1636.082	1815.950	1570.755	.	.	.	1044.268	255.290	215.990	.	191.118	257.863	515.932	239.817	410.212	914.478	275.409	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NCP.EDU.N3	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1028.574	747.135	451.387	786.118	1449.979	285.975	340.723	491.972	1013.302	1041.869	1462.035	906.521	1270.752	393.959	203.894	539.888	284.422	511.710	332.252	416.442	802.526	1340.522	549.252	477.002	372.877	368.450	534.518	423.958	296.127	438.317	516.993	540.591	518.396	666.172	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger-ncp.ncp.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
