#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
RU.NSK.N1	CA.CARLETON.N1	?B	995.996	946.638	1230.318	351.182	257.901	286.028	558.727	590.255	1170.736	1295.224	.	.	.	1752.045	2372.930	1642.475	1509.030	1564.828	1022.630	1461.599	439.473	731.939	579.064	1004.614	1570.976	570.509	422.738	210.213	603.323	714.698	656.433	1158.322	408.135	1011.095	724.886	.	849.388	120.278	234.989	131.926	131.973	194.293	193.165	323.889	221.353	160.206	161.683	188.166	183.676	171.886	258.751	253.543	229.925	308.857	315.775	348.486	206.611	229.513	139.277	184.573	236.980	187.246	143.908	133.377	119.266	130.991	147.379	136.337	141.230	135.643	149.729	219.829	248.672	280.425	213.152	195.063	160.993	114.381	134.772	166.554	167.199	169.885	178.209	197.338	271.199	333.926	265.612	297.976	611.435	284.969	168.378	217.931	329.413	400.995	458.326	201.131	555.559	1552.938	934.666	456.073	320.150	1956.749	63.911	.	67.054	102.782	140.764	290.985	306.672	.	230.118	118.783	179.864	221.979	223.376	268.128	241.080	81.477	17.060	19.066	7.597	175.491	.	192.217	62.289	16.671	24.665	19.829	126.444	75.159	257.405	181.211	372.266	246.220	266.365	97.510	100.026	86.896	21.469	.	22.084	22.960	22.786	29.159	55.831	42.065	48.515	34.401	34.753	32.279	20.878	7.456	6.779	6.464	6.691	7.365	7.407	6.936	6.545	6.998	6.667	6.585	9.423	9.174	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	ftp.physics.carleton.ca	CA	North_America
RU.NSK.N1	CA.TRIUMF.N1	?M	634.973	803.085	764.486	326.718	199.495	210.040	330.257	275.011	366.084	444.290	.	.	.	521.011	555.384	627.817	710.095	420.907	532.298	510.795	484.920	369.254	525.009	809.569	779.742	641.594	517.101	858.582	315.266	726.979	589.997	1202.108	565.610	642.703	648.020	.	650.638	164.643	987.898	631.265	136.001	151.555	157.048	287.403	193.212	153.424	146.375	156.581	146.842	137.060	219.089	207.816	180.859	267.320	293.917	301.139	174.991	194.867	130.702	164.969	208.334	160.874	126.236	116.964	107.852	116.432	134.715	116.201	125.060	123.485	131.656	195.342	218.749	218.077	167.380	154.859	137.120	99.114	132.177	153.108	153.338	160.153	169.784	197.473	267.317	291.705	260.370	.	.	.	.	.	.	.	.	.	.	.	1297.941	.	331.172	1505.772	58.367	.	74.508	114.202	143.168	452.256	409.798	.	199.825	201.513	166.072	218.188	196.335	260.350	241.509	277.586	273.939	174.945	345.645	312.080	.	249.568	295.052	316.272	240.759	316.924	153.068	459.075	181.292	151.436	307.763	209.460	203.432	81.473	87.832	91.584	19.863	.	20.447	20.768	20.694	26.943	54.282	38.522	48.777	31.134	35.883	32.590	21.604	7.880	7.205	6.699	6.702	7.496	7.530	7.218	6.767	7.211	6.909	6.875	10.232	11.445	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	sitka.triumf.ca	CA	North_America
RU.NSK.N1	CH.CERN.N1	?B	3257.251	2160.491	2023.283	778.015	440.694	553.378	1049.827	1103.358	2324.162	1989.140	.	.	.	4161.333	2642.406	2245.345	2367.004	2626.715	1974.067	2299.514	1959.287	2038.472	978.533	1195.124	4080.528	3561.775	2258.763	1439.846	2127.552	2233.147	1404.541	2369.043	704.741	847.434	813.642	.	1701.835	206.718	414.100	218.272	234.256	318.626	339.444	568.140	393.743	334.411	307.480	368.013	356.109	331.729	476.827	464.495	433.430	574.782	647.205	651.451	382.524	440.241	245.273	322.129	384.327	300.228	230.537	256.424	223.126	223.181	235.197	227.116	243.527	243.892	253.470	474.905	503.912	525.834	405.100	366.114	211.963	105.755	149.982	168.093	168.580	181.371	174.659	169.554	233.249	281.914	233.916	241.038	488.543	263.850	281.706	489.126	650.413	824.311	598.412	324.989	489.121	2317.662	3133.373	752.543	713.608	3484.749	98.212	.	88.405	140.588	221.770	615.290	627.778	.	242.435	268.518	268.991	364.380	298.508	398.835	488.004	457.991	381.677	258.233	372.353	549.111	.	543.585	736.698	676.995	533.697	566.159	555.164	941.500	655.117	309.937	580.615	356.710	378.315	124.827	129.927	139.018	25.981	.	28.328	30.711	28.613	42.111	75.905	59.371	61.143	44.206	45.165	42.421	24.707	7.662	7.219	6.784	7.138	8.062	7.914	7.317	6.777	7.678	6.982	7.478	20.350	13.096	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	ping.cern.ch	CH	Europe
RU.NSK.N1	CL.UCHILE.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1587.676	106.136	146.648	235.777	.	68.227	51.556	52.469	56.569	18.117	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	www.dcc.uchile.cl	CL	Latin_America
RU.NSK.N1	DE.DESY.N1	?M	3510.959	2353.381	1679.260	574.328	448.874	563.373	938.314	997.214	2123.245	2109.280	.	.	.	3076.398	4124.015	2411.423	2664.522	3088.297	3393.960	1638.720	1192.719	1005.139	2436.596	1400.876	3822.427	2018.344	2255.608	1569.806	1497.022	629.943	804.872	2330.842	661.858	735.639	866.278	.	1486.405	203.210	381.563	222.574	217.261	323.946	337.902	541.430	388.161	323.821	296.936	359.444	327.186	303.474	462.602	451.033	441.581	568.730	663.542	635.566	369.360	413.764	241.494	316.543	376.033	289.622	216.281	242.701	211.542	207.591	217.369	208.179	228.773	228.966	240.730	425.804	472.969	476.597	365.290	331.827	258.016	163.290	200.749	173.359	150.489	171.479	324.717	314.419	357.811	382.657	350.667	393.234	684.807	408.217	299.631	396.621	556.008	971.050	1038.267	879.283	1559.981	2591.966	3712.655	875.432	787.532	3452.210	106.256	.	93.708	144.336	225.932	636.200	469.536	.	308.648	280.187	294.627	504.686	739.157	906.172	559.944	587.857	542.464	358.254	1089.187	924.216	.	1874.781	953.801	785.017	673.415	906.671	737.563	1367.118	842.823	367.825	791.487	456.137	431.524	145.344	150.633	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	ping.desy.de	DE	Europe
RU.NSK.N1	DE.IFH.N1	?r	2537.925	2262.976	1612.365	559.750	445.671	525.291	842.919	966.443	1688.677	1631.212	.	.	.	2170.370	1921.265	2076.980	2038.983	2195.337	921.172	1779.520	2319.618	1856.709	1849.539	1588.132	3231.781	2382.719	1056.405	1865.185	1863.297	565.158	1059.683	1750.649	1261.866	1367.642	984.854	.	1333.891	188.739	375.044	207.322	205.487	299.162	325.060	543.176	370.784	313.638	287.060	332.979	309.870	300.963	470.647	430.202	431.726	540.557	627.725	603.807	346.174	401.738	241.416	304.260	369.101	271.597	214.811	238.204	207.093	202.129	213.672	205.288	218.476	223.243	237.097	412.547	452.550	469.910	370.858	337.106	263.315	164.057	212.236	173.003	165.858	177.891	340.076	340.270	444.459	451.618	354.407	405.187	726.189	406.596	314.967	439.047	575.048	1074.647	1090.879	857.614	1655.584	3008.160	2924.504	877.089	815.986	4006.687	107.543	.	94.012	150.744	239.134	684.155	687.554	.	297.669	279.317	292.171	471.294	678.439	1122.477	544.014	558.020	537.294	341.188	1041.577	1017.367	.	1319.139	883.192	781.516	654.342	915.017	683.010	1423.723	827.030	332.126	609.512	391.931	387.871	132.757	139.567	143.582	27.115	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	znsun1.ifh.de	DE	Europe
RU.NSK.N1	DK.NBI.N1	?r	2547.511	1634.642	1457.718	536.881	378.598	496.367	902.541	911.133	1398.724	1355.112	.	.	.	2938.619	3273.811	2554.371	2438.950	4304.596	4272.617	3083.700	2784.227	2370.737	1383.193	2155.630	2329.907	2171.244	1424.434	2309.539	2590.317	979.986	734.528	2107.153	1018.596	2161.028	1343.218	.	2094.637	220.162	391.360	194.772	192.327	350.542	353.982	713.801	449.040	401.450	378.191	366.834	365.787	349.258	564.505	546.673	512.681	741.288	877.233	880.648	504.636	555.623	308.961	375.001	464.796	353.477	267.114	289.079	252.290	255.603	266.918	258.063	282.369	288.099	300.547	594.580	624.128	648.782	506.898	461.683	279.504	209.781	299.032	334.870	343.678	364.254	303.868	371.573	597.407	816.313	709.860	817.662	1989.032	747.360	562.366	711.852	982.379	1333.302	1397.830	757.926	2242.017	3896.921	3606.651	1216.894	1091.535	4510.631	138.330	.	109.952	171.485	239.025	394.492	316.898	.	290.981	293.705	311.005	461.915	345.959	347.938	633.856	655.391	495.793	291.163	431.719	436.624	.	270.395	316.952	341.538	257.865	322.810	320.112	503.431	468.197	277.811	666.100	437.858	462.984	126.828	130.420	134.355	23.870	.	24.839	26.140	25.395	36.720	69.900	55.912	62.035	43.265	42.438	40.184	25.463	8.300	7.591	7.274	7.704	8.824	8.728	7.852	7.288	8.264	7.237	7.493	11.075	11.722	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	www.nbi.dk	DK	Europe
RU.NSK.N1	EDU.CORNELL.N2	?r	1634.787	2027.119	1472.066	405.178	271.032	289.823	564.986	620.352	1308.508	1566.511	.	.	.	1520.453	1477.846	1078.457	1406.702	1323.726	1168.151	1783.314	502.329	520.094	697.358	973.014	1432.219	531.956	415.857	216.091	611.056	691.642	723.564	979.167	671.769	1189.444	686.960	.	1189.068	134.060	252.981	145.558	136.266	194.930	198.325	364.348	238.955	185.341	183.839	216.333	192.766	182.602	275.990	265.155	247.017	328.483	379.553	393.361	229.103	254.517	167.499	217.090	252.747	195.320	148.205	168.974	147.662	145.697	151.638	144.513	157.389	163.473	163.716	269.916	276.896	286.752	232.216	209.711	178.415	119.278	149.934	171.877	175.697	183.610	209.957	257.342	321.079	387.150	320.420	333.012	776.165	365.069	213.778	272.876	387.980	547.843	532.255	648.710	820.427	1982.963	1566.724	453.406	373.675	1472.543	65.580	.	67.212	101.771	139.684	483.834	435.787	.	234.543	118.508	180.662	269.567	.	.	2480.944	.	366.154	157.918	127.056	166.898	.	280.823	212.316	194.243	174.412	252.757	333.154	457.789	434.587	240.333	490.048	291.765	259.996	105.071	104.777	101.888	22.116	.	21.706	23.332	22.801	30.312	58.362	46.017	55.477	36.792	40.163	36.762	22.028	7.823	7.339	6.853	7.125	7.557	7.790	6.684	6.810	7.305	6.988	7.036	9.817	11.097	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	lns62.lns.cornell.edu	EDU	North_America
RU.NSK.N1	EDU.SDSC.N1	?M	2001.433	1262.460	1004.836	346.984	188.258	220.684	437.512	444.959	1048.835	1084.940	.	.	.	949.788	795.045	1267.315	1163.810	1471.069	1887.045	1185.459	1403.810	559.338	833.031	1392.085	1061.505	1643.645	553.487	575.075	888.337	294.272	544.867	1106.431	397.786	1014.322	663.248	.	720.549	152.771	521.860	330.145	360.219	141.723	146.874	253.560	176.868	141.191	131.799	147.344	141.791	130.187	197.572	204.994	192.086	243.846	282.554	284.387	171.606	190.910	124.897	160.446	200.019	150.446	115.423	129.353	111.314	114.233	117.806	113.939	123.300	124.248	128.263	197.661	207.038	227.344	165.059	151.626	134.361	98.566	130.150	148.057	147.859	160.291	175.318	222.593	275.741	317.241	270.559	292.711	704.976	307.947	177.303	234.983	339.246	461.726	437.437	602.187	786.063	2036.308	1414.375	400.636	323.612	1341.102	56.059	.	63.918	94.319	120.885	296.412	354.630	.	203.169	107.547	159.422	206.252	187.644	200.255	265.701	268.970	321.116	132.174	110.846	148.251	.	247.947	179.606	161.289	148.946	207.973	258.030	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	multivac.sdsc.edu	EDU	North_America
RU.NSK.N1	EDU.SLAC.STANFORD.N1	?B	280.083	355.206	180.835	265.006	167.683	196.742	425.898	465.426	963.739	1304.328	.	.	.	1751.032	1489.262	963.894	1240.286	1097.338	1170.844	743.573	846.389	734.612	386.914	608.701	528.652	1286.188	618.359	483.157	1009.833	261.686	347.612	330.205	251.869	405.909	314.458	.	342.969	97.185	158.190	98.733	95.385	152.505	161.084	278.952	186.631	147.238	139.036	163.843	150.332	143.227	214.430	211.943	200.211	265.224	306.880	298.257	175.134	197.873	133.460	168.852	194.319	153.300	119.021	132.857	113.110	115.623	121.720	113.429	126.149	130.441	134.763	202.413	209.890	199.191	168.773	155.752	133.848	91.864	112.501	144.527	126.471	160.617	188.284	227.241	286.260	357.755	282.257	251.918	744.033	311.382	181.441	224.748	297.530	446.625	431.874	396.586	469.857	2134.324	1037.375	854.654	1232.587	1363.923	66.269	.	583.412	1199.355	586.962	350.508	235.970	.	1315.436	508.863	395.491	1390.748	656.849	1288.149	1297.744	1335.292	1321.329	689.604	820.752	713.965	.	1314.716	1324.378	842.692	744.580	853.446	1390.981	1052.271	1152.530	495.372	1446.950	1438.000	872.209	210.859	165.691	158.632	241.877	.	315.600	185.301	138.078	159.120	194.341	82.577	156.044	177.331	243.448	375.219	237.228	215.193	187.801	46.629	126.532	124.827	179.224	299.868	486.970	430.719	246.634	394.573	68.165	192.119	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	rainbow.inp.nsk.su	SU	Russia	ping.slac.stanford.edu	EDU	North_America
