#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
ZA.TENET.AC.N1	BF.UNIV-OUAGA.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	37.562	27.723	39.965	51.515	62.972	57.082	71.009	118.107	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	www.univ-ouaga.bf	BF	Africa
ZA.TENET.AC.N1	BI.CBINET.N1	?r	45.623	.	.	.	.	.	.	594.376	118.880	.	.	.	.	135.649	121.953	74.074	103.815	124.495	143.319	134.998	156.425	107.068	84.246	99.254	104.615	113.217	103.706	105.594	73.013	82.341	81.473	83.359	90.791	112.788	68.442	.	42.608	33.391	60.568	39.522	40.740	69.755	52.451	48.474	51.570	44.900	41.450	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	51.069	44.887	.	.	24.969	11.350	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	cbinet.bi	BI	Africa
ZA.TENET.AC.N1	BJ.GOUV.N1	?B	196.135	222.013	201.901	257.310	163.886	190.836	209.653	182.759	170.466	282.100	.	.	.	154.336	196.331	250.304	175.145	190.098	145.470	125.207	328.028	142.856	116.316	164.584	122.640	134.940	136.114	89.745	193.171	187.554	315.944	353.531	453.617	333.169	288.677	.	133.631	77.477	94.622	79.601	91.722	211.310	114.312	151.139	135.197	119.112	64.968	133.414	102.914	123.497	96.864	60.518	58.362	59.440	88.219	94.845	110.190	117.217	133.052	140.258	159.759	162.320	134.670	144.067	153.485	19.488	.	15.700	23.862	46.268	69.700	43.761	75.026	28.378	57.324	60.224	68.768	59.134	43.658	35.882	37.871	34.792	26.800	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	waib.gouv.bj	BJ	Africa
ZA.TENET.AC.N1	BJ.ORG.UAC.REFER.N1	?r	276.562	281.336	311.369	382.755	266.848	337.958	244.452	244.377	291.793	301.766	.	.	.	155.574	197.199	162.616	154.236	165.718	113.323	81.223	100.508	73.205	74.887	159.691	62.787	52.735	65.447	84.352	132.380	124.871	178.331	200.175	246.367	247.517	227.548	.	328.891	.	40.459	39.594	71.289	120.829	31.546	102.297	64.203	63.142	77.358	22.503	51.972	88.535	128.955	46.917	46.361	44.143	58.415	96.392	84.708	72.218	72.803	97.211	144.782	94.794	75.450	97.669	89.717	20.900	.	57.027	42.080	33.236	54.948	42.553	55.368	21.903	49.181	54.242	50.913	54.006	38.959	35.038	34.958	31.743	35.436	46.650	75.803	101.122	.	.	65.159	43.162	39.876	47.544	67.400	66.767	94.432	98.940	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	www.uac.bj.refer.org	ORG	Africa
ZA.TENET.AC.N1	BR.UNESP.N3	?r	334.377	559.756	1143.175	581.426	635.722	261.690	656.774	895.042	823.901	745.577	.	.	.	186.784	254.224	287.875	308.881	251.462	246.081	277.647	391.256	232.220	289.029	351.696	314.797	389.217	292.198	419.576	253.068	334.965	364.236	283.270	360.563	337.747	416.528	.	281.995	169.982	346.731	133.022	98.526	212.474	179.942	585.482	430.326	101.067	327.511	282.925	253.056	238.645	291.488	322.267	303.169	226.406	232.301	259.554	196.585	155.814	199.140	252.663	364.287	499.686	272.837	208.901	232.432	44.850	.	57.417	38.134	41.379	57.240	43.095	79.286	30.347	59.248	62.705	82.308	77.785	68.087	45.030	45.281	34.181	37.676	33.417	39.910	253.902	.	.	283.655	184.960	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	www.unesp.br	BR	Latin_America
ZA.TENET.AC.N1	CA.CARLETON.N1	?B	681.710	683.567	891.487	950.404	836.149	305.795	909.492	1463.726	1586.372	859.264	.	.	.	231.092	603.243	478.261	466.005	421.017	485.480	813.777	432.939	404.280	417.374	523.081	430.721	585.063	449.893	635.825	307.829	543.722	685.909	506.474	542.726	661.853	590.864	.	420.603	203.635	485.289	190.263	370.701	639.927	405.302	696.737	941.559	563.100	470.650	402.685	365.162	374.358	458.621	500.718	626.019	465.585	438.799	729.584	961.689	324.258	339.852	327.679	611.088	524.971	435.853	234.337	574.809	27.204	.	35.799	21.316	19.396	21.690	25.357	22.279	20.329	24.133	43.971	45.324	45.098	44.832	48.611	51.172	50.584	41.605	90.265	44.391	411.110	.	.	323.357	171.906	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	ftp.physics.carleton.ca	CA	North_America
ZA.TENET.AC.N1	CA.TRIUMF.N1	?M	542.192	465.855	492.867	707.414	636.325	279.653	415.898	321.251	378.460	626.110	.	.	.	177.707	297.661	248.413	296.950	254.956	304.855	278.942	344.861	373.585	332.061	417.375	475.822	524.219	397.699	472.087	265.303	460.476	424.744	594.677	475.597	1115.372	571.668	.	381.009	182.524	637.585	165.242	158.600	570.311	379.944	529.232	552.219	600.783	414.159	425.867	321.930	339.278	404.674	418.403	468.590	416.685	602.462	643.665	1036.687	324.442	495.894	434.656	514.126	683.300	391.302	365.090	524.610	46.147	.	81.005	44.280	45.721	75.989	57.339	79.751	28.189	59.380	60.824	84.557	55.763	51.360	44.257	51.595	32.185	26.361	132.972	47.200	315.741	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	sitka.triumf.ca	CA	North_America
ZA.TENET.AC.N1	CH.CERN.N1	?B	1309.452	1233.122	1975.925	1625.901	1917.415	414.441	2249.868	2183.087	2241.594	2249.132	.	.	.	314.940	760.628	619.478	607.864	561.437	637.327	752.940	805.643	600.764	446.356	670.343	833.326	658.348	599.073	1459.812	408.415	785.101	586.019	565.144	676.114	1052.122	576.984	.	403.406	207.697	524.359	179.740	157.723	625.319	408.381	644.412	591.977	493.666	450.586	436.284	378.447	414.487	501.756	491.570	572.217	481.479	630.906	854.031	1026.274	385.294	514.759	660.242	643.806	598.364	486.757	234.760	572.047	24.946	.	34.288	27.912	31.499	27.971	22.383	20.925	17.307	21.102	32.465	30.958	38.059	44.459	47.974	49.785	40.095	46.594	92.776	38.770	395.824	.	.	227.705	155.568	651.020	963.120	1468.908	329.208	351.520	57.728	47.752	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	ping.cern.ch	CH	Europe
ZA.TENET.AC.N1	CM.CAMNET.N1	?B	.	.	342.858	197.148	239.542	728.928	565.990	170.874	120.600	86.640	.	.	.	134.797	169.060	136.689	138.389	132.961	124.228	168.209	156.581	143.874	128.528	136.815	122.129	96.246	111.512	297.866	296.259	476.765	366.151	685.456	471.301	826.520	611.627	.	391.382	130.744	125.935	104.454	102.457	159.197	136.701	152.889	189.662	164.763	163.631	179.514	166.658	196.863	243.199	226.523	251.152	213.789	223.298	197.604	215.170	151.695	152.363	188.144	501.824	681.756	367.962	324.114	440.994	37.628	.	39.999	44.129	48.655	103.953	47.887	86.534	25.818	71.417	72.248	94.898	51.428	42.406	29.346	33.631	33.868	18.979	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	www.camnet.cm	CM	Africa
ZA.TENET.AC.N1	CN.IHEP.AC.N2	?B	591.033	541.960	1323.488	1007.417	927.460	931.677	980.411	781.436	1328.388	1336.406	.	.	.	212.542	472.811	373.958	466.688	.	506.700	534.925	470.658	389.960	283.315	375.940	331.843	503.687	331.524	381.170	317.306	497.990	425.182	369.206	445.379	599.454	263.072	.	323.177	149.951	368.439	131.800	124.963	394.581	322.342	437.105	415.942	424.195	289.360	303.507	238.880	244.561	246.909	279.272	394.197	340.231	251.255	181.543	239.321	160.723	271.580	463.079	380.633	589.758	285.222	156.470	346.197	35.800	.	49.984	37.709	41.631	47.354	35.409	64.391	25.574	52.012	46.605	63.980	63.163	62.787	44.806	43.858	38.806	48.405	74.272	35.900	400.186	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	ihep.ac.cn	CN	East_Asia
