#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BF.UNIV-OUAGA.N1	AF.MOD.GOV.AF	?B	53.490	16.640	8.406	6.254	11.931	11.446	12.287	126.458	31.490	29.747	24.017	13.488	22.500	10.809	.	99.192	.	.	.	.	.	.	15.316	20.872	22.220	16.633	12.963	30.648	24.942	11.831	15.633	7.713	.	17.852	.	.	9.400	16.355	10.211	7.859	10.065	16.733	12.638	10.685	8.805	23.640	7.112	9.012	4.719	8.820	14.154	9.995	9.234	9.040	11.754	14.682	8.999	11.601	11.091	16.877	www.univ-ouaga.bf	BF	Africa	www.mod.gov.af	AF	South_Asia
BF.UNIV-OUAGA.N1	AL.ALBANIAONLINE.NET.N1	?B	128.810	79.697	69.230	119.138	62.984	65.828	75.434	153.726	60.937	75.838	61.561	42.429	50.246	24.883	.	88.836	53.170	57.112	60.033	57.265	61.427	146.799	61.867	49.110	76.666	85.416	66.375	94.006	98.049	61.581	57.900	37.136	.	57.189	.	.	68.844	79.818	104.107	58.158	80.260	77.219	111.896	105.821	69.802	85.792	52.710	816.594	69.091	105.458	172.578	57.233	57.204	57.896	61.283	59.196	110.524	91.414	45.853	53.116	www.univ-ouaga.bf	BF	Africa	aol1.albaniaonline.net	NET	Balkans
BF.UNIV-OUAGA.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	66.874	.	99.890	58.551	96.646	97.805	58.340	53.105	35.595	.	54.702	.	.	64.456	76.088	97.464	54.108	91.415	72.729	87.172	100.242	65.124	75.336	49.108	54.690	68.256	93.465	126.762	55.786	53.804	47.247	52.119	49.585	93.986	76.492	38.474	46.542	www.univ-ouaga.bf	BF	Africa	www.sci.am	AM	Central_Asia
BF.UNIV-OUAGA.N1	AU.AARNET.ADELAIDE.N1	?B	102.367	72.745	59.869	120.880	40.806	45.111	59.417	165.654	45.703	56.723	40.927	31.984	31.489	27.608	.	879.723	.	.	.	.	.	.	52.099	32.948	26.673	48.994	40.965	61.943	66.741	43.662	39.471	27.113	.	34.210	.	.	48.182	47.704	61.916	35.209	53.956	47.940	100.198	88.794	44.864	60.228	37.955	879.798	44.122	62.870	87.251	42.196	39.969	39.287	37.715	42.971	70.911	61.783	33.133	39.085	www.univ-ouaga.bf	BF	Africa	adl-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.BRISBANE.NET	?B	103.186	80.373	63.852	125.595	46.719	43.999	52.816	244.744	45.458	49.651	41.819	30.196	36.862	28.115	.	890.422	.	.	.	.	.	.	51.930	33.013	46.850	47.441	43.321	66.846	69.432	45.526	39.887	28.014	.	38.261	.	.	48.450	55.837	62.567	36.109	57.769	49.240	83.259	77.065	50.818	54.981	32.117	892.664	49.370	74.507	94.526	41.882	40.882	43.423	39.863	40.272	69.135	57.584	33.371	37.061	www.univ-ouaga.bf	BF	Africa	bne-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.CANBERRA.NET	?B	101.332	66.684	63.748	121.569	45.094	50.231	59.624	179.835	47.336	53.200	44.571	31.411	37.790	29.568	.	919.337	.	.	.	.	.	.	58.440	35.278	49.535	48.226	35.458	54.388	69.550	43.361	39.431	26.455	.	34.137	.	.	49.352	54.443	58.375	40.463	47.724	56.410	104.701	85.661	47.480	63.589	33.099	920.759	46.327	62.026	94.927	39.612	43.959	40.136	42.724	41.036	72.307	62.070	31.921	34.651	www.univ-ouaga.bf	BF	Africa	cbr-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.HOBART.N2	?B	93.937	73.427	62.830	128.391	42.528	43.038	56.396	263.855	46.015	47.453	39.786	30.482	35.013	29.256	.	871.812	.	.	.	.	.	.	52.070	30.805	28.043	47.447	43.059	57.632	76.560	39.179	40.649	27.520	.	34.030	.	.	44.238	54.408	58.867	36.655	59.369	55.385	86.235	79.710	47.272	55.018	33.584	878.045	45.849	62.913	98.760	38.943	40.499	36.080	40.039	41.028	64.175	59.191	32.107	40.568	www.univ-ouaga.bf	BF	Africa	hba-a-pm1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.PERTH.NET	?B	91.873	69.965	55.910	99.134	40.092	43.904	50.741	225.654	45.061	51.786	41.019	30.901	35.411	25.314	.	821.783	.	.	.	.	.	.	51.616	29.810	25.142	51.767	41.704	52.917	58.598	39.629	38.234	24.770	.	36.284	.	.	43.053	44.827	58.115	38.465	60.981	47.630	77.415	84.898	44.661	58.359	31.835	835.619	46.373	67.060	85.000	41.302	39.683	37.080	38.782	39.511	59.638	53.800	29.745	35.166	www.univ-ouaga.bf	BF	Africa	per-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	BA.UTIC.NET.N1	?B	192.953	108.732	100.673	245.340	65.806	64.248	85.521	409.860	71.254	85.214	66.729	44.651	46.172	36.168	.	85.081	53.141	59.366	57.841	58.915	60.019	208.872	68.325	51.920	51.334	77.532	63.129	91.678	113.859	64.615	55.029	41.638	.	56.468	.	.	72.289	83.404	111.672	57.636	86.141	79.588	179.937	121.592	72.083	88.994	54.855	77.821	67.020	96.526	147.598	55.209	63.204	59.786	56.531	65.767	111.656	92.775	45.456	61.182	www.univ-ouaga.bf	BF	Africa	linhost2.utic.net.ba	BA	Balkans
BF.UNIV-OUAGA.N1	BD.DUET.AC.N1	?B	88.676	89.255	52.206	122.905	40.955	44.501	63.692	236.764	50.260	55.851	38.642	32.862	31.739	27.280	.	880.698	.	.	.	.	.	.	63.513	34.020	27.516	49.311	36.629	50.364	64.521	43.052	46.434	28.529	.	33.646	.	.	47.808	51.127	52.540	38.168	48.254	47.269	59.636	73.078	44.656	57.607	36.937	897.691	94.930	42.738	.	35.551	38.942	36.679	37.650	41.429	68.473	64.536	35.654	34.547	www.univ-ouaga.bf	BF	Africa	www.duet.ac.bd	BD	South_Asia
BF.UNIV-OUAGA.N1	BJ.GOUV.N1	?B	138.376	83.588	58.081	102.410	49.175	47.129	53.859	195.071	57.541	59.839	49.576	36.795	39.604	30.470	.	62.935	42.998	115.616	46.207	45.501	48.512	125.112	52.806	37.849	44.793	62.734	49.745	75.282	82.462	50.914	43.289	31.415	.	42.579	.	.	55.283	56.659	70.540	43.385	57.255	53.791	118.394	112.069	53.501	77.924	42.399	50.989	54.422	56.477	92.873	42.898	43.999	42.242	44.780	45.241	76.916	69.243	35.958	51.985	www.univ-ouaga.bf	BF	Africa	waib.gouv.bj	BJ	Africa
BF.UNIV-OUAGA.N1	BO.UMSS.EDU.N1	?M	117.617	75.745	63.738	166.302	45.253	48.330	59.484	593.020	47.275	57.141	41.370	35.633	34.791	24.215	.	921.487	.	.	.	.	.	.	44.300	32.462	27.444	50.778	42.930	59.222	67.799	47.860	39.921	27.679	.	35.428	.	.	49.522	60.707	65.451	41.165	51.495	50.159	96.272	79.727	46.902	64.276	37.877	938.590	46.986	62.771	88.143	40.833	40.247	38.768	40.300	40.700	78.532	58.008	31.987	37.646	www.univ-ouaga.bf	BF	Africa	www.umss.edu.bo	BO	Latin_America
BF.UNIV-OUAGA.N1	BR.UNESP.N1	?M	145.499	82.965	72.759	171.388	51.562	56.910	64.337	668.297	53.217	55.876	50.921	37.656	39.396	31.195	.	1158.641	.	.	.	.	.	.	52.607	35.648	70.697	63.167	47.685	67.365	69.514	47.581	41.681	28.282	.	39.573	.	.	60.066	59.438	68.664	46.867	51.794	61.917	96.566	83.846	53.790	65.623	37.393	164.468	54.888	72.822	105.246	42.798	47.485	39.344	46.168	42.970	76.677	70.323	39.190	45.603	www.univ-ouaga.bf	BF	Africa	pinger.unesp.br	BR	Latin_America
BF.UNIV-OUAGA.N1	BY.MTEC.N1	?B	156.906	100.711	76.746	230.476	56.576	63.358	69.502	220.009	66.940	73.607	57.524	40.112	49.129	37.773	.	98.828	49.608	55.531	55.307	53.451	57.818	128.317	67.678	44.489	51.179	74.117	51.241	76.457	81.441	51.368	49.250	36.335	.	52.458	.	.	64.471	79.370	84.648	57.416	69.595	72.781	116.909	91.385	62.399	80.399	52.670	68.317	69.648	96.877	134.840	53.022	63.696	53.671	56.229	62.827	128.875	86.234	45.221	55.771	www.univ-ouaga.bf	BF	Africa	www.mtec.by	BY	Europe
BF.UNIV-OUAGA.N1	CA.CARLETON.N1	?B	185.823	109.483	97.663	189.047	61.164	66.603	76.495	358.410	80.936	80.514	66.592	46.042	48.849	40.298	.	1889.513	.	.	.	.	.	.	82.040	44.090	53.542	65.406	48.441	95.851	108.009	62.290	56.782	32.634	.	49.561	.	.	65.681	74.291	93.470	51.722	67.955	74.320	138.714	104.289	64.191	87.874	44.760	1876.425	71.741	107.999	142.709	54.049	59.482	55.157	56.108	61.542	102.454	81.693	42.957	56.837	www.univ-ouaga.bf	BF	Africa	ftp.physics.carleton.ca	CA	North_America
BF.UNIV-OUAGA.N1	CA.TRIUMF.N1	?M	131.412	92.496	73.737	148.184	54.848	56.565	70.760	252.932	63.713	69.648	59.166	38.558	42.765	30.079	.	1369.571	.	.	.	.	.	.	106.196	41.286	51.243	69.547	54.246	87.886	96.653	54.403	50.006	31.823	.	44.335	.	.	57.897	60.943	82.950	49.322	67.777	76.581	138.323	101.508	57.963	77.248	40.974	1418.880	58.588	84.477	96.509	49.498	53.924	48.940	54.889	52.538	88.310	68.626	39.357	44.452	www.univ-ouaga.bf	BF	Africa	sitka.triumf.ca	CA	North_America
BF.UNIV-OUAGA.N1	CH.CERN.N1	?B	234.113	151.874	125.865	256.735	74.086	74.741	91.601	437.039	83.980	98.615	81.663	53.981	56.813	37.106	.	115.768	59.051	68.673	65.546	66.554	64.224	219.985	81.590	48.905	59.997	83.796	62.336	98.309	106.700	70.842	57.962	41.195	.	59.189	.	.	78.618	86.051	118.049	70.219	84.739	90.562	170.787	146.224	78.176	108.987	66.413	3000.731	81.445	109.913	185.413	64.017	68.094	64.080	70.827	67.276	119.252	99.322	51.848	62.636	www.univ-ouaga.bf	BF	Africa	ping.cern.ch	CH	Europe
BF.UNIV-OUAGA.N1	CH.EPFL.N1	?B	254.014	147.165	105.520	239.315	73.802	76.187	120.604	520.323	78.701	101.578	73.898	46.155	55.564	37.579	.	100.548	61.309	64.997	62.562	61.086	72.195	204.379	91.150	51.381	38.784	90.852	69.936	115.605	100.033	69.623	57.371	41.448	.	53.167	.	.	80.197	98.682	118.964	67.994	98.729	93.054	145.587	146.002	68.199	103.166	57.721	2937.256	80.034	120.331	175.145	61.410	68.992	61.608	70.142	65.526	121.878	94.195	48.934	60.412	www.univ-ouaga.bf	BF	Africa	eltca1.epfl.ch	CH	Europe
BF.UNIV-OUAGA.N1	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	156.471	50.522	1630.371	42.310	.	.	20.530	23.938	24.850	43.952	55.652	94.546	72.062	40.439	44.751	www.univ-ouaga.bf	BF	Africa	www.camnet.cm	CM	Africa
BF.UNIV-OUAGA.N1	CN.IHEP.AC.N2	?B	97.809	66.943	54.425	118.711	43.375	42.902	52.020	147.773	47.227	49.329	49.240	32.695	36.078	26.322	.	58.488	33.482	39.845	37.938	38.464	38.887	121.626	43.465	34.131	33.904	53.422	41.600	61.226	64.005	40.810	37.574	28.330	.	34.753	.	.	44.707	46.697	55.478	34.047	55.969	55.434	93.639	68.136	45.933	56.069	37.552	37.761	44.965	59.946	92.189	36.601	43.068	42.066	41.263	39.666	71.222	67.413	31.184	36.507	www.univ-ouaga.bf	BF	Africa	ihep.ac.cn	CN	East_Asia
BF.UNIV-OUAGA.N1	CN.USTC.LCG.PS.EDU.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	ps.lcg.ustc.edu.cn	CN	East_Asia
BF.UNIV-OUAGA.N1	CR.CUC.AC.N1	?B	77.756	91.726	68.531	135.372	48.717	53.166	64.291	364.100	55.657	66.000	55.667	35.920	39.011	32.146	.	1178.157	.	.	.	.	.	.	58.990	37.781	43.647	55.666	48.391	70.618	106.490	56.682	46.214	27.459	.	43.992	.	.	57.963	68.203	86.451	49.349	66.111	71.567	136.278	101.147	57.046	57.344	39.493	1187.214	55.519	83.964	96.916	36.549	47.226	43.753	47.206	45.310	99.104	70.948	35.233	48.232	www.univ-ouaga.bf	BF	Africa	www.cuc.ac.cr	CR	Latin_America
BF.UNIV-OUAGA.N1	DJ.EBANKSALAAM.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	www.ebanksalaam.dj	DJ	Africa
BF.UNIV-OUAGA.N1	DZ.UNIV-SBA	?B	198.081	106.510	100.745	357.476	62.564	68.929	99.352	308.780	78.092	87.462	69.127	47.621	60.726	44.388	.	87.493	53.399	62.357	61.372	60.917	62.501	194.075	73.495	47.860	63.315	84.746	69.248	114.109	110.622	67.051	61.484	40.093	.	64.777	.	.	63.658	91.908	106.820	60.569	91.683	88.560	169.904	108.455	66.211	96.658	61.281	67.609	70.457	85.701	133.752	55.432	61.317	53.427	57.893	55.337	106.392	95.134	46.372	56.826	www.univ-ouaga.bf	BF	Africa	www.univ-sba.dz	DZ	Africa
