#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BO.UMSS.EDU.N1	AF.MOD.GOV.AF	?B	450.783	449.349	231.190	232.275	326.511	324.777	444.658	322.853	170.706	115.769	71.715	103.346	221.686	83.352	167.998	432.776	220.144	62.103	119.709	68.809	44.762	222.475	117.830	187.860	135.667	71.270	108.989	160.148	100.175	43.670	142.119	142.321	92.316	94.131	148.668	71.637	148.282	435.775	113.504	106.976	146.965	193.866	189.269	189.236	286.947	438.367	435.211	435.688	438.568	440.766	439.423	188.176	66.884	317.392	318.152	68.860	316.425	435.702	163.294	200.404	www.umss.edu.bo	BO	Latin_America	www.mod.gov.af	AF	South_Asia
BO.UMSS.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	240.682	154.124	146.704	204.238	287.553	195.787	250.369	230.511	190.880	228.893	247.604	218.289	279.838	354.298	192.973	224.354	193.172	228.926	407.443	309.438	383.517	212.337	352.851	412.038	353.167	337.325	240.662	282.194	255.647	325.538	405.858	349.754	1222.108	279.860	396.282	403.097	258.350	296.118	338.047	230.001	429.097	528.614	349.960	249.215	1257.532	378.948	286.195	273.744	200.694	331.641	446.756	439.676	174.688	402.291	1065.686	1220.270	273.849	446.233	527.220	332.771	www.umss.edu.bo	BO	Latin_America	aol1.albaniaonline.net	NET	Balkans
BO.UMSS.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1018.103	.	1051.292	1054.208	484.533	1070.895	1067.898	1056.761	1051.840	1059.802	441.586	1071.499	1071.926	1035.165	1053.139	751.495	198.363	920.742	240.700	189.997	242.926	313.799	175.757	490.007	406.363	1043.178	1044.348	186.529	379.249	188.402	353.070	917.623	261.758	449.809	653.106	148.985	343.288	www.umss.edu.bo	BO	Latin_America	www.sci.am	AM	Central_Asia
BO.UMSS.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	985.747	493.633	975.603	1008.120	418.914	1007.730	1007.162	1007.178	985.823	912.377	925.084	1006.322	966.069	990.976	1007.626	1007.241	1007.681	1006.887	1007.574	1003.997	1003.607	1004.087	1003.697	1002.977	993.983	994.464	1005.085	1001.907	1006.601	458.675	722.407	991.952	991.378	267.315	895.334	1004.492	993.485	1002.993	321.080	199.362	516.537	1003.873	1004.003	1004.387	1000.175	1005.952	1005.372	999.053	729.563	1006.929	1003.124	693.060	206.229	1006.460	726.270	994.782	1008.146	1002.381	1001.211	999.969	www.umss.edu.bo	BO	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.BRISBANE.NET	?B	924.863	915.343	921.053	932.731	932.363	932.760	219.729	935.226	943.516	1003.045	992.983	935.173	674.658	930.474	934.662	935.402	936.942	935.641	935.227	934.242	935.658	930.844	915.171	914.725	920.443	926.742	934.839	932.143	934.311	933.930	923.990	921.341	932.167	304.939	934.119	934.771	926.172	934.808	250.552	228.541	917.438	935.738	936.086	935.170	932.536	935.223	934.497	476.092	932.049	935.208	932.164	659.457	157.719	937.836	934.928	928.920	936.063	935.066	944.247	932.908	www.umss.edu.bo	BO	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.CANBERRA.NET	?B	256.690	367.785	273.723	360.758	248.354	136.800	99.271	355.899	215.787	191.429	311.048	319.105	165.543	308.030	296.587	485.352	213.093	192.769	360.349	198.565	388.095	358.955	904.071	848.237	254.064	379.239	319.324	463.836	910.662	305.996	439.849	284.344	272.069	188.073	185.431	496.100	365.817	189.733	205.439	189.543	323.970	113.752	371.063	509.183	955.808	459.905	304.649	324.443	501.868	393.788	950.847	933.544	933.251	932.966	956.398	963.662	944.918	946.875	256.298	690.689	www.umss.edu.bo	BO	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.HOBART.N2	?B	966.287	948.965	959.404	982.811	470.368	977.530	244.985	981.532	965.733	915.786	916.789	920.842	947.541	920.226	919.824	921.002	919.464	920.951	920.375	919.634	919.199	920.627	920.788	893.059	649.037	903.461	907.303	913.350	920.276	493.440	910.310	908.432	906.951	657.291	918.449	918.321	898.408	912.601	340.031	653.428	901.026	917.085	917.457	917.284	914.690	918.610	908.218	898.041	903.848	906.777	904.032	883.970	454.913	906.701	901.830	653.164	909.290	911.961	912.932	903.070	www.umss.edu.bo	BO	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	AU.AARNET.PERTH.NET	?B	820.661	819.245	820.307	820.982	689.752	820.600	819.915	820.523	826.349	865.423	868.253	861.390	858.471	620.618	864.612	869.731	869.277	868.733	868.781	868.082	868.619	868.644	863.109	865.202	853.181	853.719	753.905	853.845	858.593	394.009	850.047	847.993	846.334	221.460	859.054	868.626	860.571	865.333	213.128	186.263	622.786	868.361	868.764	869.038	863.917	864.959	861.557	437.754	856.955	859.052	853.028	606.013	158.647	848.764	848.646	849.351	849.017	848.828	848.664	847.464	www.umss.edu.bo	BO	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BO.UMSS.EDU.N1	BA.UTIC.NET.N1	?B	887.034	1207.864	1213.541	1232.291	1231.112	1231.186	904.704	1256.905	1269.485	1370.544	1374.048	1374.232	1374.181	1362.163	1368.269	1371.929	1363.128	1364.518	1361.042	994.205	995.196	998.964	1374.197	1367.140	966.496	1327.946	1335.719	1352.530	1372.644	1370.341	873.531	703.185	1162.378	578.026	367.682	292.096	459.341	983.425	947.590	943.250	1297.661	946.769	688.095	1362.869	1357.760	1359.422	975.734	1332.869	1185.983	1332.645	1337.834	1250.945	473.132	1333.361	1302.019	1306.800	1325.112	1332.260	322.894	1306.987	www.umss.edu.bo	BO	Latin_America	linhost2.utic.net.ba	BA	Balkans
BO.UMSS.EDU.N1	BD.DUET.AC.N1	?B	763.423	264.877	552.094	281.743	434.104	337.907	546.986	765.976	782.203	816.133	267.892	150.439	151.687	159.626	244.867	258.586	320.344	403.187	336.412	215.017	233.931	245.669	254.750	224.866	165.939	110.276	112.500	93.219	173.525	180.129	185.269	99.309	84.657	77.995	70.797	78.150	90.232	87.041	70.902	81.887	102.518	115.429	206.313	439.703	251.256	397.609	549.695	231.967	107.275	81.846	.	494.761	114.807	220.487	167.248	155.163	250.980	234.631	168.578	210.376	www.umss.edu.bo	BO	Latin_America	www.duet.ac.bd	BD	South_Asia
