#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.ACMESECURITY.ORG	AF.MOD.GOV.AF	?B	460.728	461.531	335.361	247.410	460.189	461.324	335.262	335.547	205.270	237.271	72.708	164.264	143.484	255.304	294.928	209.381	110.404	69.862	80.738	77.730	62.976	326.376	335.036	335.467	461.457	120.967	164.245	459.867	97.743	73.815	196.278	154.974	458.879	460.471	459.813	65.817	335.633	464.394	464.762	194.628	463.639	463.519	31.798	34.638	464.631	337.281	37.123	16.636	12.144	88.328	133.334	107.220	238.580	337.880	232.714	253.565	451.040	454.157	463.884	463.677	pinger.acmesecurity.org	ORG	Latin_America	www.mod.gov.af	AF	South_Asia
BR.ACMESECURITY.ORG	AL.ALBANIAONLINE.NET.N1	?B	193.501	212.913	155.049	272.282	238.602	340.705	328.385	190.711	236.585	285.835	243.500	330.816	287.494	249.480	284.393	202.773	334.528	221.132	292.241	380.696	355.505	232.727	201.808	269.650	289.036	433.575	376.575	328.243	207.774	214.007	286.539	298.220	297.389	877.923	402.700	212.753	518.916	517.912	369.509	504.629	1209.993	612.577	212.754	240.102	445.506	523.855	219.903	268.259	204.878	872.731	617.270	247.812	341.931	301.572	396.099	480.750	322.331	612.248	449.003	416.778	pinger.acmesecurity.org	ORG	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.ACMESECURITY.ORG	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	256.773	181.756	259.046	619.107	210.068	199.304	165.068	561.375	379.838	327.464	199.015	233.991	185.055	179.526	224.021	297.379	140.008	125.187	117.171	114.744	157.944	300.571	465.865	325.389	893.575	185.630	241.777	1031.890	726.984	1003.189	348.258	937.861	493.107	171.138	435.401	pinger.acmesecurity.org	ORG	Latin_America	www.sci.am	AM	Central_Asia
BR.ACMESECURITY.ORG	AU.AARNET.ADELAIDE.N1	?B	991.793	991.723	990.151	992.295	530.602	720.498	990.706	992.178	992.173	991.209	989.486	921.133	341.138	919.294	991.345	990.220	987.510	989.599	990.826	990.627	991.211	992.496	992.276	991.950	978.565	717.414	991.894	992.118	991.955	992.286	964.825	820.464	510.483	994.147	988.084	992.712	992.670	509.362	991.152	990.095	990.183	991.642	991.996	992.709	992.131	990.228	715.521	509.406	991.093	991.940	992.725	223.996	984.787	985.430	715.621	983.774	986.181	985.599	985.211	982.264	pinger.acmesecurity.org	ORG	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.BRISBANE.NET	?B	1006.361	1006.370	1004.668	1007.051	731.367	732.678	517.849	1009.426	1008.886	1008.298	1006.812	481.755	651.466	935.492	1006.300	1006.600	1004.690	731.385	214.524	1008.134	1007.792	1009.412	1009.184	1008.129	997.051	729.559	1008.631	1009.127	1009.268	1007.969	979.200	936.108	952.294	1011.072	1003.588	1009.773	1008.353	732.761	1010.433	1007.260	1006.791	1008.339	1009.258	1009.886	1009.504	731.850	356.574	732.743	1008.145	1009.141	1009.983	221.163	1004.562	1005.187	1004.647	1005.139	1006.028	1005.713	730.168	1001.947	pinger.acmesecurity.org	ORG	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.CANBERRA.NET	?B	1038.908	1038.760	1037.358	1039.200	533.903	1041.169	1040.810	1041.081	1041.682	756.394	755.511	701.032	378.685	961.549	1040.526	1039.795	1037.295	1038.903	927.028	756.661	1040.955	1042.774	1041.461	1039.954	1030.052	1036.851	1040.757	1041.846	1040.818	1041.657	1011.433	964.949	479.157	1043.508	1037.998	1043.083	1042.929	1041.514	1042.148	1040.017	1040.087	757.128	1042.558	1043.140	1042.508	534.300	446.656	1041.571	1041.639	757.687	1043.187	254.622	753.804	1037.786	1037.491	447.379	1038.992	754.618	1037.864	1034.869	pinger.acmesecurity.org	ORG	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.HOBART.N2	?B	987.294	987.256	985.640	717.921	985.556	986.580	985.868	987.507	986.952	985.721	981.628	667.061	400.888	315.859	983.904	985.621	983.420	983.680	986.030	986.293	986.562	986.727	987.202	986.798	974.309	981.532	984.964	987.015	987.726	985.336	696.761	915.838	586.746	989.218	714.126	987.835	987.896	986.544	986.560	982.292	985.291	527.898	717.310	987.922	987.298	528.756	321.975	986.613	985.629	987.440	988.067	264.769	985.495	986.101	985.954	984.600	987.046	986.584	716.472	982.830	pinger.acmesecurity.org	ORG	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.PERTH.NET	?B	924.193	924.093	922.686	924.700	669.831	923.903	495.451	924.550	924.617	671.179	922.017	862.091	602.723	862.183	923.520	922.829	918.565	922.077	923.849	922.950	923.471	924.770	924.565	924.022	914.495	920.537	924.257	924.337	924.869	923.832	900.180	863.271	390.159	926.221	920.920	924.982	924.960	671.200	923.748	922.484	922.748	520.223	671.713	925.004	924.556	670.693	327.514	671.231	923.712	924.336	925.067	230.343	917.948	918.666	471.835	666.747	919.385	918.962	918.468	915.962	pinger.acmesecurity.org	ORG	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	BA.UTIC.NET.N1	?B	1336.293	1337.328	1334.185	971.141	717.838	1343.886	976.635	1345.710	1345.519	1338.525	1341.956	972.987	1339.915	691.804	1333.576	1335.185	1345.270	690.445	1338.812	972.918	1341.371	1341.974	1346.611	1338.860	507.419	681.950	1330.541	967.347	1339.444	1335.650	1331.952	1326.132	827.854	1338.000	1337.007	1348.481	1340.953	1342.465	1359.527	1340.792	1331.472	1329.682	1346.493	1348.893	1341.373	975.508	1323.383	975.740	974.160	1349.383	1351.214	317.623	687.977	1345.438	941.134	933.560	1294.282	1315.257	1336.954	1342.422	pinger.acmesecurity.org	ORG	Latin_America	linhost2.utic.net.ba	BA	Balkans
BR.ACMESECURITY.ORG	BD.DUET.AC.N1	?B	780.276	781.155	780.735	779.730	134.201	779.149	777.011	778.889	565.541	566.192	198.342	269.080	172.848	348.292	205.163	562.605	399.815	716.513	477.544	215.325	187.424	329.286	298.495	466.502	128.853	120.910	114.105	126.923	236.862	890.570	888.591	646.224	361.004	249.894	128.924	221.317	344.327	166.651	167.533	475.812	863.901	157.026	180.527	619.538	595.051	786.161	265.434	327.031	294.833	109.985	.	172.042	400.816	780.306	196.859	141.588	206.538	333.581	564.147	231.349	pinger.acmesecurity.org	ORG	Latin_America	www.duet.ac.bd	BD	South_Asia
