#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.HEPGRID.UERJ.N2	AF.MOD.GOV.AF	?B	.	.	467.381	338.318	191.600	.	.	462.429	334.879	219.183	198.902	334.392	.	170.419	77.464	66.371	52.901	75.208	99.804	125.411	149.778	.	.	.	167.274	409.630	194.126	130.147	462.821	332.496	153.542	414.265	200.341	161.205	38.340	25.552	27.152	30.887	33.458	37.117	38.297	83.916	36.684	30.983	34.042	52.836	33.404	51.775	66.648	193.560	87.068	32.737	43.578	34.197	32.722	96.415	114.150	144.986	61.054	88.977	web.hepgrid.uerj.br	BR	Latin_America	www.mod.gov.af	AF	South_Asia
BR.HEPGRID.UERJ.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	131.922	170.993	139.786	.	.	164.990	171.258	190.654	195.440	168.851	.	157.458	131.361	129.004	117.161	139.855	111.404	138.626	140.213	.	.	.	171.526	190.847	183.098	170.001	159.687	174.022	201.620	268.333	498.171	274.660	266.232	222.993	229.879	200.448	237.423	168.989	236.989	207.106	187.295	214.043	188.060	135.874	292.703	235.775	184.858	189.906	268.706	247.434	197.317	230.250	229.172	294.149	205.077	654.474	312.041	320.296	web.hepgrid.uerj.br	BR	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.HEPGRID.UERJ.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1048.145	212.479	315.828	542.136	543.990	248.338	277.390	337.243	760.905	520.770	448.767	233.831	193.057	215.258	319.506	175.646	166.289	154.090	164.859	129.148	51.752	88.581	329.685	471.563	1055.556	958.187	986.771	992.052	487.270	446.040	277.380	669.161	690.382	156.381	307.652	web.hepgrid.uerj.br	BR	Latin_America	www.sci.am	AM	Central_Asia
BR.HEPGRID.UERJ.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	921.238	666.817	435.497	.	.	919.767	920.471	245.754	227.357	569.825	.	327.887	192.570	162.667	107.442	195.853	180.099	336.029	914.001	.	.	.	487.038	321.275	489.892	912.375	916.190	916.173	418.291	267.990	377.614	867.461	633.163	919.908	920.942	280.381	917.415	237.609	211.065	365.526	920.350	920.317	383.229	193.151	214.595	242.732	651.546	920.996	917.562	340.014	921.209	917.446	662.992	668.254	669.854	468.055	645.113	198.907	web.hepgrid.uerj.br	BR	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.HEPGRID.UERJ.N2	AU.AARNET.BRISBANE.NET	?B	.	.	933.754	675.849	445.161	.	.	937.984	681.390	250.248	313.213	410.001	.	304.666	173.229	169.693	127.575	179.209	187.352	254.856	675.674	.	.	.	339.648	492.965	390.191	316.642	933.110	932.964	600.937	638.026	229.050	453.086	645.431	937.246	938.100	262.360	206.896	352.872	265.060	456.195	936.972	938.196	239.466	212.784	237.459	372.389	661.432	938.340	934.814	353.057	934.281	934.393	927.394	354.303	315.086	268.219	275.285	243.221	web.hepgrid.uerj.br	BR	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.HEPGRID.UERJ.N2	AU.AARNET.CANBERRA.NET	?B	.	.	959.592	955.859	476.455	.	.	963.949	701.674	252.386	300.500	343.454	.	523.241	215.000	145.747	102.195	162.810	189.600	661.855	294.879	.	.	.	350.448	506.524	316.497	300.152	957.145	959.303	328.988	328.471	305.351	466.308	304.071	966.256	966.781	355.561	344.737	295.509	223.431	294.481	967.264	966.123	327.144	192.885	201.273	338.164	243.337	961.856	961.080	959.396	962.020	696.739	693.887	699.095	965.069	289.019	674.253	191.721	web.hepgrid.uerj.br	BR	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.HEPGRID.UERJ.N2	AU.AARNET.HOBART.N2	?B	.	.	917.345	914.015	437.296	.	.	921.157	668.602	231.799	383.437	784.118	.	392.669	207.993	169.706	122.420	252.367	276.193	322.588	338.326	.	.	.	379.571	388.675	224.736	662.527	916.635	916.662	351.435	452.234	229.478	867.655	634.797	920.583	920.075	459.682	267.318	339.114	205.407	252.572	921.262	921.103	352.827	177.884	661.791	464.014	799.693	921.986	918.030	663.937	917.453	664.244	908.668	383.732	917.856	181.227	370.688	914.927	web.hepgrid.uerj.br	BR	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.HEPGRID.UERJ.N2	AU.AARNET.PERTH.NET	?B	.	.	862.645	331.946	795.740	.	.	861.282	626.356	215.279	245.950	381.726	.	460.643	155.414	146.318	88.704	161.796	181.102	262.370	317.565	.	.	.	619.717	354.404	358.843	310.548	857.341	857.926	322.976	215.326	257.827	815.300	595.206	861.885	862.351	450.006	461.576	439.583	154.700	199.341	861.754	626.316	273.737	202.048	310.001	343.524	474.696	860.843	858.182	440.112	861.947	858.690	855.517	442.273	443.567	251.608	605.217	415.992	web.hepgrid.uerj.br	BR	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.HEPGRID.UERJ.N2	BA.UTIC.NET.N1	?B	.	.	1451.767	1467.288	1381.970	.	.	1072.421	1484.301	1025.580	340.497	438.752	.	491.827	228.531	185.989	198.151	357.609	230.512	778.762	363.047	.	.	.	499.966	1044.911	444.956	333.889	1451.053	1423.155	1048.747	1456.646	466.167	377.119	1208.659	1461.691	1460.174	377.043	1383.830	256.554	319.487	524.692	1458.642	1447.423	611.588	129.695	241.608	717.392	651.616	1058.576	1457.883	1042.938	1464.871	993.638	750.323	443.750	786.444	634.935	610.507	443.716	web.hepgrid.uerj.br	BR	Latin_America	linhost2.utic.net.ba	BA	Balkans
BR.HEPGRID.UERJ.N2	BD.DUET.AC.N1	?B	.	.	849.681	860.165	239.103	.	.	608.131	836.694	596.143	182.781	232.867	.	850.887	127.998	136.293	114.282	149.544	248.286	143.991	176.500	.	.	.	118.637	101.532	89.451	113.503	434.098	626.485	235.973	239.843	199.378	600.355	132.574	183.861	628.425	171.490	135.901	242.347	188.152	125.449	136.203	629.787	217.431	136.404	217.171	256.535	115.325	109.738	.	778.893	566.242	304.306	180.194	158.384	187.503	197.944	209.144	281.992	web.hepgrid.uerj.br	BR	Latin_America	www.duet.ac.bd	BD	South_Asia
