#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CA.CARLETON.N2	CA.CARLETON.N1	?B	.	.	246236.020	369354.031	369354.031	.	.	.	.	147741.612	246236.020	.	369354.031	277015.523	369354.031	246236.020	246236.020	246236.020	201465.835	246236.020	369354.031	.	.	.	246236.020	369354.031	.	.	.	230846.269	369354.031	277015.523	369354.031	.	.	.	128470.967	369354.031	277015.523	369354.031	369354.031	307795.026	.	.	.	.	307795.026	.	.	369354.031	246236.020	369354.031	369354.031	369354.031	.	.	.	.	.	.	netmon.physics.carleton.ca	CA	North_America	ftp.physics.carleton.ca	CA	North_America
CA.CARLETON.N2	CA.TRIUMF.N1	?M	2301.719	2524.685	5765.526	5741.254	5695.147	5540.923	3978.946	1328.036	5722.722	5613.994	1271.986	5733.827	5642.582	5676.911	5746.837	1135.382	1392.783	5758.036	5724.570	1806.071	5724.570	2805.361	5684.192	5664.215	2823.601	2359.082	757.710	1877.518	1996.588	1344.905	5687.839	1394.125	2292.048	5731.973	3839.640	5769.279	2124.771	3890.721	5724.570	5518.042	5644.379	2790.041	5733.827	3955.880	5737.538	5555.937	5702.475	398.049	896.762	472.019	511.477	795.825	2131.116	5562.214	5525.062	5713.501	3244.592	5639.869	5759.907	5638.993	netmon.physics.carleton.ca	CA	North_America	sitka.triumf.ca	CA	North_America
CA.CARLETON.N2	CH.CERN.N1	?B	2529.461	2509.767	2517.608	2463.943	2426.089	2480.620	2520.471	2514.751	2506.573	822.481	659.264	2523.341	2517.608	2518.681	2520.471	2526.937	1397.580	2522.623	2512.256	2518.681	2522.623	2520.471	2462.895	1803.143	2464.292	1379.130	375.358	1748.720	2509.767	2526.577	2521.547	2521.188	1421.348	865.732	1410.553	2520.471	2519.397	2509.057	2526.217	2522.982	2683.365	2848.489	2844.376	2627.685	2522.982	2529.461	2470.250	2526.577	2526.937	2522.982	1755.468	2476.589	2520.471	2528.740	1466.662	2799.935	2853.073	2857.211	2855.830	2858.132	netmon.physics.carleton.ca	CA	North_America	ping.cern.ch	CH	Europe
CA.CARLETON.N2	DE.DESY.N1	?M	1931.898	2785.388	2770.588	1216.482	2736.420	2739.441	2774.925	2781.019	2772.321	911.279	913.003	2732.546	1929.773	2770.588	2778.839	2737.283	2725.258	2777.968	2773.622	2726.541	2791.528	2882.763	2721.842	1914.732	2786.263	2790.649	2774.925	2795.049	2767.561	2790.649	2770.588	2727.826	948.202	1021.874	1362.202	1925.840	2788.454	2748.978	2723.122	2707.418	1924.331	1934.636	2726.113	1359.643	2721.415	2689.394	1896.111	2741.880	2729.540	2742.304	2703.003	2718.754	1188.019	2681.920	2750.814	2751.667	2752.522	2688.561	1906.115	2747.829	netmon.physics.carleton.ca	CA	North_America	ping.desy.de	DE	Europe
CA.CARLETON.N2	DE.IFH.N1	?r	2913.585	2950.898	1675.975	1089.536	2903.844	2902.874	2883.598	2962.450	.	767.154	918.430	2908.706	2960.754	2948.934	2959.765	2975.662	2958.284	2962.733	2947.954	2047.850	2890.315	2083.631	1285.317	1434.654	2911.144	2965.707	2050.585	2969.183	2936.722	2905.787	2915.953	1438.456	1267.078	1279.179	1295.822	2893.204	2968.189	2052.299	2893.204	2869.783	2883.120	1451.194	2958.777	1085.573	1173.328	1639.803	2841.151	2892.169	2697.656	2854.222	1980.811	2871.557	2814.452	2835.122	2907.346	2858.920	2859.861	2847.205	2912.121	2011.959	netmon.physics.carleton.ca	CA	North_America	znsun1.ifh.de	DE	Europe
CA.CARLETON.N2	DK.NBI.N1	?r	3069.956	2967.692	1237.212	1337.244	2937.233	2997.549	3059.360	3068.893	3064.649	703.373	1222.900	3069.424	3049.887	3058.833	2995.481	3060.417	3044.649	3044.127	796.592	3047.790	3056.196	2999.101	2996.515	2117.395	3041.515	2848.031	2789.593	950.862	1737.231	2125.823	2916.433	770.516	1078.734	611.498	2673.664	2738.491	2815.020	2914.074	3311.246	3037.347	2121.051	3008.972	3062.002	1726.168	2125.088	3065.179	2991.870	3064.649	3072.616	2126.191	3054.090	3134.546	2426.513	3472.770	3275.867	3068.362	3011.058	3073.148	3071.019	2953.848	netmon.physics.carleton.ca	CA	North_America	www.nbi.dk	DK	Europe
CA.CARLETON.N2	EDU.CALTECH.N1	?r	3959.132	3940.652	3934.530	3962.672	3964.444	3958.248	3959.132	3950.310	3913.685	1108.670	912.285	971.956	1369.038	3960.016	3949.430	3967.105	3960.901	3964.444	3952.953	3935.404	3955.599	3960.016	3899.053	3946.793	3960.016	2562.697	513.883	3961.786	3955.599	3956.481	3938.026	3928.428	3956.481	3949.430	3874.343	3959.132	3956.481	3937.152	3945.036	3946.793	3928.428	3964.444	3932.785	3960.016	3961.786	3870.114	3951.191	325.999	961.199	655.113	495.099	607.949	2903.061	3940.652	3865.895	3958.248	3967.105	3962.672	3961.786	3897.339	netmon.physics.carleton.ca	CA	North_America	pinger.hep.caltech.edu	EDU	North_America
CA.CARLETON.N2	EDU.CORNELL.N2	?r	13905.093	13992.891	13171.615	9098.524	13786.154	9484.947	14026.102	14093.000	8815.094	13370.282	2814.184	9633.731	13637.687	9648.866	13970.838	13959.837	9256.222	9596.099	13142.323	9521.711	9573.661	13981.856	9656.452	13775.442	13669.232	13839.964	13959.837	14037.208	9740.688	13937.888	13122.867	5401.064	5940.764	13461.650	4264.851	14003.944	14003.944	14059.471	13711.519	13036.025	9340.690	5480.369	9771.684	9543.906	9641.293	13829.168	13732.760	13732.760	13818.389	14093.000	14059.471	13380.372	13171.615	14026.102	9463.025	14048.331	14093.000	14126.688	13937.888	6822.779	netmon.physics.carleton.ca	CA	North_America	lns62.lns.cornell.edu	EDU	North_America
CA.CARLETON.N2	EDU.SDSC.N1	?M	3817.613	3844.935	3841.602	3840.770	3841.602	3837.444	3756.143	3839.938	3812.687	3803.689	3816.791	3745.826	3737.928	3803.689	3844.101	3828.329	3784.204	3815.969	3839.106	3771.324	3795.546	3790.676	3771.324	3835.784	3839.938	1439.918	629.004	3834.125	3828.329	3834.125	3786.628	3812.687	3834.125	3827.503	3750.580	3829.156	3837.444	3815.969	3836.614	3768.118	3791.487	3795.546	3790.676	3833.296	3827.503	3745.035	3825.851	475.761	1857.606	765.098	416.820	315.969	1356.881	3829.983	3785.011	3840.770	3846.603	3817.613	3842.435	3832.467	netmon.physics.carleton.ca	CA	North_America	multivac.sdsc.edu	EDU	North_America
CA.CARLETON.N2	EDU.SLAC.STANFORD.N1	?B	5945.337	5927.447	5933.398	5949.327	5943.343	5947.331	5901.795	5945.337	5917.555	2069.430	863.078	1328.082	5937.372	5907.695	5300.148	4987.059	5152.279	5917.555	5939.361	5945.337	5945.337	5941.352	5935.384	5953.322	5947.331	2898.136	880.983	5951.324	5939.361	5943.343	5941.352	5935.384	5784.337	5949.327	5953.322	5937.372	5937.372	5893.947	5947.331	5949.327	5939.361	5925.466	5929.429	5957.323	5951.324	5953.322	5943.343	5953.322	5947.331	5951.324	5573.403	4981.454	3853.204	4980.054	4980.054	4458.053	4985.656	4456.800	4464.328	4440.575	netmon.physics.carleton.ca	CA	North_America	ping.slac.stanford.edu	EDU	North_America
