#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CH.CERN.N20	AF.MOD.GOV.AF	?B	462.724	637.462	636.365	633.860	634.411	459.635	631.634	632.276	632.118	324.855	118.826	629.013	160.239	455.755	627.841	174.890	456.186	106.766	213.909	206.039	67.863	627.819	628.226	628.046	456.185	224.124	271.071	627.708	214.086	68.802	628.385	559.447	629.659	446.105	319.202	151.064	287.144	457.977	628.037	629.531	629.563	456.953	46.594	38.792	457.089	457.007	56.461	19.067	12.503	96.346	629.151	629.108	194.617	456.305	267.549	457.273	628.550	457.158	627.750	628.542	pinger.cern.ch	CH	Europe	www.mod.gov.af	AF	South_Asia
CH.CERN.N20	AL.ALBANIAONLINE.NET.N1	?B	1094.940	634.941	486.482	1059.757	893.736	809.353	796.515	908.890	907.472	1127.100	1131.252	1308.583	1166.056	1148.092	866.462	906.859	815.072	644.143	959.499	1122.118	1468.416	775.773	975.448	1322.391	1160.283	1199.739	1077.818	1099.375	898.444	1261.379	1586.587	1588.844	1475.611	2282.584	2226.008	1324.135	1208.195	2246.749	1468.884	4538.799	4723.263	1573.751	816.744	1367.222	1383.059	1095.207	1498.144	1286.201	948.229	4673.272	2413.861	5032.926	1519.133	1013.770	1296.255	1607.997	1089.324	1968.515	1159.575	1315.532	pinger.cern.ch	CH	Europe	aol1.albaniaonline.net	NET	Balkans
CH.CERN.N20	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	295.299	.	1626.255	561.670	1085.666	1860.159	943.712	556.611	765.838	1145.649	1184.020	1914.697	790.605	583.449	637.325	660.885	1311.398	842.740	474.773	356.455	384.519	328.501	434.180	2769.854	2015.881	1933.471	2575.125	2391.253	2594.112	2658.669	869.885	2616.923	815.246	2293.085	1754.871	424.606	1158.449	pinger.cern.ch	CH	Europe	www.sci.am	AM	Central_Asia
CH.CERN.N20	AU.AARNET.ADELAIDE.N1	?B	1046.141	1046.344	1046.794	1047.577	1045.901	1049.195	1046.991	1049.135	1049.554	1051.496	1047.828	1047.162	1047.938	1054.687	1050.920	1054.175	1053.152	1052.276	1026.649	976.479	962.775	992.555	1029.515	1005.559	1018.826	1018.406	1024.131	1026.275	1026.627	1028.130	1022.635	1027.751	1024.528	1025.452	1027.336	1027.925	1035.111	1041.142	1037.472	1038.876	1038.662	1038.550	1032.205	1024.992	1022.629	1021.596	1022.101	1017.489	361.000	1015.781	1015.883	1015.611	1009.612	1012.881	1014.846	1012.658	1014.035	1015.351	1019.174	1011.371	pinger.cern.ch	CH	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.BRISBANE.NET	?B	1068.343	1068.442	1067.805	1069.014	1072.723	1073.756	1073.394	1072.925	1073.601	1075.203	1071.638	1073.687	1077.162	1079.125	1079.111	1078.702	1075.716	1077.925	1056.241	1002.448	983.888	1017.465	1056.057	1028.661	1041.955	1041.375	1048.985	1050.736	1050.757	1050.877	1050.593	1050.504	1047.790	1049.356	1051.022	1051.364	1058.975	1064.942	1063.703	1062.695	1063.561	1062.464	1061.329	1052.115	1045.906	1046.112	1045.288	1040.550	369.338	1038.829	1038.791	1036.808	1029.305	1032.734	1034.730	1033.181	1033.811	1035.392	1039.277	1031.317	pinger.cern.ch	CH	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.CANBERRA.NET	?B	1098.890	1099.473	1098.929	1099.741	1104.022	1104.119	1103.515	1105.202	1105.511	1105.402	1102.349	1105.225	1108.729	1109.870	1108.825	1109.492	1108.569	1106.705	1086.070	1028.350	1007.884	1045.970	1084.593	1057.665	1071.740	1069.556	1077.320	1078.235	1081.013	1081.200	1080.612	1080.804	1077.177	1079.005	1081.229	1081.616	323.284	1096.313	1093.858	1093.834	1094.585	1093.296	1091.985	1082.849	1075.655	1074.487	1075.146	1070.211	379.758	1068.357	1068.410	1065.754	1058.378	1061.847	1063.975	1061.233	1063.097	1064.595	405.564	1060.489	pinger.cern.ch	CH	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.HOBART.N2	?B	1040.853	1039.700	1041.396	1040.318	1039.413	1046.752	1044.846	1046.345	1047.107	1046.785	1043.143	1042.189	1043.872	1051.113	1046.418	1047.841	1050.861	1046.894	1022.493	973.625	957.434	718.719	1024.654	1002.505	1015.715	1012.874	1019.537	1018.602	1022.070	1020.100	1017.257	1025.003	1018.079	1021.877	1025.409	1025.662	1030.739	1038.328	1033.303	1036.827	1037.365	1036.182	1029.272	1017.702	1020.507	1021.019	1019.940	1015.398	360.459	1013.994	1013.685	1009.428	1001.677	1004.982	1006.864	1004.696	1006.148	1007.499	1011.165	1003.718	pinger.cern.ch	CH	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
CH.CERN.N20	AU.AARNET.PERTH.NET	?B	1193.722	1193.388	1193.066	1194.282	1196.082	1196.545	1196.174	1196.401	1196.522	1196.561	1189.182	1196.217	1200.319	1203.256	1202.873	1202.736	1201.272	1201.317	1172.711	1108.463	1085.816	1126.942	1173.426	1141.642	1157.145	1156.507	1165.448	1168.232	1168.327	1169.117	1167.876	1168.232	1164.171	1165.665	1167.854	1168.842	1178.042	1185.670	1183.047	1182.830	1182.651	1182.269	1180.781	1167.865	1161.675	1146.739	1161.044	1155.147	409.346	1153.112	1153.228	1168.924	1145.016	1149.521	1151.573	1148.785	1150.726	1152.478	414.077	1147.449	pinger.cern.ch	CH	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
CH.CERN.N20	BA.UTIC.NET.N1	?B	8995.872	8984.066	9032.225	9013.618	6444.079	8817.122	8860.138	9006.511	9067.880	8775.444	6576.435	9011.162	8182.721	7527.724	8279.060	8916.901	8975.424	8777.851	8698.085	8681.074	8631.986	8706.756	8637.318	8674.720	8625.040	8569.724	8496.016	8347.094	8682.307	8832.585	8521.072	8532.423	8668.934	7425.582	8042.205	9089.964	8797.879	8688.571	8818.535	8804.162	8732.815	8696.046	8938.526	8839.120	8708.296	8800.770	8091.352	8755.162	8532.735	8531.126	8572.442	8662.251	8472.921	8450.982	8974.606	9567.921	9457.208	9746.818	9405.761	8641.200	pinger.cern.ch	CH	Europe	linhost2.utic.net.ba	BA	Balkans
CH.CERN.N20	BD.DUET.AC.N1	?B	1133.480	1132.611	1131.847	1132.919	1132.652	1134.075	1134.833	489.915	824.731	1135.702	410.637	205.333	280.887	235.045	343.077	1130.743	823.143	896.932	1630.066	355.371	426.657	597.570	981.534	1799.449	717.293	290.547	301.286	301.902	977.866	1914.286	1909.771	678.629	476.917	681.351	283.099	699.178	1381.987	633.223	294.706	725.944	483.856	289.422	311.765	1404.227	1225.243	447.372	1176.704	1176.038	1174.515	142.441	.	1175.727	1154.889	434.006	322.976	355.003	1250.746	1112.353	1242.885	463.599	pinger.cern.ch	CH	Europe	www.duet.ac.bd	BD	South_Asia
CH.CERN.N20	BJ.GOUV.N1	?B	665.654	561.960	413.688	699.414	432.528	418.338	468.786	1076.897	469.344	653.986	709.541	550.784	554.664	530.351	1090.964	979.784	581.486	982.516	574.377	595.344	565.898	1229.963	2407.714	488.820	457.736	967.994	2397.095	654.699	3315.061	2407.785	618.766	476.639	533.953	494.383	608.937	1688.333	3256.674	597.472	817.795	1056.843	978.476	533.012	3219.261	3263.265	1189.360	3279.719	990.433	503.353	812.546	750.372	985.552	430.717	430.842	504.116	470.568	404.658	1890.155	1016.018	452.910	464.990	pinger.cern.ch	CH	Europe	waib.gouv.bj	BJ	Africa
CH.CERN.N20	BO.UMSS.EDU.N1	?M	1229.649	982.706	1368.976	1405.560	1405.983	1407.483	1387.012	1378.370	749.094	1407.242	1401.149	1359.986	1372.448	582.984	1407.252	1399.921	1360.416	1401.480	1406.936	1406.499	1406.071	1408.056	1380.145	1359.738	1393.953	1327.118	1311.640	1288.364	1259.996	1273.019	607.309	587.337	881.608	287.196	301.874	268.520	317.461	1346.950	528.830	269.848	954.353	1297.417	1292.328	1340.363	1335.910	1309.083	1271.188	1295.307	1287.462	1323.668	1341.399	468.270	283.097	910.166	932.745	928.155	1222.300	1298.912	303.140	566.082	pinger.cern.ch	CH	Europe	www.umss.edu.bo	BO	Latin_America
