#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CN.AC.N3	AF.MOD.GOV.AF	?B	424.975	106.450	425.206	129.843	421.422	301.224	417.554	417.837	303.533	214.893	78.170	303.804	171.577	301.732	417.423	416.532	417.088	59.512	130.711	75.032	55.396	422.356	422.408	.	421.376	104.895	150.394	421.398	104.782	58.388	98.719	421.239	421.433	226.141	421.374	67.942	306.212	421.860	421.787	421.692	301.944	125.795	34.027	21.497	422.768	423.076	20.367	16.071	11.882	105.387	308.181	424.998	217.903	308.246	182.988	308.024	423.907	424.489	423.942	304.029	v-www.ihep.ac.cn	CN	East_Asia	www.mod.gov.af	AF	South_Asia
CN.AC.N3	AL.ALBANIAONLINE.NET.N1	?B	104.715	110.791	79.337	119.749	131.335	157.889	116.598	133.904	133.105	125.764	139.158	105.050	116.962	109.793	112.686	116.084	117.884	105.678	103.382	122.205	130.277	125.027	116.343	.	135.428	165.524	122.433	111.085	122.225	112.707	179.710	158.550	334.676	295.434	188.448	208.023	149.344	274.819	180.605	93.735	239.004	275.849	144.911	205.476	186.477	201.508	193.808	164.252	144.548	183.356	210.597	139.034	177.520	166.743	142.636	121.584	125.811	163.188	188.589	241.101	v-www.ihep.ac.cn	CN	East_Asia	aol1.albaniaonline.net	NET	Balkans
CN.AC.N3	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	397.457	235.055	251.987	449.013	293.457	254.304	316.178	336.564	476.549	336.058	388.790	256.595	333.907	250.786	250.565	253.385	125.323	165.853	143.015	121.912	175.857	441.246	943.879	401.037	570.128	693.357	1011.370	715.051	200.522	534.898	363.839	957.570	703.709	149.683	414.316	v-www.ihep.ac.cn	CN	East_Asia	www.sci.am	AM	Central_Asia
CN.AC.N3	AU.AARNET.ADELAIDE.N1	?B	1080.137	779.712	1082.077	1080.546	1077.038	1076.839	1079.396	1074.313	1069.614	1068.669	1076.947	1075.064	1074.570	1074.565	1074.615	1074.394	1052.251	1073.756	1068.844	1074.529	1074.275	1065.344	1074.613	.	1074.803	1074.411	1052.439	1058.054	1067.933	1077.696	1070.802	1077.331	1057.603	1077.172	1075.188	1077.951	1077.749	1077.891	1075.711	1071.269	1071.381	1071.339	1071.390	1070.714	1073.000	1070.311	1076.658	1074.614	1065.063	778.909	778.132	546.914	1058.751	1066.699	1066.307	1066.427	1067.080	1067.090	1056.459	1066.971	v-www.ihep.ac.cn	CN	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.BRISBANE.NET	?B	1097.652	1089.457	1099.530	1097.891	1096.308	1097.262	1100.019	1094.473	1089.034	1088.166	1097.014	1094.881	1094.427	1094.693	1091.998	1094.411	1071.437	1092.135	1087.970	1094.619	1094.396	1085.513	1094.499	.	1094.487	1094.466	1071.617	1078.614	1088.489	1097.587	1090.064	1096.613	1077.419	1096.477	1093.654	1098.111	1096.964	1098.098	1097.255	1091.325	1091.521	1090.228	1091.355	1090.200	1092.959	1090.489	1096.834	1094.822	1086.878	1091.976	1090.638	1087.417	1081.906	1089.590	1089.405	1091.799	1090.239	1090.357	1079.082	1090.225	v-www.ihep.ac.cn	CN	East_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.CANBERRA.NET	?B	1136.307	1126.760	1139.390	1135.154	1135.372	1135.563	1138.099	1132.438	1126.279	820.008	1136.729	1130.788	1132.764	1131.148	1133.901	1131.474	1106.492	1131.768	1127.028	1133.130	1133.600	1131.795	1133.894	.	1134.056	1133.621	1107.778	1133.169	1125.727	1137.248	1129.107	1133.301	1137.278	1135.968	1134.841	1137.456	1137.528	1137.550	1135.119	1130.149	1130.373	1130.292	1130.330	1130.109	1131.904	1128.027	1136.024	1133.890	1123.706	1130.050	820.463	1125.500	1120.494	1128.676	1128.131	1128.111	1129.030	1129.073	1114.738	1129.057	v-www.ihep.ac.cn	CN	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.HOBART.N2	?B	781.162	1066.689	1076.775	1075.219	1071.818	1071.611	1069.199	1068.759	1063.708	1062.917	1071.149	1069.390	1067.272	1068.703	1067.735	1068.667	1044.310	1067.145	1063.423	1068.625	1068.615	1059.556	1068.996	.	1068.285	1066.877	1046.112	1050.439	1062.702	1071.508	1063.553	1071.048	1052.381	1071.288	1069.101	1071.888	1070.604	1071.672	1069.529	1065.313	1065.875	1061.140	1065.933	1065.731	1067.282	1065.406	1070.937	1069.135	1059.057	1066.256	1065.545	546.721	1060.048	1067.635	1066.636	1067.333	1067.964	1067.955	1057.334	1067.789	v-www.ihep.ac.cn	CN	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
CN.AC.N3	AU.AARNET.PERTH.NET	?B	1000.688	994.266	1006.519	1006.828	997.805	997.802	1003.791	995.388	991.339	990.643	997.438	995.956	995.687	995.665	995.702	995.615	976.426	994.961	994.287	995.447	995.297	995.648	995.691	.	995.921	995.538	976.723	995.708	993.922	998.205	992.457	998.164	998.088	997.990	996.514	998.522	998.317	998.507	996.591	992.830	992.992	1156.530	1503.040	1502.362	1505.623	1488.080	1509.418	1509.556	1491.379	1507.913	1477.005	1493.934	1467.977	1490.109	1493.277	1493.348	381.905	1469.074	1469.819	1494.716	v-www.ihep.ac.cn	CN	East_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
CN.AC.N3	BA.UTIC.NET.N1	?B	1008.500	1008.304	1008.297	1007.683	1003.755	1006.554	1003.260	1008.923	249.471	339.608	973.049	976.198	338.586	375.760	205.773	652.869	460.058	970.384	972.181	977.358	979.384	980.065	980.138	.	971.717	950.823	509.767	948.128	949.872	948.083	946.162	958.069	695.383	985.117	485.294	630.681	865.785	851.866	908.324	884.485	879.888	898.856	907.505	907.161	904.623	908.561	909.512	907.799	906.123	909.101	910.815	901.379	906.683	907.763	908.856	145.536	911.853	910.794	908.900	928.361	v-www.ihep.ac.cn	CN	East_Asia	linhost2.utic.net.ba	BA	Balkans
CN.AC.N3	BD.DUET.AC.N1	?B	2846.202	2037.565	1438.150	2847.410	1464.842	2846.292	2842.728	1594.002	1219.959	911.351	775.251	958.575	416.172	1572.813	916.984	1186.025	991.552	1511.181	1774.490	683.353	838.024	1108.822	535.893	.	326.363	159.591	165.557	148.260	687.829	1151.123	520.951	1343.847	346.391	863.796	405.119	564.858	1192.168	594.319	253.038	713.753	309.405	191.644	471.887	788.980	873.276	576.328	681.335	791.333	679.688	325.981	.	914.396	628.505	925.916	402.890	560.479	1579.562	1181.840	650.520	904.747	v-www.ihep.ac.cn	CN	East_Asia	www.duet.ac.bd	BD	South_Asia
