#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
DE.DESY.N1	AF.MOD.GOV.AF	?B	634.477	635.115	460.782	627.085	631.581	631.430	449.554	458.634	458.972	459.455	101.890	456.845	168.800	627.126	626.820	179.427	263.101	100.268	157.244	182.598	84.275	446.904	627.495	627.955	455.526	186.584	455.318	626.567	191.384	71.216	206.372	322.919	559.467	614.279	256.481	134.419	455.944	628.200	627.511	625.369	623.210	453.041	36.964	33.153	622.905	623.225	56.382	18.121	12.706	113.130	627.985	629.008	186.342	455.737	316.407	628.372	456.071	628.608	627.867	627.703	ping.desy.de	DE	Europe	www.mod.gov.af	AF	South_Asia
DE.DESY.N1	AL.ALBANIAONLINE.NET.N1	?B	685.608	886.351	517.830	1071.936	1287.149	890.730	904.635	824.935	1486.533	1162.232	1330.258	1171.383	1153.304	1042.689	930.432	1027.387	976.882	693.634	1224.600	1357.521	1386.188	989.288	864.225	2244.321	1896.273	1547.349	1364.977	1435.627	819.749	1458.036	1144.137	1913.212	1947.084	2160.836	1297.111	1204.290	1058.923	1637.336	1213.275	1702.465	2640.493	1343.683	801.369	1120.445	1374.848	992.584	1261.378	995.893	1021.610	3515.182	3441.439	5400.179	1495.252	1374.144	1513.305	2735.398	1123.308	2275.085	1382.937	1664.683	ping.desy.de	DE	Europe	aol1.albaniaonline.net	NET	Balkans
DE.DESY.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2830.188	.	958.329	644.090	783.288	1040.652	1047.243	1311.331	676.092	921.004	883.854	1966.666	802.706	696.322	661.131	886.532	750.706	879.460	453.776	323.476	453.540	385.437	476.103	2832.013	1483.274	2747.345	2627.697	2587.881	2907.019	2912.913	1053.952	2134.446	927.043	2463.836	1934.800	493.950	3120.886	ping.desy.de	DE	Europe	www.sci.am	AM	Central_Asia
DE.DESY.N1	AU.AARNET.ADELAIDE.N1	?B	1003.658	1003.775	1003.649	1004.624	1005.146	1007.560	1008.165	1010.048	1010.548	1010.509	1009.866	1007.573	1005.710	1011.897	1012.082	1014.865	1013.197	1012.482	273.680	1009.979	994.681	1005.844	1005.878	1005.349	1010.362	1004.211	1012.014	1013.626	1011.252	1014.872	1006.575	1013.885	1009.915	1006.110	1014.511	1015.087	1015.047	1012.700	1009.054	1010.424	1010.225	1010.103	1008.852	1004.867	1008.004	1004.262	1002.333	997.744	354.261	997.343	996.977	994.160	987.429	991.872	995.626	993.830	995.466	996.354	1000.730	993.039	ping.desy.de	DE	Europe	adl-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.BRISBANE.NET	?B	1028.355	1028.230	1027.714	1028.613	1027.246	1028.119	1027.979	1027.839	1028.155	1028.278	1027.215	1027.838	1030.298	1032.936	1033.009	1032.408	1029.552	1031.351	280.977	1037.185	1016.915	1031.266	1031.160	1029.045	1032.938	1031.838	1035.262	1037.423	1037.789	1037.329	1032.806	1036.350	1033.583	1028.496	1037.469	1037.950	1037.887	1035.002	1033.967	1032.687	1033.785	1032.770	1033.101	1031.751	1031.862	1027.527	1025.909	1021.125	384.360	1020.685	1020.344	1015.501	1007.423	1012.135	1016.039	1015.109	1015.888	1016.790	1021.259	1013.267	ping.desy.de	DE	Europe	bne-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.CANBERRA.NET	?B	1056.352	1057.101	1056.620	1056.975	1056.088	1055.968	1055.261	1055.841	1057.148	1057.157	1056.027	1056.692	1059.302	1060.548	1060.778	1061.469	1059.412	1059.249	286.582	774.540	1044.512	1060.327	1058.800	1057.323	1062.322	1056.816	1063.304	1064.246	1066.791	1067.181	1061.068	1065.848	1062.485	1057.178	1066.832	1067.370	323.076	1064.775	1061.992	1062.219	1062.958	1061.874	1062.234	1060.878	1060.848	1056.346	1054.682	1049.580	372.410	1049.141	1048.749	1043.302	1034.504	1040.104	1044.186	1042.150	1044.028	1044.989	375.539	1040.963	ping.desy.de	DE	Europe	cbr-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.HOBART.N2	?B	998.787	998.661	998.737	998.386	999.047	1005.553	1005.965	1006.975	1008.462	1007.867	1007.393	1002.454	1001.271	1009.484	1009.145	1009.905	1003.688	1009.153	272.784	1007.066	989.738	1001.964	999.814	1002.160	1007.945	999.078	1007.350	1006.181	1005.989	1009.490	1000.490	1011.747	1004.214	1003.415	1012.439	1012.955	1010.978	1009.953	1005.693	1008.269	1008.733	1007.955	1005.002	999.943	1005.770	1001.764	1000.273	995.686	374.999	995.230	994.904	988.269	979.967	984.321	988.079	986.281	987.877	988.755	993.051	985.163	ping.desy.de	DE	Europe	hba-a-pm1.aarnet.net.au	AU	Oceania
DE.DESY.N1	AU.AARNET.PERTH.NET	?B	1138.564	1138.416	1137.744	1138.739	1140.447	1145.483	1145.812	1146.039	1146.129	1146.186	1141.020	1145.597	1148.721	1151.909	1151.985	1151.715	1149.865	1149.828	312.045	1151.027	1127.126	1143.592	1142.722	1141.567	1145.993	1141.623	1148.810	1151.662	1151.891	1151.819	1144.482	1150.400	1147.150	1141.305	1151.292	1152.077	1152.027	1149.038	1146.071	1146.065	1145.812	1145.684	1146.076	1144.478	1143.053	1138.170	1135.673	1129.785	400.708	1129.244	1128.816	1140.550	1116.223	1122.193	1127.084	1124.758	1126.902	1128.000	405.570	1123.763	ping.desy.de	DE	Europe	per-a-ext1.aarnet.net.au	AU	Oceania
DE.DESY.N1	BA.UTIC.NET.N1	?B	8415.480	8392.701	8377.567	8304.002	8284.762	8288.488	8280.436	8372.812	8503.253	8307.036	6011.875	8468.865	8351.962	8368.938	8279.145	8431.722	8264.333	8417.934	8187.429	8240.969	8263.585	8290.837	8426.296	8318.035	8272.323	8042.950	8166.987	5816.256	8253.560	8316.825	8124.970	8207.503	7957.594	8178.470	8447.358	9171.285	9121.166	8997.224	6416.893	8888.870	8820.096	8890.814	9011.822	9020.176	8830.016	8975.542	8221.852	8757.662	8622.330	9065.367	9173.117	8955.466	8807.985	8678.567	8846.830	9069.402	8938.102	9062.670	8938.039	8741.168	ping.desy.de	DE	Europe	linhost2.utic.net.ba	BA	Balkans
DE.DESY.N1	BD.DUET.AC.N1	?B	1491.421	1490.926	1491.824	1492.044	1084.171	1487.419	1084.231	1490.223	1491.024	1491.687	762.511	439.075	296.259	381.244	367.455	1083.396	1491.771	625.426	745.616	177.934	165.327	253.731	422.692	672.898	104.815	90.966	88.292	103.012	350.393	293.135	365.186	180.948	185.128	251.976	169.189	258.130	502.962	202.799	96.675	225.988	182.555	134.024	203.213	584.153	1132.239	821.900	1129.575	1130.817	738.505	135.008	.	1146.425	588.354	1143.653	335.930	414.690	1145.551	831.686	588.139	321.326	ping.desy.de	DE	Europe	www.duet.ac.bd	BD	South_Asia
DE.DESY.N1	BJ.GOUV.N1	?B	700.504	602.333	454.759	607.079	420.027	385.247	420.593	772.924	731.638	451.602	701.202	427.667	457.391	423.350	656.585	982.936	453.953	2971.855	456.946	700.291	575.615	1246.342	2158.014	427.714	485.084	984.758	691.670	653.767	2972.728	981.595	585.474	477.118	625.780	384.361	462.871	1867.919	1196.751	490.817	641.758	535.108	546.856	400.427	777.805	2857.354	1052.342	1037.012	876.950	579.557	486.334	637.401	771.008	462.656	448.007	449.833	476.458	412.847	2839.125	1140.366	359.661	410.882	ping.desy.de	DE	Europe	waib.gouv.bj	BJ	Africa
