#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
DZ.ARN.N3	AF.MOD.GOV.AF	?B	561.296	409.090	288.658	561.828	126.846	558.850	321.505	.	217.737	418.878	573.329	293.971	572.013	413.779	569.792	129.163	569.559	219.685	567.007	568.690	413.743	191.641	569.881	570.815	412.905	412.150	566.142	159.975	189.602	140.659	568.164	270.546	153.067	113.579	56.718	36.967	33.716	40.765	32.615	43.718	49.821	126.177	45.600	38.534	44.721	65.298	41.199	58.830	115.407	86.462	145.680	38.666	45.834	41.025	37.367	60.117	67.562	238.378	76.467	56.587	pinger.arn.dz	DZ	Africa	www.mod.gov.af	AF	South_Asia
DZ.ARN.N3	AL.ALBANIAONLINE.NET.N1	?B	579.441	483.117	385.474	588.085	774.735	608.539	790.774	.	627.271	710.016	784.178	859.223	763.176	1044.100	802.402	628.558	832.996	826.845	788.993	681.556	995.879	799.411	936.575	924.613	779.636	979.877	758.503	686.280	766.872	831.185	1093.216	1503.218	1350.690	1397.374	1301.613	892.778	880.294	1520.023	1572.782	958.371	1391.220	1211.153	934.675	1192.126	1225.155	743.234	961.212	802.145	721.620	726.253	1023.719	953.984	596.556	562.886	320.901	431.249	506.283	1068.157	1255.582	229.028	pinger.arn.dz	DZ	Africa	aol1.albaniaonline.net	NET	Balkans
DZ.ARN.N3	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	584.602	1199.257	385.142	2701.122	2017.315	2779.531	1369.266	898.687	1939.017	948.014	1309.648	2514.237	1942.600	618.755	465.589	465.743	658.558	275.078	602.652	637.797	335.223	416.963	565.444	516.110	755.920	368.238	457.606	458.564	250.792	160.641	175.333	223.981	703.586	321.292	120.876	pinger.arn.dz	DZ	Africa	www.sci.am	AM	Central_Asia
DZ.ARN.N3	AU.AARNET.ADELAIDE.N1	?B	931.983	930.742	929.385	247.374	226.225	358.392	252.901	.	483.653	357.932	684.270	682.462	943.213	688.167	686.418	940.887	943.110	484.854	684.788	278.150	936.918	934.855	933.864	240.805	501.357	262.854	501.783	190.479	476.116	263.130	293.012	101.644	201.352	225.133	186.859	303.109	337.565	678.005	252.731	100.098	141.333	198.453	169.925	923.105	474.420	173.107	215.426	345.110	238.621	232.127	170.593	217.845	145.735	183.620	102.420	189.760	145.388	355.234	284.854	75.381	pinger.arn.dz	DZ	Africa	adl-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.BRISBANE.NET	?B	936.483	936.509	680.360	933.053	240.808	680.532	281.679	.	598.638	398.214	690.866	948.632	486.103	303.764	689.770	692.141	336.433	285.372	951.983	314.796	408.905	685.654	684.563	256.349	678.690	429.275	360.455	265.754	274.003	291.207	484.040	106.869	316.186	158.450	228.039	679.854	301.494	947.876	189.928	138.263	247.055	160.537	157.355	347.458	318.476	191.765	268.687	267.077	333.382	240.335	192.605	190.508	202.272	171.816	92.633	108.162	100.853	390.258	361.640	90.594	pinger.arn.dz	DZ	Africa	bne-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.CANBERRA.NET	?B	711.634	333.232	422.957	977.296	263.734	313.644	241.805	.	429.817	377.923	720.087	720.643	506.087	450.999	507.060	382.450	369.561	233.928	989.670	373.654	266.075	292.296	377.178	723.010	286.985	885.211	306.900	157.828	414.948	726.121	280.700	93.428	324.096	209.771	175.661	301.376	298.932	428.229	183.772	119.249	250.996	200.134	212.143	502.483	977.118	282.819	259.966	231.838	276.100	254.023	245.607	294.175	211.935	163.162	111.220	145.873	182.545	339.692	267.706	99.215	pinger.arn.dz	DZ	Africa	cbr-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.HOBART.N2	?B	464.677	903.721	322.897	901.745	222.204	653.675	534.936	.	665.793	220.496	663.816	916.404	670.320	473.514	918.440	273.848	767.023	386.272	669.594	421.271	675.692	678.201	679.173	346.796	523.267	524.641	304.458	207.297	282.117	346.766	303.516	108.019	215.059	163.314	206.629	352.608	340.262	924.205	252.516	155.152	204.161	212.152	158.424	284.938	268.399	258.644	194.313	232.985	274.735	199.914	229.198	180.070	143.482	133.816	107.449	114.841	144.266	274.488	350.516	71.416	pinger.arn.dz	DZ	Africa	hba-a-pm1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	AU.AARNET.PERTH.NET	?B	754.577	616.157	847.452	845.560	241.567	616.079	227.407	.	623.743	441.362	360.399	371.085	624.091	318.206	332.014	319.415	860.076	246.726	625.206	256.384	444.442	444.746	320.990	860.678	392.971	327.990	248.298	179.860	241.767	281.252	321.401	95.456	295.426	163.062	216.138	357.822	437.871	864.383	285.571	138.880	332.821	328.219	155.102	437.700	851.153	178.031	168.303	263.272	236.923	186.433	195.492	181.268	186.480	121.055	84.326	112.870	118.275	231.852	226.884	106.894	pinger.arn.dz	DZ	Africa	per-a-ext1.aarnet.net.au	AU	Oceania
DZ.ARN.N3	BA.UTIC.NET.N1	?B	3797.534	2870.840	2806.903	2569.030	3060.205	2228.198	1002.889	.	2096.868	2962.524	4033.666	1714.683	2113.866	2112.617	1292.904	1575.602	2175.000	1470.502	3043.501	1671.200	1298.279	2930.636	4054.731	1721.183	2196.256	2139.179	2233.292	1614.102	2123.797	2131.519	2094.608	1780.810	1259.456	1700.757	1757.604	3925.182	2811.106	2982.864	1521.830	1239.594	1514.312	1717.794	1208.321	1989.942	2826.224	841.850	1015.841	953.239	1750.653	1463.548	759.752	1309.709	1652.236	495.217	258.797	364.624	773.071	1298.099	1506.529	226.848	pinger.arn.dz	DZ	Africa	linhost2.utic.net.ba	BA	Balkans
DZ.ARN.N3	BD.DUET.AC.N1	?B	1526.904	655.672	1521.575	1517.599	1106.661	1523.676	1524.707	.	479.491	1562.331	413.754	309.114	377.351	352.768	405.982	1138.604	1567.545	1386.689	1127.153	299.729	217.739	474.599	416.641	1664.822	353.619	227.101	215.925	223.636	538.000	1663.126	830.504	405.977	464.290	203.456	146.498	210.403	804.421	389.483	285.106	521.850	474.561	265.069	167.326	848.493	687.503	371.655	364.759	309.801	1529.666	151.053	.	644.832	237.130	280.061	145.610	172.680	182.633	541.989	776.416	109.821	pinger.arn.dz	DZ	Africa	www.duet.ac.bd	BD	South_Asia
