#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.SLAC.STANFORD.N3	AD.UDA.N1	?r	1442.105	1443.738	2016.356	1045.551	2030.761	856.538	2043.143	1481.659	1486.545	1485.245	1046.953	1473.309	1985.342	2021.716	736.188	2025.127	2031.290	1476.523	2030.060	1476.153	740.607	1482.294	1498.420	2049.836	1490.473	2054.617	2051.966	2054.218	1480.441	1478.479	2034.441	2054.933	2039.786	1488.894	1490.610	1050.098	1488.846	2054.969	1552.889	1511.385	2056.596	1494.877	1047.231	2044.397	2046.825	2029.910	1491.307	1490.672	1047.890	2041.833	1483.936	2040.337	2040.844	2014.998	2041.729	2040.037	2032.399	1477.952	2041.170	2035.345	pinger.slac.stanford.edu	EDU	North_America	www.uda.ad	AD	Europe
EDU.SLAC.STANFORD.N3	AE.ADACH.N1	?r	639.388	1253.635	523.897	911.382	300.930	661.220	461.467	910.661	415.586	910.070	1253.847	380.186	680.251	644.312	282.187	649.295	653.293	530.903	354.041	918.497	529.798	1268.991	1318.296	1292.335	1260.612	359.876	648.944	371.917	1257.878	680.777	927.022	1272.011	1286.025	1284.375	1316.822	1325.802	1329.606	1340.378	1340.872	1326.730	959.861	1318.303	389.492	953.355	1338.012	1322.791	1288.484	1358.175	1405.115	1386.187	454.567	1426.637	1422.362	1424.074	1394.655	1427.233	1419.646	1418.808	1424.458	1423.212	pinger.slac.stanford.edu	EDU	North_America	www.adach.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ADPOLICE.GOV.N1	?r	1243.032	1216.590	1244.778	904.788	1245.156	1242.265	1228.454	1233.774	1242.021	1227.624	1232.473	1232.742	1257.815	1226.514	1229.995	1227.973	1213.527	1202.582	1218.435	1211.724	1218.057	1213.812	1178.521	1217.885	1229.989	1232.291	1238.443	1256.743	1259.748	1258.676	1247.933	1235.391	1220.941	128.168	1225.205	1229.920	1230.846	1234.251	1231.026	1234.600	1231.702	1241.491	1229.645	1228.591	1226.507	1225.239	870.216	1196.794	1227.378	902.652	1220.983	1222.234	1227.787	1228.922	1221.881	1224.599	658.919	437.868	896.806	1206.131	pinger.slac.stanford.edu	EDU	North_America	www.adpolice.gov.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ESTAMER.AE	?r	892.293	451.437	445.542	631.624	406.531	517.775	334.845	517.080	359.672	515.298	620.517	1228.578	901.876	636.281	372.344	638.860	1244.151	904.189	455.312	903.823	279.731	1248.959	909.355	652.029	640.860	404.583	644.029	635.520	327.725	1248.837	1261.363	646.027	1271.468	912.121	914.434	1270.695	1272.956	438.541	527.923	1274.953	1271.888	1269.840	369.007	914.842	929.174	1271.307	1241.728	920.755	299.631	358.467	1287.394	1263.727	1293.640	1292.770	1263.810	338.999	1290.905	1287.895	1292.539	1290.794	pinger.slac.stanford.edu	EDU	North_America	www.estamer.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.NRF.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.slac.stanford.edu	EDU	North_America	www.nrf.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AE.ZU.AC.N2	?r	1176.856	1176.693	855.434	1176.532	1177.873	855.565	1177.222	1178.788	1178.243	1179.984	1175.452	1183.334	1207.230	1182.133	1181.027	1178.508	1194.688	1180.769	1178.255	1166.988	1193.484	1191.022	1180.270	867.290	1194.040	1191.318	1196.012	1205.201	1210.982	1209.489	1198.014	1193.967	1194.221	1196.909	1195.989	1195.018	1197.122	870.172	870.217	1205.660	1196.754	1202.050	853.264	1182.817	1170.945	1175.525	1149.072	1147.218	1198.975	1211.718	1172.895	1156.661	1205.288	1238.027	1207.143	1235.137	1237.384	899.130	568.036	1241.451	pinger.slac.stanford.edu	EDU	North_America	ns1.zu.ae	AE	Middle_East
EDU.SLAC.STANFORD.N3	AF.MOD.GOV.AF	?B	520.837	521.402	521.561	520.891	519.930	95.810	515.384	516.116	263.699	375.482	80.781	374.140	150.822	373.478	509.363	357.567	140.064	80.883	102.061	94.452	64.603	506.659	510.676	514.720	276.178	221.831	186.763	513.956	183.740	71.936	515.211	515.066	514.612	359.502	212.263	80.594	157.320	371.681	374.864	514.256	372.988	373.158	41.159	22.618	514.096	513.984	48.956	17.844	11.821	102.430	359.500	512.805	221.101	233.705	512.408	512.471	512.189	365.874	512.696	511.057	pinger.slac.stanford.edu	EDU	North_America	www.mod.gov.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AF.MULTINET.N1	?r	479.734	501.506	493.627	482.039	501.336	346.868	349.372	341.695	480.395	480.597	165.736	479.143	242.736	475.635	65.943	51.174	101.527	202.533	479.792	347.128	478.058	345.732	473.863	245.307	341.801	149.120	207.395	151.573	204.701	241.773	238.912	341.857	469.459	476.347	480.090	482.085	481.135	484.208	479.599	169.431	342.930	239.537	196.558	472.710	149.970	80.022	481.390	479.192	480.372	479.313	481.679	480.424	201.123	476.360	479.909	476.243	478.197	477.306	139.372	346.287	pinger.slac.stanford.edu	EDU	North_America	www.multinet.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AF.NEDA.N1	?r	513.028	509.194	512.353	512.930	262.021	510.622	371.881	511.923	511.870	511.228	512.473	512.569	508.448	511.445	513.146	513.503	513.782	513.841	513.798	511.210	58.283	509.972	510.097	502.787	260.206	155.654	519.141	516.639	515.983	516.188	374.262	515.666	513.143	142.418	518.250	518.141	518.108	518.958	519.798	515.990	520.347	518.218	513.834	373.319	373.385	373.755	373.907	514.398	264.523	515.522	514.701	514.207	514.965	517.259	520.374	515.744	520.407	.	.	.	pinger.slac.stanford.edu	EDU	North_America	mail.neda.af	AF	South_Asia
EDU.SLAC.STANFORD.N3	AL.ALBANIAONLINE.NET.N1	?B	274.904	190.264	269.493	240.228	323.069	464.792	256.906	254.335	262.372	269.424	306.299	327.818	245.125	268.819	320.969	286.572	356.613	221.418	287.041	377.569	547.797	360.846	342.739	272.810	366.148	351.895	298.826	283.308	296.934	361.251	481.728	432.255	662.597	551.580	541.623	404.344	679.582	575.380	462.208	719.109	1758.067	1258.310	307.468	383.438	765.345	362.609	339.562	325.608	321.309	750.229	750.755	415.951	655.720	984.809	1350.337	674.862	597.194	600.579	438.139	463.536	pinger.slac.stanford.edu	EDU	North_America	aol1.albaniaonline.net	NET	Balkans
