#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
EDU.STANFORD.N9	AF.MOD.GOV.AF	?B	453.513	509.360	261.461	507.340	185.543	148.347	509.130	508.851	508.586	261.678	507.443	168.505	130.490	368.122	368.371	360.683	507.400	368.681	367.613	368.199	259.761	367.806	368.946	507.139	507.255	219.190	270.302	163.967	507.651	230.776	144.716	157.558	169.214	356.347	39.287	26.856	27.415	41.238	30.344	42.564	48.330	114.366	17.995	17.584	37.472	89.157	18.486	14.128	12.189	64.466	107.733	35.943	44.240	30.573	39.005	109.579	172.748	129.603	70.058	259.682	pinger.stanford.edu	EDU	North_America	www.mod.gov.af	AF	South_Asia
EDU.STANFORD.N9	AL.ALBANIAONLINE.NET.N1	?B	266.848	277.783	184.401	323.599	537.499	330.195	335.527	301.245	346.278	409.555	361.181	416.088	349.339	438.144	302.685	420.497	333.645	234.009	428.732	470.409	435.459	299.106	319.213	401.127	449.350	414.117	408.608	485.756	311.679	480.537	391.362	614.753	531.048	799.658	669.944	353.641	419.502	569.131	545.766	1214.125	677.845	627.266	258.154	404.543	516.031	367.763	329.655	554.096	332.044	554.698	653.514	1277.033	532.351	643.818	465.911	882.683	617.948	625.296	493.585	577.557	pinger.stanford.edu	EDU	North_America	aol1.albaniaonline.net	NET	Balkans
EDU.STANFORD.N9	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1240.332	.	738.815	301.874	315.838	616.026	333.654	461.195	345.131	524.344	880.135	1244.200	372.760	287.798	255.289	519.508	518.516	520.315	202.863	179.570	204.261	150.084	182.977	306.219	668.740	1332.958	1259.301	1205.890	923.749	1279.480	657.090	928.769	396.362	1170.752	1213.096	206.566	674.877	pinger.stanford.edu	EDU	North_America	www.sci.am	AM	Central_Asia
EDU.STANFORD.N9	AU.AARNET.ADELAIDE.N1	?B	2015.455	2015.322	2015.401	2015.316	2001.030	1993.956	1994.033	1991.569	1990.123	1989.624	1993.798	1993.779	1993.987	1993.574	1994.065	1993.891	1991.401	1994.138	1989.157	1992.654	1994.192	1993.767	1991.579	1993.695	1994.180	1993.313	1993.798	1993.589	1994.168	1994.608	1994.667	1994.367	1994.838	1994.462	1994.605	1994.815	1994.785	1994.044	1993.970	1993.815	1991.478	1994.819	1993.257	1992.434	1994.709	1994.657	1994.722	1994.662	1994.684	1994.787	1994.758	1991.916	1445.356	1990.571	1990.695	1990.663	1990.409	1990.762	1986.612	1990.251	pinger.stanford.edu	EDU	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.BRISBANE.NET	?B	2076.353	2076.315	2076.368	2076.236	2076.300	2076.335	2076.316	2074.969	2075.853	2069.468	2075.620	2076.278	2075.628	2075.897	2075.975	2076.348	2071.791	2076.442	2076.024	2076.099	2076.477	2075.584	2076.477	2074.936	2076.301	2075.844	2076.475	2076.290	2075.565	2075.069	2076.404	2076.351	2077.143	2075.825	2077.241	2076.973	2077.011	2075.558	2083.550	2075.293	2074.600	2077.414	2075.543	2074.917	2077.251	2073.761	2077.234	2077.178	2077.271	2077.342	2077.280	2066.249	2059.704	2060.924	2061.028	2068.319	2060.822	2061.222	2057.853	2060.992	pinger.stanford.edu	EDU	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.CANBERRA.NET	?B	2217.567	2221.247	2221.391	2219.389	2220.081	2216.494	2219.477	2217.612	2215.569	2215.687	2214.803	2221.379	2221.801	2214.308	2212.903	2216.470	2218.346	2207.503	2221.682	2214.608	2213.314	2221.946	2214.798	2219.605	2222.091	2214.131	2210.492	2210.294	2222.009	2220.389	2220.641	2219.857	2222.711	2221.276	2222.444	2222.873	2222.491	2222.691	2222.621	2222.642	2222.750	2222.744	2222.659	2220.076	2222.853	2218.968	2222.840	2222.612	2222.846	2222.980	2222.903	2210.275	2202.750	2204.091	2204.230	2204.129	2203.771	2204.241	2200.240	2203.370	pinger.stanford.edu	EDU	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.HOBART.N2	?B	1996.339	1996.124	1996.820	1996.967	1997.851	1996.567	1996.184	1995.968	1993.472	1992.740	1996.788	1996.440	1996.375	1996.999	1997.143	1997.268	1990.151	1997.373	1995.892	1993.262	1997.181	1988.812	1997.169	1996.922	1995.787	1988.928	1996.635	1990.429	1992.255	1988.228	1990.188	1995.144	1989.329	1994.299	1997.610	1995.008	1997.415	1996.567	1991.917	1997.701	1997.889	1997.879	1984.498	1984.123	1997.513	1994.410	1997.494	1997.637	1997.575	1997.771	1997.760	1980.190	1970.154	1971.621	1971.548	1971.590	1971.418	1971.683	1967.870	1971.235	pinger.stanford.edu	EDU	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	AU.AARNET.PERTH.NET	?B	1754.541	1754.384	1754.465	1754.420	1743.517	1738.228	1738.239	1736.660	1734.517	1734.361	1738.213	1738.196	1738.201	1737.875	1738.152	1738.153	1736.479	1738.317	1734.570	1737.773	1738.350	1738.023	1736.412	1737.973	1738.339	1737.615	1738.077	1737.917	1738.371	1738.758	1738.582	1738.602	1738.943	1738.951	1738.779	1738.937	1738.877	1738.381	1738.346	1738.143	1736.407	1738.977	1737.836	1736.981	1738.874	1738.713	1738.895	1738.864	1738.873	1738.897	1738.886	1736.699	1734.593	1735.684	1735.819	1735.782	1735.563	1735.856	1732.913	1735.543	pinger.stanford.edu	EDU	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
EDU.STANFORD.N9	BA.UTIC.NET.N1	?B	1894.969	1882.616	1870.730	1891.511	1845.254	1889.657	1863.436	1886.104	1876.727	1886.509	986.838	1898.338	1851.455	1878.474	980.533	1889.942	1892.592	1875.579	1880.123	1356.400	1885.724	1889.732	1892.916	1848.195	1888.329	908.623	1880.097	1875.330	1887.669	1881.267	1888.457	1394.896	1918.465	1294.476	1869.938	1951.766	1921.860	1888.344	1937.894	1883.980	1418.574	1950.465	1909.656	1871.949	1879.289	1840.593	1854.114	1878.701	1880.141	1901.959	1894.942	1876.230	1887.711	1885.310	1353.183	1883.946	1897.028	1881.463	1882.506	1895.099	pinger.stanford.edu	EDU	North_America	linhost2.utic.net.ba	BA	Balkans
EDU.STANFORD.N9	BD.DUET.AC.N1	?B	1513.169	1514.028	1521.384	1513.876	1095.616	1500.755	1486.553	623.912	1079.125	1484.922	477.202	326.349	322.730	616.933	296.543	1476.771	1489.702	482.022	1076.340	347.225	437.745	505.560	624.249	851.838	150.039	132.153	110.109	122.917	357.498	210.908	576.346	254.265	260.771	291.467	260.365	357.278	1032.809	246.758	120.215	434.509	326.827	87.440	201.193	1490.766	769.079	1079.902	1084.129	1087.392	1492.569	219.850	.	1489.686	454.872	1488.599	419.589	484.216	1501.901	1500.416	1085.989	456.083	pinger.stanford.edu	EDU	North_America	www.duet.ac.bd	BD	South_Asia
EDU.STANFORD.N9	BJ.GOUV.N1	?B	379.880	211.435	215.944	387.346	177.370	192.282	212.774	374.128	471.064	206.264	285.352	283.578	201.926	263.955	604.088	320.830	238.738	246.765	237.817	231.059	534.647	740.720	534.944	246.065	274.813	338.124	359.121	341.242	1458.330	1457.837	268.894	243.759	230.217	201.985	268.548	1059.279	1457.234	356.184	285.117	375.137	339.267	208.968	514.562	1441.334	603.212	1046.538	306.641	226.713	247.642	277.745	299.861	229.003	179.824	183.258	196.923	198.790	1437.440	419.938	209.869	180.111	pinger.stanford.edu	EDU	North_America	waib.gouv.bj	BJ	Africa
EDU.STANFORD.N9	BO.UMSS.EDU.N1	?M	1093.995	1105.760	1525.885	1515.259	1558.945	1513.522	750.572	1071.852	1531.322	1785.910	1760.135	1493.104	1355.132	496.797	510.810	969.018	507.924	1020.352	585.548	959.286	452.762	1406.555	703.094	381.931	492.758	623.926	1026.773	475.386	1398.829	350.738	286.256	188.804	168.706	134.119	148.573	191.990	137.150	151.767	145.400	153.746	220.099	408.600	1010.514	1027.648	711.362	1382.423	494.125	484.379	353.667	453.215	553.526	296.430	207.354	1365.723	309.797	370.935	400.844	421.456	319.840	689.344	pinger.stanford.edu	EDU	North_America	www.umss.edu.bo	BO	Latin_America
EDU.STANFORD.N9	BR.UNESP.N1	?M	1992.100	1991.883	1987.488	1993.407	1997.263	1997.617	1998.586	2000.239	1999.945	1993.724	1973.771	1683.604	1648.165	1758.300	1859.069	1297.151	1777.071	1784.229	1834.380	1999.050	1999.334	2000.365	2000.099	1999.260	1940.189	1986.150	1996.065	1451.080	1999.970	1850.099	1674.345	1593.419	420.104	1770.208	1766.635	1770.351	1770.402	1769.238	1769.072	1768.426	1768.267	1769.288	1902.224	633.424	2000.347	1994.254	1983.023	2000.315	1073.582	2001.155	2001.806	579.360	1999.540	1999.241	1999.126	1991.177	2001.708	2001.198	448.827	1791.106	pinger.stanford.edu	EDU	North_America	pinger.unesp.br	BR	Latin_America
EDU.STANFORD.N9	BY.MTEC.N1	?B	858.545	441.251	1699.651	1665.815	1204.684	629.914	680.164	520.840	1541.878	1213.283	911.592	1721.579	877.763	1275.137	1691.483	1827.644	864.028	1673.858	377.923	350.369	398.821	425.106	1738.717	565.623	569.050	568.023	875.431	599.240	617.681	878.556	873.189	1780.631	888.861	392.801	755.208	550.900	1156.678	1165.480	717.925	827.948	563.676	855.161	534.841	746.701	631.246	621.401	870.037	700.680	504.159	711.024	861.078	344.839	867.833	881.296	486.014	1276.175	1291.920	1821.694	1331.190	916.646	pinger.stanford.edu	EDU	North_America	www.mtec.by	BY	Europe
EDU.STANFORD.N9	CA.CARLETON.N1	?B	4278.655	4276.032	4276.106	4274.519	4276.108	4275.261	4276.449	4273.424	4258.905	4251.296	1459.799	4276.364	4192.235	4277.152	4279.967	4279.500	4275.772	4206.329	4269.068	4229.452	4262.825	4271.561	4261.040	4240.682	4275.246	1760.457	683.579	4268.408	4280.097	4282.246	4281.456	4272.619	4274.049	4267.904	4116.768	4283.843	4281.991	4294.236	4280.808	4251.739	4269.244	4273.950	4252.824	4237.120	4272.582	4262.550	4277.417	469.311	1445.489	540.416	688.571	633.143	2128.023	4205.239	4271.577	4262.021	4272.423	3102.544	4261.781	4246.588	pinger.stanford.edu	EDU	North_America	ftp.physics.carleton.ca	CA	North_America
EDU.STANFORD.N9	CA.TRIUMF.N1	?M	15729.520	15710.647	15611.731	15728.013	15707.390	14896.862	15744.075	15744.690	15730.525	15169.348	15674.505	15734.378	15705.163	15309.932	15736.668	15740.469	15724.386	15678.358	15681.687	15713.014	15698.016	15748.382	15727.483	15637.508	15745.445	15719.534	15741.782	15743.348	5015.416	15758.349	15765.888	15737.786	15734.434	15732.200	15738.512	15807.920	15763.982	15792.543	15790.152	15711.482	15741.810	15786.412	15775.007	15610.383	15543.922	15348.502	15746.256	14128.016	12845.030	15566.250	14986.622	15646.064	15563.626	15002.448	15713.237	15621.855	15726.367	15698.127	15426.792	15313.027	pinger.stanford.edu	EDU	North_America	sitka.triumf.ca	CA	North_America
EDU.STANFORD.N9	CH.CERN.N1	?B	2032.364	2031.312	2033.102	1482.293	2048.972	1099.919	2048.904	2045.985	2045.771	2055.864	2049.438	2049.807	2050.475	2050.766	2046.536	2048.886	2050.819	2052.369	1967.153	1791.507	1791.540	1859.103	1991.075	1916.727	1406.769	1406.784	1936.598	1934.990	1934.409	1407.524	1938.046	1938.740	639.284	698.960	805.912	1932.762	1958.797	1993.145	1448.322	1994.323	930.229	2087.238	1512.826	1984.702	1935.984	1931.480	1407.927	1408.723	1938.747	1936.335	1937.464	1938.916	1940.190	1939.501	1958.421	2029.183	1473.448	2027.170	2019.017	2027.972	pinger.stanford.edu	EDU	North_America	ping.cern.ch	CH	Europe
EDU.STANFORD.N9	CH.EPFL.N1	?B	1381.042	1381.059	976.412	1900.767	1901.044	1901.028	1901.232	1901.257	1900.882	1901.125	1903.260	1901.027	1381.022	1901.129	1901.291	1901.104	1901.114	1900.559	1903.070	1900.652	1390.385	1924.056	1901.194	1900.948	1905.973	1919.479	1393.396	1892.146	1893.402	1893.472	1894.701	1939.553	1941.261	1920.520	1941.721	1941.974	1942.000	1901.812	1923.387	1941.494	1941.359	1941.522	1941.815	1940.071	1946.152	1955.394	1940.952	1944.694	488.145	1946.569	1946.321	1942.313	1944.900	1945.982	1946.583	1946.486	1946.546	1946.643	1939.930	1946.121	pinger.stanford.edu	EDU	North_America	eltca1.epfl.ch	CH	Europe
EDU.STANFORD.N9	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1398.826	1386.489	1015.256	1398.809	.	.	49.486	53.291	84.327	115.623	1393.052	1365.577	1364.748	1372.784	1397.725	pinger.stanford.edu	EDU	North_America	www.camnet.cm	CM	Africa
