#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
GOV.FNAL.N10	CA.CARLETON.N1	?B	21568.119	20238.577	21463.672	21489.689	21541.912	21360.233	21308.886	21411.828	21620.724	6666.417	3628.583	5119.121	21647.123	21257.786	14263.068	11717.775	12884.443	21541.912	21334.529	21131.101	21360.233	21594.389	21463.672	21463.672	21385.999	10831.576	1916.949	21004.589	21360.233	21541.912	20956.257	21360.233	20928.669	21463.672	21541.912	21489.689	21232.328	20735.665	21515.769	21463.672	21349.944	21463.672	21489.689	21360.233	21206.930	21411.828	21437.719	21030.834	21541.912	21647.123	16400.549	11564.901	11279.737	11413.137	11512.333	11221.444	11580.009	11542.313	11610.343	11346.045	hepnrc.hep.net	NET	North_America	ftp.physics.carleton.ca	CA	North_America
GOV.FNAL.N10	CA.TRIUMF.N1	?M	5931.413	5820.418	5833.825	5923.486	5790.265	5860.824	5903.761	5929.429	5917.555	5826.156	5888.075	5772.946	5757.638	5702.822	5897.869	2674.899	3290.365	5695.343	1918.021	4012.743	5884.166	5884.166	1923.037	2178.349	1815.910	3255.123	5795.683	2893.204	2190.705	2039.689	5882.214	5870.528	5535.626	1730.830	5860.824	5876.365	5872.472	5868.584	5862.762	5843.439	5855.791	5808.976	5868.584	5812.785	3181.800	5858.887	2032.265	5650.877	1874.124	5746.211	737.388	5790.004	5864.702	5845.365	5862.762	5855.018	5856.952	5876.365	5855.018	5691.610	hepnrc.hep.net	NET	North_America	sitka.triumf.ca	CA	North_America
GOV.FNAL.N10	CA.TRIUMF.N2	?r	5947.331	5923.486	5925.466	5939.361	5941.352	5868.584	5949.327	5951.324	5949.327	5882.214	5923.486	5935.384	5927.447	5907.695	5945.337	5905.727	5811.574	5704.695	5731.973	5925.466	5933.398	5925.466	5915.580	5897.869	5923.486	5790.265	5937.372	5933.398	1949.584	5939.361	5923.486	5797.996	5744.975	1687.821	1923.676	5915.580	5935.384	5939.361	5937.372	5811.574	5872.083	5815.465	5780.631	5811.574	5913.607	5919.530	5823.264	3990.581	3766.638	5923.486	5816.599	5895.907	5790.265	5874.418	5864.702	5782.555	5923.486	5931.413	5882.214	5702.822	hepnrc.hep.net	NET	North_America	www.triumf.ca	CA	North_America
GOV.FNAL.N10	CH.CERN.N1	?B	2797.695	2770.155	2781.019	2793.287	2742.304	2749.107	2795.489	2793.727	2793.287	2794.608	2786.263	2796.812	2796.371	2784.076	2794.608	2795.489	2781.891	2796.371	2752.095	2786.263	2797.695	2795.489	2741.170	2899.263	1223.379	2753.805	2761.525	2795.930	2796.371	1582.615	2738.577	2794.608	1028.598	1021.874	853.633	2790.210	1933.114	2782.328	2795.489	2796.371	2956.606	3207.126	3199.602	2919.795	2716.309	2801.231	2739.873	2798.578	2791.967	2742.036	1138.069	1932.810	2800.346	2799.020	2821.308	3140.625	3208.287	3143.466	3211.192	3142.329	hepnrc.hep.net	NET	North_America	ping.cern.ch	CH	Europe
GOV.FNAL.N10	CH.CERN.N9	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	hepnrc.hep.net	NET	North_America	www.cern.ch	CH	Europe
GOV.FNAL.N10	CL.UCHILE.N1	?r	1974.715	1913.083	1959.260	608.252	1970.326	1933.526	1365.841	1939.138	1977.799	1923.093	1874.479	1923.037	426.894	568.674	1972.299	1111.743	1968.794	1951.028	1909.718	860.485	1972.299	1934.818	1974.935	488.469	252.312	284.199	1935.268	1949.955	1353.350	1952.532	1873.903	1906.574	1940.139	1950.170	936.633	1819.478	1819.478	1873.468	1949.741	1350.375	657.268	1947.813	1949.312	1907.621	1336.999	1972.738	1973.730	2021.089	1405.861	2029.650	1086.922	1977.358	1983.873	2026.634	2025.476	1985.234	1987.960	1988.643	1974.627	2024.782	hepnrc.hep.net	NET	North_America	www.dcc.uchile.cl	CL	Latin_America
GOV.FNAL.N10	DE.DESY.N1	?M	2991.225	2954.340	2989.712	2991.225	2952.864	2977.161	2977.661	2978.662	2978.662	2751.667	2732.582	2975.163	2978.662	2978.662	2976.161	2978.662	2918.480	2958.284	2992.740	3024.909	2957.738	3027.492	3026.975	2966.324	3026.975	3021.301	3026.975	3026.975	3027.492	3027.492	2979.663	3010.527	3026.975	2912.120	3014.622	3026.458	3026.975	3027.492	3027.492	3027.492	3027.492	3027.492	3027.492	3027.492	3013.597	2973.167	2980.665	2978.662	2917.500	2978.662	2894.650	2975.163	2970.676	2960.754	2973.167	2978.161	2978.161	2978.662	2980.665	2917.990	hepnrc.hep.net	NET	North_America	ping.desy.de	DE	Europe
GOV.FNAL.N10	DE.GSI.N1	?r	2221.159	2198.498	983.903	2208.777	1010.517	1395.447	1098.856	3208.287	3132.695	2824.979	1613.682	1387.968	951.356	2196.532	3194.413	1541.331	978.644	883.460	847.606	1270.668	2225.989	2206.396	1802.486	3204.228	1087.762	813.404	2182.482	1812.585	3238.764	3235.808	3116.397	3169.275	1566.065	1779.144	779.939	3172.169	3148.594	1276.615	1292.907	1046.686	580.706	786.151	3236.990	1030.847	1045.552	1114.408	2247.166	3193.748	3214.686	1811.603	606.911	459.291	587.361	729.048	3169.853	3263.205	3195.510	3265.008	3268.620	1099.839	hepnrc.hep.net	NET	North_America	www.gsi.de	DE	Europe
GOV.FNAL.N10	DE.IFH.N1	?r	2884.639	2850.320	1997.237	2884.170	2841.640	2879.486	2820.392	2885.578	.	2676.478	2650.470	2885.578	2826.358	2885.578	2885.109	2885.109	2884.639	2862.747	2884.170	2920.757	2836.048	2859.861	1276.237	2017.908	2915.953	2858.920	2926.059	2926.059	2919.314	2923.647	2820.850	2834.660	2847.671	2817.190	1074.381	2920.757	2918.353	2918.833	2917.392	2855.160	2607.421	2917.392	2858.920	2909.731	2847.671	1995.290	2825.898	2822.225	1988.185	1997.562	2796.329	2877.149	2876.682	2807.628	2817.647	2881.826	2882.763	2883.701	2883.701	1993.024	hepnrc.hep.net	NET	North_America	znsun1.ifh.de	DE	Europe
GOV.FNAL.N10	DE.MPG.N1	?r	3013.085	2988.200	2955.222	3014.110	2976.161	3003.896	3004.405	3002.878	3002.878	2716.734	2751.240	3004.405	980.736	2970.178	3001.861	2999.830	1018.998	2049.901	1439.410	3004.405	3053.038	3051.987	3051.987	3051.987	2967.338	824.283	2998.308	3052.513	3050.937	3052.513	2952.209	3049.887	3025.426	2989.712	2975.470	3052.513	3048.838	3051.987	3052.513	3051.987	3050.622	3049.362	3051.462	3050.937	2986.212	3055.669	2993.246	2836.185	2822.639	2838.910	626.939	1581.866	2820.393	2850.779	1611.349	2848.031	2849.862	2850.320	2894.530	2987.697	hepnrc.hep.net	NET	North_America	www.mppmu.mpg.de	DE	Europe
