#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
HK.CSE.UST.N1	AF.MOD.GOV.AF	?B	320.330	240.597	226.680	320.266	319.616	234.776	311.587	438.322	437.988	318.232	87.942	436.698	80.517	223.532	146.556	102.711	315.764	80.904	147.005	120.160	47.084	315.354	435.036	245.230	244.875	127.550	115.119	112.505	80.645	44.354	99.208	126.903	88.012	234.202	143.677	92.263	46.356	47.666	167.105	139.422	395.028	398.562	315.063	223.968	182.716	435.118	185.795	183.086	333.583	236.475	259.088	236.788	120.255	177.819	191.050	192.794	193.318	236.361	459.587	234.836	pinger.cse.ust.hk	HK	East_Asia	www.mod.gov.af	AF	South_Asia
HK.CSE.UST.N1	AL.ALBANIAONLINE.NET.N1	?B	386.934	257.806	178.218	361.396	361.694	325.575	290.443	251.545	369.003	478.091	321.398	267.254	419.849	366.667	276.633	292.959	213.165	330.102	350.517	408.603	454.194	274.936	297.002	377.796	382.160	387.614	348.466	403.763	270.433	338.210	282.985	445.944	246.304	527.196	481.360	360.670	105.848	101.916	280.343	143.847	383.018	212.337	281.361	334.352	544.345	301.799	369.821	307.499	343.733	682.263	590.491	1576.798	537.374	429.941	479.007	834.495	400.823	679.256	480.909	559.017	pinger.cse.ust.hk	HK	East_Asia	aol1.albaniaonline.net	NET	Balkans
HK.CSE.UST.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	799.625	.	284.707	152.912	180.965	205.746	322.013	198.262	183.314	291.077	129.442	577.213	259.341	216.287	179.224	206.863	293.649	240.394	133.242	106.409	105.596	101.999	166.623	530.858	585.081	794.378	482.362	684.226	520.161	736.492	436.538	521.822	407.330	919.281	704.832	142.029	534.225	pinger.cse.ust.hk	HK	East_Asia	www.sci.am	AM	Central_Asia
HK.CSE.UST.N1	AU.AARNET.ADELAIDE.N1	?B	1219.520	1833.608	1784.755	1343.588	1834.813	1856.087	1862.446	1851.154	1356.046	1799.728	1031.211	1553.401	1794.377	1840.603	1837.131	1338.195	1847.239	1849.554	1837.768	981.082	514.488	939.429	1833.514	1854.914	1339.441	1332.641	1779.406	773.076	778.097	1845.900	1327.659	1865.028	1341.044	1850.029	1838.688	1869.048	1352.074	1865.501	1852.693	1865.772	1874.213	963.012	1861.363	1825.447	1359.354	1871.071	1859.305	1358.701	1866.661	1874.457	1362.780	1866.347	1360.297	1871.501	1872.576	1870.428	1873.999	1873.453	1872.810	1871.817	pinger.cse.ust.hk	HK	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.BRISBANE.NET	?B	1250.175	1920.368	830.073	1956.354	1004.209	1952.413	754.597	1953.600	1954.716	1366.685	1464.730	1187.729	982.513	1955.518	1955.136	1950.191	1958.372	1414.149	818.773	995.679	1412.257	1402.232	1420.500	1942.854	1953.978	1425.778	1382.409	1408.485	1003.637	1956.800	1419.928	1962.439	1959.068	1959.007	1949.712	1955.068	1426.083	1426.081	822.585	1962.228	1008.447	1959.677	1961.456	1961.114	1426.438	1424.914	821.787	1961.378	1422.817	1964.004	1959.725	1958.694	1957.368	1426.547	1424.662	1006.008	1427.756	1958.209	1961.264	1963.265	pinger.cse.ust.hk	HK	East_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.CANBERRA.NET	?B	937.121	2013.231	1008.093	1482.632	2029.504	2036.896	1479.449	1478.958	1475.741	1423.706	1520.960	1701.398	2008.307	2036.986	854.391	2033.007	2040.140	2025.807	1483.232	1466.387	669.435	868.825	853.938	2035.009	2046.804	882.828	1960.193	1466.632	2036.791	2049.432	2042.684	1487.436	2040.228	2042.581	2033.262	1487.820	1486.313	2045.278	1047.688	1488.086	2049.741	1485.664	1489.034	1484.856	2047.738	2047.056	1477.616	2042.735	1485.868	2049.793	1053.488	1489.379	1483.068	1489.337	2045.387	1487.860	1490.096	2045.859	2046.148	1488.663	pinger.cse.ust.hk	HK	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.HOBART.N2	?B	881.363	1831.390	1342.087	1342.261	773.667	1848.930	1342.995	1337.878	1346.090	1008.005	1027.799	1120.856	1791.241	1328.012	1834.373	1020.538	1834.712	1845.396	1327.248	1828.320	1308.383	670.096	1836.036	1330.751	1029.634	1818.499	1782.134	979.235	950.613	1840.705	1817.519	1043.379	1326.467	1836.530	1825.833	954.493	1840.247	1854.962	1333.815	1345.754	1859.338	1855.730	1847.478	778.248	1856.748	1858.546	1848.920	1857.145	953.525	1861.140	1856.648	1347.395	1857.388	1857.760	1350.984	997.060	1353.062	1857.577	1859.796	1857.531	pinger.cse.ust.hk	HK	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	AU.AARNET.PERTH.NET	?B	1423.093	4201.697	4073.966	3207.624	4376.755	4414.632	4390.612	2262.235	3156.538	2716.142	875.022	1662.678	3102.492	3204.260	4406.407	2271.442	4415.872	4409.660	4421.815	4323.558	1813.347	2190.897	2259.444	4346.784	3213.920	4434.477	3068.985	3174.838	4399.588	4428.106	4426.366	4436.714	4417.954	4423.101	4368.876	3220.686	3220.387	2383.788	3195.438	4444.747	4438.433	2280.408	3230.013	3228.515	4438.940	4435.384	2264.927	4406.037	2269.845	4441.553	3221.108	3213.024	4422.252	2278.264	4438.602	4416.697	3236.473	4418.535	4424.287	4444.640	pinger.cse.ust.hk	HK	East_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
HK.CSE.UST.N1	BA.UTIC.NET.N1	?B	1505.732	1465.263	1105.088	1511.096	1507.849	1092.897	651.151	1099.650	1513.486	1097.990	775.068	1095.109	784.856	799.915	1474.564	1499.251	771.959	1510.099	1477.930	1503.407	1085.645	1505.968	761.526	730.557	596.264	515.443	1018.201	515.897	596.410	613.688	346.000	397.642	297.655	1061.698	1067.363	1503.675	125.719	106.921	940.075	338.946	914.732	480.885	1398.318	1497.635	1085.090	1485.489	753.648	409.116	1068.502	1079.917	1082.414	1483.347	762.205	1074.356	1083.739	1482.699	1083.915	763.850	1492.416	1482.667	pinger.cse.ust.hk	HK	East_Asia	linhost2.utic.net.ba	BA	Balkans
HK.CSE.UST.N1	BD.DUET.AC.N1	?B	127.271	124.877	121.241	124.965	126.537	126.581	126.696	127.159	126.472	126.443	122.762	125.966	122.600	119.428	125.398	123.216	125.171	124.202	124.550	122.946	123.102	126.416	126.621	50.823	40.348	40.707	38.315	42.636	48.970	60.638	46.367	43.421	43.212	123.517	121.118	126.558	123.741	67.528	45.962	47.401	44.756	38.263	112.957	120.130	121.230	120.176	122.971	119.612	126.879	126.521	.	126.540	124.694	123.644	123.120	119.204	124.564	125.394	125.819	125.842	pinger.cse.ust.hk	HK	East_Asia	www.duet.ac.bd	BD	South_Asia
