#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
IN.PUNE.CDAC.N2	AF.MOD.GOV.AF	?B	523.371	372.886	382.007	519.300	517.143	518.904	517.508	521.161	267.469	99.143	48.988	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	121.385	212.367	113.156	148.200	262.526	377.300	223.401	251.736	215.950	40.456	47.539	135.825	217.312	38.166	18.507	11.853	101.792	381.700	527.934	140.030	376.386	526.112	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	www.mod.gov.af	AF	South_Asia
IN.PUNE.CDAC.N2	AL.ALBANIAONLINE.NET.N1	?B	180.264	181.170	160.646	207.805	241.583	273.881	244.362	216.623	269.974	231.393	182.344	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	454.165	368.729	381.777	296.634	373.063	481.498	409.286	539.286	378.500	362.521	672.201	409.234	533.298	232.330	416.051	359.307	353.685	364.219	322.979	539.597	395.877	319.446	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	aol1.albaniaonline.net	NET	Balkans
IN.PUNE.CDAC.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	541.970	448.949	1757.105	1687.618	853.311	1283.522	1285.773	1297.405	627.372	309.402	871.526	314.544	245.742	213.448	928.398	1256.038	1764.193	316.770	1382.667	1400.557	1008.277	1392.756	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	www.sci.am	AM	Central_Asia
IN.PUNE.CDAC.N2	AU.AARNET.ADELAIDE.N1	?B	1605.818	1624.940	1634.645	1601.928	1542.740	1602.957	1600.294	1643.024	1645.863	268.104	135.919	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	59.871	575.963	1091.154	1079.152	544.490	794.879	973.024	1081.903	272.551	1082.136	1094.711	218.359	785.603	209.072	558.429	284.074	1107.122	882.157	1640.269	1623.841	1636.992	1642.899	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
IN.PUNE.CDAC.N2	AU.AARNET.BRISBANE.NET	?B	1673.172	1690.173	1704.549	1676.400	1614.939	1672.790	1213.922	1714.825	1715.310	267.147	112.641	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	317.574	817.088	1145.385	821.346	479.597	834.875	833.101	1011.081	343.534	1136.817	1157.016	312.380	821.523	221.563	638.377	318.180	1158.026	1265.573	1710.525	1688.972	1703.290	1710.392	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
IN.PUNE.CDAC.N2	AU.AARNET.CANBERRA.NET	?B	1734.030	1752.052	1769.250	1737.875	1673.637	1735.740	1725.790	1777.499	1777.617	294.750	136.189	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	64.075	574.481	1137.662	1124.051	462.592	1140.121	1011.608	579.181	307.873	1130.699	1149.184	228.268	1126.441	202.873	1131.403	275.732	1152.904	924.255	1775.388	1751.998	1768.018	1775.083	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
IN.PUNE.CDAC.N2	AU.AARNET.HOBART.N2	?B	1595.333	1611.707	1624.435	1590.560	1534.327	1589.800	1584.492	1631.332	1629.975	254.803	114.929	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	60.226	361.166	1113.687	1096.817	783.805	1115.784	810.063	565.741	240.074	1101.297	1114.079	228.269	1101.637	255.175	801.230	252.472	1124.786	1226.070	1628.297	1611.375	1624.681	1630.578	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
IN.PUNE.CDAC.N2	AU.AARNET.PERTH.NET	?B	3191.254	3254.181	3310.509	3205.606	2938.630	2319.850	3170.307	3347.007	3348.262	451.911	160.672	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	67.961	406.818	912.999	1237.054	523.243	1259.854	1255.500	902.916	693.951	1247.253	1270.882	251.847	1242.080	328.278	905.819	398.695	1272.767	1526.092	3328.667	3251.182	3305.848	3329.246	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
IN.PUNE.CDAC.N2	BA.UTIC.NET.N1	?B	2305.531	2344.139	2525.439	1777.869	2346.305	2360.733	1703.841	2436.626	2448.118	534.767	244.576	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455.486	684.403	2214.600	1531.156	2042.320	1588.630	1127.652	1564.673	825.948	2213.024	2267.847	504.122	689.526	360.774	1666.681	1714.136	2524.472	2476.163	841.407	1292.413	1826.320	2568.260	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	linhost2.utic.net.ba	BA	Balkans
IN.PUNE.CDAC.N2	BD.DUET.AC.N1	?B	5893.998	6112.919	6336.667	6075.064	3904.772	5906.644	5810.023	4576.400	4636.829	1339.833	692.804	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	771.929	735.862	1746.876	1155.720	1649.206	978.263	1535.851	1685.226	709.312	1177.206	6761.429	1321.915	2555.752	1607.251	3361.177	3509.753	772.518	.	6214.346	2024.148	6121.915	6154.259	.	.	.	.	.	pinger.cdac.in	IN	South_Asia	www.duet.ac.bd	BD	South_Asia
