#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
JP.RIKEN.N3	AF.MULTINET.N1	?r	292.252	214.730	77.137	82.941	135.432	166.680	74.544	129.746	129.094	44.915	44.377	39.121	62.081	48.486	33.070	37.239	50.861	83.121	42.092	27.595	33.115	33.336	32.845	34.959	39.026	31.459	33.530	30.361	48.259	77.228	44.288	63.826	53.948	50.951	42.431	70.871	128.287	123.190	112.575	52.410	53.909	68.082	129.164	112.184	296.973	219.043	404.205	151.661	174.524	122.941	210.497	98.226	70.460	118.565	172.062	207.561	406.008	207.710	408.294	146.348	ping.riken.jp	JP	East_Asia	www.multinet.af	AF	South_Asia
JP.RIKEN.N3	AF.NEDA.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	mail.neda.af	AF	South_Asia
JP.RIKEN.N3	AM.SCI.N1	?B	876.991	857.565	861.507	506.122	877.171	874.180	865.881	890.186	895.615	893.597	899.208	458.831	663.613	901.134	654.528	291.061	264.659	117.586	176.812	152.904	209.610	167.995	203.577	216.280	327.025	589.246	237.133	324.582	438.475	231.622	255.736	263.621	338.837	137.328	76.527	56.659	82.394	191.457	181.115	185.771	129.828	111.408	116.838	145.570	71.996	106.496	159.469	88.274	93.932	874.898	1151.386	1268.864	653.260	922.894	896.856	287.911	770.039	842.141	185.724	666.377	ping.riken.jp	JP	East_Asia	www.sci.am	AM	Central_Asia
JP.RIKEN.N3	AM.SEUA.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	ping.riken.jp	JP	East_Asia	www.seua.am	AM	Central_Asia
JP.RIKEN.N3	AO.NEXUS.N1	?r	438.852	602.584	218.536	220.435	163.876	113.868	216.470	232.605	186.964	60.018	49.541	599.138	65.458	431.734	600.901	107.540	51.823	37.043	36.491	42.609	57.387	54.078	52.190	57.172	57.956	60.920	52.596	46.824	70.680	113.030	150.551	65.880	70.330	74.290	163.129	421.074	141.462	107.414	126.414	89.485	137.777	76.976	242.145	242.285	289.954	303.127	180.352	153.237	119.977	124.787	165.425	145.774	107.799	128.704	439.479	288.303	406.537	221.935	223.121	184.912	ping.riken.jp	JP	East_Asia	www-05.nexus.ao	AO	Africa
JP.RIKEN.N3	AR.RETINA.N1	?r	827.538	399.795	539.676	460.463	870.173	308.033	356.237	306.454	612.704	431.805	434.512	584.788	312.320	432.593	305.943	841.939	353.005	390.484	592.613	611.835	411.504	841.776	273.463	228.368	688.780	456.924	609.720	837.672	322.946	928.667	709.984	438.322	725.510	907.783	763.375	341.530	541.274	764.718	1050.636	341.730	764.451	1052.186	1051.046	440.497	921.514	951.735	126.260	622.210	547.269	359.031	459.127	433.600	838.712	580.852	617.806	618.439	854.676	439.235	853.737	241.295	ping.riken.jp	JP	East_Asia	ns1.retina.ar	AR	Latin_America
JP.RIKEN.N3	AR.RETINA.N2	?r	588.787	787.270	1055.982	654.203	873.574	849.430	619.365	614.145	844.719	611.832	355.891	338.474	353.633	353.993	216.765	353.916	433.170	553.331	419.656	612.781	412.104	364.275	250.030	349.508	405.530	655.823	431.916	839.339	327.815	490.078	539.779	808.457	574.810	673.475	813.072	811.769	469.544	406.298	1117.289	1117.617	812.562	574.661	331.515	468.523	343.363	714.218	155.741	441.190	473.350	623.015	857.066	349.439	840.372	581.908	851.752	852.586	622.372	856.595	621.740	225.254	ping.riken.jp	JP	East_Asia	ns2.retina.ar	AR	Latin_America
JP.RIKEN.N3	AU.AARNET.ADELAIDE.N1	?B	1250.821	1250.815	1252.283	1246.245	1148.833	1143.273	1140.951	1141.697	1141.908	1141.820	1141.890	1141.274	1141.489	1141.605	1141.544	1141.352	1141.948	1141.944	1143.467	1146.842	1146.847	1146.848	1146.853	1146.850	1146.855	1146.854	1146.845	1146.842	1146.836	1146.865	1146.770	1146.680	1146.781	1146.834	1146.831	1146.788	1146.837	1146.848	1146.841	1146.831	1146.846	1146.851	1146.873	833.381	1146.807	1147.365	1146.809	1146.810	1146.813	1146.856	1146.855	1140.658	1137.862	1138.197	1138.201	1138.216	1138.211	1138.199	1138.038	1133.752	ping.riken.jp	JP	East_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
JP.RIKEN.N3	AU.AARNET.DARWIN.N2	?r	1100.417	1100.386	1101.606	1096.895	1021.806	1019.334	1017.657	1018.032	1018.303	1018.224	1018.258	1017.870	1018.288	1018.219	1014.981	739.359	1018.327	1018.336	1019.415	1021.763	1021.726	1021.812	1021.804	1021.430	1021.821	1021.830	1021.802	1021.283	1020.077	1019.852	1021.284	1020.905	1021.376	1021.351	1020.776	1021.618	1021.750	1021.765	1022.001	1021.756	1021.706	1021.497	1020.393	1021.605	1020.706	1021.705	1021.690	1021.681	1021.717	1021.341	1020.983	1018.043	1017.026	1017.015	1017.037	1018.911	1017.095	1017.038	1016.927	1013.746	ping.riken.jp	JP	East_Asia	drw-a-pm1.aarnet.net.au	AU	Oceania
JP.RIKEN.N3	AU.AARNET.HOBART.N2	?B	1243.438	1243.423	1244.901	1238.848	1142.394	1137.211	1134.683	1135.741	1135.426	1135.912	1135.898	1135.413	1135.585	1135.576	1135.197	1132.972	1135.763	1135.505	1137.385	1139.493	1139.333	1140.149	1140.170	1140.055	1140.285	1140.272	1140.258	1138.848	1132.852	1137.973	1136.591	1139.091	1136.822	1137.219	1140.060	1140.261	1140.269	1140.279	1140.234	1140.204	1140.284	1134.580	1134.836	1138.728	1132.049	1140.809	1140.197	1140.157	1140.187	1140.320	1140.301	1139.016	1138.970	1138.972	1138.937	1138.946	1139.007	1138.934	1138.796	1134.798	ping.riken.jp	JP	East_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
