#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
LK.LEARN.AC.N2	AF.MOD.GOV.AF	?B	440.337	115.301	215.882	440.887	439.125	303.428	437.750	438.285	146.078	101.332	62.974	107.458	101.790	100.350	434.474	78.695	104.266	72.903	75.351	86.903	35.427	.	.	134.646	160.851	79.107	69.771	111.971	132.556	48.591	116.265	126.113	182.352	95.295	282.829	132.436	171.504	121.455	123.472	126.555	162.738	110.412	87.019	67.953	146.513	112.518	39.496	24.700	17.557	184.109	136.922	125.840	83.936	142.325	158.681	128.409	251.493	348.597	144.884	145.492	hunnas.learn.ac.lk	LK	South_Asia	www.mod.gov.af	AF	South_Asia
LK.LEARN.AC.N2	AL.ALBANIAONLINE.NET.N1	?B	192.021	167.438	159.487	227.800	236.172	246.163	266.541	186.050	204.353	218.621	251.246	243.665	204.274	274.589	196.494	219.810	198.384	181.152	192.249	270.664	351.842	.	.	231.119	269.646	344.824	253.364	218.206	249.137	238.105	373.403	321.266	389.533	388.869	333.530	296.430	234.542	363.060	415.944	274.550	445.390	247.670	301.017	317.170	371.305	273.509	227.602	250.359	284.041	560.368	336.691	371.677	275.946	468.823	301.792	488.112	268.129	215.780	423.347	490.438	hunnas.learn.ac.lk	LK	South_Asia	aol1.albaniaonline.net	NET	Balkans
LK.LEARN.AC.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	190.005	.	396.717	218.485	459.714	406.900	644.136	376.306	362.102	304.364	373.786	303.844	407.653	263.984	229.083	226.021	278.340	272.320	215.697	177.488	166.892	132.572	201.590	168.505	275.362	1302.731	636.556	226.801	420.186	597.726	289.041	1081.499	260.099	1113.841	806.353	335.529	510.904	hunnas.learn.ac.lk	LK	South_Asia	www.sci.am	AM	Central_Asia
LK.LEARN.AC.N2	AU.AARNET.ADELAIDE.N1	?B	1367.610	1383.016	896.363	1330.068	1358.022	1392.842	1403.162	1208.251	901.578	953.888	1397.826	426.606	1387.641	1382.623	1384.420	1395.971	1405.037	1335.134	1375.212	1374.866	1314.872	.	.	1370.063	1367.094	1368.212	1307.607	1302.863	1354.411	1379.074	1394.786	1365.825	1391.637	522.833	1375.674	1408.196	1419.043	1369.321	1388.155	1430.774	1377.395	1348.691	1401.006	971.644	1389.206	1290.264	1337.249	1407.704	1366.070	1385.228	1401.248	1380.323	1381.078	1316.591	1258.113	1339.850	1369.096	1403.060	1399.553	1413.834	hunnas.learn.ac.lk	LK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
LK.LEARN.AC.N2	AU.AARNET.BRISBANE.NET	?B	1417.550	1431.520	1335.779	1373.445	1407.658	1438.421	1459.333	1245.838	940.866	1427.586	1441.996	447.943	1445.244	1437.468	1451.090	1457.197	1454.222	1390.181	1442.703	1440.130	1377.853	.	.	1434.759	1423.155	1443.810	1347.500	1351.239	1420.869	1441.617	1469.463	1430.890	1453.912	471.886	1437.692	1457.154	1475.359	1416.816	1442.008	1488.417	1432.973	1412.834	1454.096	1451.151	1436.078	1327.626	1386.808	1457.024	1411.382	1426.345	1450.451	1420.688	1429.040	1360.426	1275.503	1387.826	1415.650	1452.077	1446.028	1460.713	hunnas.learn.ac.lk	LK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
LK.LEARN.AC.N2	AU.AARNET.CANBERRA.NET	?B	1463.839	1481.406	952.831	1417.704	1451.519	1486.436	1503.449	1275.768	967.281	1470.300	1492.883	461.880	1489.084	1483.347	1499.254	1504.624	1504.059	1422.253	1487.126	1482.428	1408.135	.	.	1476.501	1468.946	1487.197	1401.319	1397.781	1460.264	1478.193	1518.367	1473.916	1484.038	980.185	1482.208	1508.883	1523.005	1461.900	1487.050	1532.943	1479.555	1463.495	1502.080	1492.877	1490.954	1374.070	1429.676	1507.223	1456.972	1474.260	1496.119	1471.780	1471.086	1404.129	1341.157	1429.183	1460.976	1498.369	1492.069	1511.004	hunnas.learn.ac.lk	LK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
LK.LEARN.AC.N2	AU.AARNET.HOBART.N2	?B	1360.486	1380.525	1286.972	1318.280	1352.969	1385.467	1401.212	1203.231	898.966	1373.245	1392.330	387.745	1385.959	1376.996	1381.663	1390.429	1404.433	1327.517	1372.865	1369.365	1315.037	.	.	1366.904	1360.819	1370.170	1299.562	1293.605	1354.571	1371.578	1384.294	1364.160	1379.443	521.010	1369.151	1393.389	1411.902	1357.062	1380.844	1420.993	1366.969	1342.878	1390.862	1387.015	1377.587	1279.049	1335.262	1400.429	1356.615	1373.614	1394.042	1368.869	1372.600	1307.338	1239.211	1329.664	1361.092	1394.924	1392.541	1405.984	hunnas.learn.ac.lk	LK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
LK.LEARN.AC.N2	AU.AARNET.PERTH.NET	?B	2369.287	2382.866	2154.680	2263.139	2344.985	2433.865	2490.036	1677.652	1420.827	2403.621	2418.905	757.837	2444.408	2443.289	2481.775	2492.098	2490.947	2276.247	2437.722	2446.533	2255.105	.	.	2415.727	2386.954	2455.655	2219.901	2221.409	2371.696	2428.672	2535.344	2405.321	2445.667	1549.122	2423.491	2505.323	2538.894	2380.575	2435.028	2570.907	2431.676	2373.742	2477.290	2424.178	2435.036	2143.607	2276.786	2495.926	2358.163	2410.066	2469.512	2404.180	2406.114	2219.386	2063.092	2281.880	2374.022	2472.828	2462.444	2515.021	hunnas.learn.ac.lk	LK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
LK.LEARN.AC.N2	BA.UTIC.NET.N1	?B	2288.113	2307.508	2301.260	2297.693	2286.009	2295.710	2292.354	2300.442	1021.882	792.105	560.627	796.611	528.581	590.666	1591.687	1124.226	479.695	529.215	645.867	476.973	2276.722	.	.	645.362	735.343	788.305	865.974	532.775	1138.008	2318.049	697.941	479.568	631.343	797.529	701.518	1617.980	2326.380	714.370	654.063	445.255	576.682	910.904	1600.626	1543.333	497.006	652.493	629.732	744.370	576.129	1212.504	1135.757	711.478	793.294	713.755	608.568	535.189	1132.443	312.790	925.905	807.224	hunnas.learn.ac.lk	LK	South_Asia	linhost2.utic.net.ba	BA	Balkans
LK.LEARN.AC.N2	BD.DUET.AC.N1	?B	1827.721	1832.963	1874.452	1874.298	1873.516	1828.482	1827.824	894.324	1516.022	478.130	336.479	334.283	249.176	338.084	380.610	1868.148	448.601	305.993	258.649	150.561	161.334	.	.	333.302	155.174	112.869	102.473	115.167	260.520	395.504	200.947	375.553	146.731	170.118	131.474	233.670	498.605	192.482	128.242	363.886	217.707	111.659	151.605	303.914	330.997	555.563	306.250	497.280	279.961	210.379	.	238.629	531.012	343.094	251.762	329.208	729.807	193.563	413.612	326.235	hunnas.learn.ac.lk	LK	South_Asia	www.duet.ac.bd	BD	South_Asia
LK.LEARN.AC.N2	BJ.GOUV.N1	?B	354.561	242.756	182.543	239.265	201.847	165.725	148.902	371.363	304.710	148.383	216.259	173.038	176.557	169.532	308.819	327.879	183.234	248.749	213.034	255.177	277.791	.	.	190.657	145.606	351.951	261.668	230.423	1253.651	868.327	226.932	193.265	223.772	189.516	220.636	582.824	583.028	269.806	260.335	317.653	244.300	208.374	1011.259	504.648	251.595	319.494	209.729	173.745	210.646	273.262	241.092	161.258	136.913	179.725	180.490	196.566	796.434	440.177	180.859	195.765	hunnas.learn.ac.lk	LK	South_Asia	waib.gouv.bj	BJ	Africa
