#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
MY.UM.PINGER	AF.MOD.GOV.AF	?B	103.689	26.718	34.036	21.759	47.072	51.822	57.198	309.073	431.478	115.724	72.888	48.543	.	.	.	.	.	.	8.550	13.895	32.433	6.907	12.472	52.349	37.391	.	33.261	69.539	111.626	51.622	94.692	221.722	27.705	73.282	38.424	25.883	22.087	26.572	16.930	36.309	24.430	17.234	11.696	5.021	6.639	19.746	18.098	12.290	9.956	44.725	71.618	23.649	34.449	28.555	22.470	66.340	101.988	105.537	50.918	78.121	pinger.fsktm.um.edu.my	MY	S.E._Asia	www.mod.gov.af	AF	South_Asia
MY.UM.PINGER	AL.ALBANIAONLINE.NET.N1	?B	302.041	208.157	144.714	242.091	278.787	292.907	258.173	248.904	1400.367	217.684	211.433	198.302	174.165	238.083	223.680	321.087	211.726	162.456	267.074	244.328	204.184	273.267	210.463	240.385	256.798	.	193.670	319.187	221.117	278.974	302.480	308.433	265.668	301.703	484.588	431.408	256.865	409.409	297.419	305.594	718.244	502.704	240.275	267.206	379.377	209.912	357.742	490.392	290.456	445.964	386.407	986.332	294.083	360.409	382.433	583.772	454.296	972.138	744.847	401.563	pinger.fsktm.um.edu.my	MY	S.E._Asia	aol1.albaniaonline.net	NET	Balkans
MY.UM.PINGER	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1037.232	.	.	135.394	139.252	291.655	218.008	148.857	115.958	122.624	113.597	223.228	148.268	156.442	141.006	154.093	172.879	117.461	127.769	95.655	120.899	103.062	129.038	200.127	157.652	138.650	183.953	179.843	200.757	157.469	158.090	155.262	168.643	199.845	186.041	136.654	163.557	pinger.fsktm.um.edu.my	MY	S.E._Asia	www.sci.am	AM	Central_Asia
MY.UM.PINGER	AU.AARNET.ADELAIDE.N1	?B	602.752	887.003	931.184	593.955	632.022	416.259	190.165	29.130	29.543	51.262	335.194	2049.367	.	.	.	.	.	.	412.889	349.521	294.112	794.392	717.271	287.252	300.696	.	415.643	343.819	793.925	541.938	425.951	391.403	278.696	280.454	338.762	441.083	348.517	411.789	428.573	422.037	351.111	379.927	437.510	406.977	553.185	307.774	330.531	345.923	320.602	375.461	449.154	321.662	341.830	308.055	303.042	288.043	454.077	413.516	291.985	306.777	pinger.fsktm.um.edu.my	MY	S.E._Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
MY.UM.PINGER	AU.AARNET.BRISBANE.NET	?B	668.604	631.271	953.879	951.091	1637.766	399.934	187.877	31.053	28.469	52.613	361.651	1129.768	.	.	.	.	.	.	323.551	333.806	308.255	504.786	792.944	404.740	341.420	.	274.165	331.245	1165.919	638.792	291.119	374.184	388.260	400.401	417.720	577.237	543.911	358.177	516.635	365.997	450.080	386.449	731.021	583.889	332.096	399.503	445.981	347.448	310.580	401.459	411.418	355.649	334.097	350.344	352.213	328.991	612.211	562.999	315.994	257.671	pinger.fsktm.um.edu.my	MY	S.E._Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
MY.UM.PINGER	AU.AARNET.CANBERRA.NET	?B	862.052	2387.187	1227.103	1220.339	986.087	444.007	229.845	30.575	31.176	55.311	321.123	1184.226	.	.	.	.	.	.	423.202	307.630	276.447	745.371	694.253	425.796	400.250	.	297.335	495.475	635.671	728.440	375.734	354.641	404.379	310.188	384.431	462.802	425.837	493.965	427.859	368.385	351.435	501.972	1215.487	505.725	443.572	418.950	365.542	394.049	392.558	454.587	492.009	441.771	352.516	337.163	366.710	350.382	491.727	508.154	338.192	309.941	pinger.fsktm.um.edu.my	MY	S.E._Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
MY.UM.PINGER	AU.AARNET.HOBART.N2	?B	721.051	696.031	631.673	629.618	1072.498	356.237	194.307	30.079	29.385	51.496	345.580	1039.005	.	.	.	.	.	.	229.126	306.553	290.603	455.639	411.783	503.901	330.311	.	315.098	442.164	1076.865	621.663	466.554	329.331	268.761	281.915	402.185	452.520	382.841	464.451	360.715	416.009	381.835	417.356	687.453	417.320	474.226	408.234	417.155	345.571	415.674	468.985	500.777	467.092	336.055	326.879	280.609	260.556	678.730	475.639	274.587	287.386	pinger.fsktm.um.edu.my	MY	S.E._Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
MY.UM.PINGER	AU.AARNET.PERTH.NET	?B	3238.882	2114.053	2339.874	2086.608	1910.982	1391.216	478.129	38.091	35.395	74.561	860.319	2988.568	.	.	.	.	.	.	1605.405	1047.814	912.175	1711.633	1958.458	881.892	1025.954	.	871.872	960.600	3293.601	4649.403	926.224	1029.852	929.391	956.118	1050.939	1406.688	998.333	1314.954	1143.050	1274.136	918.304	1081.550	1296.463	1367.522	1216.400	1118.301	999.683	1035.022	951.309	1063.048	1348.786	988.967	856.963	850.121	1257.590	965.899	1660.621	1466.515	938.302	686.485	pinger.fsktm.um.edu.my	MY	S.E._Asia	per-a-ext1.aarnet.net.au	AU	Oceania
MY.UM.PINGER	BA.UTIC.NET.N1	?B	1471.185	471.327	586.469	1539.631	1549.750	534.154	468.871	1533.349	1535.811	331.926	457.596	323.970	271.358	355.103	1534.607	1535.524	563.842	294.245	455.118	418.641	359.328	397.560	1156.164	190.206	317.225	.	259.922	276.358	1069.693	1120.262	327.336	261.570	280.989	373.423	1038.982	945.953	430.335	370.253	270.454	923.542	933.461	473.944	953.090	949.828	686.503	950.151	947.535	948.024	940.970	951.034	950.246	941.395	201.568	946.631	946.582	934.110	944.911	943.168	942.574	989.731	pinger.fsktm.um.edu.my	MY	S.E._Asia	linhost2.utic.net.ba	BA	Balkans
MY.UM.PINGER	BD.DUET.AC.N1	?B	5418.768	5418.933	5010.223	2982.966	3269.579	2342.216	1335.790	3760.864	5187.654	1070.367	905.318	2715.847	.	.	.	.	.	.	368.663	265.703	250.775	443.249	1225.924	402.098	269.332	.	133.010	207.303	1189.199	1223.453	460.297	374.769	308.610	396.557	236.051	455.702	705.859	825.451	229.275	854.916	330.264	182.031	272.272	764.796	2483.139	5346.345	2363.154	3839.549	2457.521	763.233	.	5117.482	3698.182	3763.488	1665.929	1236.352	5376.345	5376.808	1343.640	1024.458	pinger.fsktm.um.edu.my	MY	S.E._Asia	www.duet.ac.bd	BD	South_Asia
