#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
NET.AMPATH.N2	AF.MOD.GOV.AF	?B	543.771	543.624	544.048	542.285	543.160	393.861	541.914	541.831	393.870	291.257	97.330	539.965	125.395	538.232	538.945	118.585	226.156	91.513	225.692	391.054	64.200	.	.	.	163.096	209.966	542.381	542.464	179.260	59.237	178.594	543.319	543.697	276.232	192.235	145.095	543.054	395.351	543.269	542.174	393.011	481.856	51.779	32.341	540.790	541.307	47.252	17.657	12.319	97.045	393.087	541.975	157.701	541.358	274.908	545.244	545.396	545.214	386.934	395.457	ultralog.ampath.net	NET	North_America	www.mod.gov.af	AF	South_Asia
NET.AMPATH.N2	AL.ALBANIAONLINE.NET.N1	?B	223.176	184.420	176.139	209.053	288.918	287.148	223.135	201.996	270.015	259.052	281.775	280.527	288.204	244.216	218.098	251.656	289.014	277.260	281.825	255.189	288.961	.	.	.	283.506	331.773	265.988	271.827	290.642	267.065	262.633	522.340	515.384	1380.458	985.550	331.721	300.760	369.636	479.033	486.998	730.280	414.446	283.644	577.346	540.493	743.856	432.553	387.329	381.867	432.859	396.164	340.767	290.342	302.553	397.995	372.610	382.832	331.773	464.043	450.827	ultralog.ampath.net	NET	North_America	aol1.albaniaonline.net	NET	Balkans
NET.AMPATH.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	455.127	431.498	569.909	629.893	562.716	496.411	1068.068	474.655	661.830	812.293	664.032	466.217	398.855	508.824	808.057	463.831	254.741	166.629	252.501	204.574	329.772	1082.742	456.504	1163.411	1563.169	1508.436	1609.769	1179.533	600.913	1622.312	381.019	609.584	858.619	238.049	863.476	ultralog.ampath.net	NET	North_America	www.sci.am	AM	Central_Asia
NET.AMPATH.N2	AU.AARNET.ADELAIDE.N1	?B	1478.236	1477.837	1478.283	1480.540	1485.079	1484.486	1484.679	1484.691	1482.730	1479.391	1484.444	1483.842	1484.259	1484.863	1485.072	1480.692	1485.034	1485.087	1485.045	1485.006	1484.921	.	.	.	1483.971	1483.564	1485.035	1484.929	1485.011	1485.097	1484.418	1485.072	1479.340	1488.559	1483.438	1485.179	1484.422	1485.126	1484.504	1484.768	1484.951	1485.079	1485.170	1485.136	1484.974	1079.675	1483.856	1484.901	1483.070	1485.038	1485.082	1477.802	1468.067	1066.062	1470.633	1470.606	1470.343	1469.543	1470.364	1462.759	ultralog.ampath.net	NET	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
NET.AMPATH.N2	AU.AARNET.BRISBANE.NET	?B	1510.509	1510.798	1510.582	1513.433	1516.680	1517.356	1517.466	1101.627	1515.405	1508.989	1516.150	1517.429	1102.471	1516.894	1517.993	1513.037	1514.353	1517.740	1517.156	1516.613	1517.625	.	.	.	1517.639	1516.637	1517.927	1517.243	1515.736	1516.601	1517.359	1350.385	1512.592	1520.880	1518.051	1517.456	1515.799	1517.004	1521.414	1517.227	1517.947	1518.045	1517.621	1517.288	1517.884	1518.328	1517.051	1517.939	1102.850	1517.941	1517.688	1514.608	1506.373	1505.616	1509.338	1513.193	1508.478	1509.430	1509.117	1501.513	ultralog.ampath.net	NET	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
NET.AMPATH.N2	AU.AARNET.CANBERRA.NET	?B	1583.661	1585.994	1586.453	1587.892	1592.625	1591.067	1590.555	1590.191	1591.707	1590.839	1589.235	1592.889	1592.624	1587.909	1592.201	1591.951	1591.951	1590.655	1594.201	1589.213	1592.493	.	.	.	1594.199	1590.722	1590.790	1590.222	1591.435	1593.208	1592.591	1593.794	1587.440	1595.966	1594.377	1594.418	1594.138	1594.283	1594.198	1594.292	1594.116	1594.247	1594.345	1594.340	1594.001	1158.929	1593.096	1594.126	1593.603	1594.262	1594.140	1590.595	1582.077	1580.109	1584.671	1583.212	1584.338	1584.528	1584.364	1576.445	ultralog.ampath.net	NET	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
NET.AMPATH.N2	AU.AARNET.HOBART.N2	?B	1467.971	1467.124	1468.300	1470.511	1465.539	1462.805	1462.889	1462.240	1461.506	1456.317	1461.573	1461.972	1461.444	1462.102	1463.450	1452.721	1460.407	1462.125	1459.467	1463.154	1463.127	.	.	.	1463.069	1457.156	1462.837	1460.667	1460.807	1459.159	1460.364	1462.847	1453.259	1464.530	1463.539	1463.259	1458.648	1461.963	1460.571	1463.118	1463.174	1463.541	1459.531	1455.808	1463.121	1064.962	1462.459	1463.366	1462.959	1463.451	1463.155	1464.402	1457.583	1457.538	1461.384	1461.210	1460.984	1461.219	1461.091	1454.482	ultralog.ampath.net	NET	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
NET.AMPATH.N2	AU.AARNET.PERTH.NET	?B	1332.827	1332.789	1332.864	1334.875	1337.760	1338.007	1338.191	1334.940	1338.187	1336.886	1336.143	1337.711	1338.280	1336.076	1338.560	1338.533	1338.316	1338.404	1338.497	1338.382	1338.518	.	.	.	1338.452	1337.813	1338.498	1338.492	1336.888	1337.971	1337.934	1338.537	1334.590	1341.374	1337.391	1338.512	1338.343	1338.532	1338.058	1338.072	1338.423	1338.489	1338.606	1338.550	1338.463	972.711	1337.681	1338.466	1336.816	1338.510	1338.517	1331.909	1324.527	1323.227	1326.757	1326.741	1326.541	1326.717	1326.594	1320.620	ultralog.ampath.net	NET	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
NET.AMPATH.N2	BA.UTIC.NET.N1	?B	2380.570	2378.288	2378.499	2388.977	2402.670	2396.325	2374.282	2381.953	2385.514	2370.525	1729.255	2383.113	2374.321	2393.714	2365.257	2382.629	2385.711	2371.960	2356.047	2377.694	1713.823	.	.	.	2354.892	2359.342	1708.137	2372.328	2361.757	2367.639	1702.933	2340.765	2346.649	2360.106	2333.176	2287.810	2279.191	2318.906	1249.079	2362.120	2359.583	2348.238	2374.631	2368.998	2355.312	2366.250	2315.660	1705.146	2346.878	2385.019	1727.908	2393.866	2364.746	2354.082	1325.870	2518.631	2540.080	2506.404	1675.860	2367.201	ultralog.ampath.net	NET	North_America	linhost2.utic.net.ba	BA	Balkans
NET.AMPATH.N2	BD.DUET.AC.N1	?B	1050.684	1051.264	1054.618	1052.868	176.069	1050.878	1049.729	538.912	1050.395	1049.082	379.842	230.648	256.352	305.199	186.222	1041.572	1051.420	776.049	597.446	250.922	237.059	.	.	.	197.757	166.654	165.705	190.828	1239.963	1214.841	909.729	916.081	364.188	337.230	197.869	234.809	408.963	378.920	222.461	572.683	298.473	217.182	218.128	541.887	769.412	773.122	1051.850	1052.844	1052.393	118.375	.	623.882	765.891	810.350	253.916	272.063	1159.889	1098.633	213.349	262.592	ultralog.ampath.net	NET	North_America	www.duet.ac.bd	BD	South_Asia
