#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.AIRUNIVERSITY.EDU.N2	AF.MOD.GOV.AF	?B	511.138	511.993	512.892	513.116	511.897	511.729	84.815	511.093	510.991	510.280	369.837	510.120	370.352	169.357	509.736	193.303	153.359	149.457	143.011	184.492	232.316	508.761	508.963	157.445	149.423	205.359	369.159	508.783	508.860	151.567	509.897	509.885	508.831	219.930	42.349	30.811	30.576	36.390	30.402	43.480	45.831	97.111	15.430	18.280	40.622	56.849	21.455	15.340	14.753	50.846	112.778	34.648	44.858	34.492	39.362	157.229	161.365	.	60.542	71.117	airuniversity.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.AIRUNIVERSITY.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	182.756	231.645	177.295	219.911	253.306	222.867	273.622	228.398	252.841	286.688	267.026	207.780	256.160	310.141	205.835	200.786	249.458	207.140	259.004	311.196	390.610	223.230	200.715	234.280	260.588	304.913	242.170	232.290	311.253	281.688	272.435	650.132	709.086	514.286	697.614	358.889	285.365	288.317	493.212	374.523	543.129	423.339	276.998	312.820	480.088	318.775	456.229	422.886	273.275	245.794	236.737	331.001	331.546	357.713	424.242	494.315	260.379	.	595.605	362.769	airuniversity.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.AIRUNIVERSITY.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	158.443	.	293.775	435.823	394.631	429.096	440.436	345.156	280.429	771.754	563.664	768.280	273.601	547.824	307.140	289.597	307.420	376.542	177.670	144.387	129.068	137.549	156.640	406.944	664.615	929.838	182.114	795.980	576.306	791.628	334.869	407.463	168.372	387.066	.	143.713	330.148	airuniversity.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.AIRUNIVERSITY.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	687.997	928.210	929.674	934.136	1292.286	1282.112	681.016	1284.826	1134.882	1296.670	1286.959	1286.343	1289.662	1283.334	1282.894	929.012	1288.445	1297.730	1283.737	1285.750	1283.929	1278.505	1298.736	934.624	1292.692	1294.317	1310.560	1294.918	1298.583	1316.122	944.181	1294.646	1294.593	1302.767	1318.195	1261.089	1281.578	1303.070	1300.875	1305.701	660.647	1167.812	1090.097	1189.838	1207.361	1198.783	611.608	256.166	1191.370	1186.197	256.400	1193.875	1200.785	1201.962	1189.495	1197.543	1190.397	.	1197.015	1193.344	airuniversity.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.AIRUNIVERSITY.EDU.N2	AU.AARNET.BRISBANE.NET	?B	1181.650	1318.914	962.242	1326.742	1332.851	1322.011	553.028	1329.057	1318.260	1332.938	1328.535	1343.888	1337.055	1326.367	1342.827	1333.562	1338.073	1352.512	1344.979	1333.345	971.267	1337.234	986.026	1343.705	1340.754	1351.816	1359.808	1354.262	1352.849	1358.452	977.416	1345.405	1355.662	1361.377	1362.414	1315.817	1322.331	980.963	1342.726	1351.386	1333.728	1198.082	1125.601	1224.537	1244.766	1233.574	454.825	253.461	1226.013	887.294	239.398	893.212	1236.023	899.191	1223.180	1231.700	1226.717	.	1232.789	1227.719	airuniversity.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.AIRUNIVERSITY.EDU.N2	AU.AARNET.CANBERRA.NET	?B	996.999	701.657	995.274	1375.880	1383.815	1369.577	397.391	1366.638	1358.480	1364.500	1363.544	1367.987	1365.321	1352.810	1375.021	1358.352	995.342	1377.445	705.265	988.410	1370.426	989.090	1380.416	1366.124	1371.302	1380.948	1391.858	1377.882	1377.735	1390.991	995.713	1371.928	1380.119	1392.124	1391.835	1362.452	1356.875	1377.190	1369.410	1380.225	1367.821	1231.473	1152.758	1251.234	1271.749	1256.079	344.883	264.436	919.553	1259.823	245.537	918.016	1278.945	1279.574	1266.017	1274.050	1268.813	.	1275.181	1269.576	airuniversity.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.AIRUNIVERSITY.EDU.N2	AU.AARNET.HOBART.N2	?B	933.560	1278.097	933.435	933.501	1293.629	1283.677	1272.852	1278.168	1263.672	1276.089	1269.333	1272.444	1267.182	1264.577	1267.315	561.584	1283.138	1282.728	1273.951	1270.559	1267.447	1254.171	1279.500	923.265	1277.128	1285.945	1295.128	1277.031	1284.945	1294.546	1275.305	1271.625	1274.460	1285.307	1300.032	1262.033	1272.322	1283.854	1282.037	1288.692	1267.726	1156.909	1080.445	1178.206	1193.658	1183.555	606.925	230.244	1190.970	1186.481	249.119	1195.620	1202.508	1203.023	1191.867	869.533	1191.403	.	871.146	1194.362	airuniversity.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.AIRUNIVERSITY.EDU.N2	AU.AARNET.PERTH.NET	?B	1539.772	2106.804	2114.437	2132.169	2147.425	2120.295	952.726	2126.525	2115.464	2158.612	2113.790	2142.854	2162.512	2128.462	2175.803	2142.192	1572.711	1597.758	2171.658	1557.820	1109.101	2152.998	2205.140	2173.523	2166.851	2202.461	2217.536	2195.539	2199.784	2228.868	1118.806	2178.803	1598.860	2222.969	2220.248	1527.286	2082.257	2187.581	2168.782	2193.735	2152.903	1638.152	1500.244	1880.093	1926.978	1898.642	683.447	433.187	1879.921	1866.865	320.848	1374.878	1906.279	1909.269	1363.015	1900.582	1883.719	.	1901.794	1886.664	airuniversity.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.AIRUNIVERSITY.EDU.N2	BD.DUET.AC.N1	?B	2249.710	2268.953	2289.170	2289.787	2282.115	2285.968	1721.687	2459.062	2457.498	2446.964	615.587	529.809	456.984	941.308	900.979	2442.929	843.864	487.418	794.220	504.393	448.482	745.666	819.540	2244.451	525.979	315.592	328.406	311.073	1275.001	1318.144	1784.672	1201.816	910.343	677.651	458.837	1300.733	697.317	886.794	474.326	1052.125	490.071	455.732	484.998	2280.235	1167.856	700.303	2228.011	2355.915	2361.255	230.501	.	1063.330	973.862	1196.468	581.381	722.831	2449.840	.	1698.366	851.421	airuniversity.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.AIRUNIVERSITY.EDU.N2	BJ.GOUV.N1	?B	379.087	293.267	155.591	189.998	160.680	162.078	168.487	428.264	219.859	186.559	353.075	176.535	160.882	155.664	301.983	494.687	199.182	392.517	178.439	200.921	279.371	296.224	492.680	173.936	183.511	238.914	345.689	240.552	1177.470	1179.112	189.648	364.059	232.659	183.079	227.668	1180.386	858.101	238.254	234.161	380.163	352.677	229.966	1122.034	585.185	406.328	272.524	220.360	204.637	166.411	219.263	210.225	128.142	159.853	147.133	141.197	150.453	1066.649	.	159.137	115.590	airuniversity.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
