#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.COMSATS.EDU.N2	AF.MOD.GOV.AF	?B	.	.	.	.	.	260.490	108.755	509.916	.	499.807	357.128	493.797	103.036	118.482	504.572	105.938	85.883	211.770	366.731	105.429	505.505	143.728	503.264	168.339	501.991	.	299.006	235.487	506.276	.	135.814	.	.	504.533	.	26.346	26.843	26.483	48.190	.	35.039	178.449	16.767	26.553	.	64.096	16.179	.	12.299	77.793	148.058	.	39.530	37.691	42.943	131.161	288.392	143.988	75.924	75.962	pinger.comsats.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.COMSATS.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	268.109	279.238	183.587	.	274.586	318.362	282.169	256.242	225.941	225.215	316.366	209.756	211.599	263.347	247.273	312.660	229.876	197.933	290.807	721.747	.	390.316	212.310	1904.476	.	206.716	.	.	613.096	.	245.403	252.784	328.959	300.175	.	307.135	333.005	441.018	1581.306	.	266.130	331.254	.	220.172	314.282	255.979	.	292.307	356.503	306.990	404.591	225.992	799.186	364.203	410.038	pinger.comsats.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.COMSATS.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	920.600	540.703	1651.069	.	1642.919	.	.	1112.695	.	583.523	1640.858	498.427	1616.692	.	1051.449	317.095	246.939	407.334	.	229.666	483.121	.	447.391	1319.681	1517.634	.	785.569	426.673	373.823	325.929	1169.287	659.062	227.694	407.304	pinger.comsats.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.COMSATS.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	512.966	385.619	1001.661	.	298.042	214.765	989.698	992.893	271.741	1031.185	273.870	222.107	346.331	741.301	543.384	339.013	320.700	1032.162	822.922	790.435	.	466.173	784.306	975.481	.	790.171	.	.	658.883	.	482.661	944.194	857.420	778.641	.	500.276	236.430	241.886	401.507	.	276.906	947.876	.	398.496	951.009	949.831	.	953.430	345.805	193.424	951.624	845.463	689.854	688.533	690.146	pinger.comsats.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	519.109	513.979	1005.220	.	444.266	244.380	1005.718	521.960	297.648	1038.992	743.856	178.911	401.442	1028.333	583.733	434.392	519.106	1038.337	827.613	526.167	.	789.824	788.797	988.185	.	795.162	.	.	667.721	.	492.431	955.318	867.170	255.576	.	290.745	331.395	277.839	168.563	.	306.561	428.918	.	407.205	523.152	973.237	.	959.774	414.171	201.652	697.253	964.797	965.950	495.442	495.782	pinger.comsats.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	277.714	352.088	1048.037	.	762.323	1038.670	536.572	381.350	450.698	1079.857	449.760	243.660	466.472	549.950	782.865	490.963	462.243	1083.804	855.303	816.302	.	483.616	812.231	1020.766	.	821.393	.	.	487.114	.	412.689	506.492	892.314	808.961	.	801.444	408.975	344.752	417.824	.	260.003	994.817	.	274.483	995.493	994.926	.	513.343	994.126	203.528	717.923	480.425	992.572	509.687	993.713	pinger.comsats.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	263.973	975.964	982.306	.	865.547	700.201	708.968	715.316	366.462	1013.947	730.964	251.420	737.938	538.819	1010.979	1010.670	517.293	1017.482	811.989	777.539	.	775.857	774.023	963.732	.	780.625	.	.	979.353	.	268.948	932.166	846.540	770.812	.	763.312	296.751	292.832	291.219	.	265.455	244.763	.	339.318	940.339	938.158	.	681.599	680.968	227.718	937.399	676.501	930.714	478.525	930.259	pinger.comsats.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	208.569	382.253	913.773	.	662.137	902.381	665.799	921.201	236.290	953.630	274.012	192.103	314.792	396.090	423.043	488.487	397.240	951.722	773.247	741.182	.	741.628	489.535	1096.755	.	485.140	.	.	1118.141	.	344.108	1042.496	448.026	739.586	.	471.738	189.324	279.653	318.089	.	329.202	589.977	.	328.272	1057.919	1054.830	.	438.494	1042.675	202.815	395.706	468.526	767.198	765.186	766.040	pinger.comsats.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.COMSATS.EDU.N2	BA.UTIC.NET.N1	?B	.	.	.	.	.	2026.904	1084.736	2037.658	.	2021.596	1874.096	883.471	1030.100	366.340	2027.943	2024.798	519.141	1471.027	845.168	1036.742	2004.244	1476.452	1453.125	1899.450	1858.864	.	762.489	1222.087	1869.305	.	1850.947	.	.	1253.318	.	642.716	1891.792	967.925	1908.958	.	1191.868	934.851	1245.947	1744.722	.	360.385	1330.445	.	1339.585	1829.463	1869.731	.	1347.055	789.784	909.915	779.413	1802.061	1334.368	1331.660	1849.951	pinger.comsats.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.COMSATS.EDU.N2	BD.DUET.AC.N1	?B	.	.	.	.	.	620.074	716.629	2263.545	.	2161.573	542.564	574.064	362.035	491.236	428.192	511.294	439.968	819.485	1606.934	410.997	652.568	896.591	561.523	1225.743	616.668	.	358.822	331.620	2284.674	.	2403.513	.	.	918.505	.	451.723	2235.072	535.835	288.311	.	1361.715	384.723	486.632	973.365	.	577.322	1024.635	.	2356.467	273.062	.	.	773.951	810.001	480.367	596.840	1021.180	722.552	664.145	501.085	pinger.comsats.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
