#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.GIKI.EDU.N1	AF.MOD.GOV.AF	?B	171.674	88.224	64.134	509.670	510.213	507.753	508.185	508.596	506.745	507.761	360.234	507.296	506.086	506.190	505.574	505.428	367.395	85.187	267.992	504.043	367.049	218.078	504.357	365.381	499.346	365.748	145.157	501.732	108.384	59.534	367.724	507.147	503.972	505.734	506.983	134.532	257.026	507.255	368.377	368.346	284.689	366.795	259.723	367.811	367.545	505.767	259.425	510.230	454.757	445.942	512.392	263.062	371.729	369.914	509.481	185.425	227.484	158.040	260.979	370.267	pinger.giki.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.GIKI.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	318.113	285.213	268.823	408.606	420.887	450.552	352.121	345.171	325.879	431.711	400.987	492.332	468.351	364.751	514.100	320.360	307.959	218.321	297.784	317.537	440.699	387.930	234.186	400.751	219.908	290.263	227.989	264.935	270.207	224.745	225.181	429.868	327.700	367.484	455.530	434.317	236.219	330.380	738.364	425.317	259.168	405.959	537.859	239.171	404.233	300.248	406.439	389.694	369.161	396.052	243.335	289.600	276.262	331.103	614.532	323.100	297.608	340.329	313.855	442.014	pinger.giki.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.GIKI.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	387.900	511.915	1606.525	1173.348	1602.550	1174.065	1613.441	1610.510	1603.273	1435.854	1613.939	827.648	1150.765	1605.052	1602.252	1138.135	631.645	303.734	507.975	481.764	428.515	273.149	465.989	568.029	722.366	1299.337	1145.535	1120.753	306.316	913.393	385.455	586.001	514.378	221.746	464.319	pinger.giki.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.GIKI.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	732.713	744.931	745.130	744.771	740.642	740.694	747.108	736.495	734.013	734.094	535.770	534.783	736.126	283.857	753.973	758.709	550.149	230.347	757.180	210.075	550.180	756.867	761.220	551.141	441.433	782.435	568.658	402.359	784.829	914.673	793.607	196.763	572.422	661.824	694.678	951.862	948.895	912.348	782.994	562.491	774.279	561.351	349.116	480.543	480.983	404.916	687.167	943.976	946.966	947.970	950.364	688.311	940.749	930.756	908.640	477.826	925.206	926.925	921.991	674.942	pinger.giki.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.GIKI.EDU.N1	AU.AARNET.BRISBANE.NET	?B	742.123	753.073	753.884	756.211	751.388	753.639	746.612	749.036	746.162	748.465	544.428	752.305	755.480	258.056	486.003	137.191	564.230	157.995	776.423	562.247	777.578	784.787	788.336	210.550	352.222	269.261	792.634	574.860	791.424	675.443	802.114	178.763	408.973	920.846	966.801	967.780	496.080	927.558	406.979	780.045	781.664	566.800	312.923	409.782	690.004	366.135	679.484	683.606	685.953	944.688	948.213	394.053	677.156	302.636	665.329	393.698	470.790	665.081	382.212	470.580	pinger.giki.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.GIKI.EDU.N1	AU.AARNET.CANBERRA.NET	?B	761.978	554.874	764.835	768.944	761.645	766.839	753.456	749.091	747.489	543.879	750.151	551.873	766.858	277.343	780.571	784.173	697.261	150.464	77.985	400.054	568.362	785.184	405.562	403.303	436.475	810.431	589.903	588.871	813.451	954.121	823.290	192.439	816.706	947.269	993.591	721.954	509.462	952.345	811.303	800.846	801.241	712.484	363.262	501.577	977.525	499.839	702.984	970.675	966.480	967.333	968.025	403.718	979.978	411.022	493.360	701.646	359.941	936.808	680.537	483.905	pinger.giki.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.GIKI.EDU.N1	AU.AARNET.HOBART.N2	?B	727.158	733.410	734.224	738.245	730.122	737.699	261.865	729.354	728.013	729.959	530.670	729.428	735.266	255.125	219.364	132.854	748.648	182.981	549.386	244.538	326.290	754.761	552.015	221.024	565.736	777.594	778.806	563.211	778.634	659.903	570.056	184.793	402.996	905.431	687.479	946.782	484.839	905.125	777.325	768.927	769.166	298.093	347.002	389.963	676.165	381.403	928.388	673.448	477.632	826.981	678.229	388.062	673.890	672.241	663.111	271.433	287.545	901.244	461.981	465.102	pinger.giki.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.GIKI.EDU.N1	AU.AARNET.PERTH.NET	?B	698.211	304.129	704.650	706.076	703.349	704.098	699.980	690.149	687.471	354.071	502.112	694.661	506.023	272.327	446.297	714.880	717.145	149.262	71.052	264.426	715.820	715.856	719.479	174.412	739.443	655.487	737.555	736.423	737.621	976.724	754.440	184.665	742.254	954.316	772.061	1065.909	394.674	981.225	746.883	730.253	729.470	729.071	315.030	755.875	762.410	1048.802	1051.887	382.920	764.756	1054.706	540.782	540.909	1057.381	452.311	1026.037	756.792	918.462	529.065	745.995	1031.830	pinger.giki.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.GIKI.EDU.N1	BD.DUET.AC.N1	?B	1250.742	1255.517	1264.651	918.766	1260.978	1267.841	1239.392	1289.226	1279.149	926.367	934.153	245.292	236.651	1274.293	187.364	205.674	945.821	215.871	949.394	420.101	273.352	760.055	446.865	584.485	236.741	145.416	186.199	149.279	259.650	1143.568	1147.194	1135.889	429.783	475.010	232.731	213.674	346.713	298.108	212.370	393.583	446.945	195.585	157.444	480.556	530.005	395.499	685.831	1203.860	1339.485	1119.850	115.349	468.107	818.131	1570.049	495.592	425.228	1583.671	885.135	1574.093	795.909	pinger.giki.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.GIKI.EDU.N1	BJ.GOUV.N1	?B	266.307	220.516	154.240	266.102	164.249	165.087	158.599	365.213	493.008	232.799	248.455	160.134	162.528	168.246	267.586	340.182	167.812	210.600	172.665	208.354	236.588	589.556	410.642	173.866	154.865	204.997	296.085	265.085	848.939	848.777	152.257	227.271	244.466	140.578	209.484	848.343	598.984	288.355	202.559	265.838	282.230	257.639	595.195	419.518	394.262	442.290	379.044	173.156	172.250	164.319	246.872	158.948	169.970	162.935	153.479	139.314	450.015	275.862	141.898	147.273	pinger.giki.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
