#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.ISRA.EDU.N2	AF.MOD.GOV.AF	?B	527.851	528.892	384.346	527.662	374.374	525.858	524.597	525.166	524.278	524.393	522.710	364.624	.	506.341	522.296	522.326	379.422	153.101	268.174	379.492	379.590	268.240	224.777	378.179	230.086	369.244	515.963	519.567	379.259	268.769	523.303	524.166	522.072	224.338	42.231	32.513	32.913	40.265	29.560	53.867	45.205	202.082	36.463	34.750	45.197	60.558	40.442	77.686	195.140	85.658	148.989	35.194	40.362	36.744	42.931	174.735	221.318	530.063	63.827	76.505	pinger.isra.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.ISRA.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	307.412	291.397	276.581	362.244	419.155	640.498	542.739	433.801	482.429	464.339	650.604	404.374	.	456.739	428.087	411.883	421.002	346.001	660.681	490.480	916.455	364.313	309.117	334.798	365.902	554.857	545.243	687.717	445.167	462.240	261.290	712.721	637.058	603.097	909.909	438.366	1772.570	1263.740	768.091	954.799	1312.028	484.280	484.207	436.672	634.237	380.917	630.652	465.757	244.359	893.613	1753.699	595.715	481.482	439.544	742.150	429.589	538.031	936.306	556.945	611.240	pinger.isra.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.ISRA.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1800.283	.	706.442	456.254	1803.364	1844.511	1845.401	1843.651	580.606	1320.780	1298.311	1849.752	1849.976	1845.363	1785.306	1338.201	1843.129	1329.749	1281.829	276.706	712.440	585.235	372.739	818.088	1286.091	912.932	1513.492	1088.026	1792.351	1602.900	722.553	1396.175	558.528	926.695	488.411	272.499	1067.729	pinger.isra.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.ISRA.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	781.674	783.319	780.769	779.394	199.271	776.983	766.795	769.466	770.774	768.009	770.427	782.221	.	219.944	806.199	802.734	807.539	806.094	337.633	584.871	431.167	410.855	807.191	796.840	234.866	320.177	380.351	328.347	747.349	773.317	559.661	790.794	814.309	817.640	799.897	795.767	795.627	797.414	795.368	554.631	795.238	786.232	791.546	790.608	568.026	384.695	238.399	169.961	770.846	770.151	770.793	766.306	757.106	550.570	757.914	550.798	769.007	769.151	292.017	770.675	pinger.isra.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.BRISBANE.NET	?B	779.621	778.499	565.515	776.716	220.734	570.599	787.459	778.274	778.166	778.052	775.972	784.327	.	241.610	587.081	805.752	415.806	585.954	240.241	585.825	367.431	430.670	808.629	291.805	213.165	392.558	538.940	537.275	748.555	774.542	771.259	792.469	818.067	817.281	797.647	801.081	800.489	797.625	793.213	320.976	793.710	783.257	573.484	571.779	298.076	779.437	778.311	784.163	789.836	791.300	791.443	790.657	339.703	787.045	570.806	785.921	791.188	791.623	300.295	790.768	pinger.isra.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.CANBERRA.NET	?B	797.898	580.371	797.190	795.374	203.178	800.276	581.156	794.750	795.374	578.139	796.846	794.205	.	260.063	829.016	828.324	826.957	426.862	296.564	604.218	445.916	313.803	834.124	345.705	251.719	404.733	762.505	328.335	770.672	580.110	408.546	816.064	844.276	612.791	820.979	818.983	816.758	818.040	438.441	291.378	817.230	804.974	813.862	813.010	288.729	393.383	795.369	174.097	796.556	796.985	578.504	800.138	803.492	803.772	800.751	800.438	797.680	797.286	797.578	578.422	pinger.isra.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.HOBART.N2	?B	775.235	774.927	775.865	773.562	233.784	780.568	782.011	781.417	780.858	781.878	568.232	768.591	.	238.586	797.544	577.406	796.639	794.683	308.125	796.028	796.041	294.295	799.026	787.808	575.861	344.368	393.393	730.774	537.757	764.984	761.760	782.196	805.505	588.110	791.822	790.240	791.235	576.056	787.960	276.119	575.862	778.126	784.031	783.095	568.022	279.427	769.864	769.010	766.907	768.817	769.026	771.552	779.569	780.895	568.510	783.144	770.407	767.554	291.209	768.001	pinger.isra.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	AU.AARNET.PERTH.NET	?B	730.249	729.816	729.927	728.608	220.831	533.099	733.429	732.885	731.817	733.039	733.532	731.711	.	233.118	760.653	756.649	553.098	407.904	758.573	757.594	550.588	548.310	760.071	314.557	316.861	523.634	270.586	698.524	706.689	729.670	528.532	745.456	766.280	767.889	752.229	743.897	540.208	749.170	750.612	173.258	752.193	539.732	746.390	746.810	382.324	266.547	728.302	723.256	369.710	718.925	717.495	523.901	725.096	724.761	727.427	727.314	719.810	719.649	522.988	719.240	pinger.isra.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.ISRA.EDU.N2	BD.DUET.AC.N1	?B	1100.214	1101.750	1102.234	1101.422	797.493	1097.637	1098.411	806.571	1107.090	1108.878	476.452	274.288	.	340.949	398.812	1104.021	1113.327	509.349	273.948	299.703	265.227	465.976	355.476	1019.441	275.956	196.993	212.801	221.203	1123.972	393.581	836.141	701.652	882.450	277.533	181.074	263.653	402.728	565.923	395.341	1215.157	511.983	277.452	266.080	1128.356	1087.363	1091.995	1088.675	559.156	1085.209	110.132	.	1089.413	456.836	1106.170	256.801	280.479	570.976	1110.462	569.220	285.064	pinger.isra.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.ISRA.EDU.N2	BJ.GOUV.N1	?B	293.157	245.959	177.803	249.490	171.832	159.891	178.948	410.817	248.153	268.959	327.217	192.702	.	150.424	309.821	459.677	199.861	419.969	186.158	210.528	276.738	459.371	913.674	196.648	226.323	266.220	256.612	261.554	919.820	650.183	216.019	387.690	207.406	198.574	202.611	1266.829	920.651	270.346	283.573	329.848	294.288	374.197	609.029	878.843	400.987	339.220	363.594	171.606	194.745	282.611	245.920	174.707	176.237	180.833	226.461	219.550	487.965	294.036	169.873	199.141	pinger.isra.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
