#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.LCWU.EDU.N2	AF.MOD.GOV.AF	?B	.	.	.	.	.	513.713	512.808	.	.	.	247.036	506.314	512.547	450.918	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	83.040	.	.	.	178.086	28.458	8.995	6.875	.	.	.	.	514.725	.	.	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.LCWU.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	236.428	286.268	.	.	.	402.748	235.605	274.045	1951.047	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	280.164	.	.	.	246.995	301.112	449.817	428.974	.	.	.	.	801.363	279.142	1672.110	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.LCWU.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	792.195	.	.	.	690.700	549.506	522.975	1691.944	.	.	.	.	457.442	353.760	1305.064	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.LCWU.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	961.981	963.618	.	.	.	966.169	963.375	946.145	1007.979	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	125.491	.	.	.	966.372	223.184	955.595	962.898	.	.	.	.	954.232	437.442	956.881	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.LCWU.EDU.N2	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	978.849	982.499	.	.	.	483.965	971.182	477.557	1029.825	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	716.842	.	.	.	476.233	175.319	970.181	965.957	.	.	.	.	968.460	280.792	973.891	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.LCWU.EDU.N2	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	999.716	1003.938	.	.	.	1004.961	1005.116	1005.180	1063.216	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	359.945	.	.	.	492.893	154.247	998.102	1000.153	.	.	.	.	1005.464	341.396	1000.694	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.LCWU.EDU.N2	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	960.650	960.696	.	.	.	958.355	952.496	932.481	1005.916	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	131.462	.	.	.	952.083	162.327	948.732	949.583	.	.	.	.	377.716	.	.	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.LCWU.EDU.N2	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	1080.687	1074.211	.	.	.	1078.321	1077.946	1083.552	447.075	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	254.623	.	.	.	534.565	272.092	579.303	1078.140	.	.	.	.	1066.068	1045.274	1075.097	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.LCWU.EDU.N2	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1836.041	1818.651	1797.203	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.LCWU.EDU.N2	BD.DUET.AC.N1	?B	.	.	.	.	.	1081.479	2392.457	.	.	.	588.491	245.823	422.562	2383.206	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	164.211	.	.	.	303.088	448.659	2315.841	.	.	.	.	.	2318.986	377.578	2332.458	.	.	.	.	pinger.lcwu.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
