#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NEDUET.EDU.N1	AF.MOD.GOV.AF	?B	529.492	529.843	529.665	530.114	528.437	526.395	150.223	526.974	.	.	.	.	527.126	139.604	524.358	456.609	380.801	281.407	381.306	523.865	524.589	226.455	381.110	521.044	269.436	378.976	522.577	522.156	524.132	524.453	524.676	525.663	525.922	333.242	47.107	28.157	15.174	28.730	29.205	50.541	40.298	175.523	37.970	41.317	43.352	66.438	37.233	70.490	128.012	73.223	151.875	36.558	58.363	35.026	40.641	146.638	154.085	189.783	51.551	122.148	npm.neduet.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NEDUET.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	330.063	340.119	302.561	397.172	533.695	527.798	586.030	305.051	.	.	.	.	575.558	478.821	416.638	389.318	475.133	262.914	465.113	635.378	463.269	803.504	276.405	413.777	347.242	610.275	325.348	661.017	327.144	511.561	378.230	405.610	715.480	642.309	722.926	598.838	463.302	540.549	954.285	1341.988	521.939	697.782	434.889	597.665	497.334	449.680	536.874	563.480	324.697	666.261	930.685	992.989	675.688	521.563	924.291	779.411	608.579	986.458	684.337	743.463	npm.neduet.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NEDUET.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1148.371	.	698.395	367.894	402.469	1117.481	365.327	253.270	461.225	375.502	830.848	828.621	586.612	339.791	332.249	308.438	415.490	576.562	171.422	201.146	152.015	127.769	254.577	524.740	1090.573	1080.865	682.876	1193.343	1288.843	869.991	310.848	552.922	290.047	715.648	434.220	189.912	806.933	npm.neduet.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NEDUET.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	1450.906	1455.795	1452.705	1457.844	1455.698	1453.952	1452.292	1451.389	.	.	.	.	1429.688	1054.024	1430.442	1443.384	1446.706	1048.469	549.174	1451.122	1434.236	777.558	1049.724	203.670	178.592	167.172	187.723	294.012	989.642	1326.532	432.669	306.748	234.538	1419.507	1434.580	1455.189	1368.225	865.556	690.646	296.235	390.828	928.542	873.650	1375.524	491.926	1387.932	512.764	1376.663	1237.828	1390.316	1390.453	1010.653	1390.692	1388.749	1388.694	1010.513	1390.192	1390.264	1390.602	1390.539	npm.neduet.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NEDUET.EDU.N1	AU.AARNET.BRISBANE.NET	?B	1509.895	1509.860	1510.195	1510.045	1510.085	1510.150	1510.156	1506.298	.	.	.	.	1510.126	1510.255	1510.003	1510.199	1510.371	1510.248	1510.504	1510.386	1508.189	1097.426	1097.306	248.861	172.408	166.166	341.485	298.331	1022.874	1377.254	772.004	312.554	263.594	1485.902	1485.692	1096.666	1426.187	890.804	972.860	338.429	692.970	949.185	1238.377	1442.697	584.634	1438.447	507.866	1423.124	1436.397	1435.849	1435.905	1436.223	1436.242	1436.030	1435.976	1436.197	1435.483	1435.847	1436.216	1435.980	npm.neduet.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NEDUET.EDU.N1	AU.AARNET.CANBERRA.NET	?B	1559.167	1560.313	1133.882	1559.612	1559.407	1132.232	1557.412	1558.889	.	.	.	.	1560.584	1560.624	1559.495	1560.400	1560.791	1132.165	1560.717	1558.562	1560.457	1560.627	1555.088	209.233	221.001	171.303	234.536	222.427	1044.973	1417.933	788.446	282.348	239.287	1534.371	1534.221	1133.076	1067.752	1259.408	360.988	247.169	500.106	544.829	1273.667	1488.637	789.748	1483.828	773.318	1467.518	1481.920	1481.344	1481.401	1481.659	1481.720	1481.361	1481.369	1481.201	1480.703	1481.116	1481.663	1481.563	npm.neduet.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NEDUET.EDU.N1	AU.AARNET.HOBART.N2	?B	1447.578	1447.657	1443.139	1447.279	1051.707	1443.527	1446.020	1446.471	.	.	.	.	1426.121	1435.565	732.053	1430.373	1439.038	1037.329	1419.867	1439.284	1419.544	1428.689	1437.046	157.859	165.563	248.433	270.132	242.414	982.528	1318.284	373.249	346.019	328.931	1412.400	1423.061	1445.399	1359.290	860.718	396.291	380.989	476.135	671.614	1192.811	1361.359	1363.872	1379.068	498.806	1367.842	1380.042	1379.666	1379.827	1379.790	1380.043	1378.490	1377.682	1379.451	1378.977	1379.299	1379.904	1379.762	npm.neduet.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NEDUET.EDU.N1	AU.AARNET.PERTH.NET	?B	2646.113	2646.191	2646.651	2646.502	2646.417	2646.055	2646.509	2646.423	.	.	.	.	2647.231	1360.096	2646.250	2646.675	2648.106	2647.530	2648.209	2647.730	2648.027	2647.484	2647.384	268.215	208.244	218.372	266.650	303.318	1128.965	2040.198	1188.113	329.382	627.330	1832.363	2520.838	2644.014	2307.083	830.201	559.191	332.053	324.012	737.125	1207.627	1767.798	1746.095	1768.829	2278.956	2369.794	2430.566	2429.315	2428.597	2429.786	2430.262	2429.551	2429.503	2429.476	2428.462	2428.744	2430.498	2429.398	npm.neduet.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NEDUET.EDU.N1	BA.UTIC.NET.N1	?B	2206.262	2209.459	2203.040	2214.630	2213.260	2207.792	2217.718	2223.816	.	.	.	.	2133.796	2010.296	2205.180	1604.226	2203.313	2200.661	2186.438	2201.796	2197.466	2210.097	2172.837	839.908	2091.661	943.781	2049.654	2078.266	2162.490	2149.228	2115.404	2138.402	2112.133	2107.224	2141.701	2184.878	2177.821	2123.633	2219.632	524.752	2128.103	914.637	1449.853	458.213	1074.059	660.367	674.175	2117.730	2163.579	2124.508	2152.066	2131.707	2153.460	2120.248	1532.621	1535.353	1507.765	2120.175	2153.585	2162.361	npm.neduet.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.NEDUET.EDU.N1	BD.DUET.AC.N1	?B	2629.326	2601.998	2622.156	2631.301	1906.922	1905.495	2688.515	1730.022	.	.	.	.	602.474	1008.784	701.592	764.366	1527.482	710.273	1471.462	684.573	607.842	2704.663	1003.317	708.231	465.089	217.229	219.216	203.321	1084.924	2364.819	876.072	1213.101	567.809	734.910	408.680	559.216	1984.491	362.422	290.598	577.824	474.102	284.166	595.673	2624.890	1014.744	684.112	996.127	2537.577	740.182	310.529	.	1557.429	1898.870	678.823	834.698	988.329	2740.651	2734.796	2728.754	1138.024	npm.neduet.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
