#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NUISB.SEECS.EDU	AF.MOD.GOV.AF	?B	371.758	512.188	512.064	261.350	194.182	260.879	261.646	369.774	510.329	509.534	270.788	112.157	164.503	370.169	147.527	62.773	83.245	105.783	127.267	369.494	273.349	110.768	58.088	507.856	108.275	152.214	260.954	507.346	215.278	213.339	54.545	510.948	508.336	336.792	25.113	19.271	25.925	47.203	29.106	42.590	50.308	105.807	34.262	39.168	38.230	58.476	38.353	69.471	167.872	78.964	109.975	33.792	48.156	36.827	44.825	116.502	129.504	154.660	57.193	133.814	nuisb.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.NUISB.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	193.591	187.834	181.325	211.677	263.222	226.552	312.059	177.277	262.810	246.214	297.532	261.002	347.258	261.001	230.981	227.501	232.759	232.163	259.278	247.973	291.844	252.887	221.654	258.129	228.282	315.119	263.400	212.470	262.157	265.061	208.142	604.795	511.533	411.973	1621.454	180.414	318.009	360.172	359.948	399.252	584.571	328.664	381.205	416.206	402.089	293.279	296.693	308.531	257.012	324.320	258.051	236.256	285.322	341.425	259.086	538.159	319.726	324.780	612.166	317.929	nuisb.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NUISB.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1071.229	.	504.368	272.439	542.498	763.376	392.121	332.830	1062.614	318.319	330.452	706.573	427.631	322.098	251.270	254.526	436.608	377.250	197.166	138.682	179.583	122.781	158.339	587.054	195.231	676.733	913.433	769.639	795.174	801.465	800.725	345.488	326.316	546.626	435.335	144.044	341.063	nuisb.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NUISB.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	1292.145	1290.596	1281.884	1287.745	928.704	1279.744	1294.685	1284.415	1296.329	730.262	1270.041	297.591	937.101	1293.376	385.037	1288.817	1290.014	1279.977	1290.790	1303.195	1275.941	1292.533	1294.865	1298.810	925.210	1292.897	1300.990	1300.422	1297.671	1295.591	1299.140	1304.656	1289.013	1317.039	1323.029	1300.561	1274.321	1303.279	1291.196	1302.054	1276.451	1057.218	1084.306	852.825	1203.338	1202.269	500.419	166.234	1193.960	1183.609	1193.659	1195.534	1208.786	1210.396	1201.616	1205.230	1191.217	1202.522	1204.872	875.411	nuisb.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NUISB.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	1333.514	1337.202	1326.350	1337.532	1324.250	1325.649	1343.198	1332.564	1336.777	1189.519	1311.548	301.390	1351.885	1350.991	347.105	1342.721	1352.745	1339.673	980.384	1352.856	1346.433	1346.137	1350.743	1352.485	1334.250	1355.870	1356.666	1350.559	984.726	984.079	1354.333	1351.683	1363.105	1368.197	1367.217	1342.937	1317.925	1344.859	1339.282	1348.702	1323.889	1223.210	1111.359	1233.446	1239.317	1237.566	893.621	163.984	1230.893	1214.870	1228.734	1233.748	1245.114	1246.861	1237.943	1242.356	630.951	1238.940	1241.850	1240.304	nuisb.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NUISB.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	1384.010	1387.267	1374.637	1388.087	1378.447	1371.280	1377.430	995.225	1226.739	1366.304	1343.305	230.693	1381.944	1377.179	463.116	1366.884	1381.074	1362.375	1001.577	1380.832	998.287	1372.529	1375.020	1377.222	1361.846	1382.315	1384.172	1376.417	1380.656	1387.178	1382.479	1378.111	1395.529	1399.652	1398.723	1394.044	1354.350	1376.355	1367.529	1377.749	988.249	1250.613	1138.236	1263.345	1265.925	1262.191	456.778	186.076	1270.042	1258.380	1268.920	926.655	1288.499	1289.198	1278.675	1282.705	1266.836	1276.182	1283.213	1284.184	nuisb.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NUISB.SEECS.EDU	AU.AARNET.HOBART.N2	?B	1293.174	1295.133	1286.090	1293.477	1289.127	931.170	1286.321	1278.081	937.998	1275.966	1262.079	276.805	1275.810	1280.098	382.588	929.824	1144.092	1266.126	1276.222	1294.428	1271.397	1278.122	1287.098	1282.752	1265.900	1276.847	938.195	1283.120	1287.938	1284.141	1283.865	1288.308	1273.085	1301.389	1307.343	1303.181	1265.653	1282.125	924.049	1286.062	912.286	1178.427	1077.850	842.344	862.513	864.109	860.500	159.369	1195.411	1183.603	867.638	1198.626	1211.131	1211.784	1204.278	1205.189	1193.429	1199.800	1205.974	1207.072	nuisb.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.NUISB.SEECS.EDU	AU.AARNET.PERTH.NET	?B	2155.159	1567.773	2128.339	2160.832	2138.600	2126.613	2174.520	1103.615	2159.757	2158.230	2072.240	356.516	2196.045	2201.524	727.028	2168.484	2192.792	1570.220	1589.806	1604.922	2184.324	2175.693	2186.688	2191.562	2152.620	2203.078	2207.690	2192.831	2203.377	2207.701	2204.997	2193.376	2234.863	2240.495	2240.855	2172.766	2076.094	2181.930	2165.550	2187.539	2134.636	1697.587	1441.400	1894.258	1912.946	1911.605	792.507	239.543	1892.410	1863.956	1888.783	1896.507	1927.910	1931.906	1906.425	1921.499	967.638	1912.344	1922.074	1918.124	nuisb.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NUISB.SEECS.EDU	BD.DUET.AC.N1	?B	2331.664	2350.319	2368.108	2369.690	1715.701	2356.109	2367.630	1711.939	2356.359	2351.537	614.169	492.773	381.017	850.842	621.275	1701.871	486.803	581.439	977.343	424.643	430.975	1206.105	1257.530	2327.227	450.796	272.909	293.615	300.459	877.662	627.124	1276.192	958.578	1259.154	723.360	347.540	2359.063	850.917	678.594	438.848	1096.062	508.676	422.970	627.535	2388.080	2385.109	787.093	2410.022	2474.825	2475.256	309.082	.	2446.921	1023.604	2297.372	481.187	876.900	1730.522	852.662	1173.747	779.177	nuisb.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.NUISB.SEECS.EDU	BJ.GOUV.N1	?B	272.324	288.054	187.060	220.819	134.764	190.008	170.963	289.230	273.734	210.614	226.144	189.170	186.039	159.822	329.030	431.484	182.969	351.191	176.685	178.722	180.175	317.708	440.829	205.335	167.355	290.689	304.947	183.437	1184.420	610.561	228.802	256.474	230.692	161.724	159.812	1188.369	863.074	225.589	211.649	349.245	429.954	195.707	1126.604	842.994	414.983	274.316	349.739	156.253	162.070	224.594	190.421	127.794	168.256	181.839	161.625	162.556	454.377	730.924	155.250	179.311	nuisb.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.NUISB.SEECS.EDU	BO.UMSS.EDU.N1	?M	850.880	858.229	857.799	855.928	855.575	856.487	839.839	831.031	455.825	893.752	883.492	825.692	861.264	206.435	846.650	844.024	301.809	206.323	238.046	278.848	365.182	613.686	821.022	809.028	218.109	434.208	610.063	833.942	822.790	604.071	575.685	287.553	418.385	317.337	498.050	834.627	206.075	842.713	832.933	433.221	847.241	738.180	820.314	846.212	837.668	316.285	541.945	774.146	810.284	809.277	560.838	553.941	549.503	544.770	239.067	412.480	572.365	417.594	196.003	444.612	nuisb.seecs.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
