#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.NUML.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	189.645	.	633.602	1812.575	.	.	.	1797.406	368.837	185.200	197.410	.	.	.	.	643.732	.	1648.579	.	.	.	.	126.456	.	1450.727	.	.	.	.	.	436.352	841.790	292.049	.	.	.	359.700	.	.	281.292	323.335	.	368.244	pinger.numl.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.NUML.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1028.643	346.823	1005.778	.	.	.	.	1077.317	.	629.292	.	.	.	.	1048.796	.	1038.105	.	.	.	.	.	833.422	313.527	884.621	.	.	.	325.428	.	.	877.764	225.967	.	956.804	pinger.numl.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.NUML.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1286.995	.	1296.237	1314.738	.	.	.	286.891	811.518	288.365	873.528	.	.	.	.	960.017	.	1334.323	.	.	.	.	963.302	.	955.465	.	.	.	.	.	800.865	908.074	894.823	.	.	.	857.380	.	.	937.611	958.864	.	915.519	pinger.numl.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.NUML.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1342.880	.	1345.376	1355.868	.	.	.	167.724	192.576	872.417	881.385	.	.	.	.	971.988	.	1377.638	.	.	.	.	976.296	.	975.225	.	.	.	.	.	822.478	930.105	914.851	.	.	.	875.377	.	.	959.293	981.756	.	936.228	pinger.numl.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.NUML.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	430.035	.	894.860	1397.929	.	.	.	1007.305	841.772	897.362	901.790	.	.	.	.	1001.290	.	1418.400	.	.	.	.	1001.846	.	993.330	.	.	.	.	.	846.695	949.315	931.430	.	.	.	882.039	.	.	977.668	1001.898	.	939.030	pinger.numl.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.NUML.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2144.732	.	369.481	2200.356	.	.	.	321.773	896.304	318.841	971.190	.	.	.	.	1080.746	.	2265.970	.	.	.	.	1080.946	.	1071.990	.	.	.	.	.	886.804	1017.127	999.939	.	.	.	631.695	.	.	1053.282	1080.507	.	1025.577	pinger.numl.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.NUML.EDU	BA.UTIC.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	604.253	.	1915.953	1878.366	.	.	.	1744.893	1790.217	1732.102	1736.961	.	.	.	.	1731.309	.	1802.703	.	.	.	.	1885.564	.	1925.782	.	.	.	.	.	1868.287	1895.816	1717.007	.	.	.	1600.441	.	.	1790.327	1784.996	.	1827.290	pinger.numl.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.NUML.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	678.222	.	1327.958	2247.343	.	.	.	205.646	116.772	95.166	73.751	.	.	.	.	1516.191	.	661.721	.	.	.	.	1536.767	.	118.093	.	.	.	.	.	2372.589	1455.412	2358.749	.	.	.	584.770	.	.	705.638	2278.741	.	500.596	pinger.numl.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.NUML.EDU	BJ.GOUV.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	361.180	1166.699	.	.	.	121.828	221.744	386.581	1157.797	.	.	.	.	1159.029	.	504.174	.	.	.	.	1176.663	.	1166.962	.	.	.	.	.	399.817	167.112	240.950	.	.	.	156.285	.	.	1080.146	205.766	.	187.646	pinger.numl.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.NUML.EDU	BO.UMSS.EDU.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	268.152	.	843.651	850.648	.	.	.	848.042	854.221	846.086	851.713	.	.	.	854.470	854.772	.	846.877	.	.	.	.	866.349	.	866.176	.	.	.	.	.	827.284	820.513	789.900	.	.	.	741.821	.	.	798.532	815.140	.	825.379	pinger.numl.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
