#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PERNKHIPOP.EDU.N2	AF.MOD.GOV.AF	?B	531.749	531.293	531.668	386.205	530.667	528.469	375.872	107.169	214.725	381.748	88.634	94.731	198.185	372.247	524.593	275.672	113.610	83.963	139.365	121.856	60.835	295.904	522.989	464.745	217.302	104.716	159.022	522.523	135.249	67.992	381.728	526.571	380.607	334.675	368.915	84.355	382.569	381.283	203.347	526.028	381.430	523.332	68.287	32.247	523.859	180.736	30.987	17.814	12.232	102.027	534.559	534.514	133.665	214.780	533.294	532.976	472.601	533.958	534.536	118.879	pingerkhi.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PERNKHIPOP.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	208.733	173.810	231.668	240.401	328.662	267.858	299.269	258.633	241.500	328.284	364.520	275.401	333.169	260.121	274.534	477.187	321.416	261.099	290.157	364.988	462.297	258.282	247.395	281.544	301.519	338.925	369.037	249.249	317.695	323.712	234.760	626.492	614.846	643.485	493.565	487.395	363.454	477.217	388.821	334.030	463.284	289.151	370.682	765.255	961.418	445.666	389.396	372.516	257.163	606.348	503.858	318.435	309.174	355.225	409.967	459.657	296.292	467.734	632.200	370.525	pingerkhi.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PERNKHIPOP.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1828.018	.	1113.706	1727.351	1764.032	1796.442	1805.389	1795.596	1798.830	1774.777	1765.212	1807.475	1313.745	1803.227	1748.359	1793.535	1312.769	1790.865	442.471	293.382	555.703	603.415	396.376	791.501	1782.173	1793.423	1479.411	1326.441	725.491	1399.858	1014.240	1392.576	492.784	717.994	966.164	258.519	750.287	pingerkhi.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PERNKHIPOP.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	1019.821	1025.312	742.744	1013.358	739.896	1020.863	1017.752	334.308	521.750	1012.887	1011.543	1014.810	1015.107	751.279	1044.411	1036.046	1046.580	1046.182	1044.691	558.257	558.213	448.125	462.345	151.658	189.145	148.446	167.835	253.142	822.409	963.918	448.343	226.181	233.821	1057.783	1027.283	1024.745	451.702	871.599	535.232	265.710	307.068	424.107	185.507	1026.974	742.839	272.110	728.640	1021.063	1019.167	1021.857	1020.783	1020.931	1015.523	1015.519	439.154	906.844	1023.060	1024.153	1020.125	740.525	pingerkhi.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNKHIPOP.EDU.N2	AU.AARNET.BRISBANE.NET	?B	1034.407	531.466	1032.673	1029.230	1035.850	1035.923	1036.388	447.918	1036.521	1039.615	1029.781	1033.322	1028.012	1066.626	1073.682	1066.298	1075.846	780.002	777.840	1069.954	1070.398	547.430	525.119	276.074	150.078	125.081	165.055	222.552	608.716	986.423	458.086	244.307	188.848	1085.861	1050.229	1048.278	1013.912	645.929	749.371	236.302	275.924	341.571	253.442	1049.256	1045.314	527.136	894.744	747.959	1027.875	1030.682	1030.627	1024.486	1029.634	741.132	395.378	524.711	1013.774	1023.695	1024.920	1029.717	pingerkhi.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNKHIPOP.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1072.513	1073.597	778.537	1070.099	1068.478	1059.336	1061.542	362.587	1062.384	1061.140	1056.940	1068.245	574.142	1095.886	1104.055	1096.341	1106.057	1102.610	1101.070	797.397	1100.891	1095.236	427.432	130.446	177.936	154.136	169.473	249.601	622.048	1014.594	468.064	202.023	180.936	1118.259	1081.496	1078.356	756.954	911.336	277.717	311.526	318.269	568.014	198.729	1080.102	781.902	546.987	932.953	1071.599	1073.755	779.526	1073.778	951.683	770.818	1060.597	1058.006	943.512	1072.101	1072.021	1072.756	1073.694	pingerkhi.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNKHIPOP.EDU.N2	AU.AARNET.HOBART.N2	?B	1014.206	1017.234	542.504	1008.903	1011.535	1007.050	1012.466	362.199	1012.398	1009.854	1004.832	736.494	1014.341	1033.966	759.765	1031.132	1046.538	1047.021	1043.792	757.358	924.133	556.693	336.750	143.866	150.791	132.292	164.141	342.377	596.773	964.911	378.560	260.851	211.313	1057.249	1025.603	1023.040	988.616	869.754	327.314	265.354	325.349	367.106	184.169	1024.927	1019.173	295.417	551.309	726.534	1002.360	998.640	1000.485	724.080	1007.848	1000.185	429.024	993.046	715.645	994.059	993.299	999.012	pingerkhi.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PERNKHIPOP.EDU.N2	AU.AARNET.PERTH.NET	?B	1155.732	1156.526	1156.327	1152.476	1155.519	1154.252	1148.156	524.578	1150.436	1150.282	1133.550	1154.790	1153.581	1187.185	501.139	1187.061	1198.800	1195.612	640.327	451.746	1192.461	861.933	584.007	121.815	156.289	131.770	162.584	180.483	575.096	1026.855	322.860	154.861	183.588	1207.048	1164.812	1164.897	1107.195	887.338	240.477	221.132	504.552	519.432	207.316	1164.576	844.499	309.422	1125.787	840.428	1158.167	1157.280	1157.039	648.604	1137.747	1136.469	826.592	824.615	484.135	840.991	841.328	1157.745	pingerkhi.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNKHIPOP.EDU.N2	BD.DUET.AC.N1	?B	2769.179	2769.772	2767.673	2769.697	2768.805	2760.616	2709.308	870.799	1922.034	2602.025	651.932	536.440	657.091	687.977	572.549	1474.556	2638.158	1355.509	1137.465	704.821	567.673	1006.383	968.186	1207.705	269.091	183.887	216.222	226.794	550.703	1610.432	1703.256	1218.442	860.881	839.336	337.607	863.653	1913.186	718.525	301.775	729.167	768.847	315.153	497.473	1480.100	2756.541	621.218	2565.544	2764.452	2698.304	326.207	.	2760.942	1476.048	1922.720	657.852	796.645	1357.070	2646.380	1918.313	1171.198	pingerkhi.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PERNKHIPOP.EDU.N2	BJ.GOUV.N1	?B	384.468	231.110	197.566	309.951	163.481	186.281	190.109	319.196	322.337	170.456	372.891	168.845	165.305	185.496	269.900	928.367	199.448	276.019	199.550	243.137	283.849	467.024	534.326	157.354	191.812	273.708	356.441	259.414	1280.966	930.239	222.266	199.234	205.323	171.105	236.888	658.278	1281.119	285.793	311.713	283.005	421.469	201.509	876.458	900.557	528.418	312.698	310.622	271.201	204.721	206.764	281.541	147.752	321.821	189.914	175.521	192.310	1207.738	361.650	166.669	178.744	pingerkhi.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
