#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PERNLHRPOP.EDU.N1	AF.MOD.GOV.AF	?B	515.414	515.743	516.237	515.732	514.362	510.717	371.361	371.468	509.527	270.093	107.481	504.933	144.286	362.709	508.558	100.656	168.319	87.262	136.242	88.157	75.923	219.793	506.160	110.828	130.791	259.277	365.504	504.285	131.876	56.019	509.261	262.187	506.941	260.744	262.238	87.816	274.042	369.118	509.696	369.461	96.041	368.610	188.878	163.896	219.172	137.804	233.039	515.497	375.476	512.309	514.579	514.248	513.871	512.755	512.895	514.507	364.320	514.497	515.577	374.764	pingerlhr.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PERNLHRPOP.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	321.982	430.137	218.079	422.108	415.583	501.330	482.406	339.699	400.760	435.146	634.734	350.743	428.116	565.503	293.148	365.537	254.021	265.955	400.457	512.119	442.001	349.579	260.557	279.883	318.719	449.594	406.840	599.841	429.932	492.062	296.190	537.430	530.768	429.105	718.371	380.322	446.016	1643.206	854.859	856.325	257.136	1214.005	314.659	306.492	310.898	416.763	314.082	340.042	293.730	608.182	689.114	1200.328	711.525	593.232	836.456	392.229	505.560	1195.509	688.572	454.723	pingerlhr.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PERNLHRPOP.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1070.291	1633.066	1642.614	768.762	1703.434	1695.080	1704.503	712.622	1663.582	1704.112	1704.599	1698.757	1196.382	1684.577	1700.648	628.993	1654.573	243.569	438.976	598.153	449.277	541.819	1682.193	1231.785	1376.567	1513.178	1203.792	1506.346	480.133	564.898	402.215	501.982	917.624	336.373	583.095	pingerlhr.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PERNLHRPOP.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	952.258	952.834	955.393	952.188	952.791	694.228	491.050	514.889	957.373	356.023	403.181	956.408	492.782	984.484	986.949	347.571	309.250	975.290	984.666	984.192	505.299	254.787	989.346	131.416	125.753	256.845	200.169	741.588	785.097	900.416	763.424	559.934	548.391	990.757	958.343	965.625	934.292	606.224	211.648	352.665	699.991	268.495	221.883	252.838	350.645	294.883	944.644	948.198	944.863	941.171	938.425	481.328	935.013	933.624	942.065	946.413	942.029	940.216	943.874	946.898	pingerlhr.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	AU.AARNET.BRISBANE.NET	?B	970.884	971.681	971.622	702.687	970.584	978.960	987.231	716.393	715.991	320.521	506.528	972.607	978.283	1005.643	1014.731	279.822	734.080	1012.213	424.426	390.689	422.933	326.272	734.913	128.572	151.242	158.591	722.618	753.889	799.742	926.672	781.322	792.618	770.586	526.152	713.931	989.782	956.693	367.319	526.909	292.083	242.500	272.366	231.301	505.918	528.222	300.806	702.854	971.398	972.990	699.743	956.667	952.579	704.492	701.790	694.144	497.626	490.023	959.149	961.983	703.152	pingerlhr.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	AU.AARNET.CANBERRA.NET	?B	998.518	996.126	993.842	991.858	1001.099	1001.531	999.194	726.967	998.763	995.339	999.014	995.845	1004.587	304.885	757.640	307.019	377.339	755.544	447.406	384.048	751.204	519.155	448.788	124.191	146.741	316.636	244.071	560.102	818.502	946.326	797.200	812.174	571.529	1053.302	1009.395	1016.350	981.748	871.775	380.509	217.757	389.646	314.604	232.534	291.971	335.135	371.504	995.427	726.848	1002.593	538.019	729.540	515.287	727.714	999.311	512.747	726.064	1000.136	1000.012	1001.664	457.545	pingerlhr.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	AU.AARNET.HOBART.N2	?B	959.500	959.867	961.223	957.877	959.248	956.067	692.131	955.628	954.832	955.670	956.645	957.186	956.484	717.475	508.426	524.526	988.009	709.954	987.231	985.175	712.776	707.360	992.420	128.093	167.063	138.575	365.785	398.348	786.343	897.934	767.391	770.777	755.574	988.799	697.741	966.849	935.380	835.108	299.506	249.443	231.549	371.745	201.178	962.244	699.086	321.859	952.378	695.019	957.880	957.903	695.264	946.474	953.689	689.486	483.959	688.022	941.381	948.926	954.580	436.931	pingerlhr.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	AU.AARNET.PERTH.NET	?B	1091.161	1087.483	1089.982	1087.943	1091.058	1077.239	1063.950	775.983	1068.985	777.523	1068.239	1091.828	1095.101	399.243	577.220	286.090	575.523	601.427	813.984	1120.379	809.098	807.206	1124.974	115.815	135.184	154.387	245.595	703.263	760.712	954.540	727.092	729.040	519.503	824.168	552.334	1093.208	755.643	847.969	248.294	274.105	342.044	193.407	196.322	404.807	306.954	403.312	1080.654	1082.019	1086.648	1075.518	777.053	773.233	1046.720	538.044	1047.608	544.420	1077.092	784.560	1079.635	787.679	pingerlhr.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PERNLHRPOP.EDU.N1	BD.DUET.AC.N1	?B	2409.016	2382.143	2407.959	2409.449	2401.497	1741.892	2360.487	1188.775	1668.384	1620.223	849.936	721.942	469.217	780.176	479.320	689.317	1232.589	835.766	971.731	688.658	434.439	753.016	766.094	292.977	209.454	196.885	288.896	234.424	851.399	1041.338	834.700	817.470	783.864	1215.506	275.077	808.881	1178.345	362.638	219.098	1535.282	420.154	258.465	361.471	658.033	886.380	630.101	2372.821	2363.825	2364.061	284.755	.	723.971	696.780	950.576	808.077	685.800	2240.084	1199.094	968.966	942.665	pingerlhr.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PERNLHRPOP.EDU.N1	BJ.GOUV.N1	?B	307.080	207.113	178.928	254.249	163.353	173.174	183.769	501.427	431.258	194.426	284.442	196.484	167.312	205.985	281.301	234.472	222.497	348.997	145.640	182.923	262.942	228.621	280.094	143.607	142.362	334.291	365.279	259.056	1195.289	501.332	223.976	421.861	223.456	188.132	149.141	1195.181	501.212	245.561	236.125	353.252	209.299	250.527	339.419	307.505	262.846	391.222	240.016	253.451	186.926	258.926	237.832	146.948	196.517	176.104	150.496	139.194	466.666	292.396	168.345	157.543	pingerlhr.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
