#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PIEAS.EDU.N2	AF.MOD.GOV.AF	?B	511.822	513.038	513.235	513.172	371.983	510.030	510.669	510.702	509.092	118.774	89.788	369.147	107.793	507.061	507.231	157.834	115.279	80.374	99.771	144.399	55.274	138.389	368.052	126.392	94.066	258.846	51.186	505.411	156.965	56.979	272.604	508.422	507.676	508.762	508.307	174.372	508.152	508.203	508.292	507.727	507.560	259.298	496.227	502.503	505.479	367.787	368.298	514.663	133.850	372.926	374.143	516.132	146.918	515.479	219.931	254.567	512.991	139.365	515.263	515.085	ns3.pieas.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PIEAS.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	304.109	393.831	221.468	413.235	538.053	335.471	364.555	288.479	448.921	521.269	336.229	481.062	562.001	382.773	378.270	358.829	262.911	212.816	396.840	475.882	711.764	327.714	281.806	321.142	526.529	425.312	154.971	368.565	353.220	465.720	315.156	612.107	525.510	800.236	413.587	467.786	1197.713	845.982	484.177	1200.268	906.622	593.770	311.502	338.642	480.921	350.138	526.670	450.953	279.765	840.141	1205.221	846.582	461.518	599.166	498.659	1183.378	380.376	708.672	427.736	542.843	ns3.pieas.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PIEAS.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	290.028	103.481	443.471	756.378	292.478	395.521	368.048	447.959	765.570	1059.907	342.212	274.469	238.164	336.438	533.331	434.608	215.472	128.001	149.045	121.197	184.468	671.918	334.746	261.634	983.039	768.115	576.063	793.869	410.011	794.877	204.823	752.194	396.344	112.707	438.018	ns3.pieas.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PIEAS.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	1313.135	1312.189	1306.435	1311.079	1299.863	946.345	1294.576	928.652	936.723	317.546	925.942	280.169	359.933	930.865	352.076	651.406	649.089	1270.368	652.682	1271.312	1263.609	930.386	928.848	445.883	915.158	1274.165	147.894	1286.085	1289.562	1287.710	1290.802	1291.286	929.405	1302.421	1292.917	1316.164	1285.008	1296.006	935.755	945.680	1305.107	1163.432	1081.929	1172.945	1196.545	1197.109	445.231	269.510	358.263	163.931	121.848	1201.497	1207.117	413.126	1207.704	1206.608	876.115	295.769	379.642	1208.685	ns3.pieas.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PIEAS.EDU.N2	AU.AARNET.BRISBANE.NET	?B	1356.063	1357.691	1349.015	1358.850	981.956	1348.060	1343.724	680.527	1334.759	367.534	486.317	285.675	298.807	966.753	295.044	677.580	1310.439	553.320	964.328	1321.317	1323.874	965.152	1323.053	498.305	1310.625	1328.887	156.538	1332.225	1337.491	1336.476	1344.703	968.090	965.780	1348.558	1342.348	988.384	1330.645	1338.908	973.360	1345.477	1345.791	868.573	365.713	1228.583	895.927	1231.070	448.169	327.757	347.553	161.234	131.776	1238.167	1242.811	425.395	1242.827	1242.774	1241.806	291.469	1230.909	905.576	ns3.pieas.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PIEAS.EDU.N2	AU.AARNET.CANBERRA.NET	?B	573.936	1363.892	987.511	1368.582	1357.489	986.565	1376.983	990.291	1221.029	409.334	696.991	322.225	706.772	1379.442	352.388	1365.112	523.238	993.104	1371.212	590.623	1362.588	1000.533	1369.642	281.140	986.675	1371.504	150.966	1378.932	1008.968	1381.425	1013.254	1005.839	1377.387	1396.254	1391.234	1373.066	1365.622	1388.587	712.277	1393.169	1389.854	1234.578	1149.137	1275.181	1289.088	1262.128	646.234	283.482	339.723	1260.478	233.972	1260.924	1268.759	456.442	1268.120	1272.854	1267.574	1264.309	399.793	1270.273	ns3.pieas.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PIEAS.EDU.N2	AU.AARNET.HOBART.N2	?B	929.850	656.423	653.742	927.255	1264.200	924.380	1281.375	924.482	1279.365	382.127	923.419	294.134	1267.811	928.923	337.223	921.279	1258.557	1268.120	1263.096	924.262	1255.457	1279.662	927.502	298.051	1253.543	1269.587	136.722	933.564	1283.573	933.431	1281.521	1292.542	1275.556	1298.618	1294.259	1281.941	1270.515	1296.834	660.660	1302.821	944.612	844.444	341.771	1173.260	1210.193	1189.412	607.911	251.797	334.523	1183.648	227.741	1185.431	1192.620	408.736	1192.676	1196.280	1192.287	1186.219	375.855	1193.863	ns3.pieas.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PIEAS.EDU.N2	AU.AARNET.PERTH.NET	?B	2212.669	2203.553	2191.589	2218.041	2190.571	2186.818	2176.979	891.414	2161.931	731.125	2068.591	497.878	499.609	2146.196	581.246	2101.845	2086.666	1089.448	2128.183	2122.782	2117.933	2139.293	1545.186	612.163	1520.131	2130.806	247.106	2147.524	2158.947	2156.514	2176.703	2152.089	2136.686	1592.084	2172.321	2221.710	2102.941	2161.038	2161.929	2178.395	2184.266	1625.782	1485.031	1890.014	1899.837	1876.952	798.002	399.870	568.014	223.973	190.646	1895.660	1923.234	690.907	1920.446	1920.502	1921.526	439.681	592.877	1927.920	ns3.pieas.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PIEAS.EDU.N2	BD.DUET.AC.N1	?B	2232.434	2237.022	2235.754	2231.036	2225.449	2228.641	560.277	2332.609	1687.053	615.948	778.046	601.037	403.338	779.715	406.143	2319.268	840.621	502.005	600.487	610.451	621.434	750.158	1181.219	382.652	261.515	185.162	117.558	181.180	1128.100	464.587	1539.199	518.779	1081.369	1070.217	368.275	660.468	1261.174	470.688	233.645	385.147	489.593	249.830	387.816	1649.889	1650.119	360.265	2250.575	1649.046	431.031	301.594	.	1346.296	838.575	1686.382	713.336	568.505	2348.760	2352.397	2345.945	670.191	ns3.pieas.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PIEAS.EDU.N2	BJ.GOUV.N1	?B	379.727	186.281	162.985	254.138	151.526	158.720	174.494	376.750	240.806	189.370	262.889	166.491	164.027	220.299	321.274	348.630	173.476	204.849	168.003	269.351	257.654	842.835	340.066	145.513	224.935	420.432	106.988	292.166	1154.197	1161.019	223.371	193.986	199.154	177.323	185.671	1161.707	844.085	228.570	272.575	257.421	420.110	175.439	1100.069	579.626	424.947	586.958	282.823	178.340	149.165	198.890	342.311	139.219	157.625	159.632	166.059	153.983	452.494	399.926	149.193	151.964	ns3.pieas.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
