#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGER.IBA-SUK.EDU	AF.MOD.GOV.AF	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	519.679	.	.	.	101.976	.	.	.	518.966	519.005	132.357	373.866	518.983	374.706	66.135	186.350	321.135	.	.	.	.	.	524.551	524.871	524.359	524.851	522.297	523.923	199.223	pinger.iba-suk.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGER.IBA-SUK.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	554.392	.	.	.	386.465	.	.	.	415.626	420.101	449.031	283.901	294.888	436.129	201.232	388.464	628.031	.	.	.	.	.	467.611	447.016	402.461	283.568	560.404	519.020	370.097	pinger.iba-suk.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGER.IBA-SUK.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1727.040	.	.	.	1726.998	.	.	.	1707.851	1247.889	472.782	240.530	511.635	389.003	204.790	592.967	483.241	.	.	.	.	.	354.287	976.299	430.109	903.028	471.956	231.040	587.603	pinger.iba-suk.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGER.IBA-SUK.EDU	AU.AARNET.ADELAIDE.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	817.502	.	.	.	991.554	.	.	.	800.233	582.292	577.317	935.659	709.087	689.096	153.437	716.477	986.720	.	.	.	.	.	975.618	960.117	968.124	963.000	698.487	966.371	971.276	pinger.iba-suk.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGER.IBA-SUK.EDU	AU.AARNET.BRISBANE.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	828.564	.	.	.	1010.344	.	.	.	811.297	809.432	716.188	509.633	996.367	366.689	153.018	994.808	997.313	.	.	.	.	.	726.380	723.582	999.539	500.481	703.364	975.514	978.455	pinger.iba-suk.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGER.IBA-SUK.EDU	AU.AARNET.CANBERRA.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	851.751	.	.	.	1038.414	.	.	.	832.880	832.888	600.251	710.579	1022.897	521.286	161.096	1021.117	1021.609	.	.	.	.	.	1025.996	738.345	1022.015	1000.992	721.651	1000.035	730.577	pinger.iba-suk.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGER.IBA-SUK.EDU	AU.AARNET.HOBART.N2	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	812.442	.	.	.	984.050	.	.	.	796.779	797.162	790.234	675.104	701.315	371.842	151.196	713.184	979.896	.	.	.	.	.	707.539	492.928	703.860	856.502	958.414	962.731	702.671	pinger.iba-suk.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGER.IBA-SUK.EDU	AU.AARNET.PERTH.NET	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	770.380	.	.	.	1121.744	.	.	.	755.153	756.440	750.989	729.485	795.560	396.184	140.935	807.454	1111.071	.	.	.	.	.	1118.634	798.053	803.072	1082.742	781.609	786.992	792.012	pinger.iba-suk.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGER.IBA-SUK.EDU	BD.DUET.AC.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	267.801	.	.	.	284.756	.	.	.	402.007	341.028	148.458	168.114	1205.942	1531.854	324.876	2556.442	2558.860	.	.	.	.	.	1787.216	663.949	711.486	2182.223	2454.892	2452.466	1249.817	pinger.iba-suk.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGER.IBA-SUK.EDU	BJ.GOUV.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	275.125	.	.	.	753.168	.	.	.	308.872	286.621	231.143	515.710	625.406	399.884	190.430	354.033	153.353	.	.	.	.	.	155.921	160.219	170.617	378.862	825.352	137.548	179.676	pinger.iba-suk.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
