#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERISL-FJWU.PERN.EDU	AF.MOD.GOV.AF	?B	.	509.305	508.217	509.223	506.673	.	.	.	185.427	359.023	.	.	.	506.368	.	108.064	360.601	84.915	.	84.787	69.697	.	211.332	364.153	180.789	.	.	.	.	66.991	503.779	.	.	.	.	95.311	367.217	143.991	505.069	.	504.095	.	506.494	504.264	504.239	.	348.590	494.564	371.009	503.847	356.507	490.127	244.709	487.989	482.562	506.635	259.123	511.922	509.796	506.035	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERISL-FJWU.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	283.125	296.124	383.353	409.102	.	.	.	502.465	391.739	.	.	.	422.190	.	401.186	261.105	271.101	.	298.052	308.802	.	357.029	356.658	412.432	.	.	.	.	469.148	864.316	.	.	.	.	536.334	487.498	606.613	140.209	.	387.267	.	479.693	381.620	477.263	.	795.579	289.328	383.614	365.504	1094.599	473.345	612.016	425.394	458.448	406.642	508.420	645.245	1294.178	1846.798	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERISL-FJWU.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1569.890	1601.316	.	.	.	.	1335.792	677.758	771.866	137.397	.	573.958	.	216.952	275.400	698.871	.	343.458	670.786	1045.118	1203.215	280.930	483.109	1210.916	789.136	450.173	279.375	813.662	484.045	229.468	852.803	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERISL-FJWU.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	.	753.366	220.878	770.988	553.380	.	.	.	293.462	302.285	.	.	.	292.651	.	745.751	381.985	754.827	.	749.077	763.412	.	770.699	181.003	210.973	.	.	.	.	779.925	759.542	.	.	.	.	728.649	302.872	274.146	702.170	.	736.452	.	506.700	716.119	372.248	.	301.873	525.170	738.086	538.208	524.817	294.739	363.278	509.578	362.319	731.805	544.727	752.309	740.861	737.155	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-FJWU.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	.	764.076	190.977	781.131	771.643	.	.	.	258.894	219.579	.	.	.	773.380	.	761.405	389.813	769.931	.	764.282	357.326	.	793.142	238.375	194.131	.	.	.	.	798.198	775.223	.	.	.	.	740.184	730.467	545.463	383.921	.	755.067	.	306.299	377.256	737.992	.	733.000	532.028	750.540	753.060	733.374	518.326	196.273	521.426	522.216	541.335	761.651	765.113	755.243	753.667	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-FJWU.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	.	779.422	236.382	578.538	569.550	.	.	.	719.517	309.538	.	.	.	790.751	.	772.713	770.032	776.474	.	778.813	796.342	.	802.194	158.795	222.184	.	.	.	.	814.048	789.420	.	.	.	.	755.585	748.347	556.248	727.023	.	553.803	.	371.104	381.542	386.805	.	741.924	543.338	767.576	770.493	749.534	374.484	244.976	242.825	305.288	547.659	564.936	569.479	560.415	765.986	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-FJWU.PERN.EDU	AU.AARNET.HOBART.N2	?B	.	748.635	192.958	766.492	752.864	.	.	.	191.089	300.817	.	.	.	408.618	.	745.653	751.250	547.154	.	748.903	760.551	.	555.625	193.228	234.762	.	.	.	.	775.015	760.138	.	.	.	.	728.133	523.740	738.057	291.810	.	734.766	.	698.084	523.732	726.541	.	301.025	719.041	535.933	537.988	720.110	509.538	207.585	272.121	705.604	528.318	749.137	753.214	309.641	739.058	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERISL-FJWU.PERN.EDU	AU.AARNET.PERTH.NET	?B	.	710.232	189.805	725.523	716.681	.	.	.	198.148	249.291	.	.	.	273.010	.	515.406	513.425	367.720	.	516.438	722.904	.	374.426	287.170	223.861	.	.	.	.	738.899	720.658	.	.	.	.	691.068	685.048	698.551	245.612	.	699.786	.	341.519	684.761	689.886	.	678.445	496.327	505.534	699.123	495.963	482.140	258.067	159.628	671.665	688.710	707.229	708.587	696.134	697.078	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERISL-FJWU.PERN.EDU	BD.DUET.AC.N1	?B	.	2309.370	2309.553	1678.098	2308.308	.	.	.	2372.413	2325.307	.	.	.	398.095	.	1928.672	583.143	448.417	.	453.359	284.203	.	439.228	898.871	232.253	.	.	.	.	911.447	978.136	.	.	.	.	244.254	493.916	312.092	218.969	.	1371.632	.	179.549	1159.024	1082.394	.	1159.014	1165.703	2181.498	342.938	.	1089.736	816.046	1670.191	436.784	531.808	1162.835	1674.914	1201.556	542.038	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERISL-FJWU.PERN.EDU	BJ.GOUV.N1	?B	.	151.390	157.116	219.960	192.666	.	.	.	214.315	309.392	.	.	.	234.249	.	308.594	157.673	184.788	.	193.416	271.550	.	455.695	186.952	267.829	.	.	.	.	803.815	152.230	.	.	.	.	806.350	461.490	234.464	283.870	.	258.888	.	1099.785	1108.589	1105.080	.	507.875	147.177	173.129	233.753	230.460	123.576	149.235	254.972	139.599	129.725	1078.414	274.156	134.229	156.175	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PINGERISL-FJWU.PERN.EDU	BO.UMSS.EDU.N1	?M	.	819.053	837.281	842.138	828.652	.	.	.	333.908	884.397	.	.	.	651.919	.	887.485	861.746	880.611	.	450.983	192.904	.	883.638	872.799	147.519	.	.	.	.	859.337	218.122	.	.	.	.	191.253	325.310	642.676	870.655	.	886.287	.	871.465	897.619	892.792	.	571.901	824.384	626.730	853.326	344.354	795.155	784.696	575.560	572.485	831.999	830.219	867.941	877.959	874.719	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.PINGERISL-FJWU.PERN.EDU	BR.UNESP.N1	?M	.	839.264	244.502	445.571	839.298	.	.	.	865.992	615.221	.	.	.	274.486	.	827.450	362.917	256.120	.	842.087	847.785	.	852.837	231.516	929.808	.	.	.	.	868.586	208.643	.	.	.	.	877.604	893.400	927.212	964.603	.	974.094	.	904.892	891.425	889.240	.	324.993	887.886	889.787	889.524	887.156	889.843	890.787	886.772	832.496	819.362	820.119	830.909	890.077	891.888	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.PINGERISL-FJWU.PERN.EDU	BY.MTEC.N1	?B	.	1729.974	1829.145	1838.514	1273.444	.	.	.	479.759	795.707	.	.	.	1655.677	.	1551.067	1494.496	1536.244	.	1097.681	1164.777	.	1642.152	826.403	799.225	.	.	.	.	1699.665	1140.624	.	.	.	.	1450.145	1430.748	544.924	718.584	.	1093.948	.	579.104	1066.413	749.908	.	1537.384	1507.186	1667.737	1690.834	1586.142	756.650	765.721	1078.186	211.543	1525.479	824.073	1727.189	1637.815	1639.291	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.PINGERISL-FJWU.PERN.EDU	CA.CARLETON.N1	?B	.	1087.636	1129.334	1131.026	799.221	.	.	.	273.563	434.333	.	.	.	1110.331	.	541.617	536.124	576.192	.	1058.410	1092.665	.	507.760	1065.473	388.569	.	.	.	.	1129.566	1078.737	.	.	.	.	1026.044	366.554	584.406	236.987	.	432.265	.	710.053	1020.346	752.274	.	748.122	1025.141	1062.849	776.176	748.778	366.522	520.757	996.720	514.234	1043.648	1085.529	1094.638	775.662	784.228	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
