#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERKHI-CPSP.PERN.EDU	AF.MOD.GOV.AF	?B	531.619	531.966	532.117	532.392	381.261	382.820	181.857	170.116	527.330	520.274	519.154	522.075	528.979	526.020	361.657	116.767	382.238	382.003	203.104	266.630	382.189	128.856	216.224	118.359	118.529	379.063	523.814	522.935	523.736	525.638	201.072	64.314	237.516	383.904	44.221	32.007	30.414	35.982	27.879	33.536	36.815	102.089	42.298	33.831	40.469	78.970	32.917	61.425	107.669	138.874	124.716	30.709	.	.	.	.	162.292	387.244	68.469	88.390	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERKHI-CPSP.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	384.522	390.786	233.495	507.239	510.081	413.933	411.478	334.858	416.074	567.353	509.484	363.051	552.602	630.904	415.134	581.604	400.831	286.647	352.171	434.073	492.678	367.380	296.913	372.727	414.546	499.184	452.989	448.152	430.706	523.758	384.883	948.524	718.176	574.323	1322.640	371.204	604.229	786.362	554.344	574.160	1869.702	1304.109	465.124	436.638	351.190	308.482	596.079	546.644	437.077	956.856	372.923	1853.484	.	.	.	.	666.566	1350.396	956.971	780.926	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERKHI-CPSP.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	606.275	1777.604	1794.961	1345.443	1868.949	1860.167	1876.200	786.065	1829.624	1876.391	1877.353	1874.245	1805.327	1854.235	1871.601	1871.283	676.092	368.055	571.316	762.860	572.169	308.762	685.516	956.620	1504.703	1668.541	1841.032	.	.	.	.	1289.515	496.704	279.728	1089.002	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERKHI-CPSP.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	1019.011	740.097	1015.207	1016.025	741.132	1011.097	1021.497	1016.692	1017.355	735.815	1022.042	1021.720	1021.003	244.188	1049.408	1043.813	438.451	1040.011	1038.497	753.482	385.955	531.834	1049.794	188.527	149.265	141.283	147.143	171.186	815.808	960.791	334.640	292.208	263.521	764.603	1020.341	1025.355	989.803	454.809	740.073	713.808	373.803	324.136	236.255	1024.960	1022.362	439.450	1002.875	1020.401	1021.691	741.767	741.533	1018.461	.	.	.	.	741.700	1020.581	1019.393	740.303	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	1039.555	1045.009	1040.594	1038.659	1040.057	1035.113	1035.206	753.032	1035.067	1032.996	752.875	1040.505	1041.263	232.700	1076.346	1068.264	1073.574	1074.305	1072.110	1073.241	1070.872	1063.432	1077.274	190.656	143.205	149.825	205.428	160.751	831.360	988.795	302.181	211.951	189.864	1077.455	1043.792	1049.007	1011.793	655.960	273.493	305.082	396.684	330.239	241.407	1048.671	1045.251	552.285	437.337	1031.496	1028.832	1027.724	1028.531	1028.919	.	.	.	.	747.238	1028.754	746.940	746.141	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	774.435	773.176	1060.878	1058.165	1063.773	1063.151	1064.758	1063.386	1061.900	1064.311	1065.609	1064.916	1065.551	221.312	1107.930	1099.468	1105.284	802.517	801.819	1092.794	1096.740	1094.425	1107.258	152.714	138.951	178.882	190.349	181.833	849.145	738.005	348.579	256.794	211.636	1105.493	1073.516	1079.098	1039.822	924.849	230.993	274.495	245.046	257.583	253.029	783.866	781.392	454.568	553.948	1051.270	1050.258	1048.172	1050.780	1049.041	.	.	.	.	453.772	1050.383	1050.673	763.911	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	AU.AARNET.HOBART.N2	?B	1021.969	1023.127	1022.864	740.385	1019.091	1010.162	727.365	999.019	1003.056	997.680	730.382	1017.060	1011.260	219.877	1046.450	1042.049	726.614	1041.062	1036.636	1045.923	754.140	434.057	1050.552	160.902	107.801	127.145	150.517	234.407	815.361	964.835	575.514	242.305	203.289	1043.563	740.184	1023.504	988.150	454.137	396.689	235.964	373.287	385.520	240.752	1023.244	547.336	734.633	726.610	1016.951	1019.221	545.637	740.644	1018.869	.	.	.	.	1012.548	1017.625	1017.518	1016.973	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	AU.AARNET.PERTH.NET	?B	1146.866	832.413	1147.924	1144.192	1150.587	1155.037	1147.065	1147.808	1152.878	1152.504	1152.310	835.595	836.996	247.096	1199.424	1189.474	641.555	613.042	1194.733	868.863	867.553	510.390	1200.361	210.490	151.500	118.289	153.750	154.868	569.611	1027.298	550.893	171.594	196.486	1189.757	1148.622	1165.685	1105.278	905.735	262.666	348.427	354.753	299.233	261.810	1165.221	623.158	831.058	811.265	1148.688	1143.623	829.551	1140.857	1139.075	.	.	.	.	1141.528	828.325	1141.438	1139.653	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	BD.DUET.AC.N1	?B	2798.842	2770.914	2031.607	2802.915	2027.138	2785.973	2742.676	2677.481	2648.936	2561.685	868.222	726.316	533.313	761.706	621.243	1922.383	742.517	1062.182	632.183	981.512	732.332	691.240	1101.395	882.330	371.965	196.260	211.619	220.948	1715.681	2271.726	1700.170	634.761	686.670	1071.575	381.884	623.574	1351.348	632.092	343.499	868.313	355.305	244.557	596.907	2754.796	1126.609	637.254	1897.240	2739.972	2758.391	344.668	.	1227.418	.	.	.	.	2646.379	1920.708	979.180	953.581	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERKHI-CPSP.PERN.EDU	BJ.GOUV.N1	?B	349.826	219.606	197.254	248.800	163.948	182.467	187.645	528.085	229.142	250.043	236.844	215.666	209.384	232.116	323.411	289.269	183.400	300.093	178.051	281.863	286.711	422.798	409.604	169.018	203.861	316.212	326.090	344.553	1259.089	914.930	244.588	299.018	217.731	208.767	245.996	914.872	914.764	225.322	255.665	354.639	322.570	228.516	1185.413	1222.145	518.456	309.150	402.521	202.817	191.157	256.373	267.629	166.816	.	.	.	.	182.038	889.021	170.396	198.060	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PINGERKHI-CPSP.PERN.EDU	BO.UMSS.EDU.N1	?M	288.133	359.277	452.897	885.568	630.540	813.373	895.056	895.105	901.361	950.315	951.969	686.686	950.009	955.840	953.146	956.533	354.130	953.966	696.716	962.249	698.774	962.032	955.531	306.105	685.027	378.976	655.463	664.266	910.465	925.652	648.522	864.002	886.314	632.455	224.509	189.521	227.289	953.186	930.924	320.921	950.310	673.629	935.536	961.633	955.681	402.060	930.110	489.546	387.112	268.898	959.980	924.423	.	.	.	.	649.571	942.356	945.841	487.222	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.PINGERKHI-CPSP.PERN.EDU	BR.UNESP.N1	?M	901.146	901.096	903.893	479.327	907.500	920.046	933.065	678.954	934.341	933.973	479.916	933.883	934.882	908.586	.	934.261	479.984	480.914	937.134	204.055	680.902	243.642	937.323	1010.568	757.408	1038.181	1030.764	1024.702	1015.190	957.170	1018.860	1011.567	187.936	688.139	944.981	943.623	939.498	985.536	1030.557	1036.662	1040.676	1041.511	956.890	942.869	683.239	479.300	205.789	940.847	941.836	940.744	941.250	207.541	.	.	.	.	851.419	867.845	940.918	940.813	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.PINGERKHI-CPSP.PERN.EDU	BY.MTEC.N1	?B	2206.281	2245.649	2245.805	2245.688	2197.397	2232.739	2172.545	2145.655	2239.027	2162.104	1576.677	2199.865	2056.118	461.501	2031.467	2033.387	496.080	867.766	1448.963	678.108	1045.225	448.871	664.685	727.471	607.581	621.166	260.498	334.749	279.782	291.546	280.305	286.655	308.087	719.901	1040.382	1472.578	2031.947	1444.317	740.626	2029.500	2030.369	225.670	1337.260	988.940	1435.956	1056.553	1107.610	2212.912	2228.955	2183.533	1622.431	2233.364	.	.	.	.	1498.923	2228.724	2180.454	2178.617	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
