#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERKHI-UOK.PERN.EDU	AF.MOD.GOV.AF	?B	531.467	122.741	531.895	531.623	530.603	528.479	119.020	384.096	380.430	520.196	278.486	80.870	527.326	.	524.525	524.323	524.528	381.065	269.358	186.943	381.220	381.535	269.259	379.435	235.630	522.392	280.681	93.318	524.546	28.403	.	525.900	.	292.768	43.540	30.746	27.183	42.359	32.847	44.185	43.281	.	.	33.927	40.119	59.894	.	77.749	.	.	176.505	34.004	.	34.162	47.754	.	298.670	230.191	74.488	128.697	pingerkhi-uok.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERKHI-UOK.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	374.642	534.046	289.454	322.893	551.191	508.018	515.750	433.463	382.473	662.294	607.937	433.544	404.522	.	458.801	372.490	345.614	358.314	444.178	593.049	572.148	489.492	273.560	308.223	353.371	430.347	505.367	548.130	467.986	218.463	.	788.425	.	557.938	1320.970	396.665	514.855	460.020	647.129	1302.490	678.470	.	.	605.579	930.243	520.413	.	563.345	.	.	1832.545	978.284	.	322.664	840.230	.	634.261	929.129	482.156	436.598	pingerkhi-uok.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERKHI-UOK.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1871.528	.	1119.735	475.030	1845.758	1186.124	1885.739	.	1885.328	.	1836.662	1887.150	1886.347	1884.039	1816.815	1878.010	1880.503	1881.388	.	.	1219.469	665.948	781.301	.	804.488	.	.	1676.517	1862.887	.	741.118	534.807	.	944.142	574.069	234.288	802.730	pingerkhi-uok.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERKHI-UOK.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	1012.814	1013.638	1015.549	1010.979	1013.424	1008.525	1005.623	1005.328	1002.356	1003.570	728.513	1010.105	1005.694	.	1051.279	1043.382	1052.112	763.505	341.132	1049.274	539.526	1040.522	763.048	108.255	125.270	160.931	191.609	189.891	787.796	907.424	.	276.496	.	1067.190	294.656	1027.679	722.288	457.955	742.008	518.767	740.318	.	.	1026.370	743.008	435.357	.	1012.458	.	.	1014.013	1009.982	.	311.658	1011.200	.	1012.216	1010.180	1011.999	1014.074	pingerkhi-uok.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-UOK.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	1034.937	1032.418	1033.072	1028.993	1034.042	1035.040	1039.969	558.115	1042.136	1037.423	751.882	1034.454	1031.516	.	1075.237	1066.344	1073.670	1073.350	777.943	1071.191	778.254	1064.327	1076.818	104.750	171.318	114.595	208.481	160.135	801.554	923.400	.	171.913	.	791.859	300.726	1048.730	1012.573	659.902	387.617	530.885	403.057	.	.	1048.143	472.541	314.518	.	1030.829	.	.	1033.185	333.473	.	289.517	1037.103	.	530.795	1032.571	1029.624	1032.664	pingerkhi-uok.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-UOK.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	1067.816	1065.513	1061.488	1059.483	1067.878	1066.522	776.116	775.276	1068.899	776.340	770.751	1067.425	1067.443	.	1105.546	1097.606	1104.135	1099.830	408.995	566.171	1099.967	1094.749	567.556	137.421	172.046	180.563	202.492	290.120	516.345	946.802	.	222.287	.	1123.066	204.023	1078.821	1041.048	930.508	558.930	225.590	766.416	.	.	1078.354	461.497	379.110	.	1065.465	.	.	1065.903	1064.639	.	774.765	545.867	.	1064.957	1065.372	1064.371	1064.995	pingerkhi-uok.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-UOK.PERN.EDU	AU.AARNET.HOBART.N2	?B	746.087	1020.252	1023.036	1019.398	1024.959	521.717	1009.743	736.135	1015.747	1015.436	1008.245	1022.270	1020.513	.	1040.257	1030.076	1044.525	755.359	261.191	321.281	532.842	1029.708	402.285	104.244	127.155	163.594	307.303	184.497	778.740	901.220	.	200.537	.	769.394	325.136	1019.080	986.483	454.770	309.207	259.980	308.853	.	.	1017.223	313.642	293.585	.	1015.393	.	.	1011.459	518.079	.	278.100	387.012	.	1010.808	1009.959	1012.235	1013.179	pingerkhi-uok.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-UOK.PERN.EDU	AU.AARNET.PERTH.NET	?B	1172.047	1174.940	1172.531	1166.247	1168.406	1157.885	1147.804	1146.138	1147.066	1148.140	1132.641	1168.823	1169.413	.	1202.215	1191.404	1199.718	1199.297	370.968	642.723	869.882	864.018	465.109	106.967	138.826	130.362	136.500	305.489	744.471	912.202	.	178.892	.	1221.312	218.600	1169.213	1110.165	470.380	364.542	492.809	303.056	.	.	1168.672	625.234	411.533	.	1168.138	.	.	1165.704	1156.473	.	828.498	1138.834	.	841.562	1162.610	1166.026	847.540	pingerkhi-uok.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-UOK.PERN.EDU	BD.DUET.AC.N1	?B	2777.114	2777.850	2778.210	2778.199	2776.593	2770.225	2724.855	2658.156	2655.294	2631.493	732.370	378.511	414.191	.	924.867	2630.869	2647.189	1204.088	1890.911	739.351	863.167	874.077	1092.814	870.254	370.593	212.378	256.046	216.476	1032.971	316.160	.	841.551	.	639.774	379.250	542.122	1359.270	562.890	354.744	1697.062	311.295	.	.	1420.560	2004.965	640.710	.	2762.388	.	.	.	2766.746	.	661.548	601.555	.	1924.928	1920.974	1922.030	1103.122	pingerkhi-uok.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERKHI-UOK.PERN.EDU	BJ.GOUV.N1	?B	372.838	246.551	202.688	258.214	214.116	167.266	156.091	645.008	306.063	212.296	409.222	177.685	185.416	.	429.354	349.497	230.397	424.198	229.135	220.199	284.141	317.742	452.661	154.391	182.669	308.137	306.346	240.519	1257.836	1259.040	.	194.336	.	208.599	244.469	1258.519	646.569	275.077	279.479	187.220	542.137	.	.	1221.011	408.976	398.809	.	257.397	.	.	268.467	144.461	.	184.682	218.910	.	718.106	607.563	188.425	198.297	pingerkhi-uok.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
