#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERLHR-GCU.PERN.EDU	AF.MOD.GOV.AF	?B	375.198	375.505	516.758	516.367	515.011	513.228	372.999	513.014	510.841	138.600	83.728	259.580	369.595	254.304	274.253	70.870	93.468	72.000	124.365	220.379	68.565	262.513	509.755	90.988	107.805	164.853	212.070	508.674	101.004	66.642	510.964	512.244	510.008	508.927	372.183	372.375	372.378	509.840	372.145	512.373	115.506	370.431	153.273	187.961	370.424	274.139	369.785	504.075	368.513	232.071	496.125	363.038	142.042	267.240	190.212	372.838	519.133	518.013	509.264	159.721	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERLHR-GCU.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	386.486	416.090	244.787	374.498	523.993	414.003	431.970	461.933	309.958	294.700	494.808	551.318	452.139	368.134	340.292	363.170	247.221	322.620	344.569	382.485	478.263	293.092	337.974	233.243	258.804	274.463	378.221	495.322	367.067	444.245	334.923	821.426	886.964	824.795	482.701	363.760	417.932	623.195	482.104	1205.527	286.440	462.902	288.797	316.957	359.259	286.507	1175.221	573.670	295.218	459.894	342.821	1104.512	458.411	654.845	492.256	384.951	496.935	1296.751	466.000	593.660	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERLHR-GCU.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	993.278	1176.743	837.320	672.810	1636.873	1640.003	1639.241	709.052	1182.995	1637.794	1640.969	1638.489	1600.880	1185.085	1187.841	310.981	1165.031	239.901	766.958	520.827	462.053	595.266	1403.018	647.875	386.964	278.912	1029.907	902.347	408.777	399.443	587.869	1093.935	588.349	244.309	648.477	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERLHR-GCU.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	687.324	959.010	954.528	958.094	958.575	963.001	958.535	962.916	961.333	698.554	695.759	956.039	956.256	222.441	509.081	716.795	510.091	716.913	290.585	718.810	414.922	983.691	989.766	132.804	153.108	185.024	214.714	750.155	779.970	928.558	561.109	792.454	759.032	995.361	702.844	971.110	942.438	851.061	718.951	690.646	198.557	262.593	150.961	970.866	700.704	412.497	459.778	727.670	748.087	746.683	724.507	175.350	309.824	723.790	366.349	535.326	385.436	750.405	750.214	754.781	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-GCU.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	718.341	988.837	989.697	718.026	987.035	979.775	965.049	969.219	967.355	968.332	701.330	988.753	988.819	214.790	1015.386	389.528	544.537	736.261	736.099	1012.905	1011.108	716.774	546.786	115.101	142.288	169.168	269.580	763.560	794.382	688.903	785.590	806.180	772.425	1017.651	988.247	992.344	962.333	630.331	241.837	361.746	195.046	234.970	187.725	427.884	366.463	423.001	399.290	747.809	766.526	766.565	745.521	387.904	526.036	530.599	246.499	384.635	562.291	777.050	770.899	773.585	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-GCU.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	1016.385	1014.454	1009.143	732.403	1015.713	1007.119	992.514	997.286	512.363	724.205	720.443	737.408	1014.338	232.632	557.406	444.701	336.361	530.878	348.168	1036.643	749.927	527.755	447.431	122.263	131.754	156.645	182.390	777.124	807.535	966.110	581.384	821.948	404.254	752.713	1007.519	1012.471	981.343	884.018	312.079	260.026	314.497	199.746	179.686	367.649	366.925	358.509	685.331	553.237	783.084	778.674	547.614	299.074	530.986	738.119	375.098	551.808	786.893	790.179	784.719	789.683	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-GCU.PERN.EDU	AU.AARNET.HOBART.N2	?B	686.727	947.138	945.766	946.333	947.720	951.711	952.816	954.432	954.050	490.894	947.310	945.827	948.091	238.594	506.125	523.513	986.833	527.813	715.659	983.887	982.727	320.878	981.582	123.584	152.397	184.354	306.815	543.091	776.759	670.188	769.130	789.249	550.116	984.554	697.022	963.535	679.751	846.524	236.188	686.842	250.936	310.474	207.089	415.754	317.782	296.809	642.211	526.128	742.488	738.262	716.009	357.369	303.486	516.045	233.070	731.472	747.297	747.382	743.873	747.747	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-GCU.PERN.EDU	AU.AARNET.PERTH.NET	?B	799.745	1094.942	1089.038	1086.796	1094.212	784.959	1069.362	1072.540	1072.442	261.736	319.182	796.680	799.220	271.990	377.133	1111.949	812.392	1114.942	344.899	1117.018	467.713	570.119	483.805	132.122	152.031	173.932	235.636	710.731	748.319	989.291	734.753	748.791	522.363	1111.152	782.958	793.372	757.779	871.977	250.772	194.979	166.813	227.081	241.593	789.776	788.387	467.694	705.207	700.580	720.349	523.064	700.578	231.933	682.123	499.196	491.737	259.368	719.164	526.198	722.610	527.593	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-GCU.PERN.EDU	BD.DUET.AC.N1	?B	1695.635	1694.953	2332.609	1694.828	2331.282	2331.433	2352.161	2421.730	1291.288	708.738	601.449	555.820	420.218	1752.047	562.202	719.090	794.202	2405.687	1011.501	615.105	531.870	1195.894	868.661	321.936	173.103	166.280	169.465	188.724	715.215	1538.128	1558.384	631.904	1103.712	571.290	361.907	512.795	900.831	576.224	238.211	793.222	265.030	297.680	468.114	783.018	993.478	855.733	1750.823	401.800	1033.375	146.425	.	603.140	395.509	493.265	263.643	428.045	1020.721	744.297	430.837	342.075	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERLHR-GCU.PERN.EDU	BJ.GOUV.N1	?B	262.638	303.147	152.869	262.471	184.531	171.607	161.295	857.685	382.197	159.783	246.674	168.570	194.336	154.902	323.419	239.395	187.882	229.414	215.712	264.695	265.920	365.546	399.973	128.519	140.350	303.034	284.438	289.509	1177.767	509.253	184.263	286.250	250.591	244.230	203.066	1179.653	857.184	250.944	265.226	270.986	187.122	262.932	813.360	1147.993	489.612	486.876	202.202	153.735	177.003	306.266	299.325	176.947	137.712	155.179	153.323	171.639	1038.332	508.572	143.594	126.844	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
