#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERLHR-PU.PERN.EDU	AF.MOD.GOV.AF	?B	515.663	516.127	516.259	516.260	515.246	514.426	513.827	514.208	514.280	514.510	102.747	513.153	370.944	249.628	287.607	110.123	230.541	166.185	215.510	137.460	506.864	144.494	163.758	113.991	100.949	105.405	102.214	109.839	137.540	34.970	42.678	41.385	51.012	38.324	19.774	13.210	12.385	8.843	12.644	13.469	15.573	31.561	36.090	17.092	25.791	40.430	30.660	54.367	125.549	77.199	148.447	31.777	41.698	36.640	34.008	93.528	127.607	373.998	58.863	60.294	pingerlhr-pu.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERLHR-PU.PERN.EDU	AL.ALBANIAONLINE.NET.N1	?B	282.874	288.903	232.356	371.371	535.043	444.312	555.001	432.187	387.308	294.801	480.331	315.020	404.633	376.395	294.435	280.128	319.496	288.442	585.062	451.036	487.533	370.596	295.706	265.949	281.664	331.747	440.575	442.099	321.289	453.308	294.352	393.608	513.585	841.392	1219.036	434.494	620.943	512.241	620.325	1684.478	507.620	713.923	603.303	297.055	416.773	284.117	358.855	470.394	269.273	497.784	674.988	458.740	554.236	525.340	378.747	600.017	924.875	689.465	733.574	626.117	pingerlhr-pu.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERLHR-PU.PERN.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1135.947	.	534.816	1584.650	1624.485	1654.286	853.400	1654.843	1650.265	636.169	1607.904	1470.528	1201.197	886.341	1160.229	1643.108	1208.090	681.495	464.150	274.232	362.371	429.376	414.566	1084.119	768.538	1620.212	563.618	1262.852	1455.483	914.160	322.712	459.014	219.094	810.107	657.348	238.865	648.463	pingerlhr-pu.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERLHR-PU.PERN.EDU	AU.AARNET.ADELAIDE.N1	?B	977.420	975.982	977.486	973.646	976.183	967.153	959.258	852.587	958.588	957.207	954.862	970.868	498.900	994.503	722.405	304.945	429.837	443.197	720.722	358.789	508.973	507.571	511.736	121.955	134.373	185.469	380.928	746.906	778.910	931.348	563.513	573.737	757.365	998.148	969.947	972.176	941.710	617.596	368.784	290.285	707.465	186.030	206.080	321.349	272.145	366.214	908.382	529.132	754.136	749.309	531.449	707.238	517.088	366.427	712.972	743.072	319.052	273.033	759.241	763.723	pingerlhr-pu.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-PU.PERN.EDU	AU.AARNET.BRISBANE.NET	?B	981.904	984.134	982.833	979.833	983.162	709.250	710.948	873.466	978.265	711.989	975.847	981.916	981.319	734.264	734.856	212.260	323.899	570.210	734.196	519.785	519.064	699.043	738.428	125.632	145.211	169.626	310.592	758.710	789.876	946.849	786.944	801.056	558.245	1014.660	715.601	989.470	694.542	626.750	314.083	260.350	521.255	326.758	308.692	289.991	293.687	315.641	919.384	378.927	760.437	756.322	738.543	715.930	727.960	729.503	725.444	550.643	771.150	315.976	766.437	559.979	pingerlhr-pu.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-PU.PERN.EDU	AU.AARNET.CANBERRA.NET	?B	1006.839	1010.548	1001.244	999.339	1010.221	1009.788	1011.825	1011.840	1011.023	1012.396	1007.006	734.343	1011.205	1037.112	1039.270	211.766	296.768	755.654	385.512	378.449	533.520	432.153	756.979	125.479	175.572	128.313	241.495	561.363	805.218	969.674	801.295	816.765	782.795	756.949	734.415	1015.946	980.643	881.386	380.338	264.481	265.066	261.259	326.377	522.151	316.480	337.943	684.257	543.830	563.543	555.873	743.428	370.717	533.633	318.048	729.593	765.574	780.126	279.008	776.155	783.024	pingerlhr-pu.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-PU.PERN.EDU	AU.AARNET.HOBART.N2	?B	948.587	947.887	945.448	942.896	689.973	688.518	951.308	690.281	946.717	689.397	687.084	949.213	950.896	982.684	714.862	263.100	418.708	715.881	981.650	976.800	712.916	354.744	987.266	129.035	137.094	228.938	239.749	538.056	770.613	919.535	768.665	782.467	749.956	985.148	695.587	962.768	932.199	842.106	298.692	178.188	360.471	196.910	899.263	956.769	383.777	279.436	887.915	716.563	737.153	529.501	708.876	288.465	359.839	508.026	503.180	304.319	377.674	337.302	737.771	745.796	pingerlhr-pu.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-PU.PERN.EDU	AU.AARNET.PERTH.NET	?B	789.394	1089.978	1086.368	1083.079	1082.451	1075.602	1072.495	1072.780	1074.723	367.917	446.055	1082.290	580.211	1119.827	817.037	364.955	816.985	1125.633	1121.832	1123.957	1122.485	1114.704	1129.093	148.046	125.405	154.811	177.002	379.902	747.575	994.400	737.759	542.201	717.513	1116.815	785.167	1095.935	1041.839	632.645	500.759	213.913	215.456	192.199	503.106	470.969	558.553	289.974	695.311	498.887	708.747	304.051	687.411	287.758	674.827	346.428	183.635	694.277	707.620	325.008	712.529	716.062	pingerlhr-pu.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERLHR-PU.PERN.EDU	BD.DUET.AC.N1	?B	2398.021	2398.506	2397.605	1742.250	2396.308	2388.351	2343.511	876.143	2286.355	2238.689	757.623	712.765	427.356	747.899	532.123	649.928	580.452	979.506	2247.503	543.203	501.083	972.890	674.987	234.873	202.689	215.784	215.035	221.090	803.132	2042.496	795.995	775.573	522.936	455.685	352.027	580.258	1682.369	380.911	275.723	666.739	336.038	277.162	398.023	877.665	728.694	487.363	813.118	967.147	180.155	107.372	.	329.372	328.028	268.929	288.083	244.369	1013.482	1013.833	543.267	288.973	pingerlhr-pu.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERLHR-PU.PERN.EDU	BJ.GOUV.N1	?B	394.791	217.972	180.812	201.139	159.077	141.171	179.312	443.066	440.365	186.883	376.115	183.917	185.345	164.140	319.829	201.607	183.579	301.822	193.836	180.627	212.736	602.853	498.718	149.923	157.262	295.110	327.938	287.909	868.189	866.887	231.748	261.494	334.830	163.762	199.151	1192.611	612.757	287.461	245.973	333.407	263.251	279.442	829.403	353.856	358.387	298.392	485.849	198.145	194.353	211.423	194.291	152.611	227.674	163.064	148.426	150.253	1017.551	399.252	138.489	168.791	pingerlhr-pu.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
