#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.PINGERQTA.PERN.EDU.N2	AF.MOD.GOV.AF	?B	.	.	521.100	521.921	518.779	518.412	122.674	518.048	514.059	509.123	506.937	511.491	515.748	261.468	72.962	149.481	513.699	203.475	513.121	190.948	346.960	264.767	511.679	511.817	513.127	370.614	512.155	507.379	.	.	.	505.891	510.509	.	34.868	.	.	.	35.512	48.722	42.165	100.336	37.181	44.287	52.733	48.056	41.076	120.519	272.883	.	.	.	33.778	34.922	41.178	144.233	525.523	.	68.670	110.128	pingerqta.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.PINGERQTA.PERN.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	.	.	217.559	259.930	244.003	324.612	421.203	221.733	286.335	283.381	279.520	272.849	252.062	230.296	222.526	209.468	430.876	214.704	318.012	249.230	275.352	199.854	227.282	315.001	243.195	291.263	252.251	309.532	.	.	.	691.511	418.951	.	681.985	.	.	.	447.633	395.586	470.140	493.160	332.718	376.750	560.489	308.071	359.266	567.993	203.125	.	.	.	303.778	391.368	500.298	560.368	151.518	.	380.192	298.951	pingerqta.pern.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERQTA.PERN.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1664.412	1076.864	1155.789	1614.870	.	.	.	807.726	1597.661	.	1690.146	.	.	.	902.116	1691.634	1671.363	839.963	287.787	433.087	504.384	387.470	453.461	1711.454	565.535	.	.	.	1060.527	245.617	755.304	717.376	1317.570	.	315.875	461.950	pingerqta.pern.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.PINGERQTA.PERN.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	.	.	760.322	757.266	135.594	760.123	536.511	764.130	765.153	763.649	762.729	770.823	777.421	795.054	790.787	573.777	441.223	799.138	792.346	792.432	795.011	791.863	793.710	299.779	249.729	540.993	175.663	159.042	.	.	.	211.924	396.520	.	779.754	.	.	.	778.744	272.170	780.645	682.759	270.640	776.907	353.916	233.822	767.646	762.152	333.000	.	.	.	759.307	549.269	389.766	750.240	754.563	.	756.644	752.221	pingerqta.pern.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERQTA.PERN.EDU.N2	AU.AARNET.BRISBANE.NET	?B	.	.	776.826	776.740	158.783	777.391	772.746	773.967	775.582	771.762	773.654	778.936	785.871	800.019	797.122	709.540	801.387	807.102	795.980	798.015	800.529	800.343	327.177	791.738	270.230	753.335	316.583	225.202	.	.	.	152.061	779.033	.	786.194	.	.	.	786.698	279.589	787.101	773.720	404.527	699.683	179.084	317.774	778.257	779.976	343.216	.	.	.	565.526	564.229	780.771	776.466	780.457	.	775.383	774.941	pingerqta.pern.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERQTA.PERN.EDU.N2	AU.AARNET.CANBERRA.NET	?B	.	.	788.752	789.745	140.437	785.464	778.869	774.126	777.323	772.759	773.043	789.628	798.162	806.307	811.734	586.575	810.688	816.901	811.503	804.865	810.073	811.408	811.298	413.378	229.998	392.981	311.974	278.462	.	.	.	239.825	574.118	.	793.261	.	.	.	791.080	213.953	791.550	778.319	793.543	498.049	124.551	328.978	134.007	794.087	350.112	.	.	.	791.877	790.024	790.912	787.665	797.904	.	791.110	786.393	pingerqta.pern.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERQTA.PERN.EDU.N2	AU.AARNET.HOBART.N2	?B	.	.	767.577	764.847	156.375	770.781	326.165	684.028	769.430	766.687	766.471	769.127	775.013	791.682	572.356	698.400	790.968	791.516	787.736	788.319	325.844	786.605	787.167	327.063	235.454	740.969	196.456	152.043	.	.	.	219.632	205.085	.	766.578	.	.	.	766.530	267.074	766.375	755.418	284.567	312.062	177.634	548.064	754.481	755.816	393.594	.	.	.	761.313	761.636	761.027	192.883	759.755	.	758.670	257.967	pingerqta.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERQTA.PERN.EDU.N2	AU.AARNET.PERTH.NET	?B	.	.	725.888	723.855	117.950	725.715	726.730	727.012	728.220	208.668	514.493	725.163	730.595	745.459	743.760	661.350	744.941	748.345	743.818	743.329	299.425	242.461	744.469	188.246	137.124	304.555	139.391	134.705	.	.	.	178.492	391.956	.	730.330	.	.	.	730.472	512.279	731.850	719.118	235.248	347.223	117.673	523.427	146.886	720.398	238.476	.	.	.	725.373	726.920	373.286	725.082	722.012	.	719.620	715.922	pingerqta.pern.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERQTA.PERN.EDU.N2	BD.DUET.AC.N1	?B	.	.	1089.022	1093.137	1079.637	1076.844	1070.992	1055.881	1055.645	1051.592	307.100	462.434	230.127	269.345	225.110	1048.326	347.249	1066.423	765.796	398.981	307.309	773.831	1046.301	928.198	277.241	244.498	234.967	161.239	.	.	.	653.428	589.327	.	115.772	.	.	.	567.017	638.138	375.680	240.746	272.964	782.716	466.051	598.117	1078.554	1081.159	1085.699	.	.	.	550.042	412.025	412.144	465.240	1060.426	.	544.993	1059.647	pingerqta.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.PINGERQTA.PERN.EDU.N2	BJ.GOUV.N1	?B	.	.	181.218	255.578	146.392	143.453	208.653	396.512	383.939	151.992	305.907	176.284	185.506	182.791	335.694	230.302	178.493	.	262.166	197.211	279.969	1210.006	880.270	173.130	176.252	337.588	334.614	201.483	.	.	.	249.703	209.170	.	169.972	.	.	.	251.427	327.930	445.350	264.327	848.095	620.838	299.093	470.205	220.570	233.939	194.270	.	.	.	312.873	191.651	196.281	139.470	1210.576	.	156.331	197.085	pingerqta.pern.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.PINGERQTA.PERN.EDU.N2	BO.UMSS.EDU.N1	?M	.	.	895.033	922.701	529.957	925.032	913.978	905.547	937.034	997.321	960.536	909.384	953.303	210.623	911.942	907.233	373.162	911.827	911.742	378.819	909.594	662.722	909.656	906.705	899.787	608.240	420.144	172.523	.	.	.	229.692	232.056	.	273.710	.	.	.	365.339	184.402	896.193	302.818	898.068	657.668	174.598	293.575	200.413	884.675	901.018	.	.	.	193.451	892.552	875.928	881.639	901.443	.	910.731	295.111	pingerqta.pern.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
