#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.QUEST.SEECS.EDU	AF.MOD.GOV.AF	?B	.	113.661	223.160	381.909	54.201	.	20.014	.	56.792	43.012	28.522	.	.	29.004	.	27.686	.	.	.	17.360	.	.	.	.	.	19.392	.	.	25.005	.	12.358	27.504	70.888	74.991	48.077	28.405	29.540	36.728	30.680	37.127	52.674	98.187	43.451	34.757	41.242	76.734	37.565	65.547	232.338	136.280	116.081	36.640	56.229	40.323	41.140	155.751	345.448	147.399	63.288	132.417	quest.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.QUEST.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	.	209.739	180.186	239.639	294.086	.	232.632	.	180.681	228.950	316.227	.	.	281.071	.	242.821	.	.	.	285.078	.	.	.	.	.	293.697	.	.	261.296	.	245.381	796.624	434.773	553.395	733.948	320.324	316.449	527.119	355.477	376.007	575.690	289.866	273.629	447.587	386.964	365.570	362.635	373.481	306.661	407.383	349.203	310.046	315.982	288.544	436.255	453.055	283.633	289.009	966.594	477.599	quest.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.QUEST.SEECS.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	279.999	.	.	402.288	.	1833.185	1836.402	1304.835	1802.274	1839.039	1840.000	1835.053	1300.586	1828.862	1832.612	1824.861	541.754	204.936	849.881	671.981	446.277	676.726	904.797	1761.013	1421.177	1593.075	1775.008	1587.584	541.914	1017.905	367.454	1270.326	967.441	208.195	1465.672	quest.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.QUEST.SEECS.EDU	AU.AARNET.ADELAIDE.N1	?B	.	259.811	788.618	786.997	97.994	.	48.906	.	64.564	65.143	64.571	.	.	65.195	.	120.709	.	.	.	70.570	.	.	.	.	.	59.547	.	.	87.930	.	58.827	75.287	588.024	591.728	794.008	789.106	788.710	790.551	789.884	394.674	790.731	786.286	785.434	784.652	786.091	215.902	777.477	774.062	775.705	774.401	774.839	775.229	772.293	772.041	562.128	772.253	294.727	776.927	776.165	775.566	quest.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.QUEST.SEECS.EDU	AU.AARNET.BRISBANE.NET	?B	.	789.883	790.272	787.816	96.706	.	44.469	.	77.487	59.507	62.048	.	.	58.227	.	85.032	.	.	.	65.524	.	.	.	.	.	61.562	.	.	66.283	.	51.924	66.252	812.272	822.426	804.346	794.715	794.294	799.820	803.393	566.908	803.304	798.697	796.671	797.052	798.639	230.130	785.902	784.932	784.094	784.875	784.047	785.626	786.892	786.760	786.939	786.885	784.563	784.553	784.326	782.626	quest.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.QUEST.SEECS.EDU	AU.AARNET.CANBERRA.NET	?B	.	589.345	815.692	589.914	115.684	.	55.643	.	71.115	82.624	73.494	.	.	62.723	.	843.091	.	.	.	78.373	.	.	.	.	.	61.082	.	.	81.549	.	78.104	91.125	848.469	852.664	829.127	828.662	828.216	826.592	823.112	799.693	824.239	819.486	819.829	817.743	819.140	809.630	810.440	804.073	806.658	586.114	806.869	809.686	805.617	805.031	806.591	806.147	805.588	805.760	805.324	805.433	quest.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.QUEST.SEECS.EDU	AU.AARNET.HOBART.N2	?B	.	570.920	784.657	782.841	96.784	.	47.272	.	71.045	62.263	62.685	.	.	61.644	.	84.517	.	.	.	69.028	.	.	.	.	.	58.141	.	.	81.232	.	53.547	74.825	801.123	806.132	787.992	783.200	780.947	783.232	567.923	162.255	783.599	777.410	777.701	775.640	779.409	189.982	774.190	776.617	780.962	779.406	778.168	781.001	780.548	780.229	399.885	779.659	780.090	780.773	779.010	780.588	quest.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.QUEST.SEECS.EDU	AU.AARNET.PERTH.NET	?B	.	377.624	733.916	734.701	92.049	.	50.145	.	63.418	68.908	65.389	.	.	56.456	.	113.851	.	.	.	70.814	.	.	.	.	.	53.015	.	.	84.660	.	58.418	78.073	763.019	766.709	748.631	746.470	746.103	746.348	744.754	239.954	745.510	741.584	741.211	537.854	741.478	225.635	728.505	725.390	732.936	532.121	532.006	731.772	736.272	736.286	736.056	735.880	731.845	731.586	732.121	732.713	quest.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.QUEST.SEECS.EDU	BD.DUET.AC.N1	?B	.	1091.315	1094.198	1094.632	181.453	.	87.317	.	131.183	94.931	115.681	.	.	100.927	.	74.642	.	.	.	96.745	.	.	.	.	.	104.757	.	.	148.050	.	117.966	231.988	709.962	378.722	159.817	306.995	476.835	483.469	260.056	854.109	459.579	282.093	352.749	818.344	788.090	326.790	1087.453	1088.332	1088.204	164.717	.	1087.665	312.606	801.625	273.117	299.494	805.133	1106.091	463.131	371.306	quest.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.QUEST.SEECS.EDU	BJ.GOUV.N1	?B	.	286.063	170.271	204.774	170.093	.	195.948	.	130.674	147.877	271.104	.	.	159.402	.	518.892	.	.	.	187.615	.	.	.	.	.	191.107	.	.	307.813	.	184.405	149.783	229.411	189.688	234.420	1241.436	901.973	238.066	339.813	260.162	313.560	174.012	841.415	1190.961	400.227	792.604	252.885	221.607	178.017	183.437	270.810	156.727	179.597	177.800	191.200	154.426	246.014	492.055	172.175	156.425	quest.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
