#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.SEECS.EDU.N6	AF.MOD.GOV.AF	?B	187.736	116.064	122.889	139.653	84.099	78.805	142.316	119.819	120.786	113.054	81.654	122.930	143.345	115.361	167.065	72.564	92.080	73.668	211.160	75.335	51.816	503.642	105.802	120.550	135.904	73.271	83.175	127.949	112.799	62.967	86.421	89.818	76.608	98.666	78.374	69.809	139.754	94.644	105.960	83.895	82.309	104.402	37.764	25.312	78.400	113.250	32.643	14.404	12.614	72.483	92.570	87.022	70.504	74.058	174.615	101.956	87.763	163.872	104.846	80.541	maggie1.seecs.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.SEECS.EDU.N6	AL.ALBANIAONLINE.NET.N1	?B	114.934	149.606	118.049	140.619	146.018	157.498	169.558	156.833	160.847	240.611	166.288	175.825	184.332	206.735	199.508	212.762	210.805	327.899	213.178	189.005	250.811	166.818	206.367	182.818	201.416	161.499	178.346	254.661	224.978	205.079	236.411	236.861	251.976	219.658	230.866	273.846	286.022	210.698	239.543	204.700	190.007	212.178	213.249	235.310	252.374	268.847	293.383	245.016	172.063	255.990	220.976	190.758	218.844	267.850	240.034	275.657	227.169	310.459	283.264	281.551	maggie1.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.SEECS.EDU.N6	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	213.838	234.367	292.578	368.390	400.019	350.964	177.415	355.364	236.998	234.052	206.058	269.131	285.734	248.945	231.572	251.137	223.583	211.914	212.636	233.317	169.223	364.938	394.353	285.975	326.084	216.776	333.629	247.833	196.883	269.351	234.682	237.132	219.245	193.687	233.571	maggie1.seecs.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.SEECS.EDU.N6	AU.AARNET.ADELAIDE.N1	?B	226.327	162.276	166.886	167.194	126.245	98.628	167.498	183.287	260.091	180.143	257.142	132.231	731.109	391.303	278.248	220.355	120.333	327.026	370.277	382.055	244.890	320.941	176.088	157.578	125.543	114.654	112.156	195.327	171.600	162.106	149.264	104.518	112.412	119.303	132.359	109.291	160.363	169.178	107.043	114.023	105.767	134.592	126.761	94.300	117.536	174.553	308.644	149.140	186.703	152.476	181.669	167.538	137.709	147.714	146.184	144.900	175.622	146.569	193.617	236.385	maggie1.seecs.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N6	AU.AARNET.BRISBANE.NET	?B	153.017	161.826	141.513	151.142	114.170	107.323	197.713	212.953	164.680	140.555	188.261	137.368	534.477	401.922	258.786	204.329	183.122	403.908	182.354	276.405	397.046	333.818	256.508	113.001	164.874	130.099	115.519	196.458	226.900	201.445	198.747	136.653	114.548	128.217	102.025	160.930	142.235	186.358	113.252	119.180	133.013	138.216	112.028	107.384	145.858	191.116	180.150	209.312	178.513	175.165	225.534	133.955	140.095	134.458	234.170	171.519	146.608	233.832	150.017	166.818	maggie1.seecs.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N6	AU.AARNET.CANBERRA.NET	?B	151.888	129.704	215.925	151.621	116.890	138.570	153.437	255.207	193.259	164.302	235.482	142.994	157.970	579.722	216.925	209.397	125.998	288.465	208.737	217.402	289.652	587.784	185.717	125.007	131.388	108.122	113.465	195.993	232.613	151.156	139.881	162.265	144.896	133.092	122.211	138.996	243.340	166.013	126.749	127.282	154.686	140.113	105.118	100.279	107.864	169.815	185.824	133.181	249.466	249.769	177.027	143.155	120.382	146.240	178.981	170.736	163.859	195.819	133.939	215.170	maggie1.seecs.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N6	AU.AARNET.HOBART.N2	?B	203.963	159.697	143.119	136.776	125.657	109.556	195.231	152.116	180.380	158.743	251.885	122.082	298.437	321.430	320.252	244.995	149.912	401.928	212.970	194.284	543.428	557.153	196.224	155.577	141.170	110.460	124.127	161.680	206.110	226.710	119.176	155.807	103.154	130.165	112.802	139.908	154.756	162.804	123.151	97.585	117.018	110.472	127.929	99.019	107.039	238.355	160.303	136.308	240.233	160.729	181.665	176.292	113.230	134.100	145.243	166.158	156.325	164.941	150.946	246.530	maggie1.seecs.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N6	AU.AARNET.PERTH.NET	?B	152.470	158.371	152.894	233.292	96.509	115.872	136.238	183.658	113.480	125.243	158.560	158.667	354.837	529.400	264.988	227.349	208.065	724.179	355.773	216.633	521.027	219.355	236.242	139.187	109.846	88.843	127.005	188.020	214.387	216.603	182.295	107.974	76.033	139.374	144.979	111.563	288.555	155.035	139.908	118.025	128.890	124.890	111.411	102.418	127.213	182.494	194.000	141.812	180.968	182.682	158.408	180.060	138.003	133.530	142.795	157.529	132.337	178.812	198.015	174.510	maggie1.seecs.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.SEECS.EDU.N6	BD.DUET.AC.N1	?B	328.032	225.097	231.039	246.298	144.908	201.374	315.116	209.538	231.356	139.484	148.576	178.261	148.834	263.644	157.110	243.462	162.285	197.288	255.135	151.710	213.484	294.933	252.684	298.546	187.290	132.933	120.294	116.686	248.060	261.673	220.325	200.941	287.181	117.159	90.914	97.872	216.347	139.700	172.207	214.353	183.826	192.054	149.681	130.768	131.252	169.693	255.767	136.053	153.336	84.355	.	167.055	188.422	184.153	134.287	126.213	160.719	173.966	213.095	146.941	maggie1.seecs.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.SEECS.EDU.N6	BJ.GOUV.N1	?B	170.112	207.717	141.673	202.305	111.174	114.199	129.198	265.178	185.546	152.810	170.494	129.990	141.736	175.481	298.614	300.045	178.147	.	179.970	185.433	252.005	372.539	406.135	144.634	138.736	154.828	213.421	155.463	284.431	197.616	181.660	167.014	147.119	183.097	186.774	216.364	227.760	227.557	164.173	214.828	161.120	159.306	192.895	191.779	198.343	324.270	180.858	130.804	152.146	170.170	187.601	109.320	130.674	136.502	132.704	181.714	256.059	264.821	171.850	190.161	maggie1.seecs.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
