#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.UET.EDU.N2	AF.MOD.GOV.AF	?B	516.215	81.465	277.362	515.980	516.385	372.444	363.998	512.048	372.064	112.062	136.255	366.296	508.259	363.018	510.783	355.521	105.295	86.389	143.282	221.014	60.984	.	.	217.195	92.232	156.218	121.414	509.349	141.414	74.262	.	183.367	508.376	510.182	372.037	81.103	137.476	263.063	512.102	511.765	512.209	152.895	148.028	26.235	68.346	214.572	.	.	2.940	14.613	357.970	490.238	80.503	182.062	243.923	449.355	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.UET.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	325.371	366.743	269.957	251.857	338.829	623.888	355.798	386.999	830.402	375.921	428.182	369.232	428.509	358.813	375.387	489.251	330.587	343.412	392.169	475.228	479.942	.	.	452.891	191.308	445.055	356.842	356.694	367.167	369.622	.	715.939	803.607	436.267	614.914	390.365	628.992	392.147	579.858	1665.543	957.537	278.260	314.450	460.639	352.441	451.149	.	.	1838.744	523.401	772.488	641.439	385.824	479.319	409.557	513.009	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.UET.EDU.N2	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	296.841	820.242	1187.816	268.476	1149.679	.	1662.193	1623.639	581.473	851.258	1662.461	1662.423	1623.891	1653.454	1201.569	1635.808	325.896	259.699	348.229	498.070	466.520	.	.	1486.962	937.971	135.115	1402.184	705.610	588.048	1086.417	637.395	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.UET.EDU.N2	AU.AARNET.ADELAIDE.N1	?B	485.972	953.092	954.588	954.494	950.578	956.814	959.141	963.459	291.147	246.741	296.673	399.391	693.142	710.331	717.375	985.129	329.680	358.299	713.823	304.716	349.462	.	.	203.878	115.672	182.128	233.069	540.989	762.923	931.246	.	786.613	556.419	490.162	705.653	968.233	938.122	903.695	299.953	204.207	744.611	201.492	192.510	699.689	358.180	311.410	.	.	720.509	733.778	531.143	511.005	720.346	370.069	237.488	317.999	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.UET.EDU.N2	AU.AARNET.BRISBANE.NET	?B	964.323	973.095	974.768	974.545	971.163	975.632	983.183	982.728	304.004	311.579	503.684	501.031	705.781	538.458	735.570	1012.448	254.644	368.245	1011.951	453.352	436.061	.	.	242.041	112.714	166.602	244.477	389.530	776.164	955.348	.	801.599	565.560	681.895	996.891	993.337	961.135	924.485	373.854	699.064	756.567	148.487	211.614	367.443	414.843	258.550	.	.	731.301	744.312	538.838	712.684	530.002	529.087	304.647	277.031	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.UET.EDU.N2	AU.AARNET.CANBERRA.NET	?B	1004.899	1012.383	1013.609	1012.945	1006.903	1006.502	1006.432	1008.748	459.571	1009.834	731.504	1009.397	519.301	398.730	753.920	1037.571	254.854	434.008	531.411	445.705	555.163	.	.	237.410	125.874	128.940	157.152	771.366	790.088	678.856	.	817.189	793.172	512.541	523.569	738.301	982.386	944.265	310.324	710.025	302.457	190.586	325.139	736.210	424.834	244.073	.	.	749.525	763.989	547.999	372.247	378.154	378.134	376.388	249.244	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.UET.EDU.N2	AU.AARNET.HOBART.N2	?B	952.985	955.607	959.432	953.740	954.016	951.919	960.387	959.676	279.280	958.998	957.930	956.308	952.529	707.589	982.784	978.883	257.550	981.504	981.046	976.547	975.492	.	.	272.030	109.954	195.454	312.735	539.117	759.952	928.718	.	784.930	391.428	488.195	963.718	963.707	933.745	653.744	517.602	222.884	739.579	165.923	200.669	311.072	955.768	412.557	.	.	721.552	734.025	724.784	358.347	709.571	364.364	305.989	392.171	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.UET.EDU.N2	AU.AARNET.PERTH.NET	?B	1064.854	1073.538	1073.514	1073.357	1066.631	1080.184	1090.049	1089.801	456.416	1088.870	1087.323	783.322	1078.492	805.379	812.645	1117.126	373.104	813.087	468.827	676.818	810.328	.	.	159.174	89.813	156.184	141.510	705.111	722.356	1008.310	.	743.187	724.706	695.472	1087.520	1092.784	1041.250	503.177	202.558	182.116	706.117	164.580	330.628	360.718	559.952	465.979	.	.	681.866	697.282	692.280	669.278	351.641	352.088	350.551	241.599	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.UET.EDU.N2	BD.DUET.AC.N1	?B	1773.554	2441.041	1773.422	2440.575	2439.218	1771.403	2397.849	2348.342	2330.646	587.018	1696.619	376.841	364.847	1492.228	311.498	631.098	627.403	1677.368	1200.678	676.324	387.208	.	.	858.054	147.499	192.750	259.794	193.935	243.099	1462.019	.	1543.718	378.308	342.053	550.402	319.467	890.238	706.019	359.227	1549.636	1552.433	229.282	266.880	1732.904	672.449	818.615	.	.	.	989.658	51.951	856.133	271.517	681.392	242.583	255.214	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.UET.EDU.N2	BJ.GOUV.N1	?B	194.780	231.655	159.422	167.570	181.897	156.623	153.146	492.770	272.262	158.673	344.398	194.252	148.402	160.323	381.607	322.487	158.522	305.934	180.919	150.240	212.830	.	.	184.887	133.095	278.575	425.370	216.756	852.661	1174.697	.	173.731	232.943	154.762	225.383	603.261	1174.645	236.034	222.336	309.304	655.788	198.987	276.997	1137.967	487.061	451.627	.	.	1088.262	241.184	358.912	136.116	122.016	157.728	164.163	171.505	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.UET.EDU.N2	BO.UMSS.EDU.N1	?M	912.970	378.770	507.024	666.524	931.649	381.919	672.413	913.425	912.854	279.106	912.282	909.596	661.439	291.018	663.631	922.198	287.675	669.235	920.851	562.849	668.368	.	.	386.958	148.588	468.393	891.689	910.821	869.671	878.035	.	345.470	857.501	214.624	346.783	195.216	263.156	934.693	657.613	175.861	934.047	205.455	181.003	270.076	247.570	174.295	.	.	917.914	881.452	864.126	215.413	196.261	575.300	792.680	314.136	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
PK.UET.EDU.N2	BR.UNESP.N1	?M	867.896	868.469	867.790	865.203	460.300	861.719	890.209	890.081	889.553	647.157	889.753	646.725	892.460	551.985	.	.	737.550	890.463	891.788	889.207	248.050	.	.	665.016	200.404	990.693	705.643	499.090	971.323	903.565	.	968.900	623.662	922.576	898.226	898.030	894.677	909.843	974.973	979.763	977.059	324.055	475.497	373.771	890.067	402.646	.	.	1007.589	981.307	955.285	238.962	916.501	905.024	855.089	269.831	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	pinger.unesp.br	BR	Latin_America
PK.UET.EDU.N2	BY.MTEC.N1	?B	895.505	1979.259	1989.038	1992.763	1961.503	1978.358	1934.015	1900.325	1980.744	464.788	1386.617	1418.382	1893.921	438.795	1814.865	932.156	656.278	597.925	658.716	492.854	756.976	.	.	702.569	263.811	444.088	248.826	280.389	253.368	391.899	.	244.789	292.934	595.608	1303.766	929.808	1815.061	930.108	750.383	1803.535	1005.784	201.839	332.071	560.745	746.107	925.170	.	.	1625.599	852.254	1165.694	1095.350	1577.695	1528.022	250.846	839.681	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.UET.EDU.N2	CA.CARLETON.N1	?B	1493.023	1489.855	1493.511	1501.010	1500.901	807.471	1509.676	1510.122	1510.825	386.616	307.100	1108.853	1465.853	1026.400	1510.703	1097.521	521.790	1509.224	1509.603	921.872	1506.401	.	.	531.800	213.265	1462.431	170.261	1480.358	1508.215	1509.852	.	1508.953	1481.669	836.100	1093.305	1096.829	1510.093	1505.797	1507.048	1506.136	1508.944	320.407	1086.265	1503.730	1510.382	415.679	.	.	1500.463	1444.292	1391.198	1344.588	947.289	474.874	910.761	675.739	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	ftp.physics.carleton.ca	CA	North_America
PK.UET.EDU.N2	CA.TRIUMF.N1	?M	1214.536	882.666	882.862	624.347	624.172	509.623	1214.544	1214.828	1215.047	1214.836	1212.793	439.462	508.782	448.989	882.472	1215.141	264.082	380.918	508.764	526.370	305.093	.	.	302.320	148.664	578.216	583.921	859.083	875.832	844.761	.	1212.298	616.887	493.392	1204.412	882.163	1214.628	1210.823	1213.149	1210.862	330.211	239.993	875.523	877.994	1215.072	510.285	.	.	1040.434	528.738	1041.685	243.409	730.696	106.924	708.567	426.657	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.UET.EDU.N2	CH.CERN.N1	?B	1384.994	2437.500	2452.196	2460.653	2453.155	2456.047	2455.850	2453.126	2449.484	2459.011	2450.953	2453.070	2453.257	2442.965	2454.074	1779.227	865.869	1257.097	907.089	1107.859	2436.853	.	.	1590.274	358.776	2377.895	1751.521	2452.236	2455.922	2447.544	.	2456.968	2433.741	1770.502	2448.325	2455.175	2456.841	2449.035	2446.289	2447.852	2453.195	504.400	701.056	2289.215	1001.182	484.533	.	.	1898.924	1983.082	1941.425	1791.390	1900.094	933.706	1782.738	796.686	.	.	.	.	pinger.uet.edu.pk	PK	South_Asia	ping.cern.ch	CH	Europe
