#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.UETTAXILA.EDU.N1	AF.MOD.GOV.AF	?B	511.536	513.403	514.309	512.588	512.385	428.084	.	510.798	368.751	180.087	94.836	503.256	270.331	491.601	505.003	103.470	216.457	72.408	254.998	135.817	48.030	89.275	.	503.145	351.024	84.610	.	192.384	82.841	85.363	99.137	368.488	502.579	377.403	373.771	505.306	63.626	128.295	505.593	506.062	43.939	.	.	47.637	504.529	.	.	.	.	.	98.471	180.601	510.709	116.013	171.971	506.271	502.188	74.279	496.044	37.827	pinger.uettaxila.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.UETTAXILA.EDU.N1	AL.ALBANIAONLINE.NET.N1	?B	294.175	327.029	208.150	381.776	413.907	233.147	.	349.328	463.921	438.755	702.325	261.475	431.656	272.688	452.356	391.065	236.916	569.961	447.301	554.135	358.750	331.572	.	299.058	616.923	250.019	.	539.636	337.818	575.492	314.057	811.850	607.128	1137.924	1594.748	364.096	651.834	431.644	419.381	1203.645	110.622	.	.	308.903	234.723	.	.	.	.	.	285.058	424.660	1561.000	366.901	220.067	594.616	397.072	119.832	272.737	154.676	pinger.uettaxila.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.UETTAXILA.EDU.N1	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	365.958	.	242.527	306.859	202.585	542.150	342.846	1067.253	786.671	335.569	268.063	244.038	175.860	288.706	375.951	85.918	.	.	88.574	105.754	.	.	.	.	.	625.625	272.979	773.242	398.963	209.599	179.168	637.358	170.249	761.582	92.679	pinger.uettaxila.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.UETTAXILA.EDU.N1	AU.AARNET.ADELAIDE.N1	?B	1316.045	1313.728	949.770	1315.028	1306.811	1288.733	.	1291.729	1286.921	1261.165	335.014	1314.067	1265.160	1274.216	1270.745	1237.073	1268.486	1257.582	1274.530	1279.306	1257.044	1255.716	.	1240.783	1262.725	300.493	.	491.031	1288.187	1212.653	1290.243	1269.893	1298.049	1294.767	881.878	1279.601	321.116	413.025	1266.387	1295.634	117.367	.	.	402.009	1161.479	.	.	.	.	.	642.394	808.476	1171.295	250.487	376.642	1136.275	1138.323	171.958	208.107	156.846	pinger.uettaxila.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	AU.AARNET.BRISBANE.NET	?B	1359.077	1359.664	1351.316	1361.263	1351.011	1323.143	.	1341.243	1326.992	1301.799	472.241	1356.381	969.077	1339.288	1319.879	1323.642	834.268	1296.973	1333.494	1324.886	1314.789	1275.091	.	1281.324	1296.315	330.664	.	601.548	1335.220	1297.887	1338.012	1314.608	1347.981	1342.330	1249.571	1327.880	1291.881	265.668	1321.272	1337.994	176.646	.	.	1009.782	747.318	.	.	.	.	.	471.321	314.925	1199.507	250.124	294.648	738.648	622.754	120.145	1138.792	121.072	pinger.uettaxila.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	AU.AARNET.CANBERRA.NET	?B	1389.244	1388.857	1377.856	1391.129	1380.305	1350.950	.	1007.843	1366.298	1351.694	367.433	1405.440	1005.785	1011.256	1362.390	993.988	1219.687	1356.835	1380.688	1367.584	1352.717	1328.102	.	1333.338	1349.356	305.273	.	396.534	1384.404	1294.618	1388.861	700.301	1395.991	1390.787	935.366	1350.137	1332.472	475.138	1373.196	1387.988	115.985	.	.	234.218	1231.294	.	.	.	.	.	318.757	424.274	1224.613	262.508	423.759	1194.301	633.440	222.207	1163.992	129.996	pinger.uettaxila.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	AU.AARNET.HOBART.N2	?B	1297.670	1297.046	1290.157	1298.735	936.331	940.940	.	1290.215	1277.910	1263.640	346.304	1309.940	924.637	926.651	1265.214	1239.725	1282.037	1244.129	1290.109	1273.750	578.533	1243.943	.	1244.716	1268.300	294.061	.	577.967	1295.064	1197.494	1290.392	1131.300	1301.316	1295.851	503.613	1259.477	320.221	281.063	1260.992	1297.697	118.685	.	.	408.848	512.111	.	.	.	.	.	301.488	1098.707	1150.768	241.076	414.989	1123.714	1115.416	121.114	1097.292	103.116	pinger.uettaxila.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	AU.AARNET.PERTH.NET	?B	2222.987	2219.583	2190.171	1617.799	2198.496	2145.824	.	2185.332	2129.787	1845.584	561.113	2209.895	2153.771	1573.042	2108.374	2115.159	2115.339	2088.401	2139.193	2124.775	2095.609	2018.372	.	660.491	2062.253	539.144	.	558.186	2146.534	1958.358	2165.895	2104.674	2186.635	2173.677	1401.016	2115.415	2025.821	479.013	1336.627	2160.806	416.171	.	.	860.749	1810.924	.	.	.	.	.	668.263	871.799	1834.521	366.472	531.881	1104.646	1752.246	294.671	1688.464	294.895	pinger.uettaxila.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	BD.DUET.AC.N1	?B	1979.357	2236.418	2237.138	2237.572	2234.560	2232.353	.	2323.957	1666.576	2226.277	463.531	376.079	351.823	1033.266	276.713	2282.697	1520.345	498.778	1643.999	537.736	487.513	982.374	.	1545.631	432.410	131.657	.	150.244	669.722	1894.302	1089.718	1499.707	1448.824	980.358	383.551	608.993	570.543	360.864	275.542	1090.323	141.013	.	.	730.078	2173.679	.	.	.	.	.	.	690.965	1379.654	2129.710	416.705	946.826	1113.092	271.326	832.895	218.484	pinger.uettaxila.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.UETTAXILA.EDU.N1	BJ.GOUV.N1	?B	347.346	176.691	156.985	227.807	152.133	194.955	.	487.496	228.321	173.371	573.358	193.340	120.325	220.835	199.920	594.404	163.650	.	138.235	198.225	313.854	548.492	.	174.966	172.691	166.349	.	204.999	1154.333	1157.804	266.952	274.351	228.203	214.209	139.917	415.023	682.653	158.555	322.039	832.596	76.557	.	.	262.015	1125.037	.	.	.	.	.	211.475	140.409	177.377	161.897	178.810	254.718	280.943	184.195	139.473	84.695	pinger.uettaxila.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
