#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.UOB.EDU.N3	AF.MOD.GOV.AF	?B	.	.	197.784	193.312	.	.	.	.	168.315	517.365	100.743	.	.	.	.	.	170.343	.	.	.	.	.	.	.	.	.	.	.	264.315	61.246	.	.	.	.	518.808	95.550	212.558	.	.	.	.	.	.	.	.	.	.	.	378.599	.	.	525.634	155.914	.	.	523.882	.	524.212	.	.	pinger.uob.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.UOB.EDU.N3	AL.ALBANIAONLINE.NET.N1	?B	.	.	201.938	375.539	.	.	.	.	331.715	420.574	428.202	.	.	.	.	.	243.335	.	.	.	.	.	.	.	.	.	.	.	343.475	507.276	.	.	.	.	480.070	775.156	948.391	.	.	.	.	.	.	.	.	.	.	.	374.876	.	.	1286.631	477.317	.	.	937.576	.	755.028	.	.	pinger.uob.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.UOB.EDU.N3	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1671.303	1607.752	.	.	.	.	1736.141	1738.150	1731.659	.	.	.	.	.	.	.	.	.	.	.	1767.230	.	.	1721.707	1115.526	.	.	1262.230	.	1264.437	.	.	pinger.uob.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.UOB.EDU.N3	AU.AARNET.ADELAIDE.N1	?B	.	.	552.320	318.098	.	.	.	.	144.363	147.671	415.468	.	.	.	.	.	225.046	.	.	.	.	.	.	.	.	.	.	.	529.855	775.544	.	.	.	.	775.004	778.700	778.752	.	.	.	.	.	.	.	.	.	.	.	760.771	.	.	558.445	767.890	.	.	768.940	.	764.021	.	.	pinger.uob.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.UOB.EDU.N3	AU.AARNET.BRISBANE.NET	?B	.	.	250.004	558.985	.	.	.	.	232.794	140.143	758.134	.	.	.	.	.	779.130	.	.	.	.	.	.	.	.	.	.	.	378.316	790.323	.	.	.	.	786.743	786.836	785.666	.	.	.	.	.	.	.	.	.	.	.	781.707	.	.	778.902	771.466	.	.	562.908	.	780.842	.	.	pinger.uob.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.UOB.EDU.N3	AU.AARNET.CANBERRA.NET	?B	.	.	356.727	219.910	.	.	.	.	170.170	290.610	795.628	.	.	.	.	.	596.572	.	.	.	.	.	.	.	.	.	.	.	388.275	808.272	.	.	.	.	808.707	801.070	801.473	.	.	.	.	.	.	.	.	.	.	.	801.863	.	.	802.483	802.423	.	.	798.973	.	802.584	.	.	pinger.uob.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.UOB.EDU.N3	AU.AARNET.HOBART.N2	?B	.	.	318.267	406.971	.	.	.	.	150.524	338.214	759.271	.	.	.	.	.	784.588	.	.	.	.	.	.	.	.	.	.	.	723.607	774.150	.	.	.	.	776.289	776.473	776.285	.	.	.	.	.	.	.	.	.	.	.	757.529	.	.	387.750	546.849	.	.	745.587	.	753.674	.	.	pinger.uob.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.UOB.EDU.N3	AU.AARNET.PERTH.NET	?B	.	.	235.831	527.078	.	.	.	.	167.233	521.540	716.405	.	.	.	.	.	394.045	.	.	.	.	.	.	.	.	.	.	.	690.893	736.212	.	.	.	.	731.911	736.207	736.179	.	.	.	.	.	.	.	.	.	.	.	714.376	.	.	524.165	717.873	.	.	717.757	.	717.042	.	.	pinger.uob.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.UOB.EDU.N3	BD.DUET.AC.N1	?B	.	.	447.872	294.463	.	.	.	.	361.275	1070.992	212.854	.	.	.	.	.	448.641	.	.	.	.	.	.	.	.	.	.	.	437.141	300.706	.	.	.	.	194.545	281.160	779.261	.	.	.	.	.	.	.	.	.	.	.	700.728	.	.	1068.709	460.023	.	.	234.821	.	1080.197	.	.	pinger.uob.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.UOB.EDU.N3	BJ.GOUV.N1	?B	.	.	173.324	204.679	.	.	.	.	279.218	278.959	391.409	.	.	.	.	.	164.334	.	.	.	.	.	.	.	.	.	.	.	1184.034	591.654	.	.	.	.	223.655	1197.938	871.899	.	.	.	.	.	.	.	.	.	.	.	266.619	.	.	165.032	192.590	.	.	174.718	.	592.268	.	.	pinger.uob.edu.pk	PK	South_Asia	waib.gouv.bj	BJ	Africa
PK.UOB.EDU.N3	BO.UMSS.EDU.N1	?M	.	.	389.327	483.168	.	.	.	.	160.467	620.547	444.741	.	.	.	.	.	513.207	.	.	.	.	.	.	.	.	.	.	.	401.625	846.012	.	.	.	.	297.852	269.860	588.466	.	.	.	.	.	.	.	.	.	.	.	882.148	.	.	449.426	167.192	.	.	370.476	.	883.802	.	.	pinger.uob.edu.pk	PK	South_Asia	www.umss.edu.bo	BO	Latin_America
