#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
PK.VU.EDU	AF.MOD.GOV.AF	?B	516.088	516.077	516.394	374.929	515.016	511.783	121.077	124.423	509.676	504.218	366.246	260.430	512.777	510.851	224.793	81.234	75.636	214.535	182.671	114.560	100.230	363.575	274.378	116.199	166.100	272.577	509.640	274.200	365.515	511.966	371.983	511.684	511.100	262.311	41.561	29.328	28.919	37.863	27.095	39.434	47.881	131.769	16.269	14.676	38.955	62.330	25.030	13.640	13.306	84.013	79.313	36.905	47.741	37.165	43.045	373.655	169.894	514.222	79.087	101.133	pinger.vu.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.VU.EDU	AL.ALBANIAONLINE.NET.N1	?B	206.699	219.359	184.685	220.268	248.348	293.083	188.044	250.479	211.584	289.237	276.533	257.037	230.848	199.778	218.644	273.567	257.228	230.079	228.337	284.970	262.095	242.430	223.013	212.041	269.915	279.900	261.450	279.892	298.046	249.775	211.449	535.587	629.306	563.092	470.708	248.125	314.449	366.265	386.413	348.269	228.972	352.067	351.075	303.318	367.063	316.253	412.357	346.803	226.419	277.236	622.255	286.467	486.891	532.876	307.085	679.654	306.426	358.714	388.429	369.626	pinger.vu.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.VU.EDU	AM.SCI.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	502.735	1610.929	397.449	750.032	1651.890	883.726	1653.908	857.761	1182.831	1652.022	1650.309	1643.197	1616.637	1637.045	1641.231	267.630	337.188	259.265	395.992	459.139	598.849	1057.318	1633.535	1193.576	515.535	1518.632	1608.611	1461.767	664.959	654.922	405.372	1178.373	895.743	274.068	695.287	pinger.vu.edu.pk	PK	South_Asia	www.sci.am	AM	Central_Asia
PK.VU.EDU	AU.AARNET.ADELAIDE.N1	?B	965.631	971.286	966.986	963.178	963.999	957.242	216.086	852.214	956.671	371.638	230.463	966.134	967.816	986.870	991.526	230.905	216.683	425.888	507.208	982.352	977.104	409.753	991.217	205.701	144.860	130.874	196.610	744.595	783.484	910.783	766.077	782.710	550.483	996.684	698.740	965.854	935.802	602.155	514.307	216.440	232.175	371.970	271.658	404.526	496.839	296.577	269.686	963.762	700.464	956.247	951.949	689.712	941.670	684.192	935.917	691.650	957.972	958.645	958.384	959.502	pinger.vu.edu.pk	PK	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
PK.VU.EDU	AU.AARNET.BRISBANE.NET	?B	981.005	711.766	976.870	975.069	979.582	985.148	230.963	988.747	990.935	508.219	241.953	713.254	982.503	732.477	1014.308	209.374	218.501	733.175	435.765	733.400	730.229	1000.882	519.156	117.728	137.502	140.506	302.804	759.539	580.962	930.830	779.153	799.990	772.188	1019.286	984.239	986.344	955.440	847.026	241.925	155.637	212.988	413.963	276.542	505.230	716.583	338.203	300.831	976.726	709.848	862.263	964.332	694.720	963.387	959.061	487.684	961.442	957.351	701.797	967.757	692.362	pinger.vu.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.VU.EDU	AU.AARNET.CANBERRA.NET	?B	998.648	999.519	725.525	996.619	1001.394	1010.566	224.782	1014.398	1014.205	1016.136	729.886	420.331	731.778	1040.077	757.846	248.240	158.464	309.186	534.048	533.180	532.225	367.803	449.435	123.674	132.694	132.214	207.515	775.796	817.118	955.386	797.258	819.031	791.537	1053.632	1014.440	739.008	983.381	631.492	533.580	265.797	247.052	334.739	207.162	426.031	377.225	250.154	323.544	1003.461	512.375	997.810	997.135	728.544	1012.132	1010.999	729.285	520.923	1000.605	724.599	726.824	711.255	pinger.vu.edu.pk	PK	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.VU.EDU	AU.AARNET.HOBART.N2	?B	958.978	962.035	962.296	958.961	958.337	955.640	216.395	631.575	958.820	698.117	953.293	958.131	696.708	527.815	508.289	215.325	394.257	528.159	449.419	979.534	976.813	976.819	987.522	134.714	128.689	123.403	212.934	746.589	570.676	909.966	764.945	784.491	551.502	993.994	696.104	961.794	934.187	826.006	273.599	290.004	170.344	221.030	279.206	494.553	440.382	253.809	226.639	956.095	952.343	950.530	951.934	691.187	945.991	944.083	937.946	686.899	952.441	952.924	693.463	951.578	pinger.vu.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.VU.EDU	AU.AARNET.PERTH.NET	?B	1098.900	1098.237	1096.988	1093.767	1095.774	1094.534	235.706	975.040	1095.165	1093.649	554.681	1095.113	1096.823	1118.093	1122.713	256.623	194.406	810.654	482.001	811.788	507.158	326.689	376.187	120.230	110.955	142.744	218.435	705.815	756.937	962.231	729.146	739.856	719.165	817.845	1078.432	1089.229	1038.377	612.533	347.422	275.664	194.737	186.410	242.939	395.163	295.343	318.156	301.735	973.720	1091.248	1084.952	784.696	551.992	1060.638	1061.070	441.587	1069.727	612.105	612.945	1089.289	1087.494	pinger.vu.edu.pk	PK	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
PK.VU.EDU	BA.UTIC.NET.N1	?B	1980.066	1975.831	1980.159	1973.850	1972.520	1059.825	452.570	1982.060	1982.861	1970.068	1430.616	1967.376	1914.325	404.814	1432.416	1435.795	417.272	1433.891	1969.895	1426.349	647.629	832.251	1928.802	444.618	323.347	717.023	1860.129	1878.905	1916.430	1926.292	1912.710	1909.888	1861.737	1896.091	1928.749	1955.331	1416.468	1939.299	1442.582	1941.125	400.686	1898.349	659.633	972.022	557.063	370.029	704.236	1905.813	1921.481	1380.814	1936.059	1919.249	1913.504	1898.793	1866.788	1394.230	1914.042	1925.614	1927.712	1927.416	pinger.vu.edu.pk	PK	South_Asia	linhost2.utic.net.ba	BA	Balkans
PK.VU.EDU	BD.DUET.AC.N1	?B	2399.024	2399.053	2399.687	2400.493	2397.307	2389.540	518.227	1677.877	2309.052	2237.557	536.620	584.190	593.073	889.256	421.104	671.457	432.991	2292.068	1669.804	602.953	373.358	842.769	838.104	245.395	173.815	215.113	177.880	175.645	1139.745	1446.845	1547.723	382.467	1492.420	537.542	345.984	606.700	1177.553	504.859	393.798	1109.901	303.907	218.163	702.751	1030.213	740.348	552.143	1207.135	1721.703	461.708	300.525	.	2296.147	1175.852	817.382	597.543	686.786	1031.660	1030.439	1157.445	573.297	pinger.vu.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
