#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
RU.NSK.N1	CA.CARLETON.N1	?B	1866.825	1311.321	1298.898	1840.738	1868.241	1086.108	932.640	1947.550	.	1874.706	408.610	1872.679	1860.991	1918.336	1939.651	1947.395	1920.436	1328.452	1698.839	1057.419	1854.447	1808.534	1934.724	1924.996	1331.352	423.794	210.787	1850.836	1910.584	1934.138	1928.371	1848.515	1848.084	1837.900	1274.464	1937.954	1947.139	1275.713	614.445	1788.873	1333.237	1278.324	1940.755	1940.808	1319.769	1753.217	1214.841	1689.626	482.108	1664.590	1225.148	1212.374	1699.583	1204.663	724.147	924.380	1892.340	1945.459	1330.692	776.140	rainbow.inp.nsk.su	SU	Russia	ftp.physics.carleton.ca	CA	North_America
RU.NSK.N1	CA.TRIUMF.N1	?M	1560.325	1048.667	754.784	682.264	289.988	509.584	1207.082	1258.987	.	524.509	1046.531	807.514	432.084	1288.259	445.436	1320.632	1046.395	635.999	894.605	783.862	1052.072	1327.090	1312.602	1043.959	1048.565	638.749	1269.161	793.222	1297.817	1073.135	1247.072	853.241	657.591	498.200	848.071	1574.478	1542.502	805.805	406.387	619.831	795.527	811.076	1300.195	903.736	1030.904	1241.945	859.333	878.983	300.865	1052.447	686.927	372.721	911.749	739.075	593.334	1051.808	1509.438	1514.475	817.453	807.415	rainbow.inp.nsk.su	SU	Russia	sitka.triumf.ca	CA	North_America
RU.NSK.N1	CH.CERN.N1	?B	3064.442	3055.876	3003.435	3022.049	2978.377	2417.807	1551.664	3145.137	.	2272.819	3133.844	2904.107	2889.499	2975.744	2870.261	1618.632	2398.511	2696.083	1813.066	2105.632	1820.750	2100.304	2621.942	2533.661	2017.446	2922.475	2282.861	2360.707	3110.941	3107.496	2952.155	1942.517	1817.739	1794.737	1468.002	3109.337	3115.423	1605.770	935.298	2319.193	2553.241	1616.287	3135.623	3107.626	2390.322	1448.449	2944.419	2875.525	797.757	3048.337	3078.969	3032.938	2465.839	1567.930	926.254	2307.514	2417.673	3040.391	3098.052	1414.882	rainbow.inp.nsk.su	SU	Russia	ping.cern.ch	CH	Europe
RU.NSK.N1	DE.DESY.N1	?M	2991.606	2991.319	2936.037	2955.117	2920.209	2951.795	1791.996	3079.166	.	1814.303	3057.788	2857.181	2884.189	2908.031	3056.822	2981.652	2052.982	2370.920	2863.633	2937.516	2956.856	2405.703	2994.872	2960.211	2941.560	2935.911	1960.567	3144.296	3272.672	3273.135	3215.607	2100.523	2108.422	2820.373	1171.867	2739.887	2744.332	1577.930	677.650	1079.580	2508.407	1049.879	2540.577	2541.452	2484.673	1998.298	1745.240	2510.901	622.015	2098.988	2640.521	2595.347	2568.344	1116.058	1070.618	1975.484	2883.706	2895.310	2900.915	1259.852	rainbow.inp.nsk.su	SU	Russia	ping.desy.de	DE	Europe
RU.NSK.N1	DE.IFH.N1	?r	3243.422	3239.847	2172.025	3145.459	3102.775	1552.235	1754.939	3237.611	.	3170.275	1589.302	2332.681	2880.993	2901.758	3054.310	2061.360	2360.713	2650.991	2555.619	1769.494	2049.710	2580.854	2522.870	2031.465	2844.919	2328.364	2797.126	3115.641	2238.179	3232.627	3168.471	2373.409	2981.903	1479.128	1769.094	3046.107	3126.572	1990.034	915.230	1298.143	2462.075	1798.267	2496.201	3048.967	1317.863	1463.682	3047.949	1611.598	980.689	2605.020	2248.957	1986.486	3177.498	1076.259	1013.142	2955.270	2874.905	2875.011	1710.563	1848.844	rainbow.inp.nsk.su	SU	Russia	znsun1.ifh.de	DE	Europe
RU.NSK.N1	DK.NBI.N1	?r	2754.895	2732.041	2556.300	2435.386	2659.825	2215.437	1542.973	2742.764	.	2572.474	1612.889	2499.483	2512.333	2536.557	2698.806	2603.821	2611.005	2344.938	1818.024	1827.595	2294.183	2312.212	2315.020	2294.208	2515.300	2414.027	2373.482	1677.220	1481.028	1482.093	1476.213	518.577	1062.508	2115.789	1535.828	2023.344	2069.417	1263.711	613.397	1110.347	2427.001	1445.369	1290.193	2462.020	2414.173	2426.508	1364.327	1461.191	590.729	2412.786	2425.579	2438.284	1673.688	892.224	1054.674	2298.504	2256.350	2323.504	1738.023	1119.815	rainbow.inp.nsk.su	SU	Russia	www.nbi.dk	DK	Europe
RU.NSK.N1	EDU.CORNELL.N2	?r	1973.312	2010.961	1119.802	1930.039	1923.510	1938.864	727.465	1995.238	.	1914.636	1945.164	1972.260	1950.428	1942.998	2006.772	2005.934	1966.940	1862.552	1612.529	1751.794	1744.949	1792.023	1824.205	1803.976	1952.190	1980.076	1907.366	1952.315	1967.615	1995.716	1114.450	1888.811	1343.984	773.145	1304.115	2006.166	2009.356	928.569	820.802	1297.266	1939.081	1922.261	1998.159	2003.391	1354.990	1803.697	1799.821	1764.529	428.186	1748.924	1820.469	1792.352	1238.622	1243.681	745.326	1930.178	1989.321	1959.545	1996.656	801.877	rainbow.inp.nsk.su	SU	Russia	lns62.lns.cornell.edu	EDU	North_America
RU.NSK.N1	EDU.SDSC.N1	?M	1437.481	1436.535	1421.425	1391.470	1415.938	1430.476	1415.937	1424.865	.	1374.407	1378.187	1366.563	1367.399	1352.652	1400.651	1386.216	1352.908	1411.407	1427.978	1432.271	1437.377	1454.687	1446.975	1390.575	1376.403	953.688	467.472	1336.387	1390.505	1359.711	1373.169	1324.063	1374.960	1370.639	716.022	1313.429	1308.559	707.066	420.677	751.921	1376.180	1349.120	1372.042	1387.462	775.741	1373.458	1348.293	1321.026	365.921	1387.259	1391.220	1384.660	1348.172	771.416	755.273	771.665	813.229	812.220	620.914	683.476	rainbow.inp.nsk.su	SU	Russia	multivac.sdsc.edu	EDU	North_America
RU.NSK.N1	EDU.SLAC.STANFORD.N1	?B	351.136	344.517	227.463	335.291	220.130	303.752	196.900	364.577	.	299.502	366.450	284.291	403.149	351.468	191.571	486.655	425.855	349.298	440.295	443.408	351.178	419.666	884.937	435.105	371.099	240.325	440.017	311.397	366.020	733.696	419.630	456.934	604.269	156.719	219.782	981.972	1032.962	201.107	297.501	537.843	1005.667	818.670	344.695	637.385	751.408	696.809	476.884	783.424	189.781	964.856	966.166	934.510	958.438	947.124	675.443	1198.017	1245.814	1246.444	298.353	439.076	rainbow.inp.nsk.su	SU	Russia	ping.slac.stanford.edu	EDU	North_America
RU.NSK.N1	EDU.STANFORD.N1	?r	396.979	444.612	408.353	412.792	339.351	384.518	248.666	530.772	.	470.719	414.679	371.840	528.588	480.622	309.098	629.940	584.230	537.176	596.582	641.368	503.788	1378.678	929.908	791.340	522.944	321.977	351.068	492.611	501.160	777.632	1010.127	611.964	1073.948	499.703	666.249	1328.369	1333.278	710.864	380.879	560.765	995.244	541.284	273.649	435.127	946.649	961.750	604.219	925.996	498.862	596.494	506.571	1441.677	1452.191	1111.633	526.425	909.447	1487.459	1509.638	395.213	745.308	rainbow.inp.nsk.su	SU	Russia	argus.stanford.edu	EDU	North_America
