#Monitoring-Site	Remote-Site	?	13Aug11	13Aug10	13Aug09	13Aug08	13Aug07	13Aug06	13Aug05	13Aug04	13Aug03	13Aug02	13Aug01	13Jul31	13Jul30	13Jul29	13Jul28	13Jul27	13Jul26	13Jul25	13Jul24	13Jul23	13Jul22	13Jul21	13Jul20	13Jul19	13Jul18	13Jul17	13Jul16	13Jul15	13Jul14	13Jul13	13Jul12	13Jul11	13Jul10	13Jul09	13Jul08	13Jul07	13Jul06	13Jul05	13Jul04	13Jul03	13Jul02	13Jul01	13Jun30	13Jun29	13Jun28	13Jun27	13Jun26	13Jun25	13Jun24	13Jun23	13Jun22	13Jun21	13Jun20	13Jun19	13Jun18	13Jun17	13Jun16	13Jun15	13Jun14	13Jun13	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
ZA.TENET.AC.N1	BI.CBINET.N1	?r	.	.	45.624	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	cbinet.bi	BI	Africa
ZA.TENET.AC.N1	BJ.GOUV.N1	?B	230.477	222.455	172.544	290.954	164.088	158.170	137.330	473.692	235.871	160.486	303.343	125.741	136.723	156.842	272.989	317.811	152.616	253.268	185.335	160.066	163.683	821.392	294.611	192.825	203.571	334.724	426.122	309.977	1122.678	1124.857	152.409	233.247	218.597	185.855	169.063	1122.333	408.412	285.077	260.055	368.315	469.448	215.987	581.991	823.535	281.949	631.705	251.107	183.841	135.426	256.090	186.230	137.024	156.979	159.292	196.628	133.780	644.053	287.121	150.342	137.862	brunsvigia.tenet.ac.za	ZA	Africa	waib.gouv.bj	BJ	Africa
ZA.TENET.AC.N1	BJ.ORG.UAC.REFER.N1	?r	204.276	295.451	270.400	193.775	329.528	497.135	291.614	276.719	261.988	370.013	331.477	281.157	219.094	180.570	316.437	374.391	405.171	302.410	388.446	272.688	245.297	343.540	406.153	274.096	364.250	300.170	280.051	360.502	468.996	279.175	184.527	326.618	295.743	263.399	330.320	341.347	153.487	283.779	332.096	242.262	367.979	422.172	291.410	343.744	200.677	131.134	210.796	280.751	467.545	401.723	807.785	313.653	548.444	276.643	312.717	285.010	1115.573	465.749	371.879	244.147	brunsvigia.tenet.ac.za	ZA	Africa	www.uac.bj.refer.org	ORG	Africa
ZA.TENET.AC.N1	BR.UNESP.N3	?r	127.539	759.723	759.677	773.457	803.675	287.417	721.798	272.547	307.254	750.562	750.869	756.313	167.026	752.645	752.893	805.804	280.243	780.631	785.322	775.857	163.984	812.920	809.346	814.333	814.621	811.966	809.515	808.296	809.404	251.079	809.384	808.049	792.944	817.199	809.406	816.426	816.373	819.480	811.019	806.455	807.935	810.938	592.188	820.144	821.106	814.561	815.145	815.773	811.277	809.211	808.133	807.310	785.411	790.117	803.361	371.767	814.478	819.417	816.243	816.929	brunsvigia.tenet.ac.za	ZA	Africa	www.unesp.br	BR	Latin_America
ZA.TENET.AC.N1	CA.CARLETON.N1	?B	1043.198	936.359	1051.665	782.592	1145.615	1151.972	353.234	1153.177	444.054	534.187	396.313	1049.464	233.555	929.166	1049.517	1153.030	322.188	1100.594	1096.704	964.201	247.255	1161.588	831.550	839.206	1156.619	1152.901	1147.728	1145.400	1146.675	1148.327	460.790	1118.526	466.792	1111.940	618.578	1113.256	1112.218	1150.460	1147.395	1135.604	508.155	590.321	1156.282	591.199	484.717	1144.654	483.572	1152.446	1075.201	249.683	1140.771	1136.208	406.501	1098.010	1123.552	1146.847	613.717	1154.102	1159.271	1157.858	brunsvigia.tenet.ac.za	ZA	Africa	ftp.physics.carleton.ca	CA	North_America
ZA.TENET.AC.N1	CA.TRIUMF.N1	?M	371.432	911.232	661.274	453.093	983.490	504.459	309.202	986.363	418.878	463.235	904.020	909.681	169.495	906.111	909.684	986.396	511.058	226.508	688.707	679.348	294.538	510.008	283.290	716.468	990.246	986.199	504.767	980.737	981.596	982.677	330.466	493.690	491.168	347.183	357.145	695.579	957.100	983.339	982.984	338.971	498.321	713.348	507.438	365.569	507.362	548.903	506.225	268.730	669.044	130.804	160.564	317.284	361.465	944.236	456.521	980.975	979.879	986.812	990.483	717.739	brunsvigia.tenet.ac.za	ZA	Africa	sitka.triumf.ca	CA	North_America
ZA.TENET.AC.N1	CH.CERN.N1	?B	1403.241	1419.714	1419.562	1472.147	1605.735	1611.825	450.992	1615.989	784.940	1406.744	1412.209	1421.279	297.115	1412.174	1419.650	1612.636	820.576	1102.630	1516.127	1480.342	455.242	1612.001	1597.733	1617.224	1618.545	1598.136	1584.933	1582.934	1586.325	1590.376	1601.269	1613.709	1603.620	1601.111	1577.701	1598.629	1557.493	1608.077	1598.594	520.002	1589.374	1599.600	1613.747	1613.625	1613.541	1474.873	1609.818	1613.802	1595.346	1586.829	1582.565	1577.565	1087.113	1498.609	1126.518	1593.983	1587.170	1609.411	1618.360	1616.322	brunsvigia.tenet.ac.za	ZA	Africa	ping.cern.ch	CH	Europe
ZA.TENET.AC.N1	CM.CAMNET.N1	?B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	957.072	949.566	491.679	965.762	.	.	134.161	254.902	138.568	152.399	284.662	938.252	496.729	688.765	956.882	brunsvigia.tenet.ac.za	ZA	Africa	www.camnet.cm	CM	Africa
ZA.TENET.AC.N1	CN.IHEP.AC.N2	?B	248.261	866.419	859.357	650.071	685.606	948.453	867.786	948.842	298.182	835.667	874.882	871.296	348.290	821.418	845.044	949.198	667.421	914.062	914.257	653.626	227.306	950.313	123.510	952.512	952.074	575.304	921.218	929.395	901.904	663.941	949.961	952.484	948.675	948.246	939.795	947.234	946.792	952.449	919.395	918.554	943.746	912.233	949.942	952.326	952.630	945.098	951.045	952.554	946.585	943.061	923.808	940.321	910.270	912.316	930.072	944.669	937.317	939.136	954.285	953.346	brunsvigia.tenet.ac.za	ZA	Africa	ihep.ac.cn	CN	East_Asia
ZA.TENET.AC.N1	DE.DESY.N1	?M	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	brunsvigia.tenet.ac.za	ZA	Africa	ping.desy.de	DE	Europe
ZA.TENET.AC.N1	DE.IFH.N1	?r	990.722	707.959	707.513	1035.645	1125.188	1547.034	542.170	1562.673	.	1360.587	1367.028	327.332	346.967	1364.913	1374.207	1553.871	1475.559	1465.030	1464.920	1433.494	604.872	653.695	1543.161	1561.618	1564.868	1555.998	1547.453	1541.959	1121.071	1378.118	1549.122	1118.163	1112.599	1530.197	1509.055	1528.544	1491.660	1560.748	1553.286	1532.664	1542.274	1381.110	1565.248	1563.476	1558.665	1111.341	1547.690	1126.553	1528.099	1525.631	1521.653	1516.212	1439.389	534.974	1083.766	1532.334	783.152	1376.253	1555.124	1127.861	brunsvigia.tenet.ac.za	ZA	Africa	znsun1.ifh.de	DE	Europe
