#id,node_name,node_ip
1,0.ae2.gw.200p-sf.sonic.net,79.36.211.53
2,0.xe-5-1-0.gw3.equinix-sj.sonic.net,208.106.27.121
3,111.at-4-0--0.gw3.200p-sf.sonic.net,208.106.28.125
4,115-186-132-222.nayatel.pk,115.186.132.222
5,115-186-135-82.nayatel.pk,115.186.135.82
6,121.52.144.65,121.52.144.65
7,128.250.54.22,128.250.54.22
8,130.209.4.16,130.209.4.16
9,131.154.99.10,131.154.99.10
10,140.109.1.1,140.109.1.1
11,140.109.18.50,140.109.18.50
12,140.109.246.1,140.109.246.1
13,140.109.32.1,140.109.32.1
14,147.231.26.40,147.231.26.40
15,152.3.57.20,152.3.57.20
16,192.215.17.39,192.215.17.39
17,192.83.196.111,192.83.196.111
18,193.111.11.8,193.111.11.8
19,193.222.119.6,193.222.119.6
20,195.24.192.47,195.24.192.47
21,196.21.45.139,196.21.45.139
22,198.10.49.62,198.10.49.62
23,199.77.194.26,199.77.194.26
24,203.255.248.205,203.255.248.205
25,216.59.82.1,216.59.82.1
26,58.26.240.61,58.26.240.61
27,76-191-222-1.dsl.sonic.net,76.181.222.1
28,access.sprace.org.br,200.136.80.18
29,adl-a-ext1.aarnet.net.au,202.158.195.68
30,admision.unsch.edu.pe,200.121.72.187
31,adsl-63-204-8-81.dsl.snfc21.pacbell.net,63.204.8.81
32,ai3-sfc.jp.apan.net,203.181.248.241
33,aias.cs.ucy.ac.cy,194.42.16.1
34,aidabg.net,195.24.54.2
35,aim-e1.ph.net,165.220.1.29
36,aip.org,192.58.150.10
37,airuniversity.seecs.edu.pk,111.68.96.101
38,alfalfa.pas.rochester.edu,128.151.144.230
39,alp4ct.ct.infn.it,192.84.150.104
40,amp-kiwi.cs.waikato.ac.nz,192.107.171.130
41,aol1.albaniaonline.net,217.24.240.66
42,argus.stanford.edu,171.64.7.115
43,arizona.edu,128.196.128.233
44,aspu.edu.jo,217.29.240.15
45,atgrid.grid.umich.edu,141.211.43.109
46,atlantic.com.gh,196.201.163.43
47,aup.seecs.edu.pk,121.52.146.67
48,avaxfi.fi.infn.it,192.84.145.14
49,avp.gov.al,109.69.2.189
50,az-ix.net,62.212.244.7
51,b.root-servers.net,192.228.79.201
52,ba.sanet.sk,192.108.138.12
53,bne-a-ext1.aarnet.net.au,202.158.195.196
54,borsu20.cenbg.in2p3.fr,134.158.119.10
55,bowlingzveza.si,82.149.22.114
56,brunsvigia.tenet.ac.za,196.21.99.222
57,btc.bw,168.167.168.34
58,bu.edu,128.197.27.7
59,buitms.seecs.edu.pk,121.52.157.190
60,buphy.bu.edu,128.197.41.42
61,cache.kr.apan.net,203.255.248.3
62,cad.zju.edu.cn,210.32.131.2
63,cae.seecs.edu.pk,121.52.144.69
64,caltech.edu,131.215.239.108
65,calvin.niams.nih.gov,165.112.114.25
66,canel4.iis.sinica.edu.tw,140.109.20.1
67,canel5.iis.sinica.edu.tw,140.109.19.1
68,carmen.to.infn.it,192.84.137.1
69,cavssy.ca.infn.it,192.84.132.1
70,cbinet.bi,196.2.12.32
71,cbr-a-ext1.aarnet.net.au,202.158.196.4
72,cc.if.ufrj.br,146.164.36.25
73,cc.in2p3.fr,134.158.69.34
74,ccali.in2p3.fr,134.158.240.4
75,ccd0.in2p3.fr,134.158.105.60
76,ccp.si,193.2.242.162
77,cdcnet.uniandes.edu.co,157.253.1.13
78,cdhf2.gsfc.nasa.gov,192.67.83.6
79,cepad.org.ni,63.245.25.2
80,charm.physics.ucsb.edu,128.111.19.35
81,chez.mana.pf,202.3.227.242
82,cio-sys.cisco.com,192.31.7.130
83,cir.red.sv,168.243.254.1
84,cmu.edu,128.2.10.162
85,cobra.unza.zm,196.46.196.5
86,cornell.edu,128.253.161.179
87,costaricaservers.com,200.122.160.20
88,csflinux.rl.ac.uk,130.246.183.136
89,d.root-servers.net,128.8.10.90
90,datakl.com,210.48.148.222
91,datautama.net.id,203.89.24.34
92,db.nea.fr,193.51.64.1
93,dcc.bg,213.167.0.228
94,dept.physics.upenn.edu,128.91.43.98
95,desperado.utd.rochester.edu,128.151.7.1
96,dmzmon0.deemz.net,198.49.208.10
97,dns.cit.cornell.edu,192.35.82.50
98,dns.edu.cn,202.112.0.35
99,dns.sinica.edu.tw,140.109.1.10
100,domen.uninett.no,158.38.62.25
