8/14/2014 18:30:50 -- PID=4976 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:30:51 -- PID=6356 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:30:52 -- PID=2196 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:30:52 -- PID=4836 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:30:53 -- PID=5456 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:58:7 -- PID=5008 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:58:7 -- PID=5756 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:58:8 -- PID=5028 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:58:8 -- PID=6684 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 18:58:9 -- PID=5728 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:8:14 -- PID=7780 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
