ID,Year,Month,Day,Unit,TimeStamp,Label
1,1998,01,01,3,1998-01-01,98Jan01
2,1998,01,02,3,1998-01-02,98Jan02
3,1998,01,03,3,1998-01-03,98Jan03
4,1998,01,04,3,1998-01-04,98Jan04
5,1998,01,05,3,1998-01-05,98Jan05
6,1998,01,06,3,1998-01-06,98Jan06
7,1998,01,07,3,1998-01-07,98Jan07
8,1998,01,08,3,1998-01-08,98Jan08
9,1998,01,09,3,1998-01-09,98Jan09
10,1998,01,10,3,1998-01-10,98Jan10
11,1998,01,11,3,1998-01-11,98Jan11
12,1998,01,12,3,1998-01-12,98Jan12
13,1998,01,13,3,1998-01-13,98Jan13
14,1998,01,14,3,1998-01-14,98Jan14
15,1998,01,15,3,1998-01-15,98Jan15
16,1998,01,16,3,1998-01-16,98Jan16
17,1998,01,17,3,1998-01-17,98Jan17
18,1998,01,18,3,1998-01-18,98Jan18
19,1998,01,19,3,1998-01-19,98Jan19
20,1998,01,20,3,1998-01-20,98Jan20
21,1998,01,21,3,1998-01-21,98Jan21
22,1998,01,22,3,1998-01-22,98Jan22
23,1998,01,23,3,1998-01-23,98Jan23
24,1998,01,24,3,1998-01-24,98Jan24
25,1998,01,25,3,1998-01-25,98Jan25
26,1998,01,26,3,1998-01-26,98Jan26
27,1998,01,27,3,1998-01-27,98Jan27
28,1998,01,28,3,1998-01-28,98Jan28
29,1998,01,29,3,1998-01-29,98Jan29
30,1998,01,30,3,1998-01-30,98Jan30
31,1998,01,31,3,1998-01-31,98Jan31
32,1998,02,01,3,1998-02-01,98Feb01
33,1998,02,02,3,1998-02-02,98Feb02
34,1998,02,03,3,1998-02-03,98Feb03
35,1998,02,04,3,1998-02-04,98Feb04
36,1998,02,05,3,1998-02-05,98Feb05
37,1998,02,06,3,1998-02-06,98Feb06
38,1998,02,07,3,1998-02-07,98Feb07
39,1998,02,08,3,1998-02-08,98Feb08
40,1998,02,09,3,1998-02-09,98Feb09
41,1998,02,10,3,1998-02-10,98Feb10
42,1998,02,11,3,1998-02-11,98Feb11
43,1998,02,12,3,1998-02-12,98Feb12
44,1998,02,13,3,1998-02-13,98Feb13
45,1998,02,14,3,1998-02-14,98Feb14
46,1998,02,15,3,1998-02-15,98Feb15
47,1998,02,16,3,1998-02-16,98Feb16
48,1998,02,17,3,1998-02-17,98Feb17
49,1998,02,18,3,1998-02-18,98Feb18
50,1998,02,19,3,1998-02-19,98Feb19
51,1998,02,20,3,1998-02-20,98Feb20
52,1998,02,21,3,1998-02-21,98Feb21
53,1998,02,22,3,1998-02-22,98Feb22
54,1998,02,23,3,1998-02-23,98Feb23
55,1998,02,24,3,1998-02-24,98Feb24
56,1998,02,25,3,1998-02-25,98Feb25
57,1998,02,26,3,1998-02-26,98Feb26
58,1998,02,27,3,1998-02-27,98Feb27
59,1998,02,28,3,1998-02-28,98Feb28
60,1998,03,01,3,1998-03-01,98Mar01
61,1998,03,02,3,1998-03-02,98Mar02
62,1998,03,03,3,1998-03-03,98Mar03
63,1998,03,04,3,1998-03-04,98Mar04
64,1998,03,05,3,1998-03-05,98Mar05
65,1998,03,06,3,1998-03-06,98Mar06
66,1998,03,07,3,1998-03-07,98Mar07
67,1998,03,08,3,1998-03-08,98Mar08
68,1998,03,09,3,1998-03-09,98Mar09
69,1998,03,10,3,1998-03-10,98Mar10
70,1998,03,11,3,1998-03-11,98Mar11
71,1998,03,12,3,1998-03-12,98Mar12
72,1998,03,13,3,1998-03-13,98Mar13
73,1998,03,14,3,1998-03-14,98Mar14
74,1998,03,15,3,1998-03-15,98Mar15
75,1998,03,16,3,1998-03-16,98Mar16
76,1998,03,17,3,1998-03-17,98Mar17
77,1998,03,18,3,1998-03-18,98Mar18
78,1998,03,19,3,1998-03-19,98Mar19
79,1998,03,20,3,1998-03-20,98Mar20
80,1998,03,21,3,1998-03-21,98Mar21
81,1998,03,22,3,1998-03-22,98Mar22
82,1998,03,23,3,1998-03-23,98Mar23
83,1998,03,24,3,1998-03-24,98Mar24
84,1998,03,25,3,1998-03-25,98Mar25
85,1998,03,26,3,1998-03-26,98Mar26
86,1998,03,27,3,1998-03-27,98Mar27
87,1998,03,28,3,1998-03-28,98Mar28
88,1998,03,29,3,1998-03-29,98Mar29
89,1998,03,30,3,1998-03-30,98Mar30
90,1998,03,31,3,1998-03-31,98Mar31
91,1998,04,01,3,1998-04-01,98Apr01
92,1998,04,02,3,1998-04-02,98Apr02
93,1998,04,03,3,1998-04-03,98Apr03
94,1998,04,04,3,1998-04-04,98Apr04
95,1998,04,05,3,1998-04-05,98Apr05
96,1998,04,06,3,1998-04-06,98Apr06
97,1998,04,07,3,1998-04-07,98Apr07
