#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BF.UNIV-OUAGA.N1	AF.MOD.GOV.AF	?B	16.114	14.509	12.586	17.478	31.156	29.697	10.503	9.556	35.016	31.224	.	.	.	39.996	.	.	.	.	.	.	38.826	.	18.406	21.849	35.177	45.172	37.850	31.952	25.817	37.430	27.026	36.593	39.156	30.381	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	www.mod.gov.af	AF	South_Asia
BF.UNIV-OUAGA.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	29.693	42.602	26.302	51.207	65.125	98.444	101.815	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	www.multinet.af	AF	South_Asia
BF.UNIV-OUAGA.N1	AL.ALBANIAONLINE.NET.N1	?B	78.815	61.456	83.115	58.311	72.036	64.859	75.036	90.338	85.099	58.348	.	.	.	121.210	.	.	.	.	.	.	62.086	42.270	40.227	44.239	104.973	121.259	98.771	86.294	60.056	130.722	56.917	121.244	119.267	140.962	90.738	.	69.125	49.708	87.430	78.993	98.540	79.635	75.216	88.201	101.454	158.778	95.886	123.812	135.967	137.654	141.844	175.726	150.380	196.440	172.204	107.033	164.722	186.385	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	aol1.albaniaonline.net	NET	Balkans
BF.UNIV-OUAGA.N1	AM.SCI.N1	?B	.	65.958	68.843	45.973	60.926	57.684	64.943	78.050	84.529	71.933	.	.	.	119.367	.	.	.	.	.	.	55.225	39.246	39.789	41.722	104.436	124.172	97.855	83.952	60.091	126.608	57.525	97.835	107.784	140.239	90.661	.	65.535	50.224	71.633	70.541	101.095	122.975	.	53.050	.	.	.	113.706	107.492	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	www.sci.am	AM	Central_Asia
BF.UNIV-OUAGA.N1	AU.AARNET.ADELAIDE.N1	?B	59.056	41.572	54.308	33.342	49.238	39.082	43.068	54.346	52.339	40.920	.	.	.	67.135	.	.	.	.	.	.	40.096	27.235	28.350	30.181	55.260	65.636	59.165	50.265	41.713	59.269	40.084	57.750	62.548	70.827	51.238	.	47.560	36.626	44.722	46.688	56.006	51.349	58.940	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	adl-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.BRISBANE.NET	?B	59.794	44.546	54.953	36.599	46.846	39.492	45.259	54.683	54.367	40.636	.	.	.	59.088	.	.	.	.	.	.	40.178	26.936	27.301	29.052	51.842	67.400	59.696	49.876	40.615	67.149	38.845	57.656	61.675	69.533	51.037	.	47.199	38.431	50.506	43.262	44.633	51.239	59.807	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	bne-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.CANBERRA.NET	?B	61.612	44.091	55.261	37.750	49.078	39.396	45.519	56.557	55.386	41.635	.	.	.	68.207	.	.	.	.	.	.	41.242	29.184	29.081	30.176	55.932	71.093	59.391	53.085	39.240	65.653	37.525	56.501	65.804	70.437	52.311	.	55.161	40.112	47.568	48.083	54.114	54.158	68.261	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	cbr-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.HOBART.N2	?B	57.858	42.252	53.315	25.495	49.655	38.451	42.705	53.349	52.217	40.318	.	.	.	61.379	.	.	.	.	.	.	40.244	28.128	28.738	29.226	53.788	68.420	58.190	48.124	37.176	58.967	35.897	56.234	60.289	67.028	50.827	.	46.726	36.470	41.456	45.832	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	hba-a-pm1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	AU.AARNET.PERTH.NET	?B	56.405	40.360	51.324	31.812	46.922	37.308	41.365	51.452	50.210	38.346	.	.	.	65.460	.	.	.	.	.	.	38.181	26.820	25.974	28.424	52.411	63.121	58.093	48.943	37.033	57.171	37.751	52.125	59.546	64.088	48.596	.	44.369	35.436	40.381	43.922	51.258	51.266	55.958	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	per-a-ext1.aarnet.net.au	AU	Oceania
BF.UNIV-OUAGA.N1	BA.UTIC.NET.N1	?B	95.336	62.879	83.185	52.653	82.097	64.270	69.558	88.058	82.388	55.936	.	.	.	108.026	.	.	.	.	.	.	57.663	39.834	39.837	44.173	118.289	149.292	109.430	80.012	65.637	154.100	65.805	109.035	131.250	157.062	101.851	.	80.438	61.587	85.035	88.984	122.443	106.700	72.431	101.911	150.057	197.160	129.440	147.506	164.047	172.745	165.826	205.539	181.273	192.116	178.916	95.462	152.234	136.836	160.842	130.616	134.455	229.543	244.581	233.832	205.192	168.713	193.597	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	www.univ-ouaga.bf	BF	Africa	linhost2.utic.net.ba	BA	Balkans
