#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.ACMESECURITY.ORG	AF.MOD.GOV.AF	?B	200.563	133.421	81.823	84.995	75.171	158.765	15.122	12.370	120.733	178.000	.	.	.	118.740	105.876	166.697	102.499	.	.	.	.	.	54.971	136.370	81.382	113.829	61.120	71.713	94.056	104.650	66.107	129.745	85.782	93.999	126.500	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	www.mod.gov.af	AF	South_Asia
BR.ACMESECURITY.ORG	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	164.033	135.005	94.297	102.602	116.328	188.412	206.156	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	www.multinet.af	AF	South_Asia
BR.ACMESECURITY.ORG	AL.ALBANIAONLINE.NET.N1	?B	226.748	296.696	355.550	780.318	656.301	946.472	360.584	866.333	512.909	915.459	.	.	.	963.160	444.138	1225.617	1809.743	.	.	563.621	653.952	394.442	344.529	402.400	299.097	285.487	258.477	361.238	351.637	306.442	359.583	402.141	209.401	190.470	221.139	.	311.257	272.043	259.770	212.865	241.846	217.259	136.387	293.440	281.110	183.317	191.231	310.801	429.197	506.083	223.730	188.736	195.494	151.047	258.308	161.817	337.556	284.512	114.961	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.ACMESECURITY.ORG	AM.SCI.N1	?B	.	219.166	248.182	343.841	432.137	231.480	218.392	231.359	272.408	174.500	.	.	.	682.819	903.667	582.675	1343.341	.	.	314.410	675.463	659.496	444.059	689.548	346.842	340.176	205.178	324.804	284.299	264.016	281.462	263.130	216.581	403.357	373.377	.	405.641	523.277	444.577	278.420	321.639	267.013	.	63.023	.	.	.	167.048	480.965	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	www.sci.am	AM	Central_Asia
BR.ACMESECURITY.ORG	AU.AARNET.ADELAIDE.N1	?B	1401.601	1318.806	850.708	728.448	735.520	602.721	182.380	746.798	996.738	544.212	.	.	.	826.791	919.616	846.563	1298.528	.	.	329.412	558.352	691.964	1260.456	601.977	317.900	272.358	229.545	362.974	368.941	411.301	430.515	418.102	273.886	433.831	480.519	.	326.155	541.240	517.340	411.739	320.439	281.923	180.046	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.BRISBANE.NET	?B	1214.258	957.255	595.989	998.772	781.675	519.343	213.197	812.146	936.747	585.011	.	.	.	833.427	1103.087	896.162	1311.796	.	.	334.590	577.250	767.623	1273.514	612.650	300.804	273.276	249.099	353.205	383.099	429.562	428.510	431.978	280.001	503.329	442.137	.	378.048	589.800	484.222	381.633	300.318	294.234	182.896	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.CANBERRA.NET	?B	1253.511	1381.084	744.947	799.436	793.707	574.663	218.590	914.704	758.086	592.262	.	.	.	760.692	1080.247	503.105	957.983	.	.	276.924	630.549	655.455	856.619	447.646	224.862	221.056	194.268	390.938	429.780	420.495	474.991	445.320	334.396	443.554	469.966	.	369.655	600.885	468.177	423.171	350.874	374.625	191.888	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.HOBART.N2	?B	1394.663	1084.633	546.147	461.529	868.608	733.521	237.123	905.306	640.425	486.022	.	.	.	794.235	596.339	512.539	918.553	.	.	247.831	433.461	549.436	724.470	423.297	243.708	211.411	194.206	329.192	419.124	392.104	351.239	384.274	316.555	450.483	442.096	.	478.832	624.330	541.969	373.147	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	AU.AARNET.PERTH.NET	?B	1137.630	1288.716	699.116	566.724	694.654	564.975	188.058	832.505	554.451	450.768	.	.	.	948.109	836.413	644.675	1216.265	.	.	301.557	514.617	640.864	645.974	531.627	298.588	253.534	213.817	352.675	381.455	368.781	436.969	344.467	250.856	453.156	420.838	.	382.528	527.538	504.164	381.405	305.879	269.383	171.705	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.ACMESECURITY.ORG	BA.UTIC.NET.N1	?B	1650.704	1453.381	616.545	746.604	1056.265	692.699	290.040	463.787	633.451	385.026	.	.	.	427.009	379.051	557.840	668.935	.	.	394.333	326.893	235.457	264.375	460.730	340.078	350.160	285.656	260.913	320.415	352.067	383.179	352.173	236.787	436.207	419.456	.	415.361	394.453	356.023	315.540	340.021	562.851	166.352	354.258	472.126	374.584	709.349	874.720	530.605	964.508	533.725	647.819	444.234	215.978	310.093	279.760	499.731	415.070	452.981	539.561	650.575	520.426	427.626	541.894	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.acmesecurity.org	ORG	Latin_America	linhost2.utic.net.ba	BA	Balkans
