#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
BR.UNESP.N1	AF.MOD.GOV.AF	?B	238.274	131.256	83.588	151.714	79.943	157.921	14.258	12.348	135.907	150.588	.	.	.	111.400	114.919	143.768	40.078	.	.	.	.	.	47.443	231.169	184.593	309.790	72.955	70.403	67.233	115.575	71.292	196.716	174.237	44.087	668.375	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	www.mod.gov.af	AF	South_Asia
BR.UNESP.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	254.136	250.945	94.056	122.665	136.822	192.653	347.335	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	www.multinet.af	AF	South_Asia
BR.UNESP.N1	AL.ALBANIAONLINE.NET.N1	?B	158.982	203.694	277.855	1027.597	646.892	753.454	628.586	1707.106	868.886	936.502	.	.	.	616.148	518.020	1981.742	206.513	373.960	477.395	472.412	.	593.911	397.235	448.136	495.131	793.423	649.157	756.665	922.093	480.562	461.116	567.152	362.452	241.594	246.404	.	284.303	303.809	284.175	215.342	274.283	246.646	191.863	299.718	330.380	163.336	246.105	339.353	529.523	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	aol1.albaniaonline.net	NET	Balkans
BR.UNESP.N1	AM.SCI.N1	?B	.	218.942	253.431	387.129	454.177	235.154	235.869	230.244	263.627	178.708	.	.	.	846.302	769.465	479.923	155.477	265.379	246.766	354.583	.	841.417	531.968	811.831	561.021	743.569	1462.635	441.501	366.998	339.008	345.548	357.745	531.807	542.643	532.629	.	569.181	975.714	460.732	291.276	377.474	168.491	.	167.485	.	.	.	189.920	324.646	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	www.sci.am	AM	Central_Asia
BR.UNESP.N1	AU.AARNET.ADELAIDE.N1	?B	1437.008	1416.649	1142.766	1125.072	1127.952	586.477	288.242	865.469	801.737	562.459	.	.	.	941.921	1322.918	1287.930	153.147	270.676	366.190	326.574	.	1302.634	1418.502	1357.226	1290.149	580.628	1298.639	927.472	1327.073	1149.790	900.607	1399.164	1160.421	487.965	1079.488	.	456.205	1268.960	523.245	383.428	549.791	1257.797	298.761	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	adl-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.BRISBANE.NET	?B	1460.778	1442.056	625.038	1450.651	1446.600	704.846	412.925	1081.753	806.027	461.753	.	.	.	735.579	967.174	665.413	164.900	268.215	377.395	335.354	.	1140.832	1433.831	1371.424	1302.476	608.286	430.334	996.781	1138.166	947.326	839.782	1207.590	963.053	483.683	921.904	.	445.334	1310.873	572.019	379.504	408.612	905.038	321.402	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	bne-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.CANBERRA.NET	?B	1509.586	1489.381	1369.070	1299.271	783.747	762.436	346.654	1366.814	715.261	592.806	.	.	.	918.039	1389.874	611.620	124.629	224.434	309.814	266.844	.	1014.160	786.560	606.243	676.879	459.493	579.479	1408.039	1454.542	981.003	803.542	1466.581	1231.135	511.561	980.602	.	495.228	1356.307	586.266	377.489	560.714	1056.190	298.724	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.HOBART.N2	?B	1430.368	1411.076	461.036	963.006	1414.035	623.317	492.223	1356.508	662.392	421.962	.	.	.	721.358	776.803	440.178	122.110	205.605	298.045	253.541	.	1122.119	794.219	591.370	622.648	372.054	876.440	933.359	1371.018	938.880	594.519	1185.367	780.965	514.208	961.185	.	461.504	1250.781	640.049	284.951	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	hba-a-pm1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	AU.AARNET.PERTH.NET	?B	1336.865	1319.331	563.587	1000.741	769.968	633.272	316.533	831.788	627.436	546.523	.	.	.	1030.888	920.580	568.237	147.936	242.290	334.752	324.243	.	988.603	804.344	1260.637	1208.066	899.527	428.699	857.139	1218.956	642.302	661.150	1298.905	1020.917	436.014	737.110	.	421.172	1180.623	532.252	338.907	462.130	530.814	279.084	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	per-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	BA.UTIC.NET.N1	?B	1345.518	1818.444	1119.371	1039.871	1922.729	559.909	375.122	551.962	528.311	512.963	.	.	.	468.914	423.165	576.862	184.530	304.775	398.816	426.132	.	378.127	386.281	607.321	446.687	622.518	343.235	203.032	435.698	428.535	437.275	537.622	941.260	427.287	619.680	.	491.069	543.919	418.802	319.824	368.328	664.880	160.975	306.575	757.991	324.730	1006.461	1328.490	488.239	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	pinger.unesp.br	BR	Latin_America	linhost2.utic.net.ba	BA	Balkans
