#Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Aug2011	Jul2011	Jun2011	May2011	Apr2011	Mar2011	Feb2011	Jan2011	Dec2010	Nov2010	Oct2010	Sep2010	Aug2010	Jul2010	Jun2010	May2010	Apr2010	Mar2010	Feb2010	Jan2010	Dec2009	Nov2009	Oct2009	Sep2009	Aug2009	Jul2009	Jun2009	May2009	Apr2009	Mar2009	Feb2009	Jan2009	Dec2008	Nov2008	Oct2008	Sep2008	Aug2008	Jul2008	Jun2008	May2008	Apr2008	Mar2008	Feb2008	Jan2008	Dec2007	Nov2007	Oct2007	Sep2007	Aug2007	Jul2007	Jun2007	May2007	Apr2007	Mar2007	Feb2007	Jan2007	Dec2006	Nov2006	Oct2006	Sep2006	Aug2006	Jul2006	Jun2006	May2006	Apr2006	Mar2006	Feb2006	Jan2006	Dec2005	Nov2005	Oct2005	Sep2005	Aug2005	Jul2005	Jun2005	May2005	Apr2005	Mar2005	Feb2005	Jan2005	Dec2004	Nov2004	Oct2004	Sep2004	Aug2004	Jul2004	Jun2004	May2004	Apr2004	Mar2004	Feb2004	Jan2004	Dec2003	Nov2003	Oct2003	Sep2003	Aug2003	Jul2003	Jun2003	May2003	Apr2003	Mar2003	Feb2003	Jan2003	Dec2002	Nov2002	Oct2002	Sep2002	Aug2002	Jul2002	Jun2002	May2002	Apr2002	Mar2002	Feb2002	Jan2002	Dec2001	Nov2001	Oct2001	Sep2001	Aug2001	Jul2001	Jun2001	May2001	Apr2001	Mar2001	Feb2001	Jan2001	Dec2000	Nov2000	Oct2000	Sep2000	Aug2000	Jul2000	Jun2000	May2000	Apr2000	Mar2000	Feb2000	Jan2000	Dec1999	Nov1999	Oct1999	Sep1999	Aug1999	Jul1999	Jun1999	May1999	Apr1999	Mar1999	Feb1999	Jan1999	Dec1998	Nov1998	Oct1998	Sep1998	Aug1998	Jul1998	Jun1998	May1998	Apr1998	Mar1998	Feb1998	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region	
CA.TRIUMF.N1	AF.MOD.GOV.AF	?B	449.787	133.511	97.378	99.274	.	.	.	.	141.418	148.147	.	.	.	107.949	128.375	168.313	75.793	.	.	.	707.919	.	49.300	81.393	90.721	125.817	75.312	70.082	67.805	123.178	200.538	224.088	221.297	49.845	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	www.mod.gov.af	AF	South_Asia
CA.TRIUMF.N1	AF.MULTINET.N1	?r	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	130.690	262.246	98.350	177.867	178.530	302.761	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	www.multinet.af	AF	South_Asia
CA.TRIUMF.N1	AL.ALBANIAONLINE.NET.N1	?B	218.299	298.530	482.415	1551.472	.	.	.	.	395.505	664.231	.	.	.	738.741	787.555	1090.635	901.531	794.627	708.333	699.237	539.661	623.501	534.000	682.074	637.959	477.327	519.147	532.006	353.414	398.457	524.977	690.115	472.119	320.808	378.272	.	597.097	511.033	584.681	440.196	477.246	421.198	496.074	403.048	417.453	407.026	277.868	420.902	738.739	726.982	621.549	791.103	698.264	1216.316	624.724	1170.659	444.464	577.737	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	aol1.albaniaonline.net	NET	Balkans
CA.TRIUMF.N1	AM.SCI.N1	?B	.	307.311	301.079	436.246	.	.	.	.	246.435	223.578	.	.	.	832.865	650.873	579.144	518.215	446.139	539.088	673.110	939.220	1079.782	687.078	1149.900	691.955	737.230	513.913	736.912	375.025	622.555	543.416	744.611	1097.340	878.904	784.400	.	1221.429	700.705	1052.442	577.413	1015.117	361.781	.	208.146	.	.	.	559.744	997.251	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	www.sci.am	AM	Central_Asia
CA.TRIUMF.N1	AU.AARNET.ADELAIDE.N1	?B	1684.951	2909.338	3069.114	3060.118	.	.	.	.	1563.065	853.419	.	.	.	1133.922	1168.401	996.683	1105.611	1111.426	996.529	959.599	1331.559	3026.560	1850.207	2341.828	2638.131	2531.725	2537.731	2639.513	2674.452	2024.146	2656.421	2733.012	2723.174	2716.967	1722.841	.	2122.172	2554.432	2559.041	2334.666	2485.239	2560.336	2559.068	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	adl-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.BRISBANE.NET	?B	1835.635	2260.686	3183.975	3153.184	.	.	.	.	2082.698	876.728	.	.	.	1375.755	1284.724	907.777	1106.378	1121.885	1083.390	986.529	1529.706	2332.738	2658.870	2573.599	2492.521	2577.095	2585.438	2761.935	2175.323	2510.502	2711.982	2799.319	2780.741	2774.603	1554.228	.	2035.213	2731.464	2737.377	2482.191	2603.714	2740.681	2739.811	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	bne-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.CANBERRA.NET	?B	1892.584	3453.306	3426.250	3418.266	.	.	.	.	2829.288	925.894	.	.	.	1320.416	1260.445	1093.150	1197.685	1107.090	1166.866	1021.661	1526.707	2727.090	2014.332	2302.521	2995.020	2598.620	2622.876	2545.823	2804.630	2844.195	2958.791	3002.945	2989.726	2981.182	1794.697	.	2114.421	2932.581	2745.406	2649.356	2841.415	2942.470	2941.488	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.HOBART.N2	?B	1747.537	2192.441	3028.559	1102.162	.	.	.	.	1682.737	873.527	.	.	.	1233.242	1131.577	952.005	1149.638	918.798	1086.353	914.644	1449.657	2048.984	2124.517	2617.138	2666.509	2347.233	2235.986	2406.844	2516.284	2538.047	1422.646	2611.849	2585.115	2602.308	1314.413	.	2067.703	2476.256	2496.527	2377.234	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	hba-a-pm1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	AU.AARNET.PERTH.NET	?B	1450.308	2674.515	2645.650	2566.249	.	.	.	.	2170.897	738.043	.	.	.	1106.138	950.424	794.720	901.793	904.183	929.984	767.038	1291.404	1838.910	1142.500	2031.330	2472.621	2233.198	2241.793	2346.144	2247.600	1672.363	2300.386	2372.179	2371.682	2359.217	1507.582	.	1522.442	2224.218	2229.917	2050.027	2162.599	2219.194	1129.441	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	per-a-ext1.aarnet.net.au	AU	Oceania
CA.TRIUMF.N1	BA.UTIC.NET.N1	?B	601.922	1029.746	1360.973	1187.861	.	.	.	.	475.722	445.056	.	.	.	550.052	529.976	463.543	587.478	603.902	495.087	756.673	516.683	536.284	600.702	859.185	846.266	708.683	552.799	446.873	364.773	501.701	431.960	626.281	1861.056	1489.612	1904.176	.	1188.469	1813.185	1413.674	987.660	1930.996	2179.231	274.879	412.913	955.749	961.092	1146.692	1790.885	918.289	1698.649	1984.429	1046.717	1250.240	292.626	546.020	388.466	627.700	873.224	737.978	713.138	684.352	942.686	504.124	727.285	391.579	417.772	344.237	685.895	749.626	636.365	439.901	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	sitka.triumf.ca	CA	North_America	linhost2.utic.net.ba	BA	Balkans
